Month,Year,Label,Sample_Number,GreenAlgae_2ug_L,Bluegreen_3ug_L,Diatoms_4ug_L,Cryptophyta_5ug_L,GreenAlgae_14cells_mL,Bluegreen_15cells_mL,Diatoms_16cells_mL,Cryptophyta_17cells_mL,Temp_degC,Time,Date,DOSAT_%SAT,DO_mg_L,FLUORRFU_RFU,FLUOR_ug_L,FNU_FNU,pH,SPC_uS_cm,WT_C,PAR1_umol_m-2_s-1,PAR2_umol_m-2_s-1,Latitude,Longitude,Region
March,2021,Grizzly Bay/Suisun Marsh,13,2.67,0.96,3.56,0.46,1415.48,957.57,1599.86,13.62,12.31,11:45,3/10/2021,96.78333333,9.240833333,0.99,4.096666667,8.708333333,7.94,25205.75,13.11416667,NA,NA,-122.1125022,38.05533139,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,14,2.58,0.99,3.38,0.42,1365.76,989.1,1520.52,12.67,12.32,11:46,3/10/2021,96.475,9.2025,0.946666667,3.9175,8.958333333,7.935,25578.41667,13.105,NA,NA,-122.1118918,38.05626445,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,15,2.7,0.99,3.48,0.42,1429.33,986.71,1567.57,12.62,12.31,11:47,3/10/2021,96.41666667,9.195,0.94,3.9025,9.258333333,7.935,25484,13.12,NA,NA,-122.1112314,38.05718542,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,16,2.39,1.04,3.06,0.32,1267,1044.43,1375.81,9.57,12.31,11:48,3/10/2021,96.40833333,9.1925,0.910833333,3.775,9.566666667,7.934166667,25566.58333,13.11333333,NA,NA,-122.110545,38.05809903,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,17,2.75,0.97,3.54,0.38,1459.95,968.86,1595.33,11.43,12.32,11:49,3/10/2021,96.30833333,9.185,0.9225,3.826666667,9.541666667,7.9375,25505.66667,13.11916667,NA,NA,-122.1098583,38.05902472,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,18,3.43,0.83,4.11,0.45,1817.76,833.05,1847.48,13.38,12.37,11:50,3/10/2021,96.64166667,9.2275,1.119166667,4.615833333,9.516666667,7.94,25061.83333,13.155,NA,NA,-122.1091844,38.05999653,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,19,3.23,0.86,3.89,0.41,1711.41,863.18,1752.5,12.14,12.38,11:51,3/10/2021,97.01666667,9.259166667,1.069166667,4.416666667,9.4,7.94,25048.16667,13.17166667,NA,NA,-122.1085546,38.06096486,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,20,3.53,0.82,4.07,0.45,1871.33,814.9,1833.29,13.43,12.38,11:52,3/10/2021,96.80833333,9.233333333,1.059166667,4.375,9.433333333,7.94,25278.66667,13.16583333,NA,NA,-122.107831,38.06200097,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,21,3.92,0.73,4.39,0.47,2078.9,730.67,1974.81,14.14,12.38,11:53,3/10/2021,97.19166667,9.296666667,1.186666667,4.881666667,8.916666667,7.95,24435.41667,13.1725,NA,NA,-122.107145,38.06298861,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,22,3.46,0.86,4,0.44,1834.71,859.1,1800.67,13.33,12.38,11:54,3/10/2021,96.92962963,9.308333333,0.810925926,3.222037037,8.624074074,7.939444444,24880.74074,12.91611111,4.975714286,88.82452381,-122.1069004,38.06370296,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,23,3.29,0.91,3.78,0.59,1743.48,909.48,1703.1,17.57,12.36,11:55,3/10/2021,95.49444444,9.089166667,0.689861111,2.725277778,54.03194444,7.917083333,27500.20833,12.83277778,0.5785,17.65966667,-122.1066949,38.06397299,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,24,2.91,0.98,3.78,0.56,1541.29,978.14,1701.71,16.81,12.36,11:56,3/10/2021,95.19230769,9.050384615,0.789615385,3.187307692,62.47307692,7.916153846,27284.07692,12.92076923,0,0,-122.1064978,38.06417643,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,25,2.62,1.03,3.59,0.58,1388.25,1032.05,1615,17.35,12.34,11:57,3/10/2021,97.04166667,9.290833333,1.009166667,4.173333333,9.708333333,7.949166667,24505.58333,13.14083333,NA,NA,-122.1059569,38.06463042,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,26,2.24,1.08,3.4,0.66,1186.43,1081,1528.29,19.76,12.32,11:58,3/10/2021,96.86666667,9.256666667,0.961666667,3.981666667,10.19166667,7.94,25080.33333,13.10833333,NA,NA,-122.1055053,38.06494222,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,27,2.54,1.02,3.59,0.7,1347.38,1017.48,1617.1,20.95,12.3,11:59,3/10/2021,96.70833333,9.2375,0.9925,4.105833333,10.25,7.94,25134.08333,13.11583333,NA,NA,-122.1050796,38.06527479,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,28,2.75,0.99,3.74,0.65,1459.33,986.62,1681.76,19.71,12.33,12:00,3/10/2021,96.925,9.264166667,1.0275,4.246666667,9.775,7.94,24885.16667,13.13,NA,NA,-122.1046043,38.06561472,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,29,2.75,0.97,3.82,0.68,1458.29,973.95,1720.19,20.38,12.33,12:01,3/10/2021,97.09166667,9.2875,1.055833333,4.355833333,9.475,7.948333333,24718.25,13.13,NA,NA,-122.104084,38.06599431,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,30,2.69,0.98,3.78,0.71,1423.9,980.62,1702.38,21.19,12.34,12:02,3/10/2021,97.01666667,9.275,1.05,4.334166667,9.508333333,7.95,24867.5,13.13,NA,NA,-122.1035221,38.06638778,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,31,2.54,0.98,3.75,0.75,1345.1,978.1,1687.81,22.67,12.32,12:03,3/10/2021,96.95833333,9.2675,1.05,4.335,9.8,7.9475,24923.91667,13.13,NA,NA,-122.1029387,38.0667632,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,32,2.63,0.99,3.67,0.67,1394.67,992.1,1652.14,20.05,12.31,12:04,3/10/2021,96.9,9.263333333,1.028333333,4.250833333,9.75,7.95,24989.5,13.12333333,NA,NA,-122.1026271,38.06730944,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,33,2.89,0.96,3.8,0.61,1529.95,957.29,1710.29,18.52,12.32,12:05,3/10/2021,97.23333333,9.308333333,1.046666667,4.325,9.833333333,7.95,24557.25,13.1225,NA,NA,-122.1003479,38.06922236,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,34,3.3,0.85,3.9,0.66,1747.33,853.57,1754.81,19.76,12.38,12:06,3/10/2021,97.43636364,9.33,1.153636364,4.757272727,9.381818182,7.955454545,24314.45455,13.15727273,NA,NA,-122.094538,38.0723697,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,35,3.2,0.83,3.6,0.48,1698.76,831.76,1622.38,14.43,12.4,12:07,3/10/2021,97.25,9.279166667,1.054166667,4.358333333,8.366666667,7.95,24997.91667,13.195,NA,NA,-122.0887013,38.07637028,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,36,2.61,0.93,3.37,0.58,1383.43,934.81,1515.1,17.19,12.35,12:08,3/10/2021,97.11666667,9.290833333,0.999166667,4.134166667,8.825,7.950833333,24506.08333,13.16583333,NA,NA,-122.0828229,38.08076958,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,37,2.44,0.98,3.33,0.6,1294,979.67,1498.57,17.81,12.35,12:09,3/10/2021,97.21666667,9.311666667,0.926666667,3.843333333,9.266666667,7.954166667,24279.33333,13.15,NA,NA,-122.076697,38.08498625,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,38,2.97,0.96,4.03,0.61,1572.29,958.71,1813.57,18.05,12.26,12:10,3/10/2021,97.3,9.393333333,1.07,4.415,10.53333333,7.966666667,22755.83333,13.06833333,NA,NA,-122.0708029,38.08942333,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,39,2.8,1.09,3.93,0.51,1485.86,1092.43,1769.67,15.43,12.2,12:11,3/10/2021,97.41666667,9.455,1.080833333,4.4625,11.38333333,7.97,21797.58333,13.00916667,NA,NA,-122.0649346,38.09372792,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,40,2.69,1.18,3.79,0.43,1426.86,1180.62,1704.76,12.95,12.21,12:12,3/10/2021,97.275,9.471666667,1.085833333,4.480833333,12.78333333,7.9675,21134.66667,12.99666667,NA,NA,-122.0585101,38.09752792,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,41,3.08,1.09,4.24,0.6,1635.1,1088.24,1908,17.86,12.19,12:13,3/10/2021,97.4,9.529166667,1.180833333,4.866666667,13.4,7.976666667,19894.33333,12.99916667,NA,NA,-122.0521024,38.10135083,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,42,2.47,1.33,3.52,0.2,1310.33,1329.43,1585.86,6.05,12.22,12:14,3/10/2021,97.475,9.531666667,1.1125,4.59,14.275,7.97,19839,13.02916667,NA,NA,-122.0472338,38.10639444,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,43,2.61,1.44,3.69,0.2,1382.48,1442.24,1660.67,6,12.21,12:15,3/10/2021,96.76666667,9.505833333,1.075833333,4.44,17.525,7.970833333,18808.83333,13.01,NA,NA,-122.0441274,38.11126639,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,44,2.65,1.57,3.8,0.14,1401.67,1566.81,1708.38,4.1,12.19,12:16,3/10/2021,97.075,9.574166667,1.135833333,4.689166667,21.30833333,7.98,17975.16667,12.99,NA,NA,-122.0424954,38.11351181,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,45,2.69,1.59,3.86,0.09,1426.62,1588.57,1738.67,2.86,12.14,12:17,3/10/2021,96.99166667,9.595,1.125833333,4.644166667,23.59166667,7.98,17354.16667,12.96333333,NA,NA,-122.0410253,38.11558278,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,46,2.55,1.54,3.51,0.11,1351.33,1539.48,1579.33,3.24,12.11,12:18,3/10/2021,97.14166667,9.641666667,1.124166667,4.6325,21.24166667,7.98,16751.33333,12.9225,NA,NA,-122.039945,38.11674847,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,47,2.41,1.71,3.29,0.05,1279.62,1711.1,1481.38,1.43,12.1,12:19,3/10/2021,97.03571429,9.652142857,0.969285714,3.985,25.37142857,7.978571429,16549.57143,12.85071429,0.745,16.145,-122.0397474,38.11693982,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,48,2.55,1.6,3.5,0.05,1351.14,1596.62,1577.24,1.48,12.1,12:20,3/10/2021,96.89166667,9.683194444,0.777916667,3.076388889,20.75694444,7.971666667,16458.55556,12.66069444,18.6605,129.7651667,-122.0396363,38.11705419,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,49,2.65,1.47,3.66,0.21,1403.48,1467.95,1647.05,6.05,12.11,12:21,3/10/2021,97.10277778,9.711666667,0.842222222,3.334166667,17.10138889,7.976805556,16294.94444,12.66208333,19.95816667,127.7341667,-122.0393997,38.1172625,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,50,2.92,1.38,4.1,0.4,1547.71,1378.43,1844.81,12,12.09,12:22,3/10/2021,97.38076923,9.724615385,1.000384615,4.034230769,17.10769231,7.984615385,16189.07692,12.74192308,11.94571429,100.1557143,-122.0392517,38.11740785,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,51,2.46,1.53,3.41,0.2,1303.57,1527.33,1532.33,6.14,12.1,12:23,3/10/2021,97.625,9.709166667,1.0575,4.365,19.125,7.984166667,16283.33333,12.91083333,NA,NA,-122.0399794,38.11703833,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,52,2.41,1.51,3.35,0.22,1276.62,1507.14,1506.52,6.71,12.15,12:24,3/10/2021,97.5,9.673333333,0.943333333,3.905833333,20.9,7.971666667,16682.91667,12.94666667,NA,NA,-122.0410307,38.11700125,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,53,2.34,1.52,3.15,0.18,1238.19,1519.33,1418.71,5.62,12.14,12:25,3/10/2021,97.36666667,9.66,0.941666667,3.905833333,19.975,7.978333333,16690.25,12.9575,NA,NA,-122.0418694,38.11720264,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,54,2.39,1.52,3.37,0.14,1267.55,1525.2,1515.2,4.15,12.16,12:26,3/10/2021,97.30833333,9.650833333,0.9475,3.924166667,19.70833333,7.98,16694.58333,12.9625,NA,NA,-122.0424885,38.11724222,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,55,2.36,1.54,3.2,0.13,1250.24,1544.62,1439.62,3.81,12.17,12:27,3/10/2021,97.325,9.644166667,0.930833333,3.859166667,19.55833333,7.971666667,16862.33333,12.97166667,NA,NA,-122.0431607,38.11735764,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,56,2.24,1.58,3.02,0.07,1189.81,1583.29,1360,2.19,12.16,12:28,3/10/2021,97.14166667,9.619166667,0.893333333,3.7125,20.95833333,7.97,16994,12.9775,NA,NA,-122.0438949,38.11756847,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,57,2.26,1.6,3.06,0.1,1195.57,1601.29,1376.48,2.9,12.19,12:29,3/10/2021,97.1,9.619166667,0.881666667,3.666666667,21.025,7.97,16986.08333,12.98,NA,NA,-122.0445889,38.11791681,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,58,2.33,1.58,3.11,0.13,1232.1,1575.71,1397.1,3.81,12.19,12:30,3/10/2021,97.28333333,9.629166667,0.920833333,3.815833333,21.25833333,7.97,17083.5,12.99416667,NA,NA,-122.0452797,38.11822153,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,59,2.35,1.55,3.14,0.15,1244.48,1549.48,1414.52,4.24,12.2,12:31,3/10/2021,97.21818182,9.613636364,0.897272727,3.724545455,21.29090909,7.97,17183.36364,13.00363636,NA,NA,-122.0459876,38.11835939,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,60,2.44,1.55,3.26,0.16,1292.29,1546.57,1468.33,5.05,12.21,12:32,3/10/2021,97.20833333,9.610833333,0.928333333,3.846666667,21.15,7.97,17198.41667,13.01416667,NA,NA,-122.0467307,38.11849167,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,61,2.52,1.52,3.39,0.23,1335.52,1524.48,1524.05,6.95,12.21,12:33,3/10/2021,97.375,9.625833333,0.961666667,3.984166667,21.55833333,7.97,17202,13.02083333,NA,NA,-122.0474858,38.11866472,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,62,2.59,1.55,3.47,0.2,1375,1545.33,1559.38,6.1,12.2,12:34,3/10/2021,97.5,9.636666667,0.975,4.036666667,21.73333333,7.97,17192.83333,13.0275,NA,NA,-122.0482183,38.11878667,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,63,2.66,1.52,3.51,0.25,1410.19,1522.95,1580.71,7.29,12.21,12:35,3/10/2021,97.50833333,9.638333333,0.99,4.0925,21.91666667,7.97,17239.66667,13.03416667,NA,NA,-122.0488793,38.11886847,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,64,2.98,1.5,4.07,0.28,1580.76,1496.19,1831.38,8.38,12.22,12:36,3/10/2021,97.54166667,9.64,1.113333333,4.590833333,21.98333333,7.976666667,17230,13.035,NA,NA,-122.0490051,38.11907195,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,65,2.99,1.47,4.06,0.29,1582.62,1468.62,1826.81,8.67,12.22,12:37,3/10/2021,97.33492063,9.675873016,0.913492063,3.624761905,19.52222222,7.957460317,17087.04762,12.78285714,5.775490196,84.69921569,-122.0489801,38.119341,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,66,2.84,1.51,3.94,0.2,1506.33,1509.33,1774.76,6,12.21,12:38,3/10/2021,97.31666667,9.655416667,0.96875,3.91125,20.07083333,7.96125,17100.83333,12.87875,0.48,28.40833333,-122.0489395,38.1194924,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,67,2.79,1.48,3.87,0.22,1476.81,1480.9,1739.05,6.48,12.23,12:39,3/10/2021,97.46666667,9.633333333,1.1075,4.569166667,20.80833333,7.97,17132.08333,13.035,NA,NA,-122.0487526,38.11977979,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,68,2.95,1.43,3.84,0.3,1562.52,1431.14,1725.67,9.1,12.23,12:40,3/10/2021,97.48333333,9.635833333,1.108333333,4.568333333,20.475,7.97,17131.66667,13.04416667,NA,NA,-122.0486126,38.11997181,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,69,2.78,1.49,3.74,0.2,1474.62,1487.05,1681.14,6.05,12.21,12:41,3/10/2021,97.475,9.6375,1.094166667,4.5175,20.69166667,7.97,17087.16667,13.04166667,NA,NA,-122.0484558,38.12018653,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,70,2.8,1.47,3.72,0.21,1486.52,1471.62,1671.71,6.48,12.22,12:42,3/10/2021,97.41666667,9.6325,1.079166667,4.450833333,20.44166667,7.97,17019.41667,13.04166667,NA,NA,-122.0483053,38.12034486,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,71,2.83,1.48,3.8,0.21,1497.9,1479.05,1710.19,6.43,12.24,12:43,3/10/2021,97.5,9.641666667,1.071666667,4.4275,20.375,7.97,16969.91667,13.04666667,NA,NA,-122.0481553,38.12048917,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,72,2.91,1.46,3.88,0.24,1542.38,1461.86,1746.29,7.19,12.21,12:44,3/10/2021,97.5,9.644166667,1.108333333,4.573333333,20.425,7.97,16913.91667,13.04166667,NA,NA,-122.0480132,38.12065875,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,73,2.91,1.48,3.89,0.23,1542.33,1476.81,1748.81,6.86,12.24,12:45,3/10/2021,97.56666667,9.6525,1.135833333,4.683333333,20.21666667,7.975,16853.41667,13.04,NA,NA,-122.0481801,38.12082097,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,74,2.46,1.57,3.38,0.12,1304.38,1568.62,1522.86,3.71,12.26,12:46,3/10/2021,97.69166667,9.665833333,1.005,4.150833333,20.75,7.9775,16821.75,13.05,NA,NA,-122.0505035,38.12088542,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,75,2.81,1.53,3.84,0.22,1488.71,1527.1,1727.19,6.43,12.22,12:47,3/10/2021,97.89166667,9.698333333,1.028333333,4.2425,22.325,7.979166667,16527.58333,13.04666667,NA,NA,-122.0553842,38.12203083,Grizzly Bay
March,2021,Grizzly Bay/Suisun Marsh,76,2.71,1.49,4,0.25,1438.57,1493.95,1798,7.43,12.13,12:48,3/10/2021,97.66666667,9.765833333,1.17,4.824166667,21.75833333,8.0025,14675.41667,12.9475,NA,NA,-122.0591618,38.12682486,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,77,2.58,1.55,3.93,0.2,1367.38,1551.38,1769.29,6.1,12.07,12:49,3/10/2021,97.64166667,9.793333333,1.124166667,4.644166667,20.225,8,14250.58333,12.89,NA,NA,-122.0607179,38.13279625,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,78,2.55,1.76,3.94,0.12,1349.14,1763.76,1773.48,3.48,11.83,12:50,3/10/2021,97.6,9.861666667,1.180833333,4.860833333,27.2,8.01,13414.83333,12.7125,NA,NA,-122.0612961,38.13882278,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,79,2.67,1.84,4.08,0.15,1412.57,1842.9,1834.52,4.43,11.74,12:51,3/10/2021,97.575,9.899166667,1.256666667,5.168333333,32.43333333,8.01,13087.25,12.58083333,NA,NA,-122.0599932,38.14469722,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,80,2.7,1.75,4.2,0.26,1429.48,1749.76,1889,7.76,11.74,12:52,3/10/2021,97.63333333,9.903333333,1.259166667,5.18,30.56666667,8.01,13091.83333,12.57666667,NA,NA,-122.0565743,38.14999139,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,81,2.49,1.77,3.97,0.27,1317.19,1768.48,1787.57,8.1,11.75,12:53,3/10/2021,97.65833333,9.9175,1.2425,5.113333333,29.69166667,8.009166667,12883.16667,12.58166667,NA,NA,-122.0532722,38.15424125,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,82,4.6,2.06,3.42,0.07,2439.38,2062.57,1536.71,2.1,11.85,12:54,3/10/2021,96.75,9.833333333,1.263333333,5.1975,31.10833333,7.993333333,12126.25,12.66166667,NA,NA,-122.0534768,38.15587236,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,83,7.02,2.25,3.34,0,3721.25,2249.6,1504.6,0,12.04,12:55,3/10/2021,92.35,9.391666667,1.813333333,7.411666667,37.73333333,7.891666667,10734,12.875,NA,NA,-122.0551101,38.15673195,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,84,6.55,2.23,3.1,0,3469.14,2228.43,1394.43,0,11.96,12:56,3/10/2021,91.45454545,9.311818182,1.781818182,7.292727273,38.7,7.852727273,10877.36364,12.81090909,NA,NA,-122.0568721,38.15804303,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,85,5.06,2.11,3.35,0,2681.9,2111.33,1507.43,0,11.97,12:57,3/10/2021,91.85,9.340833333,1.629166667,6.6725,36.83333333,7.851666667,11179.83333,12.8075,NA,NA,-122.0606917,38.16201167,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,86,3.79,1.98,3.72,0.05,2006.86,1983.77,1673,1.45,11.99,12:58,3/10/2021,94.125,9.549166667,1.391666667,5.713333333,31.375,7.891666667,11814.58333,12.8025,NA,NA,-122.0660362,38.16627111,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,87,3.54,2,3.63,0.02,1875.52,2000.19,1634.38,0.48,12.01,12:59,3/10/2021,94.61666667,9.614166667,1.4075,5.773333333,33.15833333,7.916666667,11192.16667,12.84333333,NA,NA,-122.0677081,38.17074597,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,88,3.12,1.99,3.31,0,1652.19,1994.57,1491.57,0,12.09,13:00,3/10/2021,93.78333333,9.553333333,1.383333333,5.685,34.45,7.9075,10316.66667,12.87916667,NA,NA,-122.0612133,38.17205542,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,89,2.91,2.12,3.15,0,1540.05,2117.33,1416.81,0,12.04,13:01,3/10/2021,93.24166667,9.5075,1.368333333,5.6225,38.975,7.895,9849,12.90333333,NA,NA,-122.0571311,38.17418333,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,90,2.76,2.06,3.17,0,1462.33,2061.9,1428.48,0,12.07,13:02,3/10/2021,92.90833333,9.491666667,1.3325,5.476666667,37.14166667,7.89,9736.666667,12.85,NA,NA,-122.0567389,38.17896208,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,91,2.69,2.11,3.32,0,1424.67,2110.24,1494.14,0,12.18,13:03,3/10/2021,92.48333333,9.448333333,1.385833333,5.684166667,39.825,7.886666667,9062,12.95833333,NA,NA,-122.0507919,38.17883167,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,92,2.68,2.29,3.38,0,1420.9,2284.9,1521.62,0,12.19,13:04,3/10/2021,91.75833333,9.383333333,1.458333333,5.9775,49.68333333,7.868333333,8590.333333,12.9975,NA,NA,-122.0474909,38.17862431,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,93,2.56,2.08,3.38,0,1356.86,2075.95,1519.43,0,12.28,13:05,3/10/2021,91.59166667,9.36,1.404166667,5.765833333,40.73333333,7.855,8415.75,13.07,NA,NA,-122.0474225,38.17989222,Suisun Bay
