Station,Date,Time,SampleDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla,Pheophytin,TotAlkalinity,TotAmmonia,DissAmmonia,DissBromide,DissCalcium,TotChloride,DissChloride,DissNitrateNitrite,DOC,TOC,DON,TON,DissOrthophos,TotPhos,DissSilica,TKN,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom,pHBottom
C10,1975-07-15,15:00:00,NA,NA,NA,71.6,8,NA,NA,NA,95.71,31.65,NA,NA,NA,NA,NA,59,NA,1.11,NA,NA,0.2,1.2,0.09,0.29,17,1.2,NA,23,NA,0.46,778,8.7,NA,22,50,8.2,NA,NA,NA,NA,NA,NA
C10,1975-08-12,16:00:00,NA,NA,NA,87.8,NA,NA,NA,NA,77.19,17.75,NA,0.03,NA,NA,NA,106,NA,1.33,NA,NA,0.8,1,0.12,0.12,18,1,NA,NA,NA,0.56,733,9.4,NA,26,48,7.2,NA,NA,NA,NA,NA,NA
C10,1975-08-26,12:00:00,NA,NA,NA,73.4,2,NA,NA,NA,54.8,20.45,NA,0.01,NA,NA,NA,104,NA,1.22,NA,NA,0.6,1,0.07,0.24,21,1,NA,20,NA,0.75,685,7.3,NA,25,31,7.7,NA,NA,NA,NA,NA,NA
C10,1975-09-11,14:00:00,NA,NA,NA,86,6,NA,NA,NA,23.93,8.49,NA,NA,NA,NA,NA,71,NA,0.92,NA,NA,0.6,0.7,0.06,0.13,16,0.7,NA,38,NA,1.12,471,7.9,NA,22,19,7.8,NA,NA,NA,NA,NA,NA
C10,1975-09-25,14:00:00,NA,NA,NA,93.2,3,NA,NA,NA,24.7,8.88,NA,NA,NA,NA,NA,49,NA,0.7,NA,NA,0.4,0.4,0.06,0.26,14,0.4,NA,38,NA,1.48,379,7.4,NA,23,19,7.8,NA,NA,NA,NA,NA,NA
C10,1975-10-10,14:00:00,NA,NA,NA,62.6,NA,NA,NA,NA,9.11,7.56,NA,0.03,NA,NA,NA,38,NA,0.45,NA,NA,0.5,0.5,0.05,0.22,15,0.5,NA,51,NA,NA,298,8,NA,16,11,8,NA,NA,NA,NA,NA,NA
C10,1975-10-23,13:00:00,NA,NA,NA,66.2,10,NA,NA,NA,9.57,5.48,NA,NA,NA,NA,NA,40,NA,0.42,NA,NA,0.4,0.6,0.02,0.18,12,0.6,NA,74,NA,1.48,321,8.7,NA,14,11,7.5,NA,NA,NA,NA,NA,NA
C10,1975-11-25,15:00:00,NA,NA,NA,69.8,5,NA,NA,NA,5.13,3.77,NA,0.09,NA,NA,NA,69,NA,0.74,NA,NA,NA,0.3,0.06,0.09,13,0.4,NA,66,NA,1.87,454,9.9,NA,11,9,7.7,NA,NA,NA,NA,NA,NA
C10,1975-12-22,13:00:00,NA,NA,NA,57.2,7,NA,NA,NA,2.59,2.18,NA,0.11,NA,NA,NA,48,NA,0.44,NA,NA,0.2,0.3,0.05,0.16,10,0.4,NA,76,NA,1.97,314,10.3,NA,11,6,7.6,NA,NA,NA,NA,NA,NA
C10,1976-01-20,12:00:00,NA,NA,NA,59,4,NA,NA,NA,4.14,2.9,NA,0.25,NA,NA,NA,114,NA,1.02,NA,NA,0.3,0.4,0.1,0.2,15,0.6,NA,38,NA,1.51,738,9.6,NA,11,15,7.5,NA,NA,NA,NA,NA,NA
C10,1976-02-17,11:00:00,NA,NA,NA,62.6,NA,NA,NA,NA,7.1,6.56,NA,0.19,NA,NA,NA,129,NA,1.64,NA,NA,0.3,0.5,0.12,0.12,16,0.7,NA,56,NA,1.44,875,9.2,NA,12,15,7.4,NA,NA,NA,NA,NA,NA
C10,1976-03-09,15:00:00,NA,NA,NA,69.8,7,NA,NA,NA,12.66,4.94,NA,0.13,NA,NA,NA,119,NA,1.53,NA,NA,0.2,0.5,0.1,0.16,15,0.6,NA,48,NA,1.38,814,9.8,NA,15,12,7.8,NA,NA,NA,NA,NA,NA
C10,1976-03-22,14:00:00,NA,NA,NA,71.6,14,NA,NA,NA,14.67,7.33,NA,0.14,NA,NA,NA,124,NA,1.4,NA,NA,0.3,0.6,0.11,0.23,15,0.7,NA,36,NA,1.12,790,9.8,NA,16,24,7.6,NA,NA,NA,NA,NA,NA
C10,1976-04-05,12:00:00,NA,NA,NA,62.6,8,NA,NA,NA,23.93,10.81,NA,NA,NA,NA,NA,146,NA,1.9,NA,NA,0.2,0.8,0.14,0.33,20,0.8,NA,36,NA,0.79,935,9.5,NA,15,33,NA,NA,NA,NA,NA,NA,NA
C10,1976-04-19,14:00:00,NA,NA,NA,82.4,4,NA,NA,NA,56.35,16.6,NA,0.13,NA,NA,NA,148,NA,1.5,NA,NA,0.3,0.9,0.06,0.28,15,1,NA,36,NA,0.75,939,10.8,NA,19,31,8.2,NA,NA,NA,NA,NA,NA
C10,1976-05-06,15:00:00,NA,NA,NA,73.4,NA,NA,NA,NA,81.82,25.86,NA,0.1,NA,NA,NA,178,NA,1.6,NA,NA,0.4,1.2,0.14,0.2,19,1.3,NA,20,NA,0.66,1100,9.3,NA,20,50,8.1,NA,NA,NA,NA,NA,NA
C10,1976-05-20,16:00:00,NA,NA,NA,84.2,6,NA,NA,NA,142.03,31.65,NA,0.06,NA,NA,NA,177,NA,1.2,NA,NA,0.4,1.6,0.11,0.52,14,1.7,NA,25,NA,0.56,1070,14.5,NA,22,34,8.5,NA,NA,NA,NA,NA,NA
C10,1976-06-03,13:00:00,NA,NA,NA,73.4,6,NA,NA,NA,142.03,40.91,NA,0.02,NA,NA,NA,165,NA,0.98,NA,NA,0.2,1.4,0.08,0.47,15,1.4,NA,20,NA,0.56,1030,12.3,NA,20,50,8.5,NA,NA,NA,NA,NA,NA
C10,1976-06-17,14:00:00,NA,NA,NA,95,4,NA,NA,NA,101.89,30.1,NA,0.04,NA,NA,NA,171,NA,1.4,NA,NA,0.5,1.5,0.13,0.58,15,1.5,NA,28,NA,0.79,1050,9.1,NA,26,37,8.2,NA,NA,NA,NA,NA,NA
C10,1976-07-06,18:00:00,NA,NA,NA,89.6,7,NA,NA,NA,253.18,40.91,NA,NA,NA,NA,NA,176,NA,1.2,NA,NA,0.4,1.8,0.06,0.79,13,1.8,NA,15,NA,0.43,1010,14.3,NA,26,70,8.7,NA,NA,NA,NA,NA,NA
C10,1976-07-19,17:00:00,NA,NA,NA,82.4,18,NA,NA,NA,209.95,165.18,NA,0.01,NA,NA,NA,207,NA,1.2,NA,NA,0.4,2,0.1,0.11,12,2,NA,23,NA,0.43,1060,12.6,NA,26,76,8.7,NA,NA,NA,NA,NA,NA
C10,1976-08-03,17:00:00,NA,NA,NA,77,4,NA,NA,NA,142.03,73.33,NA,NA,NA,NA,NA,90,NA,1.3,NA,NA,0.4,1.3,0.14,0.55,15,1.3,NA,13,NA,0.49,915,10.8,NA,24,90,8.4,NA,NA,NA,NA,NA,NA
C10,1976-08-26,11:00:00,NA,NA,NA,84.2,9,NA,NA,NA,34.73,20.26,NA,NA,NA,NA,NA,139,NA,1.6,NA,NA,0.4,0.8,0.15,0.24,21,0.8,NA,41,NA,1.02,905,7.5,NA,24,25,7.7,NA,NA,NA,NA,NA,NA
C10,1976-09-14,15:00:00,NA,NA,NA,87.8,6,NA,NA,NA,34.73,18.53,NA,0.08,NA,NA,NA,123,NA,2,NA,NA,0.4,1.2,0.15,0.2,23,1.3,NA,25,NA,0.69,853,7.1,NA,23,33,8.1,NA,NA,NA,NA,NA,NA
C10,1976-09-27,14:00:00,NA,NA,NA,82.4,6,NA,NA,NA,14.67,18.91,NA,0.48,NA,NA,NA,148,NA,1.7,NA,NA,0.6,1.3,0.16,0.38,22,1.8,NA,51,NA,0.82,936,5.7,NA,22,25,7.8,NA,NA,NA,NA,NA,NA
C10,1976-10-12,14:00:00,NA,NA,NA,84.2,3,NA,NA,NA,6.95,16.79,NA,0.54,NA,NA,NA,173,NA,1.5,NA,NA,0.5,1.3,0.14,0.42,23,1.8,NA,41,NA,1.05,1060,6,NA,21,21,7.8,NA,NA,NA,NA,NA,NA
C10,1976-10-28,15:00:00,NA,NA,NA,77,2,NA,NA,NA,15.44,10.61,NA,0.51,NA,NA,NA,173,NA,1.6,NA,NA,0.6,1,0.14,0.77,23,1.5,NA,51,NA,1.15,1060,8,NA,17,16,8,NA,NA,NA,NA,NA,NA
C10,1976-11-09,13:00:00,NA,NA,NA,80.6,NA,NA,NA,NA,20.84,8.1,NA,0.2,NA,NA,NA,198,NA,1.6,NA,NA,0.5,0.8,0.13,0.25,22,1,NA,46,NA,1.28,1130,8.5,NA,16,17,7.9,NA,NA,NA,NA,NA,NA
C10,1976-12-14,16:00:00,NA,NA,NA,59,4,NA,NA,NA,2.35,2.01,NA,0.31,NA,NA,NA,161,NA,1.6,NA,NA,0.2,0.4,0.1,0.21,21,0.7,NA,76,NA,NA,1100,10,NA,10,7,7.9,NA,NA,NA,NA,NA,NA
C10,1977-01-25,14:00:00,NA,NA,NA,46.4,3,NA,NA,NA,17.6,9.96,NA,0.4,NA,NA,NA,253,NA,2.4,NA,NA,0.4,0.8,0.16,0.29,19,1.2,NA,53,NA,NA,1730,8.8,NA,8,12,NA,NA,NA,NA,NA,NA,NA
C10,1977-02-23,13:00:00,NA,NA,NA,59,5,NA,NA,NA,12.04,5.79,NA,0.29,NA,NA,NA,254,NA,2.2,NA,NA,0.3,0.5,0.09,0.1,20,0.8,NA,61,NA,NA,1490,8.8,NA,14,11,7.9,NA,NA,NA,NA,NA,NA
C10,1977-03-09,13:00:00,NA,NA,NA,55.4,14,NA,NA,NA,11.89,3.98,NA,0.11,NA,NA,NA,190,NA,1.3,NA,NA,0.2,0.4,0.04,0.13,19,0.5,NA,60,NA,1.44,992,9.9,NA,14,11,8,NA,NA,NA,NA,NA,NA
C10,1977-03-28,16:00:00,NA,NA,NA,62.6,20,NA,NA,NA,20.07,6.56,NA,0.18,NA,NA,NA,189,NA,2,NA,NA,0.3,0.6,0.08,0.21,21,0.8,NA,40,NA,1.54,1190,10.3,NA,14,11,8.1,NA,NA,NA,NA,NA,NA
C10,1977-04-12,17:00:00,NA,NA,NA,82.4,6,NA,NA,NA,82.59,23.35,NA,0.03,NA,NA,NA,280,NA,2.2,NA,NA,0.3,1,0.05,0.14,20,1,NA,36,NA,1.21,1610,13,NA,22,17,8.5,NA,NA,NA,NA,NA,NA
C10,1977-04-25,14:00:00,NA,NA,NA,73.4,8,NA,NA,NA,61.75,16.98,NA,0.07,NA,NA,NA,324,NA,1.9,NA,NA,0.2,0.8,0.02,0.16,22,0.9,NA,38,NA,0.98,1680,9.8,NA,22,22,8.2,NA,NA,NA,NA,NA,NA
C10,1977-05-10,15:00:00,NA,NA,NA,59,5,NA,NA,NA,132.76,33.96,NA,0.31,NA,NA,NA,244,NA,2.7,NA,NA,0.3,1.2,0.19,0.4,22,1.5,NA,28,NA,0.69,1560,10.6,NA,18,38,8.2,NA,NA,NA,NA,NA,NA
C10,1977-05-24,13:00:00,NA,NA,NA,73.4,4,NA,NA,NA,172.9,30.88,NA,0.03,NA,NA,NA,270,NA,1.4,NA,NA,0.3,1.1,0.05,0.3,18,1.1,NA,38,NA,0.98,1630,16.4,NA,20,13,8.8,NA,NA,NA,NA,NA,NA
C10,1977-06-06,12:00:00,NA,NA,NA,86,5,NA,NA,NA,213.04,53.26,NA,0.02,NA,NA,NA,292,NA,0.74,NA,NA,0.2,1.2,0.01,0.17,20,1.2,NA,32,NA,0.75,1530,17.8,NA,26,23,8.8,NA,NA,NA,NA,NA,NA
C10,1977-06-22,13:00:00,NA,NA,NA,100.4,3,NA,NA,NA,142.03,31.65,NA,NA,NA,NA,NA,383,NA,0.78,NA,NA,0.4,1.6,0.01,0.44,20,1.6,NA,40,NA,0.79,1700,17.8,NA,28,35,8.6,NA,NA,NA,NA,NA,NA
C10,1977-07-06,15:00:00,NA,NA,NA,87.8,5,NA,NA,NA,111.15,41.68,NA,NA,NA,NA,NA,325,NA,1.2,NA,NA,0.2,1.1,0.04,0.29,21,1.1,NA,28,NA,0.79,1640,15.9,NA,26,26,8.6,NA,NA,NA,NA,NA,NA
C10,1977-07-21,12:00:00,NA,NA,NA,93.2,14,NA,NA,NA,314.93,55.57,NA,0.08,NA,NA,NA,382,NA,0.82,NA,NA,0.4,1.6,0.01,0.27,15,1.7,NA,20,NA,0.46,1850,19.3,NA,25,54,8.8,NA,NA,NA,NA,NA,NA
C10,1977-08-08,17:00:00,NA,NA,NA,87.8,10,NA,NA,NA,302.58,60.98,NA,0.04,NA,NA,NA,311,NA,1.3,NA,NA,0.5,1.8,0.04,0.23,10,1.8,NA,16,NA,NA,1680,21.1,NA,27,52,9.1,NA,NA,NA,NA,NA,NA
C10,1977-08-22,16:00:00,NA,NA,NA,95,NA,NA,NA,NA,370.5,74.1,NA,0.02,NA,NA,NA,295,NA,1.2,NA,NA,0.5,1.6,0.09,0.44,16,1.6,NA,32,NA,NA,1690,22.3,NA,28,27,8.4,NA,NA,NA,NA,NA,NA
C10,1977-09-01,12:00:00,NA,NA,NA,77,NA,NA,NA,NA,209.95,100.34,NA,0.2,NA,NA,NA,357,NA,0.73,NA,NA,0.3,1.8,0.01,0.35,16,2,NA,15,NA,0.59,1750,16.8,NA,24,35,8.7,NA,NA,NA,NA,NA,NA
C10,1977-09-20,15:00:00,NA,NA,NA,77,7,NA,NA,NA,111.15,16.21,NA,0.37,NA,NA,NA,274,NA,1.3,NA,NA,0.3,1.6,0.1,0.26,24,2,NA,30,NA,NA,1660,11.6,NA,23,21,8.2,NA,NA,NA,NA,NA,NA
C10,1977-10-05,15:00:00,NA,NA,NA,78.8,8,NA,NA,NA,237.74,40.14,NA,0.04,NA,NA,NA,295,NA,1.4,NA,NA,0.5,2,0.01,0.46,22,2,NA,25,NA,NA,1740,17.9,NA,22,24,8.5,NA,NA,NA,NA,NA,NA
C10,1977-10-17,14:00:00,NA,NA,NA,77,NA,NA,NA,NA,200.69,44.77,NA,0.61,NA,NA,NA,277,NA,1.3,NA,NA,0.6,1.6,0.03,0.32,28,2.2,NA,36,NA,0.89,1670,10.8,NA,21,17,8.2,NA,NA,NA,NA,NA,NA
C10,1977-11-15,13:00:00,NA,NA,NA,73.4,5,NA,NA,NA,8.65,11.5,NA,0.47,NA,NA,NA,155,NA,4.6,NA,NA,0.4,0.7,0.05,0.25,26,1.2,NA,44,NA,NA,1080,6.7,NA,15,9,7.9,NA,NA,NA,NA,NA,NA
C10,1977-12-14,14:00:00,NA,NA,NA,57.2,9,NA,NA,NA,6.95,16.21,NA,0.77,NA,NA,NA,163,NA,2,NA,NA,0.4,0.7,0.12,0.5,23,1.5,NA,50,NA,NA,1010,7.4,NA,11,15,7.8,NA,NA,NA,NA,NA,NA
C10,1978-01-11,13:00:00,NA,NA,NA,60.8,8,NA,NA,NA,16.06,20.53,NA,0.74,NA,NA,NA,78,NA,1.7,NA,NA,1.1,1.3,0.17,0.79,19,2,NA,22,NA,NA,624,6.4,NA,13,54,NA,NA,NA,NA,NA,NA,NA
C10,1978-02-14,17:00:00,NA,NA,NA,60.8,NA,NA,NA,NA,6.18,7.72,NA,0.38,NA,NA,NA,40,NA,1.8,NA,NA,NA,1,0.17,0.27,14,1.4,NA,16,NA,NA,384,9,NA,10,58,7.2,NA,NA,NA,NA,NA,NA
C10,1978-03-14,14:00:00,NA,NA,NA,68,6,NA,NA,NA,13.59,1.23,NA,0.07,NA,NA,NA,30,NA,0.64,NA,NA,0.6,0.7,0.13,0.25,15,0.8,NA,21,NA,0.69,325,8.2,NA,15,33,7.4,NA,NA,NA,NA,NA,NA
C10,1978-04-03,19:00:00,NA,NA,NA,59,2,NA,NA,NA,12.97,5.09,NA,0.1,NA,NA,NA,28,NA,0.34,NA,NA,0.3,0.4,0.08,0.15,12,0.5,NA,NA,NA,NA,286,8.7,NA,15,17,7.5,NA,NA,NA,NA,NA,NA
C10,1978-04-17,18:00:00,NA,NA,NA,62.6,3,NA,NA,NA,10.65,5.21,NA,0.06,NA,NA,NA,NA,NA,0.32,NA,NA,0.4,0.4,NA,NA,13,0.5,NA,33,NA,NA,252,7.8,NA,15,21,7.3,NA,NA,NA,NA,NA,NA
C10,1978-05-01,17:00:00,NA,NA,NA,80.6,9,NA,NA,NA,2.16,2.12,NA,0.08,NA,NA,NA,19,NA,0.27,NA,NA,0.4,0.5,0.12,0.2,14,0.6,NA,40,NA,1.05,219,7,NA,18,20,7.1,NA,NA,NA,NA,NA,NA
C10,1978-05-16,10:00:00,NA,NA,NA,71.6,16,NA,NA,NA,14.36,15.17,NA,0.05,NA,NA,NA,NA,NA,0.2,NA,NA,0.3,0.6,NA,NA,13,0.6,NA,28,NA,NA,223,8.5,NA,18,26,6.9,NA,NA,NA,NA,NA,NA
C10,1978-06-12,13:00:00,NA,NA,NA,91.4,5,NA,NA,NA,14.2,7.56,NA,0.03,NA,NA,NA,24,NA,0.31,NA,NA,0.2,0.6,0.06,0.17,12,0.6,NA,20,NA,0.59,219,7.7,NA,21,27,7.5,NA,NA,NA,NA,NA,NA
C10,1978-06-26,14:00:00,NA,NA,NA,86,3,NA,NA,NA,7.1,2.51,NA,0.03,NA,NA,NA,NA,NA,0.44,NA,NA,0.3,0.6,NA,NA,14,0.6,NA,25,NA,0.75,355,8,NA,22,23,7.8,NA,NA,NA,NA,NA,NA
C10,1978-07-10,13:00:00,NA,NA,NA,87.8,5,NA,NA,NA,28.41,18.83,NA,NA,NA,NA,NA,79,NA,0.81,NA,NA,0.4,0.8,0.09,0.22,17,0.8,NA,25,NA,0.89,589,7.2,NA,25,23,7.8,NA,NA,NA,NA,NA,NA
C10,1978-07-24,13:00:00,NA,NA,NA,98.6,8,NA,NA,NA,36.43,20.07,NA,0.04,NA,NA,NA,NA,NA,1.2,NA,NA,0.5,1.1,NA,NA,18,1.1,NA,24,NA,0.69,814,7.5,NA,27,32,7.7,NA,NA,NA,NA,NA,NA
C10,1978-08-08,13:00:00,NA,NA,NA,102.2,6,NA,NA,NA,51.87,26.86,NA,0.06,NA,NA,NA,127,NA,1.8,NA,NA,0.4,1.3,0.23,0.4,25,1.4,NA,22,NA,0.66,917,6.9,NA,28,31,7.5,NA,NA,NA,NA,NA,NA
C10,1978-08-21,13:00:00,NA,NA,NA,84.2,7,NA,NA,NA,58.66,21.46,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,0.4,1.2,NA,NA,17,1.2,NA,22,NA,0.75,828,8.2,NA,24,36,7.8,NA,NA,NA,NA,NA,NA
C10,1978-09-11,18:00:00,NA,NA,NA,77,6,NA,NA,NA,27.79,15.28,NA,0.12,NA,NA,NA,49,NA,0.92,NA,NA,0.5,1.1,0.08,0.33,16,1.2,NA,30,NA,0.75,405,7.8,NA,21,24,7.6,NA,NA,NA,NA,NA,NA
C10,1978-09-25,18:00:00,NA,NA,NA,84.2,1,NA,NA,NA,54.34,17.44,NA,0.04,NA,NA,NA,NA,NA,0.48,NA,NA,0.5,1,NA,NA,13,1,NA,NA,NA,NA,351,8.9,NA,21,21,7.3,NA,NA,NA,NA,NA,NA
C10,1978-10-10,18:00:00,NA,NA,NA,78.8,NA,NA,NA,NA,11.73,10.96,NA,0.15,NA,NA,NA,43,NA,0.63,NA,NA,0.3,0.6,0.12,0.24,14,0.8,NA,41,NA,NA,322,7.7,NA,19,20,7.4,NA,NA,NA,NA,NA,NA
C10,1978-10-23,16:00:00,NA,NA,NA,77,NA,NA,NA,NA,7.9,5.8,NA,0.2,NA,NA,NA,NA,NA,0.49,NA,NA,0.3,0.6,NA,NA,11,0.8,NA,36,NA,NA,252,8,NA,16,17,7.3,NA,NA,NA,NA,NA,NA
C10,1978-11-20,14:00:00,NA,NA,NA,53.6,10,NA,NA,NA,8.27,3.3,NA,0.3,NA,NA,NA,62,NA,0.68,NA,NA,0.2,0.5,0.09,0.61,12,0.8,NA,56,NA,1.51,442,9.5,NA,12,9,7.6,NA,NA,NA,NA,NA,NA
C10,1978-12-04,14:00:00,NA,NA,NA,55.4,NA,NA,NA,NA,12.04,5.09,NA,0.24,NA,NA,NA,61,NA,0.64,NA,NA,0.3,0.5,0.09,0.19,11,0.7,NA,64,NA,1.74,460,10.3,NA,10,9,7.5,NA,NA,NA,NA,NA,NA
C10,1979-01-16,14:00:00,NA,NA,NA,55.4,12,NA,NA,NA,9.27,10.43,NA,NA,0.24,NA,NA,26,NA,0.91,NA,NA,1.1,1.1,0.16,0.32,12,1.3,NA,22,NA,NA,264,9.1,NA,10,40,7.1,NA,NA,NA,NA,NA,NA
C10,1979-02-15,13:00:00,NA,NA,NA,60.8,NA,NA,NA,NA,4.02,5.16,NA,NA,NA,NA,NA,41,NA,0.59,NA,NA,NA,NA,0.06,0.15,11,0.5,NA,50,NA,NA,338,10.1,NA,11,15,7.4,NA,NA,NA,NA,NA,NA
C10,1979-03-05,15:00:00,NA,NA,NA,68,5,NA,NA,NA,7.72,3.63,NA,NA,0.12,NA,NA,26,NA,0.45,NA,NA,0.6,NA,0.1,0.18,10,0.7,NA,46,NA,NA,274,9.4,NA,13,23,7.3,NA,NA,NA,NA,NA,NA
C10,1979-03-19,13:00:00,NA,NA,NA,64.4,2,NA,NA,NA,6.18,6.1,NA,NA,0.07,NA,NA,NA,NA,0.62,NA,NA,0.3,NA,NA,NA,13,0.4,NA,52,NA,NA,341,10.3,NA,12,13,7.3,NA,NA,NA,NA,NA,NA
C10,1979-04-02,14:00:00,NA,NA,NA,69.8,12,NA,NA,NA,10.81,3.79,NA,NA,0.02,NA,NA,44,NA,0.57,NA,NA,0.6,NA,0.07,0.16,15,0.6,NA,33,NA,0.95,375,9.7,NA,14,21,7.6,NA,NA,NA,NA,NA,NA
C10,1979-04-17,12:00:00,NA,NA,NA,62.6,11,NA,NA,NA,28.1,10.35,NA,NA,0.3,NA,NA,NA,NA,1.3,NA,NA,0.5,NA,NA,NA,17,1.3,NA,40,NA,0.89,913,8.2,NA,17,17,7.6,NA,NA,NA,NA,NA,NA
C10,1979-05-01,13:00:00,NA,NA,NA,68,NA,NA,NA,NA,31.13,11.81,NA,NA,0.13,NA,NA,105,NA,1.6,NA,NA,0.7,NA,0.16,0.44,20,1.4,NA,30,NA,0.85,784,8.3,NA,18,31,7.7,NA,NA,NA,NA,NA,NA
C10,1979-05-21,18:00:00,NA,NA,NA,69.8,12,NA,NA,NA,45.08,15.6,NA,NA,0.05,NA,NA,NA,NA,0.82,NA,NA,0.4,NA,NA,NA,21,1,NA,28,NA,NA,547,9.6,NA,21,17,7.8,NA,NA,NA,NA,NA,NA
C10,1979-06-04,19:00:00,NA,NA,NA,84.2,NA,NA,NA,NA,33.97,13.28,NA,NA,0.22,NA,NA,53,NA,0.79,NA,NA,0.1,NA,0.12,0.29,16,0.7,NA,28,NA,NA,430,7.5,NA,24,31,7.7,NA,NA,NA,NA,NA,NA
C10,1979-06-18,17:00:00,NA,NA,NA,78.8,3,NA,NA,NA,40.14,9.88,NA,NA,0.12,NA,NA,NA,NA,1.1,NA,NA,0.2,NA,NA,NA,18,1.1,NA,28,NA,NA,632,9.2,NA,22,27,7.8,NA,NA,NA,NA,NA,NA
C10,1979-07-02,16:00:00,NA,NA,NA,84.2,6,NA,NA,NA,79.86,19.04,NA,NA,NA,NA,NA,119,NA,1.4,NA,NA,0.5,NA,0.16,0.38,20,1.2,NA,32,NA,0.69,814,10,NA,25,29,NA,NA,NA,NA,NA,NA,NA
C10,1979-07-16,16:00:00,NA,NA,NA,96.8,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,1.3,NA,NA,0.4,NA,NA,NA,22,1.6,NA,22,NA,NA,796,9.2,NA,27,42,7.9,NA,NA,NA,NA,NA,NA
C10,1979-08-13,14:00:00,NA,NA,NA,77,7,NA,NA,NA,47.43,11.21,NA,NA,0.05,NA,NA,116,NA,1.3,NA,NA,0.6,NA,0.15,0.39,19,1.5,NA,21,NA,NA,772,7.6,NA,25,28,7.9,NA,NA,NA,NA,NA,NA
