SampleDate,StationCode,Factor,Taxon,Algal Type,Genus,Unit Abundance,Total Cells Counted,GALD 1,Biovolume 1,Sample Type
7/18/2018,D22,901.46,Plagioselmis prolonga,Cryptophyte,Plagioselmis,1,1,6.5,119.46,Surface
7/18/2018,D22,901.46,Eucapsis microscopica,Cyanobacterium,Eucapsis,428,958,0.8,0.18,Surface
7/19/2018,D19,281.71,Cocconeis placentula,Pennate Diatom,Cocconeis,3,3,24.1,691.97,Surface
7/19/2018,D19,281.71,Cyclotella sp.,Centric Diatom,Cyclotella,1,1,7.4,159.13,Surface
7/19/2018,D19,281.71,Chlorella sp.,Green Alga,Chlorella,8,8,3.1,7.24,Surface
7/19/2018,D19,281.71,Drepanochloris nannoselene,Green Alga,Drepanochloris,3,3,3.7,2.64,Surface
7/19/2018,D19,281.71,Cryptomonas sp.,Cryptophyte,Cryptomonas,1,1,16.7,756.28,Surface
7/19/2018,D19,281.71,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,1,1,8.3,232.66,Surface
7/19/2018,D19,281.71,cf. Anabaena sp.,Cyanobacterium,Anabaena,3,20,5.6,40.14,Surface
7/19/2018,D19,281.71,Chroococcus minutus,Cyanobacterium,Chroococcus,1,2,5.6,91.95,Surface
7/19/2018,D19,281.71,Eucapsis microscopica,Cyanobacterium,Eucapsis,424,852,0.8,0.18,Surface
7/19/2018,D12,751.22,Chlorella sp.,Green Alga,Chlorella,5,5,1.9,3.59,Surface
7/19/2018,D12,751.22,cf. Anabaena sp.,Cyanobacterium,Anabaena,1,40,6.5,46.59,Surface
7/19/2018,D12,751.22,Chroococcus minutus,Cyanobacterium,Chroococcus,27,33,5.6,91.95,Surface
7/19/2018,D12,751.22,Eucapsis microscopica,Cyanobacterium,Eucapsis,446,906,0.8,0.18,Surface
7/17/2018,C3A,135.29,Achnanthidium sp.,Pennate Diatom,Achnanthidium,1,1,14.8,197.84,Surface
7/17/2018,C3A,135.29,Asterionella formosa,Pennate Diatom,Asterionella,1,1,35.2,161.55,Surface
7/17/2018,C3A,135.29,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,11.1,899.95,Surface
7/17/2018,C3A,135.29,Encyonema sp.,Pennate Diatom,Encyonema,1,1,25.9,262.00,Surface
7/17/2018,C3A,135.29,Nitzschia palea,Pennate Diatom,Nitzschia,1,1,22.2,188.92,Surface
7/17/2018,C3A,135.29,Eucapsis microscopica,Cyanobacterium,Eucapsis,400,832,0.8,0.18,Surface
7/16/2018,C10A,383.31,Cyclotella sp.,Centric Diatom,Cyclotella,31,31,14.8,1087.16,Surface
7/16/2018,C10A,383.31,cf. Encyonema sp.,Pennate Diatom,Encyonema,1,1,37,848.85,Surface
7/16/2018,C10A,383.31,Geissleria sp.,Pennate Diatom,Geissleria,1,1,22.2,838.66,Surface
7/16/2018,C10A,383.31,Navicula sp.,Pennate Diatom,Navicula,2,2,37,1142.40,Surface
7/16/2018,C10A,383.31,Nitzschia sp.,Pennate Diatom,Nitzschia,4,4,27.8,85.68,Surface
7/16/2018,C10A,383.31,Skeletonema sp.,Centric Diatom,Skeletonema,12,12,7.4,53.88,Surface
7/16/2018,C10A,383.31,Chlorella sp.,Green Alga,Chlorella,23,23,3.7,14.14,Surface
7/16/2018,C10A,383.31,Closteriopsis acicularis,Green Alga,Closteriopsis,1,1,18.5,122.53,Surface
7/16/2018,C10A,383.31,Drepanochloris nannoselene,Green Alga,Drepanochloris,1,1,5.6,18.57,Surface
7/16/2018,C10A,383.31,Lagerheimia genevensis,Green Alga,Lagerheimia,1,1,3.7,6.99,Surface
7/16/2018,C10A,383.31,Monoraphidium sp.,Green Alga,Monoraphidium,1,1,40.7,17.26,Surface
7/16/2018,C10A,383.31,Chrysococcus sp.,Chrysophyte,Chrysococcus,1,1,4.6,50.96,Surface
7/16/2018,C10A,383.31,Chroococcus minimus,Cyanobacterium,Chroococcus,3,6,2.8,11.49,Surface
7/16/2018,C10A,383.31,Chroococcus minutus,Cyanobacterium,Chroococcus,2,4,4.6,38.79,Surface
7/16/2018,C10A,383.31,Eucapsis microscopica,Cyanobacterium,Eucapsis,366,745,0.8,0.18,Surface
7/16/2018,C10A,383.31,cf. Microcystis sp.,Cyanobacterium,Microcystis,2,2,4.6,50.96,Surface
7/16/2018,C10A,383.31,Pseudanabaena sp.,Cyanobacterium,Pseudanabaena,1,33,3.7,9.36,Surface
7/16/2018,C9,191.65,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,12,1051.80,Surface
7/16/2018,C9,191.65,Nitzschia sp.,Pennate Diatom,Nitzschia,1,1,20.4,79.97,Surface
7/16/2018,C9,191.65,Chlorella sp.,Green Alga,Chlorella,13,13,3.7,17.16,Surface
7/16/2018,C9,191.65,cf. Anabaena sp.,Cyanobacterium,Anabaena,4,100,9.3,58.06,Surface
7/16/2018,C9,191.65,Chroococcus minutus,Cyanobacterium,Chroococcus,1,2,4.6,50.96,Surface
7/16/2018,C9,191.65,Eucapsis microscopica,Cyanobacterium,Eucapsis,400,813,0.8,0.18,Surface
7/16/2018,C9,191.65,Pseudanabaena sp.,Cyanobacterium,Pseudanabaena,1,32,2.5,7.09,Surface
7/9/2018,D26,153.32,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,5.6,91.13,Surface
7/9/2018,D26,153.32,Nitzschia sp.,Pennate Diatom,Nitzschia,1,1,14.8,76.66,Surface
7/9/2018,D26,153.32,Chlorella sp.,Green Alga,Chlorella,17,17,3.7,11.49,Surface
7/9/2018,D26,153.32,Chroococcus minutus,Cyanobacterium,Chroococcus,1,2,4.6,50.96,Surface
7/9/2018,D26,153.32,Eucapsis microscopica,Cyanobacterium,Eucapsis,404,833,0.8,0.18,Surface
7/12/2018,D41,127.77,Fragilaria sp.,Pennate Diatom,Fragilaria,1,1,40.7,115.40,Surface
7/12/2018,D41,127.77,Chlorella sp.,Green Alga,Chlorella,5,5,1.9,3.59,Surface
7/12/2018,D41,127.77,Plagioselmis prolonga,Cryptophyte,Plagioselmis,4,4,5.6,53.79,Surface
7/12/2018,D41,127.77,Teleaulax sp.,Cryptophyte,Teleaulax,5,5,11.1,424.74,Surface
7/12/2018,D41,127.77,Eucapsis microscopica,Cyanobacterium,Eucapsis,400,818,0.8,0.18,Surface
7/12/2018,D41A,418.15,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,7.4,240.85,Surface
7/12/2018,D41A,418.15,Chlorella sp.,Green Alga,Chlorella,3,3,3.7,15.60,Surface
7/12/2018,D41A,418.15,Eucapsis microscopica,Cyanobacterium,Eucapsis,399,831,0.8,0.18,Surface
7/12/2018,NZ002,287.48,Coscinodiscus sp.,Centric Diatom,Coscinodiscus,1,1,48.2,37223.20,Surface
7/12/2018,NZ002,287.48,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,11.1,899.95,Surface
7/12/2018,NZ002,287.48,Chlorella sp.,Green Alga,Chlorella,1,1,1.9,3.59,Surface
7/12/2018,NZ002,287.48,Eucapsis microscopica,Cyanobacterium,Eucapsis,403,815,0.8,0.18,Surface
7/12/2018,NZ004,418.15,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,4.6,61.49,Surface
7/12/2018,NZ004,418.15,Thalassiosira sp.,Centric Diatom,Thalassiosira,1,1,11.1,716.09,Surface
7/12/2018,NZ004,418.15,Chlorella sp.,Green Alga,Chlorella,1,1,2.8,11.49,Surface
7/12/2018,NZ004,418.15,Eucapsis microscopica,Cyanobacterium,Eucapsis,407,837,0.8,0.18,Surface
7/11/2018,NZ032,574.96,Thalassiosira sp.,Centric Diatom,Thalassiosira,1,1,24.1,6751.27,Surface
7/11/2018,NZ032,574.96,Eucapsis microscopica,Cyanobacterium,Eucapsis,401,818,0.8,0.18,Surface
7/18/2018,NZ068,191.65,Cocconeis placentula,Pennate Diatom,Cocconeis,1,1,14.8,331.98,Surface
7/18/2018,NZ068,191.65,Cyclotella sp.,Centric Diatom,Cyclotella,1,1,14.8,1599.91,Surface
7/18/2018,NZ068,191.65,Nitzschia sp.,Pennate Diatom,Nitzschia,1,1,18.5,95.83,Surface
7/18/2018,NZ068,191.65,Chlorella sp.,Green Alga,Chlorella,7,7,2.8,7.24,Surface
7/18/2018,NZ068,191.65,Plagioselmis prolonga,Cryptophyte,Plagioselmis,4,4,7.4,146.24,Surface
7/18/2018,NZ068,191.65,Eucapsis microscopica,Cyanobacterium,Eucapsis,389,787,0.8,0.18,Surface
7/18/2018,NZ068,191.65,Merismopedia sp.,Cyanobacterium,Merismopedia,1,8,1.9,6.86,Surface
7/11/2018,D6,229.98,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,22.2,4296.54,Surface
7/11/2018,D6,229.98,cf. Thalassiosira sp.,Centric Diatom,Thalassiosira,1,1,24.1,5063.45,Surface
7/11/2018,D6,229.98,Chlorella sp.,Green Alga,Chlorella,2,2,2.8,7.24,Surface
7/11/2018,D6,229.98,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,1,1,9.3,337.38,Surface
7/11/2018,D6,229.98,Eucapsis microscopica,Cyanobacterium,Eucapsis,419,868,0.8,0.18,Surface
7/11/2018,D7,707.65,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,13,982.22,Surface
7/11/2018,D7,707.65,Chlorella sp.,Green Alga,Chlorella,6,6,1.9,3.59,Surface
7/11/2018,D7,707.65,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,1,1,9.3,337.38,Surface
7/11/2018,D7,707.65,Plagioselmis prolonga,Cryptophyte,Plagioselmis,1,1,5.6,76.35,Surface
7/11/2018,D7,707.65,Eucapsis microscopica,Cyanobacterium,Eucapsis,404,829,0.8,0.18,Surface
7/10/2018,D8,255.54,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,6.5,185.83,Surface
7/10/2018,D8,255.54,Chlorella sp.,Green Alga,Chlorella,1,1,1.9,3.59,Surface
7/10/2018,D8,255.54,Eucapsis microscopica,Cyanobacterium,Eucapsis,421,854,0.8,0.18,Surface
7/10/2018,D10,287.48,Chlorella sp.,Green Alga,Chlorella,5,5,3.7,9.20,Surface
7/10/2018,D10,287.48,Eucapsis microscopica,Cyanobacterium,Eucapsis,395,823,0.8,0.18,Surface
8/8/2018,NZS42,511.08,Chlorella sp.,Green Alga,Chlorella,2,2,1.9,3.59,Surface
8/8/2018,NZS42,511.08,Eucapsis microscopica,Cyanobacterium,Eucapsis,410,836,0.8,0.18,Surface
8/9/2018,NZ002,563.41,Chlorella sp.,Green Alga,Chlorella,4,4,2.4,5.58,Surface
8/9/2018,NZ002,563.41,Eucapsis microscopica,Cyanobacterium,Eucapsis,445,894,0.8,0.18,Surface
8/7/2018,EZ6,901.46,Eucapsis microscopica,Cyanobacterium,Eucapsis,418,850,0.8,0.18,Surface
8/2/2018,NZ068,281.71,Cocconeis placentula,Pennate Diatom,Cocconeis,1,1,14.8,663.96,Surface
8/2/2018,NZ068,281.71,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,8,201.06,Surface
8/2/2018,NZ068,281.71,Chlorella sp.,Green Alga,Chlorella,2,2,1.9,3.59,Surface
8/2/2018,NZ068,281.71,Eucapsis microscopica,Cyanobacterium,Eucapsis,402,806,0.8,0.18,Surface
8/8/2018,NZ032,901.46,cf. Chlorella sp.,Green Alga,Chlorella,3,3,2.4,5.58,Surface
8/8/2018,NZ032,901.46,Chlorella sp.,Green Alga,Chlorella,2,2,1.9,3.59,Surface
8/8/2018,NZ032,901.46,Eucapsis microscopica,Cyanobacterium,Eucapsis,454,916,0.8,0.18,Surface
8/9/2018,NZ004,409.75,Chlorella sp.,Green Alga,Chlorella,8,8,1.9,3.59,Surface
8/9/2018,NZ004,409.75,Eucapsis microscopica,Cyanobacterium,Eucapsis,412,836,0.8,0.18,Surface
8/9/2018,NZ004,409.75,cf. Strobilidium sp.,Ciliate,Strobilidium,1,1,24.1,7329.08,Surface
8/6/2018,P8,450.73,Coscinodiscus sp.,Centric Diatom,Coscinodiscus,1,1,44.4,25856.63,Surface
8/6/2018,P8,450.73,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,8.3,216.42,Surface
8/6/2018,P8,450.73,cf. Skeletonema sp.,Centric Diatom,Skeletonema,1,1,5.6,34.48,Surface
8/6/2018,P8,450.73,Chlorella sp.,Green Alga,Chlorella,9,9,1.9,3.59,Surface
8/6/2018,P8,450.73,Plagioselmis lacustris,Cryptophyte,Plagioselmis,1,1,13.5,1087.85,Surface
8/6/2018,P8,450.73,Eucapsis microscopica,Cyanobacterium,Eucapsis,396,806,0.8,0.18,Surface
8/6/2018,MD10A,375.61,Aulacoseira ambigua,Centric Diatom,Aulacoseira,14,14,35.2,5866.34,Surface
8/6/2018,MD10A,375.61,Aulacoseira granulata,Centric Diatom,Aulacoseira,6,6,33.3,2132.97,Surface
8/6/2018,MD10A,375.61,Cocconeis sp.,Pennate Diatom,Cocconeis,2,2,19.1,435.19,Surface
8/6/2018,MD10A,375.61,cf. Cyclotella sp.,Centric Diatom,Cyclotella,2,2,4.6,46.53,Surface
8/6/2018,MD10A,375.61,Chlorella sp.,Green Alga,Chlorella,17,17,1.9,3.59,Surface
8/6/2018,MD10A,375.61,Monoraphidium contortum,Green Alga,Monoraphidium,1,1,11.1,9.82,Surface
8/6/2018,MD10A,375.61,Schroederia robusta,Green Alga,Schroederia,1,1,29.6,212.17,Surface
8/6/2018,MD10A,375.61,Plagioselmis lacustris,Cryptophyte,Plagioselmis,1,1,12.4,821.19,Surface
8/6/2018,MD10A,375.61,Chroococcus minimus,Cyanobacterium,Chroococcus,6,12,1.9,3.59,Surface
8/6/2018,MD10A,375.61,Chroococcus minutus,Cyanobacterium,Chroococcus,1,1,5.6,91.95,Surface
8/6/2018,MD10A,375.61,Eucapsis microscopica,Cyanobacterium,Eucapsis,362,732,0.8,0.18,Surface
8/2/2018,D4,500.81,Chlorella sp.,Green Alga,Chlorella,4,4,1.9,3.59,Surface
8/2/2018,D4,500.81,Eucapsis microscopica,Cyanobacterium,Eucapsis,408,816,0.8,0.18,Surface
8/1/2018,C10A,281.71,Cyclotella cf. distinguenda,Centric Diatom,Cyclotella,9,9,18.5,1898.92,Surface
8/1/2018,C10A,281.71,Cyclotella sp.,Centric Diatom,Cyclotella,5,5,11.1,306.42,Surface
8/1/2018,C10A,281.71,Navicula gregaria,Pennate Diatom,Navicula,2,2,29.6,466.49,Surface
8/1/2018,C10A,281.71,Nitzschia palea,Pennate Diatom,Nitzschia,1,1,32.4,417.31,Surface
8/1/2018,C10A,281.71,Nitzschia sp.,Pennate Diatom,Nitzschia,1,1,20.4,116.99,Surface
8/1/2018,C10A,281.71,Ankistrodesmus sp.,Green Alga,Ankistrodesmus,1,10,14.8,8.43,Surface
8/1/2018,C10A,281.71,cf. Chlamydomonas sp.,Green Alga,Chlamydomonas,2,2,5.6,91.95,Surface
8/1/2018,C10A,281.71,Chlorella sp.,Green Alga,Chlorella,21,21,1.9,3.59,Surface
8/1/2018,C10A,281.71,Crucigenia sp.,Green Alga,Crucigenia,1,4,3.7,50.65,Surface
8/1/2018,C10A,281.71,Chroococcus minutus,Cyanobacterium,Chroococcus,29,36,5.6,65.45,Surface
8/1/2018,C10A,281.71,Cuspidothrix sp.,Cyanobacterium,Cuspidothrix,1,28,7.4,215.69,Surface
8/1/2018,C10A,281.71,Eucapsis microscopica,Cyanobacterium,Eucapsis,415,840,0.8,0.18,Surface
8/1/2018,C10A,281.71,Merismopedia tenuissima,Cyanobacterium,Merismopedia,1,8,1.3,2.20,Surface
8/1/2018,C9,250.41,Cocconeis placentula,Pennate Diatom,Cocconeis,1,1,12,320.82,Surface
8/1/2018,C9,250.41,Nitzschia sp.,Pennate Diatom,Nitzschia,1,1,17.6,76.38,Surface
8/1/2018,C9,250.41,Chlorella sp.,Green Alga,Chlorella,22,22,1.9,3.59,Surface
8/1/2018,C9,250.41,Chroococcus minimus,Cyanobacterium,Chroococcus,3,6,1.9,3.59,Surface
8/1/2018,C9,250.41,Chroococcus minutus,Cyanobacterium,Chroococcus,34,41,5.6,65.45,Surface
8/1/2018,C9,250.41,Eucapsis microscopica,Cyanobacterium,Eucapsis,375,756,0.8,0.18,Surface
8/1/2018,C9,250.41,Pseudanabaena arcuata,Cyanobacterium,Pseudanabaena,1,6,3.1,4.11,Surface
8/2/2018,C3A,281.71,Ulnaria ulna,Pennate Diatom,Ulnaria,1,1,122.2,3493.51,Surface
8/2/2018,C3A,281.71,Chlorella sp.,Green Alga,Chlorella,12,12,2.4,4.85,Surface
8/2/2018,C3A,281.71,Chroococcus minimus,Cyanobacterium,Chroococcus,1,2,1.9,3.59,Surface
8/2/2018,C3A,281.71,Eucapsis microscopica,Cyanobacterium,Eucapsis,411,840,0.8,0.18,Surface
8/7/2018,EZ2,901.46,Chlorella sp.,Green Alga,Chlorella,2,2,2.4,7.24,Surface
8/7/2018,EZ2,901.46,Plagioselmis lacustris,Cryptophyte,Plagioselmis,1,1,10.2,479.38,Surface
8/7/2018,EZ2,901.46,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,1,1,11.1,506.42,Surface
8/7/2018,EZ2,901.46,Eucapsis microscopica,Cyanobacterium,Eucapsis,513,1032,0.8,0.18,Surface
8/6/2018,D16,219.03,Aulacoseira sp. ,Centric Diatom,Aulacoseira,2,2,18.5,1790.22,Surface
8/6/2018,D16,219.03,cf. Cyclotella sp.,Centric Diatom,Cyclotella,2,2,7.4,132.89,Surface
8/6/2018,D16,219.03,Nitzschia sp.,Pennate Diatom,Nitzschia,1,1,14.8,39.37,Surface
8/6/2018,D16,219.03,Chlorella sp.,Green Alga,Chlorella,10,10,2.8,6.37,Surface
8/6/2018,D16,219.03,Eucapsis microscopica,Cyanobacterium,Eucapsis,400,816,0.8,0.18,Surface
8/8/2018,D6,255.54,cf. Cyclotella sp.,Centric Diatom,Cyclotella,5,5,14.8,446.56,Surface
8/8/2018,D6,255.54,Thalassiosira sp.,Centric Diatom,Thalassiosira,1,1,48.2,37223.20,Surface
8/8/2018,D6,255.54,Eucapsis microscopica,Cyanobacterium,Eucapsis,423,857,0.8,0.18,Surface
8/8/2018,D7,459.97,cf. Cyclotella sp.,Centric Diatom,Cyclotella,2,2,5.6,91.13,Surface
8/8/2018,D7,459.97,cf. Kephyrion sp.,Chrysophyte,Kephyrion,1,1,4.6,18.88,Surface
8/8/2018,D7,459.97,Eucapsis microscopica,Cyanobacterium,Eucapsis,405,819,0.8,0.18,Surface
8/7/2018,D8,383.31,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,3.7,30.11,Surface
8/7/2018,D8,383.31,Chlorella sp.,Green Alga,Chlorella,6,6,3.7,9.20,Surface
8/7/2018,D8,383.31,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,3,3,10.2,327.95,Surface
8/7/2018,D8,383.31,Eucapsis microscopica,Cyanobacterium,Eucapsis,422,853,0.8,0.18,Surface
8/7/2018,D8,383.31,Gymnodinium sp.,Dinoflagellate,Gymnodinium,1,1,38.9,9224.25,Surface
8/7/2018,D10,383.31,Nitzschia cf. ligowskii,Pennate Diatom,Nitzschia,1,1,29.6,2847.52,Surface
8/7/2018,D10,383.31,Chlorella sp.,Green Alga,Chlorella,12,12,2.8,6.37,Surface
8/7/2018,D10,383.31,Eucapsis microscopica,Cyanobacterium,Eucapsis,416,847,0.8,0.18,Surface
8/3/2018,D12,574.96,Chaetoceros sp.,Centric Diatom,Chaetoceros,1,1,74.1,271.71,Surface
8/3/2018,D12,574.96,Chlorella sp.,Green Alga,Chlorella,1,1,1.9,3.59,Surface
8/3/2018,D12,574.96,cf. Ochromonas sp.,Chrysophyte,Ochromonas,1,1,13,986.64,Surface
8/3/2018,D12,574.96,Chroococcus minutus,Cyanobacterium,Chroococcus,13,14,5.6,73.62,Surface
8/3/2018,D12,574.96,Eucapsis microscopica,Cyanobacterium,Eucapsis,427,859,0.8,0.18,Surface
8/3/2018,D12,574.96,cf. Pseudanabaena sp.,Cyanobacterium,Pseudanabaena,7,27,2.8,7.94,Surface
8/3/2018,D19,153.32,Chlorella sp.,Green Alga,Chlorella,7,7,2.8,4.85,Surface
8/3/2018,D19,153.32,Monoraphidium griffithii,Green Alga,Monoraphidium,1,1,75.9,143.47,Surface
8/3/2018,D19,153.32,Cryptomonas sp.,Cryptophyte,Cryptomonas,1,1,14.8,424.35,Surface
8/3/2018,D19,153.32,Eucapsis microscopica,Cyanobacterium,Eucapsis,413,843,0.8,0.18,Surface
8/6/2018,D26,170.36,Achnanthidium sp.,Pennate Diatom,Achnanthidium,1,1,11.1,68.35,Surface
8/6/2018,D26,170.36,Aulacoseira granulata,Centric Diatom,Aulacoseira,16,16,33.3,3873.62,Surface
8/6/2018,D26,170.36,cf. Corethron sp.,Centric Diatom,Corethron,1,1,38.9,1673.03,Surface
8/6/2018,D26,170.36,cf. Cyclotella sp.,Centric Diatom,Cyclotella,2,2,16.7,640.38,Surface
8/6/2018,D26,170.36,Chlorella sp.,Green Alga,Chlorella,2,2,2.8,7.24,Surface
8/6/2018,D26,170.36,Eucapsis microscopica,Cyanobacterium,Eucapsis,408,835,0.8,0.18,Surface
8/3/2018,D28A,127.77,Cocconeis placentula,Pennate Diatom,Cocconeis,1,1,18.5,994.57,Surface
8/3/2018,D28A,127.77,cf. Cyclotella sp.,Centric Diatom,Cyclotella,2,2,9.3,249.98,Surface
8/3/2018,D28A,127.77,Chlorella sp.,Green Alga,Chlorella,32,32,2.8,11.49,Surface
8/3/2018,D28A,127.77,Lagerheimia genevensis,Green Alga,Lagerheimia,2,2,3.7,11.16,Surface
8/3/2018,D28A,127.77,Plagioselmis prolonga,Cryptophyte,Plagioselmis,3,3,7.4,159.13,Surface
8/3/2018,D28A,127.77,Anabaena sp.,Cyanobacterium,Anabaena,1,36,7.2,79.77,Surface
8/3/2018,D28A,127.77,Chroococcus minimus,Cyanobacterium,Chroococcus,2,6,3.7,22.45,Surface
8/3/2018,D28A,127.77,Chroococcus minutus,Cyanobacterium,Chroococcus,3,4,4.6,50.96,Surface
8/3/2018,D28A,127.77,Eucapsis microscopica,Cyanobacterium,Eucapsis,399,813,0.8,0.18,Surface
8/9/2018,D41,255.54,cf. Cyclotella sp.,Centric Diatom,Cyclotella,3,3,9.3,156.16,Surface
8/9/2018,D41,255.54,Chlorella sp.,Green Alga,Chlorella,2,2,2.8,11.49,Surface
8/9/2018,D41,255.54,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,2,2,9.3,314.74,Surface
8/9/2018,D41,255.54,Plagioselmis prolonga,Cryptophyte,Plagioselmis,1,1,7.4,172.03,Surface
8/9/2018,D41,255.54,Eucapsis microscopica,Cyanobacterium,Eucapsis,418,845,0.8,0.18,Surface
