Station,Date,Time,Sampling_Depth,Analyte,Result_Value,Result_Unit,Detection_Status,MRL,Analysis_Method,QC_Flag,Field_Comment
C10A,2025-01-06,13:45:00.000[PST],3,Dissolved Orthophosphate,0.064,mg/L,Detected,0.05,EPA 365.1;Phosphorus (all forms) by Semi-Automated Colorimetry;EPA Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Dissolved Oxygen % Saturation,95.1,% Saturation,Detected,NA,NA,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],3,Dissolved Oxygen mg/L,10.54,mg/L,Detected,NA,NA,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],3,Dissolved Silica,13.7,mg/L,Detected,0.1,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],0,MVI,1,NA,Detected,NA,NA,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],3,Pheophytin a,1.6,ug/L,Detected,0.5,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],NA,Rain,None,NA,Detected,NA,NA,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],NA,Sky Conditions,Overcast,NA,Detected,NA,NA,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],3,Specific Conductance,735,uS/cm,Detected,NA,EPA 120.1;Conductance by Conductivity Meter;EPA Methods,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],3,Total Alkalinity,114,mg/L,Detected,20,Std Method 2320 B;Alkalinity by Titration;Standard Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Total Dissolved Solids,429,mg/L,Detected,2.5,Std Method 2540 C;Total Dissolved Solids Dried at 180 degC;Standard Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Total Kjeldahl Nitrogen,0.425,mg/L,Detected,0.1,EPA 351.2;Determination of Total Kjeldahl Nitrogen by Semi-Automated Colorimetry;EPA Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Total Organic Carbon,3.1,mg/L,Detected,0.5,Std Method 5310 C (T);Total Organic Carbon by Persulfate-UV or Heated-Persulfate Oxidation Method;Standard Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Total Phosphorus,0.101,mg/L,Detected,0.01,EPA 365.4;Phosphorus by Automated Colorimetry;EPA Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Total Suspended Solids,16.9,mg/L,Detected,2.5,Std Method 2540 D;Total Suspended Solids Dried at 103-105 degC;Standard Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Turbidity,10.14,FNU,Detected,NA,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],3,Volatile Suspended Solids,NA,mg/L,Not detected,2.5,Std Method 2540 E;Fixed and Volatile Solids Ignited at 550 degC;Standard Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Water Temperature,10.69,degC,Detected,NA,EPA 170.1;Temperature by Thermometer;EPA Methods,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],NA,Wave Scale,1,NA,Detected,NA,NA,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],NA,Wind Velocity,9,mph,Detected,NA,NA,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],3,pH,7.62,unitless,Detected,NA,EPA 150.1;pH in Water by Electrometric Method;EPA Methods,NA,Too shallow for bottom readings
C3A,2025-01-06,10:45:00.000[PST],16.4,(Bottom) Chlorophyll Fluorescence RFU,0.53,RFU,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],16.4,(Bottom) Chlorophyll Fluorescence ug/L,2.2,ug/L,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],16.4,(Bottom) Dissolved Oxygen % Saturation,88.1,% Saturation,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],16.4,(Bottom) Dissolved Oxygen mg/L,9.83,mg/L,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],16.4,(Bottom) Specific Conductance,156,uS/cm,Detected,NA,EPA 120.1;Conductance by Conductivity Meter;EPA Methods,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],16.4,(Bottom) Turbidity,46.13,FNU,Detected,NA,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],16.4,(Bottom) Water Temperature,10.47,degC,Detected,NA,EPA 170.1;Temperature by Thermometer;EPA Methods,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],16.4,(Bottom) pH,7.1,unitless,Detected,NA,EPA 150.1;pH in Water by Electrometric Method;EPA Methods,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],NA,Air Temperature,48,degF,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],3,Chlorophyll Fluorescence RFU,0.547,RFU,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],3,Chlorophyll Fluorescence ug/L,2.27,ug/L,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],3,Chlorophyll a,1.04,ug/L,Detected,0.5,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Dissolved Ammonia,NA,mg/L,Not detected,0.05,EPA 350.1;Ammonia by Automated Colorimetry;EPA Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Dissolved Calcium,13.1,mg/L,Detected,1,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Dissolved Chloride,4.69,mg/L,Detected,1,EPA 300.0;Determination of Inorganic Anions by Ion Chromatography;EPA Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Dissolved Nitrate + Nitrite,0.338,mg/L,Detected,0.05,"Std Method 4500-NO3-, F;Nitrate by Automated Cadmium Reduction Method;Standard Methods",NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Dissolved Organic Carbon,2.3,mg/L,Detected,0.5,Std Method 5310 C (D);Total Organic Carbon by Persulfate-UV or Heated-Persulfate Oxidation Method;Standard Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Dissolved Organic Nitrogen,0.17,mg/L,Detected,0.1,EPA 351.2/EPA 350.1;Calculation of Dissolved Organic Nitrogen from Total Kjeldahl Nitrogen by Semi-Automated Colorimetry and Ammonia by Automated Colorimetry;EPA Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Dissolved Orthophosphate,0.051,mg/L,Detected,0.05,EPA 365.1;Phosphorus (all forms) by Semi-Automated Colorimetry;EPA Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Dissolved Oxygen % Saturation,88.2,% Saturation,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],3,Dissolved Oxygen mg/L,9.84,mg/L,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],3,Dissolved Silica,20.7,mg/L,Detected,0.1,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],0,MVI,1,NA,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],3,Pheophytin a,0.54,ug/L,Detected,0.5,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],NA,Rain,None,NA,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],NA,Sky Conditions,Sunny,NA,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],3,Specific Conductance,156,uS/cm,Detected,NA,EPA 120.1;Conductance by Conductivity Meter;EPA Methods,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],3,Total Alkalinity,64.6,mg/L,Detected,20,Std Method 2320 B;Alkalinity by Titration;Standard Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Total Dissolved Solids,106,mg/L,Detected,2.5,Std Method 2540 C;Total Dissolved Solids Dried at 180 degC;Standard Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Total Kjeldahl Nitrogen,0.318,mg/L,Detected,0.1,EPA 351.2;Determination of Total Kjeldahl Nitrogen by Semi-Automated Colorimetry;EPA Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Total Organic Carbon,2.3,mg/L,Detected,0.5,Std Method 5310 C (T);Total Organic Carbon by Persulfate-UV or Heated-Persulfate Oxidation Method;Standard Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Total Phosphorus,0.102,mg/L,Detected,0.01,EPA 365.4;Phosphorus by Automated Colorimetry;EPA Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Total Suspended Solids,74.4,mg/L,Detected,2.5,Std Method 2540 D;Total Suspended Solids Dried at 103-105 degC;Standard Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Turbidity,45.84,FNU,Detected,NA,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],3,Volatile Suspended Solids,6.3,mg/L,Detected,2.5,Std Method 2540 E;Fixed and Volatile Solids Ignited at 550 degC;Standard Methods,NA,NA
C3A,2025-01-06,10:45:00.000[PST],3,Water Temperature,10.47,degC,Detected,NA,EPA 170.1;Temperature by Thermometer;EPA Methods,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],NA,Wave Scale,1,NA,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],NA,Wind Velocity,4,mph,Detected,NA,NA,NA,Chl volume: 250 ml
C3A,2025-01-06,10:45:00.000[PST],3,pH,7.1,unitless,Detected,NA,EPA 150.1;pH in Water by Electrometric Method;EPA Methods,NA,Chl volume: 250 ml
C9,2025-01-06,12:30:00.000[PST],9.2,(Bottom) Chlorophyll Fluorescence RFU,0.62,RFU,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],9.2,(Bottom) Chlorophyll Fluorescence ug/L,2.57,ug/L,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],9.2,(Bottom) Dissolved Oxygen % Saturation,85,% Saturation,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],9.2,(Bottom) Dissolved Oxygen mg/L,9.44,mg/L,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],9.2,(Bottom) Specific Conductance,413,uS/cm,Detected,NA,EPA 120.1;Conductance by Conductivity Meter;EPA Methods,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],9.2,(Bottom) Turbidity,5.56,FNU,Detected,NA,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],9.2,(Bottom) Water Temperature,10.63,degC,Detected,NA,EPA 170.1;Temperature by Thermometer;EPA Methods,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],9.2,(Bottom) pH,7.14,unitless,Detected,NA,EPA 150.1;pH in Water by Electrometric Method;EPA Methods,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],NA,Air Temperature,56,degF,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],3,Chlorophyll Fluorescence RFU,0.61,RFU,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],3,Chlorophyll Fluorescence ug/L,2.53,ug/L,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],3,Chlorophyll a,0.62,ug/L,Detected,0.5,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Dissolved Ammonia,0.062,mg/L,Detected,0.05,EPA 350.1;Ammonia by Automated Colorimetry;EPA Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Dissolved Calcium,18,mg/L,Detected,1,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Dissolved Chloride,67.3,mg/L,Detected,1,EPA 300.0;Determination of Inorganic Anions by Ion Chromatography;EPA Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Dissolved Nitrate + Nitrite,0.578,mg/L,Detected,0.05,"Std Method 4500-NO3-, F;Nitrate by Automated Cadmium Reduction Method;Standard Methods",NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Dissolved Organic Carbon,4.4,mg/L,Detected,0.5,Std Method 5310 C (D);Total Organic Carbon by Persulfate-UV or Heated-Persulfate Oxidation Method;Standard Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Dissolved Organic Nitrogen,0.41,mg/L,Detected,0.1,EPA 351.2/EPA 350.1;Calculation of Dissolved Organic Nitrogen from Total Kjeldahl Nitrogen by Semi-Automated Colorimetry and Ammonia by Automated Colorimetry;EPA Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Dissolved Orthophosphate,0.067,mg/L,Detected,0.05,EPA 365.1;Phosphorus (all forms) by Semi-Automated Colorimetry;EPA Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Dissolved Oxygen % Saturation,85.2,% Saturation,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],3,Dissolved Oxygen mg/L,9.47,mg/L,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],3,Dissolved Silica,17.7,mg/L,Detected,0.1,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],0,MVI,1,NA,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],3,Pheophytin a,0.56,ug/L,Detected,0.5,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],NA,Rain,None,NA,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],NA,Sky Conditions,Foggy,NA,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],3,Specific Conductance,412,uS/cm,Detected,NA,EPA 120.1;Conductance by Conductivity Meter;EPA Methods,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],3,Total Alkalinity,71.6,mg/L,Detected,20,Std Method 2320 B;Alkalinity by Titration;Standard Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Total Dissolved Solids,241,mg/L,Detected,2.5,Std Method 2540 C;Total Dissolved Solids Dried at 180 degC;Standard Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Total Kjeldahl Nitrogen,0.479,mg/L,Detected,0.1,EPA 351.2;Determination of Total Kjeldahl Nitrogen by Semi-Automated Colorimetry;EPA Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Total Organic Carbon,4.2,mg/L,Detected,0.5,Std Method 5310 C (T);Total Organic Carbon by Persulfate-UV or Heated-Persulfate Oxidation Method;Standard Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Total Phosphorus,0.065,mg/L,Detected,0.01,EPA 365.4;Phosphorus by Automated Colorimetry;EPA Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Total Suspended Solids,6.2,mg/L,Detected,2.5,Std Method 2540 D;Total Suspended Solids Dried at 103-105 degC;Standard Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Turbidity,5.62,FNU,Detected,NA,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],3,Volatile Suspended Solids,NA,mg/L,Not detected,2.5,Std Method 2540 E;Fixed and Volatile Solids Ignited at 550 degC;Standard Methods,NA,NA
C9,2025-01-06,12:30:00.000[PST],3,Water Temperature,10.64,degC,Detected,NA,EPA 170.1;Temperature by Thermometer;EPA Methods,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],NA,Wave Scale,1,NA,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],NA,Wind Velocity,6,mph,Detected,NA,NA,NA,Chl volume: 500
C9,2025-01-06,12:30:00.000[PST],3,pH,7.19,unitless,Detected,NA,EPA 150.1;pH in Water by Electrometric Method;EPA Methods,NA,Chl volume: 500
D12,2025-01-07,10:30:00.000[PST],35.4,(Bottom) Chlorophyll Fluorescence RFU,0.63,RFU,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],35.4,(Bottom) Chlorophyll Fluorescence ug/L,2.59,ug/L,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],35.4,(Bottom) Dissolved Oxygen % Saturation,88.3,% Saturation,Detected,NA,ASTM Method D888-09-C;Dissolved Oxygen in Water by Instrumental Probe Procedure (Luminescence-Based Sensor);ASTM International,NA,NA
D12,2025-01-07,10:30:00.000[PST],35.4,(Bottom) Dissolved Oxygen mg/L,9.89,mg/L,Detected,NA,ASTM Method D888-09-C;Dissolved Oxygen in Water by Instrumental Probe Procedure (Luminescence-Based Sensor);ASTM International,NA,NA
D12,2025-01-07,10:30:00.000[PST],35.4,(Bottom) Specific Conductance,219,uS/cm,Detected,NA,EPA 120.1;Conductance by Conductivity Meter;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],35.4,(Bottom) Turbidity,51.9,FNU,Detected,NA,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],35.4,(Bottom) Water Temperature,10.28,degC,Detected,NA,EPA 170.1;Temperature by Thermometer;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],35.4,(Bottom) pH,7.17,unitless,Detected,NA,EPA 150.1;pH in Water by Electrometric Method;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],NA,Air Temperature,56,degF,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Chlorophyll Fluorescence RFU,0.61,RFU,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Chlorophyll Fluorescence ug/L,2.53,ug/L,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Chlorophyll a,0.59,ug/L,Detected,0.5,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Dissolved Ammonia,NA,mg/L,Not detected,0.05,EPA 350.1;Ammonia by Automated Colorimetry;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Dissolved Calcium,14,mg/L,Detected,1,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Dissolved Chloride,15.1,mg/L,Detected,1,EPA 300.0;Determination of Inorganic Anions by Ion Chromatography;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Dissolved Nitrate + Nitrite,0.414,mg/L,Detected,0.05,"Std Method 4500-NO3-, F;Nitrate by Automated Cadmium Reduction Method;Standard Methods",NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Dissolved Organic Carbon,3,mg/L,Detected,0.5,Std Method 5310 C (D);Total Organic Carbon by Persulfate-UV or Heated-Persulfate Oxidation Method;Standard Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Dissolved Organic Nitrogen,0.28,mg/L,Detected,0.1,EPA 351.2/EPA 350.1;Calculation of Dissolved Organic Nitrogen from Total Kjeldahl Nitrogen by Semi-Automated Colorimetry and Ammonia by Automated Colorimetry;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Dissolved Orthophosphate,0.066,mg/L,Detected,0.05,EPA 365.1;Phosphorus (all forms) by Semi-Automated Colorimetry;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Dissolved Oxygen % Saturation,89.3,% Saturation,Detected,NA,ASTM Method D888-09-C;Dissolved Oxygen in Water by Instrumental Probe Procedure (Luminescence-Based Sensor);ASTM International,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Dissolved Oxygen mg/L,10.01,mg/L,Detected,NA,ASTM Method D888-09-C;Dissolved Oxygen in Water by Instrumental Probe Procedure (Luminescence-Based Sensor);ASTM International,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Dissolved Silica,19.8,mg/L,Detected,0.1,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],0,MVI,1,NA,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Pheophytin a,NA,ug/L,Not detected,0.5,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],NA,Rain,None,NA,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],NA,Secchi Depth,28,cm,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],NA,Sky Conditions,Partly Cloudy,NA,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Specific Conductance,209,uS/cm,Detected,NA,EPA 120.1;Conductance by Conductivity Meter;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Total Alkalinity,67.6,mg/L,Detected,20,Std Method 2320 B;Alkalinity by Titration;Standard Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Total Dissolved Solids,136,mg/L,Detected,2.5,Std Method 2540 C;Total Dissolved Solids Dried at 180 degC;Standard Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Total Kjeldahl Nitrogen,0.452,mg/L,Detected,0.1,EPA 351.2;Determination of Total Kjeldahl Nitrogen by Semi-Automated Colorimetry;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Total Organic Carbon,3.4,mg/L,Detected,0.5,Std Method 5310 C (T);Total Organic Carbon by Persulfate-UV or Heated-Persulfate Oxidation Method;Standard Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Total Phosphorus,0.099,mg/L,Detected,0.01,EPA 365.4;Phosphorus by Automated Colorimetry;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Total Suspended Solids,58.2,mg/L,Detected,2.5,Std Method 2540 D;Total Suspended Solids Dried at 103-105 degC;Standard Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Turbidity,47,FNU,Detected,NA,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Volatile Suspended Solids,5.4,mg/L,Detected,2.5,Std Method 2540 E;Fixed and Volatile Solids Ignited at 550 degC;Standard Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,Water Temperature,10.29,degC,Detected,NA,EPA 170.1;Temperature by Thermometer;EPA Methods,NA,NA
D12,2025-01-07,10:30:00.000[PST],NA,Wave Scale,3,NA,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],NA,Wind Velocity,17,mph,Detected,NA,NA,NA,NA
D12,2025-01-07,10:30:00.000[PST],3,pH,7.43,unitless,Detected,NA,EPA 150.1;pH in Water by Electrometric Method;EPA Methods,NA,NA
D19,2025-01-07,11:55:00.000[PST],28.5,(Bottom) Chlorophyll Fluorescence RFU,0.6,RFU,Detected,NA,NA,NA,NA
D19,2025-01-07,11:55:00.000[PST],28.5,(Bottom) Chlorophyll Fluorescence ug/L,2.49,ug/L,Detected,NA,NA,NA,NA
D19,2025-01-07,11:55:00.000[PST],28.5,(Bottom) Dissolved Oxygen % Saturation,87.7,% Saturation,Detected,NA,ASTM Method D888-09-C;Dissolved Oxygen in Water by Instrumental Probe Procedure (Luminescence-Based Sensor);ASTM International,NA,NA
D19,2025-01-07,11:55:00.000[PST],28.5,(Bottom) Dissolved Oxygen mg/L,9.74,mg/L,Detected,NA,ASTM Method D888-09-C;Dissolved Oxygen in Water by Instrumental Probe Procedure (Luminescence-Based Sensor);ASTM International,NA,NA
D19,2025-01-07,11:55:00.000[PST],28.5,(Bottom) Specific Conductance,216,uS/cm,Detected,NA,EPA 120.1;Conductance by Conductivity Meter;EPA Methods,NA,NA
D19,2025-01-07,11:55:00.000[PST],28.5,(Bottom) Turbidity,28.2,FNU,Detected,NA,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,NA,NA
D19,2025-01-07,11:55:00.000[PST],28.5,(Bottom) Water Temperature,10.66,degC,Detected,NA,EPA 170.1;Temperature by Thermometer;EPA Methods,NA,NA
