Lab,Organisms_per_mL,Cells_per_Unit,UnitAbundance,Factor,Cells_per_mL
EcoAnalysts,7.64,1,42,NA,7.64
EcoAnalysts,1.09,1,6,NA,1.09
EcoAnalysts,0.73,1,4,NA,0.73
EcoAnalysts,5.64,1,31,NA,5.64
EcoAnalysts,6.55,15,36,NA,98.25
EcoAnalysts,0.91,1,5,NA,0.91
EcoAnalysts,0.73,1,4,NA,0.73
EcoAnalysts,1.64,1,9,NA,1.64
EcoAnalysts,12.91,1,71,NA,12.91
EcoAnalysts,0.55,1,3,NA,0.55
EcoAnalysts,0.73,1,4,NA,0.73
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,1,1,5,NA,1
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,0.4,1,2,NA,0.4
EcoAnalysts,5,5,25,NA,25
EcoAnalysts,32.2,1,161,NA,32.2
EcoAnalysts,2.2,1,11,NA,2.2
EcoAnalysts,2.6,1,13,NA,2.6
EcoAnalysts,4,1,20,NA,4
EcoAnalysts,10,15,50,NA,150
EcoAnalysts,2.8,1,14,NA,2.8
EcoAnalysts,1.4,1,7,NA,1.4
EcoAnalysts,19.8,1,99,NA,19.8
EcoAnalysts,0.4,1,2,NA,0.4
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,2.75,1,22,NA,2.75
EcoAnalysts,1.75,1,14,NA,1.75
EcoAnalysts,1.63,1,13,NA,1.63
EcoAnalysts,6.75,1,54,NA,6.75
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,12.25,1,98,NA,12.25
EcoAnalysts,0.25,1,2,NA,0.25
EcoAnalysts,1.5,15,12,NA,22.5
EcoAnalysts,1.5,1,12,NA,1.5
EcoAnalysts,22.63,1,181,NA,22.63
EcoAnalysts,0.25,1,2,NA,0.25
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,1.56,1,14,NA,1.56
EcoAnalysts,0.44,1,4,NA,0.44
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,2.78,1,25,NA,2.78
EcoAnalysts,1.22,1,11,NA,1.22
EcoAnalysts,3,1,27,NA,3
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,4.89,1,44,NA,4.89
EcoAnalysts,11.22,1,101,NA,11.22
EcoAnalysts,1.22,1,11,NA,1.22
EcoAnalysts,1.67,1,15,NA,1.67
EcoAnalysts,0.22,1,2,NA,0.22
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,1.33,1,12,NA,1.33
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,1.44,1,13,NA,1.44
EcoAnalysts,13,1,117,NA,13
EcoAnalysts,1.44,1,13,NA,1.44
EcoAnalysts,0.27,1,2,NA,0.27
EcoAnalysts,1.6,1,12,NA,1.6
EcoAnalysts,6.53,1,49,NA,6.53
EcoAnalysts,0.27,20,2,NA,5.4
EcoAnalysts,0.53,1,4,NA,0.53
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,2,1,15,NA,2
EcoAnalysts,0.27,1,2,NA,0.27
EcoAnalysts,20.53,1,154,NA,20.53
EcoAnalysts,1.73,1,13,NA,1.73
EcoAnalysts,2,1,15,NA,2
EcoAnalysts,4,1,30,NA,4
EcoAnalysts,0.4,15,3,NA,6
EcoAnalysts,1.07,1,8,NA,1.07
EcoAnalysts,0.53,1,4,NA,0.53
EcoAnalysts,9.6,1,72,NA,9.6
EcoAnalysts,2,1,15,NA,2
EcoAnalysts,0.27,1,2,NA,0.27
EcoAnalysts,1.87,1,14,NA,1.87
EcoAnalysts,2,1,11,NA,2
EcoAnalysts,5.09,1,28,NA,5.09
EcoAnalysts,2.36,1,13,NA,2.36
EcoAnalysts,8.91,1,49,NA,8.91
EcoAnalysts,0.36,20,2,NA,7.199999999999999
EcoAnalysts,2.55,1,14,NA,2.55
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,1.64,1,9,NA,1.64
EcoAnalysts,2.18,1,12,NA,2.18
EcoAnalysts,0.55,1,3,NA,0.55
EcoAnalysts,20.18,1,111,NA,20.18
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,0.55,1,3,NA,0.55
EcoAnalysts,5.45,1,30,NA,5.45
EcoAnalysts,0.18,4,1,NA,0.72
EcoAnalysts,0.55,15,3,NA,8.25
EcoAnalysts,4.73,1,26,NA,4.73
EcoAnalysts,2.18,1,12,NA,2.18
EcoAnalysts,12,1,66,NA,12
EcoAnalysts,2.36,1,13,NA,2.36
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,1.45,1,8,NA,1.45
EcoAnalysts,2,1,13,NA,2
EcoAnalysts,0.46,1,3,NA,0.46
EcoAnalysts,10.62,1,69,NA,10.62
EcoAnalysts,0.31,1,2,NA,0.31
EcoAnalysts,17.08,1,111,NA,17.08
EcoAnalysts,2,1,13,NA,2
EcoAnalysts,0.62,1,4,NA,0.62
EcoAnalysts,0.15,1,1,NA,0.15
EcoAnalysts,0.31,1,2,NA,0.31
EcoAnalysts,4.77,1,31,NA,4.77
EcoAnalysts,0.15,1,1,NA,0.15
EcoAnalysts,4,1,26,NA,4
EcoAnalysts,6.77,1,44,NA,6.77
EcoAnalysts,6.77,15,44,NA,101.55
EcoAnalysts,1.23,1,8,NA,1.23
EcoAnalysts,2.15,1,14,NA,2.15
EcoAnalysts,3.38,1,22,NA,3.38
EcoAnalysts,0.31,1,2,NA,0.31
EcoAnalysts,0.13,1,2,NA,0.13
EcoAnalysts,0.2,1,3,NA,0.2
EcoAnalysts,0.2,1,3,NA,0.2
EcoAnalysts,0.2,1,3,NA,0.2
EcoAnalysts,1.47,1,22,NA,1.47
EcoAnalysts,0.27,1,4,NA,0.27
EcoAnalysts,0.2,1,3,NA,0.2
EcoAnalysts,10.2,1,153,NA,10.2
EcoAnalysts,0.6,1,9,NA,0.6
EcoAnalysts,0.47,1,7,NA,0.47
EcoAnalysts,0.47,1,7,NA,0.47
EcoAnalysts,0.93,1,14,NA,0.93
EcoAnalysts,2.07,15,31,NA,31.049999999999997
EcoAnalysts,0.13,1,2,NA,0.13
EcoAnalysts,2.2,1,33,NA,2.2
EcoAnalysts,5.73,1,86,NA,5.73
EcoAnalysts,0.2,1,3,NA,0.2
EcoAnalysts,0.33,1,5,NA,0.33
EcoAnalysts,0.73,1,11,NA,0.73
EcoAnalysts,0.07,50,1,NA,3.5000000000000004
EcoAnalysts,0,0,0,NA,0
EcoAnalysts,0.73,1,11,NA,0.73
EcoAnalysts,1.47,1,22,NA,1.47
EcoAnalysts,0.8,1,12,NA,0.8
EcoAnalysts,0.27,1,4,NA,0.27
EcoAnalysts,11.6,1,174,NA,11.6
EcoAnalysts,0.2,1,3,NA,0.2
EcoAnalysts,0.2,1,3,NA,0.2
EcoAnalysts,0.33,1,5,NA,0.33
EcoAnalysts,0.87,1,13,NA,0.87
EcoAnalysts,0.07,1,1,NA,0.07
EcoAnalysts,1.6,1,24,NA,1.6
EcoAnalysts,8.8,1,132,NA,8.8
EcoAnalysts,0.07,1,1,NA,0.07
EcoAnalysts,0.73,1,11,NA,0.73
EcoAnalysts,0.4,1,6,NA,0.4
EcoAnalysts,0.57,1,2,NA,0.57
EcoAnalysts,1.14,1,4,NA,1.14
EcoAnalysts,7.43,1,26,NA,7.43
EcoAnalysts,4,1,14,NA,4
EcoAnalysts,4.57,1,16,NA,4.57
EcoAnalysts,4,1,14,NA,4
EcoAnalysts,8.86,1,31,NA,8.86
EcoAnalysts,0.29,1,1,NA,0.29
EcoAnalysts,0.57,1,2,NA,0.57
EcoAnalysts,37.71,1,132,NA,37.71
EcoAnalysts,0.29,1,1,NA,0.29
EcoAnalysts,4.29,1,15,NA,4.29
EcoAnalysts,10.86,15,38,NA,162.89999999999998
EcoAnalysts,14.86,1,52,NA,14.86
EcoAnalysts,14.57,1,51,NA,14.57
EcoAnalysts,0.29,1,1,NA,0.29
EcoAnalysts,1.43,8,5,NA,11.44
EcoAnalysts,0.86,1,3,NA,0.86
EcoAnalysts,0.57,1,2,NA,0.57
EcoAnalysts,0.29,1,1,NA,0.29
EcoAnalysts,2.5,1,25,NA,2.5
EcoAnalysts,1,1,10,NA,1
EcoAnalysts,1.1,1,11,NA,1.1
EcoAnalysts,2.3,1,23,NA,2.3
EcoAnalysts,0.1,20,1,NA,2
EcoAnalysts,1.3,1,13,NA,1.3
EcoAnalysts,1.2,1,12,NA,1.2
EcoAnalysts,15.2,1,152,NA,15.2
EcoAnalysts,1.2,1,12,NA,1.2
EcoAnalysts,1.3,1,13,NA,1.3
EcoAnalysts,1.1,1,11,NA,1.1
EcoAnalysts,1.5,15,15,NA,22.5
EcoAnalysts,2,1,20,NA,2
EcoAnalysts,8.1,1,81,NA,8.1
EcoAnalysts,0.1,1,1,NA,0.1
EcoAnalysts,0.5,1,5,NA,0.5
EcoAnalysts,0.4,1,4,NA,0.4
EcoAnalysts,0.7,1,7,NA,0.7
EcoAnalysts,6,1,12,NA,6
EcoAnalysts,13.5,1,27,NA,13.5
EcoAnalysts,5.5,1,11,NA,5.5
EcoAnalysts,1,1,2,NA,1
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,2,1,4,NA,2
EcoAnalysts,2,1,4,NA,2
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,60,1,120,NA,60
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,38.5,1,77,NA,38.5
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,3.5,1,7,NA,3.5
EcoAnalysts,6,1,12,NA,6
EcoAnalysts,8,1,16,NA,8
EcoAnalysts,0.5,4,1,NA,2
EcoAnalysts,2,15,4,NA,30
EcoAnalysts,5,1,10,NA,5
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,44.5,1,89,NA,44.5
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,1.5,1,3,NA,1.5
EcoAnalysts,1,1,2,NA,1
EcoAnalysts,1,1,2,NA,1
EcoAnalysts,6.18,1,34,NA,6.18
EcoAnalysts,1.64,1,9,NA,1.64
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,2.55,1,14,NA,2.55
EcoAnalysts,0.73,1,4,NA,0.73
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,21.27,1,117,NA,21.27
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,4.18,1,23,NA,4.18
EcoAnalysts,8.91,1,49,NA,8.91
EcoAnalysts,2.55,15,14,NA,38.25
EcoAnalysts,0.55,1,3,NA,0.55
EcoAnalysts,2.91,1,16,NA,2.91
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,18.36,1,101,NA,18.36
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,2.91,1,16,NA,2.91
EcoAnalysts,1.75,1,14,NA,1.75
EcoAnalysts,1.75,1,14,NA,1.75
EcoAnalysts,0.5,1,4,NA,0.5
EcoAnalysts,0.13,20,1,NA,2.6
EcoAnalysts,0.5,4,4,NA,2
EcoAnalysts,0.5,1,4,NA,0.5
EcoAnalysts,2.88,1,23,NA,2.88
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,0.5,1,4,NA,0.5
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,20.75,1,166,NA,20.75
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,0.25,1,2,NA,0.25
EcoAnalysts,2.88,15,23,NA,43.199999999999996
EcoAnalysts,16.38,1,131,NA,16.38
EcoAnalysts,3.75,1,30,NA,3.75
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,0.25,1,2,NA,0.25
EcoAnalysts,1.4,1,7,NA,1.4
EcoAnalysts,0.8,1,4,NA,0.8
EcoAnalysts,4.8,1,24,NA,4.8
EcoAnalysts,0.2,20,1,NA,4
EcoAnalysts,1.2,1,6,NA,1.2
EcoAnalysts,5.2,1,26,NA,5.2
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,0.8,1,4,NA,0.8
EcoAnalysts,6.6,1,33,NA,6.6
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,10.2,1,51,NA,10.2
EcoAnalysts,1.8,1,9,NA,1.8
EcoAnalysts,3.4,1,17,NA,3.4
EcoAnalysts,0.4,1,2,NA,0.4
EcoAnalysts,3.2,15,16,NA,48
EcoAnalysts,2,1,10,NA,2
EcoAnalysts,2.6,1,13,NA,2.6
EcoAnalysts,26.6,1,133,NA,26.6
EcoAnalysts,10,1,50,NA,10
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,0.4,1,2,NA,0.4
EcoAnalysts,0.61,1,11,NA,0.61
EcoAnalysts,2.06,1,37,NA,2.06
EcoAnalysts,0.11,1,2,NA,0.11
EcoAnalysts,0.72,1,13,NA,0.72
EcoAnalysts,0.39,1,7,NA,0.39
EcoAnalysts,0.28,1,5,NA,0.28
EcoAnalysts,7.33,1,132,NA,7.33
EcoAnalysts,3.72,1,67,NA,3.72
EcoAnalysts,0.72,1,13,NA,0.72
EcoAnalysts,1.78,1,32,NA,1.78
EcoAnalysts,0.56,1,10,NA,0.56
EcoAnalysts,1.28,15,23,NA,19.2
EcoAnalysts,0.83,1,15,NA,0.83
EcoAnalysts,0.83,1,15,NA,0.83
EcoAnalysts,0.28,1,5,NA,0.28
EcoAnalysts,1.89,1,34,NA,1.89
EcoAnalysts,0.78,1,14,NA,0.78
EcoAnalysts,0.06,1,1,NA,0.06
EcoAnalysts,2.67,1,24,NA,2.67
EcoAnalysts,1.56,1,14,NA,1.56
EcoAnalysts,0.22,1,2,NA,0.22
EcoAnalysts,0.11,20,1,NA,2.2
EcoAnalysts,0.11,4,1,NA,0.44
EcoAnalysts,1.56,1,14,NA,1.56
EcoAnalysts,1.44,1,13,NA,1.44
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,0.44,5,4,NA,2.2
EcoAnalysts,5,1,45,NA,5
EcoAnalysts,1.22,1,11,NA,1.22
EcoAnalysts,1.33,1,12,NA,1.33
EcoAnalysts,2.56,15,23,NA,38.4
EcoAnalysts,2.22,1,20,NA,2.22
EcoAnalysts,11.89,1,107,NA,11.89
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,0.22,1,2,NA,0.22
EcoAnalysts,0.11,1,1,NA,0.11
EcoAnalysts,13.56,1,122,NA,13.56
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,9.09,1,50,NA,9.09
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,4.55,1,25,NA,4.55
EcoAnalysts,0.18,20,1,NA,3.5999999999999996
EcoAnalysts,3.09,1,17,NA,3.09
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,7.64,1,42,NA,7.64
EcoAnalysts,11.64,1,64,NA,11.64
EcoAnalysts,3.82,1,21,NA,3.82
EcoAnalysts,4.55,1,25,NA,4.55
EcoAnalysts,4.18,1,23,NA,4.18
EcoAnalysts,4,15,22,NA,60
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,1.27,1,7,NA,1.27
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,20.73,1,114,NA,20.73
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,3.38,1,27,NA,3.38
EcoAnalysts,3,1,24,NA,3
EcoAnalysts,1.63,1,13,NA,1.63
EcoAnalysts,3,1,24,NA,3
EcoAnalysts,0.5,1,4,NA,0.5
EcoAnalysts,1.5,1,12,NA,1.5
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,0.38,1,3,NA,0.38
EcoAnalysts,0.25,1,2,NA,0.25
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,15.88,1,127,NA,15.88
EcoAnalysts,0.5,1,4,NA,0.5
EcoAnalysts,1.5,1,12,NA,1.5
EcoAnalysts,4.25,1,34,NA,4.25
EcoAnalysts,2.38,15,19,NA,35.699999999999996
EcoAnalysts,0.75,1,6,NA,0.75
EcoAnalysts,0.25,1,2,NA,0.25
EcoAnalysts,0.25,1,2,NA,0.25
EcoAnalysts,11.75,1,94,NA,11.75
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,0.13,1,1,NA,0.13
EcoAnalysts,0.5,1,4,NA,0.5
EcoAnalysts,0.06,1,1,NA,0.06
EcoAnalysts,1.83,1,33,NA,1.83
EcoAnalysts,0.28,1,5,NA,0.28
EcoAnalysts,0.5,1,9,NA,0.5
EcoAnalysts,0.06,1,1,NA,0.06
EcoAnalysts,0.11,1,2,NA,0.11
EcoAnalysts,0.11,1,2,NA,0.11
EcoAnalysts,0.06,1,1,NA,0.06
EcoAnalysts,1.39,1,25,NA,1.39
EcoAnalysts,0.06,1,1,NA,0.06
EcoAnalysts,5.72,1,103,NA,5.72
EcoAnalysts,0.06,1,1,NA,0.06
EcoAnalysts,0.61,1,11,NA,0.61
EcoAnalysts,0.72,1,13,NA,0.72
EcoAnalysts,0.06,4,1,NA,0.24
EcoAnalysts,0.61,15,11,NA,9.15
EcoAnalysts,0.06,1,1,NA,0.06
EcoAnalysts,0.06,1,1,NA,0.06
EcoAnalysts,1.44,1,26,NA,1.44
EcoAnalysts,0.11,1,2,NA,0.11
EcoAnalysts,8.72,1,157,NA,8.72
EcoAnalysts,0.33,1,6,NA,0.33
EcoAnalysts,0.91,1,5,NA,0.91
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,1.64,1,9,NA,1.64
EcoAnalysts,4.36,1,24,NA,4.36
EcoAnalysts,6.18,1,34,NA,6.18
EcoAnalysts,0.18,20,1,NA,3.5999999999999996
EcoAnalysts,1.82,1,10,NA,1.82
EcoAnalysts,2.36,1,13,NA,2.36
EcoAnalysts,1.64,1,9,NA,1.64
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,2.73,1,15,NA,2.73
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,0.55,1,3,NA,0.55
EcoAnalysts,6.73,1,37,NA,6.73
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,3.09,1,17,NA,3.09
EcoAnalysts,2.18,1,12,NA,2.18
EcoAnalysts,6.73,1,37,NA,6.73
EcoAnalysts,12.55,15,69,NA,188.25
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,1.27,1,7,NA,1.27
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,20.18,1,111,NA,20.18
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,4.4,1,22,NA,4.4
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,2.6,1,13,NA,2.6
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,7.2,1,36,NA,7.2
EcoAnalysts,2.8,1,14,NA,2.8
EcoAnalysts,1,1,5,NA,1
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,4.8,1,24,NA,4.8
EcoAnalysts,12.2,1,61,NA,12.2
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,4.8,1,24,NA,4.8
EcoAnalysts,1.4,15,7,NA,21
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,21.4,10,107,NA,214
EcoAnalysts,4.6,1,23,NA,4.6
EcoAnalysts,0.2,1,1,NA,0.2
EcoAnalysts,0.2,4,1,NA,0.8
EcoAnalysts,7.6,1,38,NA,7.6
EcoAnalysts,4.4,1,22,NA,4.4
EcoAnalysts,2.17,1,13,NA,2.17
EcoAnalysts,2.5,1,15,NA,2.5
EcoAnalysts,2.5,1,15,NA,2.5
EcoAnalysts,2.33,1,14,NA,2.33
EcoAnalysts,1.67,1,10,NA,1.67
EcoAnalysts,0.17,1,1,NA,0.17
EcoAnalysts,0.17,1,1,NA,0.17
EcoAnalysts,1.33,1,8,NA,1.33
EcoAnalysts,0.17,1,1,NA,0.17
EcoAnalysts,16.17,1,97,NA,16.17
EcoAnalysts,0.17,1,1,NA,0.17
EcoAnalysts,4.17,1,25,NA,4.17
EcoAnalysts,2,1,12,NA,2
EcoAnalysts,2,1,12,NA,2
EcoAnalysts,1.17,1,7,NA,1.17
EcoAnalysts,0.17,1,1,NA,0.17
EcoAnalysts,3.33,1,20,NA,3.33
EcoAnalysts,1.17,1,7,NA,1.17
EcoAnalysts,1.17,1,7,NA,1.17
EcoAnalysts,21.83,1,131,NA,21.83
EcoAnalysts,1.5,1,9,NA,1.5
EcoAnalysts,0.17,1,1,NA,0.17
EcoAnalysts,0.17,1,1,NA,0.17
EcoAnalysts,1.09,1,12,NA,1.09
EcoAnalysts,0.27,20,3,NA,5.4
EcoAnalysts,1.64,1,18,NA,1.64
EcoAnalysts,0.45,1,5,NA,0.45
EcoAnalysts,1.09,1,12,NA,1.09
EcoAnalysts,0.27,1,3,NA,0.27
EcoAnalysts,13.18,1,145,NA,13.18
EcoAnalysts,0.64,1,7,NA,0.64
EcoAnalysts,1.09,1,12,NA,1.09
EcoAnalysts,2.09,4,23,NA,8.36
EcoAnalysts,1.09,15,12,NA,16.35
EcoAnalysts,2.09,1,23,NA,2.09
EcoAnalysts,1.09,1,12,NA,1.09
EcoAnalysts,10.09,1,111,NA,10.09
EcoAnalysts,0.27,1,3,NA,0.27
EcoAnalysts,0.27,1,3,NA,0.27
EcoAnalysts,0.09,1,1,NA,0.09
EcoAnalysts,0.18,1,2,NA,0.18
EcoAnalysts,0.18,1,2,NA,0.18
EcoAnalysts,4.33,1,26,NA,4.33
EcoAnalysts,1.83,1,11,NA,1.83
EcoAnalysts,0.5,1,3,NA,0.5
EcoAnalysts,0.5,20,3,NA,10
EcoAnalysts,2.83,1,17,NA,2.83
EcoAnalysts,1.67,1,10,NA,1.67
EcoAnalysts,0.33,1,2,NA,0.33
EcoAnalysts,1.17,1,7,NA,1.17
EcoAnalysts,0.33,1,2,NA,0.33
EcoAnalysts,7,1,42,NA,7
EcoAnalysts,22,1,132,NA,22
EcoAnalysts,0.33,1,2,NA,0.33
EcoAnalysts,4,1,24,NA,4
EcoAnalysts,2.33,1,14,NA,2.33
EcoAnalysts,3.83,1,23,NA,3.83
EcoAnalysts,1.17,15,7,NA,17.549999999999997
EcoAnalysts,2.67,1,16,NA,2.67
EcoAnalysts,0.5,1,3,NA,0.5
EcoAnalysts,11.17,1,67,NA,11.17
EcoAnalysts,0.5,1,3,NA,0.5
EcoAnalysts,0.17,1,1,NA,0.17
EcoAnalysts,0.75,1,3,NA,0.75
EcoAnalysts,0.75,1,3,NA,0.75
EcoAnalysts,1.25,1,5,NA,1.25
EcoAnalysts,0.25,1,1,NA,0.25
EcoAnalysts,1.5,1,6,NA,1.5
EcoAnalysts,0.5,1,2,NA,0.5
EcoAnalysts,0.25,4,1,NA,1
EcoAnalysts,4.5,1,18,NA,4.5
EcoAnalysts,33.5,1,134,NA,33.5
EcoAnalysts,0.25,1,1,NA,0.25
EcoAnalysts,0.25,1,1,NA,0.25
EcoAnalysts,4.5,1,18,NA,4.5
EcoAnalysts,1,1,4,NA,1
EcoAnalysts,0.25,1,1,NA,0.25
EcoAnalysts,3.25,1,13,NA,3.25
EcoAnalysts,3,1,12,NA,3
EcoAnalysts,0.5,60,2,NA,30
EcoAnalysts,3.25,1,13,NA,3.25
EcoAnalysts,3,1,12,NA,3
EcoAnalysts,6,1,24,NA,6
EcoAnalysts,1.75,15,7,NA,26.25
EcoAnalysts,0.25,1,1,NA,0.25
EcoAnalysts,19.25,10,77,NA,192.5
EcoAnalysts,2.75,1,11,NA,2.75
EcoAnalysts,0.5,1,2,NA,0.5
EcoAnalysts,1.5,4,6,NA,6
EcoAnalysts,0.75,1,3,NA,0.75
EcoAnalysts,5.5,1,22,NA,5.5
EcoAnalysts,1.5,1,6,NA,1.5
EcoAnalysts,0.5,1,2,NA,0.5
EcoAnalysts,3.25,1,13,NA,3.25
EcoAnalysts,1.23,1,8,NA,1.23
