Kingdom,Phylum,Class,Genus,Taxon,AlgalGroup,Authority,Authority Source,Current Name,Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora libyca,Pennate Diatoms,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,brackish
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora normanii,Pennate Diatoms,Rabenhorst emend Carter and Round,www.algaebase.org,Halamphora normanii,(Rabenhorst) Lekov,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora ovalis,Pennate Diatoms,(Kützing) Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora pediculus,Pennate Diatoms,(Kützing) Grunow,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora sp.,Pennate Diatoms,Ehrenberg ex Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena affinis,Cyanobacteria,Lemmerman,www.algaebase.org,Dolichospermum affine,"(Lemmermann) P. Wacklin, L. Hoffmann and J. Komárek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena circinalis,Cyanobacteria,Rabenhorst,www.algaebase.org,Dolichospermum circinale,"(Rabenhorst ex Bornet & Flahault) P. Wacklin, L. Hoffmann and J. Komárek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena sp.,Cyanobacteria,Bory ex Bornet et Flahault,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena spiroides,Cyanobacteria,Klebahn,www.algaebase.org,Dolichospermum spiroides,"(Klebhan) Wacklin, L. Hoffm. and Komárek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anabaenopsis,Anabaenopsis elenkinii,Cyanobacteria,V.V. Miller,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anabaenopsis,Anabaenopsis sp.,Cyanobacteria,(Woloszynska) Müller,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis cyanea,Cyanobacteria,(Kützing) F.E. Drouet and W.A. Daily,www.algaebase.org,Microcystis aeruginosa,(Kützing) Kützing,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis incerta,Cyanobacteria,(Lemmermann) Drouet and Daily,www.algaebase.org,Aphanocapsa incerta,(Lemmermann) Cronberg and Komárek,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis limnetica,Cyanobacteria,(Lemmermann) Drouet and Daily,www.algaebase.org,Limnococcus limneticus,"(Lemmermann) Komárková, Jezberová, O. Komárek and Zapomĕlová",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis nidulans,Cyanobacteria,Gardner,www.algaebase.org,Aphanothece nidulans,P. Richter,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis sp.,Cyanobacteria,Meneghini,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus arcuatus,Green Algae,Korshikov,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus braunii,Green Algae,(Nägeli) Collins,www.algaebase.org,Chlorolobion braunii,(Nägeli) Komárek,www.algaebase.org,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus convolutus,Green Algae,Corda,www.algaebase.org,Monoraphidium convolutum,(Corda) Komárková-Legnerová,www.algaebase.org,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus falcatus,Green Algae,(Corda) Ralfs,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater or terrestrial
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus sp.,Green Algae,Corda,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater or terrestrial
Plantae,Chlorophyta,Chlorophyceae,Ankyra,Ankyra ancora,Green Algae,(G.M. Smith) Fott,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Ankyra,Ankyra sp.,Green Algae,Fott,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Anomoeoneis,Anomoeoneis capitata,Pennate Diatoms,Bahls,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Anomoeoneis,Anomoeoneis sp.,Pennate Diatoms,Pfitzer,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon cf. klebahnii,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon cf. yezoense,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon flos-aquae,Cyanobacteria,Ralfs ex Bornet and Flahaut,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon klebahnii,Cyanobacteria,Elenkin ex Pechar,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon sp.,Cyanobacteria,Morren ex Bornet et Flahault,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Aphanocapsa,Aphanocapsa cf. delicatissima,Cyanobacteria,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanocapsa,Aphanocapsa sp.,Cyanobacteria,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanothece,Aphanothece endophytica,Cyanobacteria,(West and G.S. West) J. Komárková-Legnerová and G. Cronberg,www.algaebase.org,Anathece endophytica,"(W. and G.S. West) Komárek, Kastovsky and Jezberová",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanothece,Aphanothece sp.,Cyanobacteria,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater to marine
Chromista,Ochrophyta,Xanthophyceae,Arachnochloris,Arachnochloris minor,Xanthophytes,Pascher,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Xanthophyceae,Arachnochloris,Arachnochloris sp.,Xanthophytes,Pascher,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Fragilariophyceae,Asterionella,Asterionella formosa,Pennate Diatoms,Hassall,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Fragilariophyceae,Asterionella,Asterionella sp.,Pennate Diatoms,Hassall,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Fragilariophyceae,Asterionellopsis,Asterionellopsis glacialis,Pennate Diatoms,(Castracane) Round,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Asteromphalus,Asteromphalus sp.,Centric Diatoms,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Attheya,Attheya sp.,Centric Diatoms,West,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Attheya,Attheya zachariasii,Centric Diatoms,Brun,www.algaebase.org,Acanthoceras zachariasii,(Brun) Simonsen,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira alpigena,Centric Diatoms,(Grunow) Krammer,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira ambigua,Centric Diatoms,(Grunow) Simonsen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira cf. granulata,Centric Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira cf. granulata var. angustissima,Centric Diatoms,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira cf. herzogii,Centric Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira cf. pusilla,Centric Diatoms,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira distans,Centric Diatoms,(Ehrenberg) Simonsen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira granulata,Centric Diatoms,(Ehrenberg) Simonsen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira granulata var. angustissima,Centric Diatoms,(O. Müller) Simonsen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira italica,Centric Diatoms,(Ehrenberg) Simonsen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira pusilla,Centric Diatoms,(F. Meister) A. Tuji & A. Houki,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira sp.,Centric Diatoms,Thwaites,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria paradoxa,Pennate Diatoms,J.F. Gmelin,www.algaebase.org,Bacillaria paxillifera,(O.F. Müller) T. Marsson,www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,marine
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria paxillifer,Pennate Diatoms,(O.F. Müller) T. Marsson,www.algaebase.org,Bacillaria paxillifera,(O.F. Müller) T. Marsson,www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,marine
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria paxillifera,Pennate Diatoms,(O.F. Müller) T. Marsson,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,marine
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria sp.,Pennate Diatoms,Gmelin,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,freshwater to marine
Plantae,Rhodophyta,Bangiophyceae,Bangia,Bangia atropurpurea,Red Algae,(Mertens ex Roth) C. Agardh,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Biddulphia,Biddulphia laevis,Centric Diatoms,Ehrenberg,www.algaebase.org,Pleurosira laevis,(Ehrenberg) Compère,www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Biddulphia,Biddulphia sp.,Centric Diatoms,S.F. Gray,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,marine
Plantae,Chlorophyta,Chlorophyceae,Botryococcus,Botryococcus sp.,Green Algae,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Caloneis,Caloneis amphisbaena,Pennate Diatoms,(Bory de Saint Vincent) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Caloneis,Caloneis schumanniana,Pennate Diatoms,(Grunow) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Caloneis,Caloneis sp.,Pennate Diatoms,Cleve,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Calothrix,Calothrix braunii,Cyanobacteria,Bornet and Flahault,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Chromista,Haptophyta,Coccolithophyceae,Calyptrosphaera,Calyptrosphaera sp.,Coccolithophores,Lohmann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Bacillariophyceae,Campylodiscus,Campylodiscus hibernicus,Pennate Diatoms,Ehrenberg,www.algaebase.org,Iconella hibernica,(Ehrenberg) Ruck and Nakov,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Campylodiscus,Campylodiscus sp.,Pennate Diatoms,Ehrenberg ex Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Carteria,Carteria cordiformis,Green Algae,(Carter) Diesing,www.algaebase.org,Tetraselmis cordiformis,(H.J. Carter) F. Stein,www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Carteria,Carteria klebsii,Green Algae,(P.A. Dangeard) Francé,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Carteria,Carteria sp.,Green Algae,Diesing,Wehr and Sheath 2003,Tetraselmis sp.,F. Stein,www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic,freshwater
Chromista,Ochrophyta,Xanthophyceae,Centritractus,Centritractus sp.,Xanthophytes,Lemmermann,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
