Kingdom,Phylum,Class,Genus,Taxon,Algal Type,Species,Authority,Authority Source,Current Name,Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula oppugnata,Pennate Diatom,oppugnata,Hustedt,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula recens,Pennate Diatom,recens,Lange-Bertalot,www.algaebase.org,Basionym: Navicula cari var. recens,Lange-Bertalot,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwatermarine
Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia cf. alpina,Pennate Diatom,alpina,Hustedt,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia exilis,Pennate Diatom,exilis,Sovereign,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Pediastrum,Pediastrum angulosum,Green alga,angulosum,Ehrenberg ex Meneghini,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,,freshwater
Protozoa,Euglenozoa,Euglenophyceae,Phacus,Phacus hamelii,Unknown flagellate,hamelii,P.Allorge & M.Lefèvre,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,,freshwater
Plantae,Chlorophyta,Chlorophyceae,Selenastrum,Selenastrum gracile,Green alga,gracile,Reinsch,www.algaebase.org,Messastrum gracile,T.S.Garcia,www.algaebase.org,Cavalier-Smith 1998,,,freshwater
Chromista,Miozoa,Unknown,Unknown,small dinoflagellates,Dinoflagellate,Unknown,Cavalier-Smith,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,,,Unknown
Unknown,Unknown,Unknown,Unknown,small nano-flagellates,Unknown,Unknown,Unknown,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,,,Unknown
Eubacteria,Cyanobacteria,Cyanophyceae,Sphaerospermopsis,Sphaerospermopsis aphanizomenoides,Cyanobacterium,aphanizomenoides,"Zapomelová, Jezberová, Hrouzek, Hisem, Reháková & Komárková",www.algaebase.org,Basionym: Anabaena aphanizomenoides ,Forti,www.algaebase.org,Cavalier-Smith 1998,,,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Staurosirella,Staurosirella sp.,Pennate Diatom,sp.,D.M.Wiliams & Round,www.algaebase.org,Holotype: Fragilaria lapponica,Grunow,www.algaebase.org,Cavalier-Smith 1998,Some colonial some solitary,Some benthic some planktonic,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Surirella,Surirella iowensis,Pennate Diatom,iowensis,R.L.Lowe,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyta,Mediophyceae,Thalassiosira,Thalassiosira bramaputrae,Centric Diatom,bramaputrae,Håkansson & Locker,www.algaebase.org,Basionym: Stephanodiscus bramaputrae,Ehrenberg ,www.algaebase.org,Cavalier-Smith 1998,Some colonial some solitary,Other Thalassiosira spp. are planktonic,freshwater
Chromista,Bacillariophyta,Mediophyceae,Thalassiosira,Thalassiosira decipiens,Centric Diatom,decipiens,Jørgensen ,www.algaebase.org,Basionym: Coscinodiscus decipiens,Grunow ex Van Heurck,www.algaebase.org,Cavalier-Smith 1998,Some colonial some solitary,Other Thalassiosira spp. are planktonic,marine
Eubacteria,Cyanobacteria,Unknown,Unknown,Unknown Banana Blue Green,Cyanobacterium,Unknown,Stanier ex Cavalier-Smith,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Chromista,Bacillariophyta,Unknown,Unknown,Unknown centrales sp.,Centric Diatom,Unknown,Karsten,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Chromista,Bacillariophyta,Unknown,Unknown,Unknown Centric diatom,Centric Diatom,Unknown,Karsten,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Chromista,Bacillariophyta,Unknown,Unknown,Unknown centric sp.,Centric Diatom,Unknown,Karsten,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Unknown,Unknown,Unknown Chlorophyte alga sp.,Green alga,Unknown,Reichenbach,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Unknown,Unknown,Unknown Chlorophyte filament,Green alga,Unknown,Reichenbach,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Chrysophyceae,Unknown,Unknown crysophyte,Chrysophyte,Unknown,Pascher,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Eubacteria,Cyanobacteria,Unknown,Unknown,Unknown Cyanobacteria sp.,Cyanobacterium,Unknown,Stanier ex Cavalier-Smith,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Chromista,Miozoa,Unknown,Unknown,Unknown dinoflagellate sp.,Dinoflagellate,Unknown,Cavalier-Smith,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown genus,Unknown,Unknown,Unknown,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Chromista,Bacillariophyta,Unknown,Unknown,Unknown girdle sp.,Unknown Diatom,Unknown,Karsten,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Chromista,Bacillariophyta,Bacillariophyceae,Unknown,Unknown pennales sp.,Pennate Diatom,Unknown,Haeckel,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
Chromista,Bacillariophyta,Bacillariophyceae,Unknown,Unknown pennate girdle sp.,Pennate Diatom,Unknown,Haeckel,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Unknown,Unknown,Unknown
