Kingdom,Phylum,Class,Genus,Name,AlgalGroup,CurrentName
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora pediculus,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora sp.,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena affinis,Cyanobacteria,Dolichospermum affine
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena circinalis,Cyanobacteria,Dolichospermum circinale
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena sp.,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena spiroides,Cyanobacteria,Dolichospermum spiroides
Bacteria,Cyanobacteria,Cyanophyceae,Anabaenopsis,Anabaenopsis elenkinii,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Anabaenopsis,Anabaenopsis sp.,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis cyanea,Cyanobacteria,Microcystis aeruginosa
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis incerta,Cyanobacteria,Aphanocapsa incerta
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis limnetica,Cyanobacteria,Limnococcus limneticus
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis nidulans,Cyanobacteria,Aphanothece nidulans
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis sp.,Cyanobacteria,None
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus arcuatus,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus braunii,Green Algae,Chlorolobion braunii
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus convolutus,Green Algae,Monoraphidium convolutum
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus falcatus,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Ankyra,Ankyra ancora,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Ankyra,Ankyra sp.,Green Algae,None
Chromista,Ochrophyta,Bacillariophyceae,Anomoeoneis,Anomoeoneis capitata,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Anomoeoneis,Anomoeoneis sp.,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon flos-aquae,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon klebahnii,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon sp.,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Aphanocapsa,Aphanocapsa sp.,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Aphanothece,Aphanothece endophytica,Cyanobacteria,Anathece endophytica
Bacteria,Cyanobacteria,Cyanophyceae,Aphanothece,Aphanothece sp.,Cyanobacteria,None
Chromista,Ochrophyta,Xanthophyceae,Arachnochloris,Arachnochloris minor,Xanthophytes,None
Chromista,Ochrophyta,Xanthophyceae,Arachnochloris,Arachnochloris sp.,Xanthophytes,None
Chromista,Ochrophyta,Fragilariophyceae,Asterionella,Asterionella formosa,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Asterionella,Asterionella sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Fragilariophyceae,Asterionellopsis,Asterionellopsis glacialis,Pennate Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Asteromphalus,Asteromphalus sp.,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Attheya,Attheya sp.,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Attheya,Attheya zachariasii,Centric Diatoms,Acanthoceras zachariasii
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira alpigena,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira ambigua,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira distans,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira granulata,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira italica,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira pusilla,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira sp.,Centric Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria paradoxa,Pennate Diatoms,Bacillaria paxillifera
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria paxillifer,Pennate Diatoms,Bacillaria paxillifera
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria paxillifera,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria sp.,Pennate Diatoms,None
Plantae,Rhodophyta,Bangiophyceae,Bangia,Bangia atropurpurea,Red Algae,None
Chromista,Ochrophyta,Coscinodiscophyceae,Biddulphia,Biddulphia laevis,Centric Diatoms,Pleurosira laevis
Chromista,Ochrophyta,Coscinodiscophyceae,Biddulphia,Biddulphia sp.,Centric Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Botryococcus,Botryococcus sp.,Green Algae,None
Chromista,Ochrophyta,Bacillariophyceae,Caloneis,Caloneis amphisbaena,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Caloneis,Caloneis schumanniana,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Caloneis,Caloneis sp.,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Calothrix,Calothrix braunii,Cyanobacteria,None
Chromista,Haptophyta,Coccolithophyceae,Calyptrosphaera,Calyptrosphaera sp.,Coccolithophores,None
Chromista,Ochrophyta,Bacillariophyceae,Campylodiscus,Campylodiscus hibernicus,Pennate Diatoms,Iconella hibernica
Chromista,Ochrophyta,Bacillariophyceae,Campylodiscus,Campylodiscus sp.,Pennate Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Carteria,Carteria cordiformis,Green Algae,Tetraselmis cordiformis
Plantae,Chlorophyta,Chlorophyceae,Carteria,Carteria klebsii,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Carteria,Carteria sp.,Green Algae,Tetraselmis sp.
Chromista,Ochrophyta,Xanthophyceae,Centritractus,Centritractus sp.,Xanthophytes,None
Chromista,Ochrophyta,Coscinodiscophyceae,Cerataulina,Cerataulina sp.,Centric Diatoms,None
Protozoa,Dinozoa,Dinophyceae,Ceratium,Ceratium furca,Dinoflagellates,Tripos furca
Protozoa,Dinozoa,Dinophyceae,Ceratium,Ceratium hirundinella,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Ceratium,Ceratium lineatum,Dinoflagellates,Tripos lineatus
Protozoa,Dinozoa,Dinophyceae,Ceratium,Ceratium sp.,Dinoflagellates,None
Chromista,Ochrophyta,Fragilariophyceae,Ceratoneis,Ceratoneis arcus,Pennate Diatoms,Hannaea arcus
Chromista,Ochrophyta,Fragilariophyceae,Ceratoneis,Ceratoneis closterium,Pennate Diatoms,Cylindrotheca closterium
Chromista,Ochrophyta,Fragilariophyceae,Ceratoneis,Ceratoneis sp.,Pennate Diatoms,Cylindrotheca sp.
Chromista,Ochrophyta,Coscinodiscophyceae,Chaetoceros,Chaetoceros elmorei,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Chaetoceros,Chaetoceros sp.,Centric Diatoms,None
Chromista,Ochrophyta,Xanthophyceae,Characiopsis,Characiopsis sp.,Xanthophytes,Pseudocharaciopsis sp.
Chromista,Ochrophyta,Xanthophyceae,Characiopsis,Characiopsis turgida,Xanthophytes,None
Plantae,Chlorophyta,Chlorophyceae,Characium,Characium sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas braunii,Green Algae,Microglena braunii
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas globosa,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas gloeopara,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas grovei,Green Algae,Chloromonas grovei
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas mirabilis,Green Algae,Chloromonas mirabilis
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonas,Chlamydomonas sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlamydonephris,Chlamydonephris pomiformis,Green Algae,None
Chromista,Ochrophyta,Xanthophyceae,Chlorallanthus,Chlorallanthus sp.,Xanthophytes,None
Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella ellipsoidea,Green Algae,Chloroidium ellipsoideum
Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella miniata,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella vulgaris,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlorococcum,Chlorococcum infusionum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlorococcum,Chlorococcum minutum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlorococcum,Chlorococcum sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlorogonium,Chlorogonium sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chloroidium,Chloroidium ellipsoideum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chlorolobion,Chlorolobion braunii,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Chodatella,Chodatella quadriseta,Green Algae,Lagerheimia genevensis
Plantae,Chlorophyta,Chlorophyceae,Chodatella,Chodatella sp.,Green Algae,Lagerheimia sp.
Plantae,Chlorophyta,Chlorophyceae,Chodatella,Chodatella wratislaviensis,Green Algae,Lagerheimia wratislawiensis
Chromista,Ochrophyta,Chrysophyceae,Chromulina,Chromulina sp.,Chrysophytes,None
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus dispersus,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus limneticus,Cyanobacteria,Limnococcus limneticus
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus microscopicus,Cyanobacteria,Eucapsis microscopica
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus minimus,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus minutus,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus planctonicus,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,Cyanobacteria,None
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas acuta,Cryptophytes,Komma caudata
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas marina,Cryptophytes,Cryptomonas kielensis
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas nordstedtii,Cryptophytes,None
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas rosenbergii,Cryptophytes,Chroomonas coerulea
Chromista,Cryptophyta,Cryptophyceae,Chroomonas,Chroomonas sp.,Cryptophytes,None
Chromista,Ochrophyta,Chrysophyceae,Chrysamoeba,Chrysamoeba sp.,Chrysophytes,None
Chromista,Ochrophyta,Chrysophyceae,Chrysocapsella,Chrysocapsella paludosa,Chrysophytes,Chrysocapsa paludosa
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina birgeri,Haptophytes,None
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina parva,Haptophytes,None
Chromista,Haptophyta,Prymnesiophyceae,Chrysochromulina,Chrysochromulina sp.,Haptophytes,None
Chromista,Ochrophyta,Chrysophyceae,Chrysococcus,Chrysococcus rufescens,Chrysophytes,None
Chromista,Ochrophyta,Chrysophyceae,Chrysococcus,Chrysococcus sp.,Chrysophytes,None
Chromista,Ochrophyta,Chrysophyceae,Chrysococcus,Chrysococcus spp.,Chrysophytes,None
Chromista,Ochrophyta,Chrysophyceae,Chrysosaccus,Chrysosaccus sp.,Chrysophytes,None
Plantae,Chlorophyta,Cladophorophyceae,Cladophora,Cladophora sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis acicularis,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis longissima,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Closteriopsis,Closteriopsis sp.,Green Algae,None
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium aciculare,Green Algae,None
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium acutum,Green Algae,None
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium arcuatum,Green Algae,Closterium dianae var. arcuatum
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium setaceum,Green Algae,None
Plantae,Chlorophyta,Zygnematophyceae,Closterium,Closterium sp.,Green Algae,None
Bacteria,Cyanobacteria,Cyanophyceae,Coccochloris,Coccochloris sp.,Cyanobacteria,Aphanothece sp.
Plantae,Chlorophyta,Chlorophyceae,Coccomonas,Coccomonas sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Coccomyxa,Coccomyxa sp.,Green Algae,None
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis pediculus,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cocconeis,Cocconeis sp.,Pennate Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum microporum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum sphaericum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Coelastrum,Coelastrum verrucosum,Green Algae,Coelastrum sphaericum
Bacteria,Cyanobacteria,Cyanophyceae,Coelosphaerium,Coelosphaerium sp.,Cyanobacteria,None
Plantae,Rhodophyta,Rhodellophyceae,Compsopogon,Compsopogon sp.,Red Algae,None
Chromista,Ochrophyta,Coscinodiscophyceae,Corethron,Corethron hystrix,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus denarius,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus radiatus,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus sp.,Centric Diatoms,None
Plantae,Chlorophyta,Zygnematophyceae,Cosmarium,Cosmarium sp.,Green Algae,None
Plantae,Chlorophyta,Zygnematophyceae,Cosmarium,Cosmarium tinctum,Green Algae,None
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula accomoda,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula buderi,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula elkab,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula halophila,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula molestiformis,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Craticula,Craticula sp.,Pennate Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia apiculata,Green Algae,Willea apiculata
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia crucifera,Green Algae,Willea crucifera
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia fenestrata,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia irregularis,Green Algae,Crucigeniella irregularis
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia lauterbornii,Green Algae,Lemmermannia komarekii
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia quadrata,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia rectangularis,Green Algae,Willea rectangularis
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia staurogeniaeformis,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia tetrapedia,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Crucigenia,Crucigenia truncata,Green Algae,Willea truncata
Plantae,Chlorophyta,Chlorophyceae,Crucigeniella,Crucigeniella crucifera,Green Algae,Willea crucifera
Protozoa,Dinozoa,Dinophyceae,Crypthecodinium,Crypthecodinium cohnii,Dinoflagellates,None
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas curvata,Cryptophytes,None
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas erosa,Cryptophytes,None
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas marssonii,Cryptophytes,None
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas ovata,Cryptophytes,None
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas sp.,Cryptophytes,None
Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas tetrapyrenoidosa,Cryptophytes,None
Bacteria,Cyanobacteria,Cyanophyceae,Cuspidothrix,Cuspidothrix sp.,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Cyanarcus,Cyanarcus hamiformis,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Cyanodictyon,Cyanodictyon sp.,Cyanobacteria,None
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclostephanos,Cyclostephanos sp.,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella atomus,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella comta,Centric Diatoms,Lindavia comta
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella gamma,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella glomerata,Centric Diatoms,Lindavia glomerata
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella meneghiniana,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella sp.,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella stelligera,Centric Diatoms,Discostella stelligera
Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella striata,Centric Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Cylindrospermopsis,Cylindrospermopsis acuminatocrispa,Cyanobacteria,Raphidiopsis acuminatocrispa
Bacteria,Cyanobacteria,Cyanophyceae,Cylindrospermopsis,Cylindrospermopsis sp.,Cyanobacteria,Raphidiopsis sp.
Bacteria,Cyanobacteria,Cyanophyceae,Cylindrospermum,Cylindrospermum sp.,Cyanobacteria,None
Chromista,Ochrophyta,Bacillariophyceae,Cylindrotheca,Cylindrotheca closterium,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cylindrotheca,Cylindrotheca sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cymatopleura,Cymatopleura elliptica,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cymatopleura,Cymatopleura solea,Pennate Diatoms,Surirella librile
Chromista,Ochrophyta,Bacillariophyceae,Cymatopleura,Cymatopleura sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella affinis,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella janischii,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella mexicana,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella sinuata,Pennate Diatoms,Reimeria sinuata
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella turgida,Pennate Diatoms,Encyonema elginense
Chromista,Ochrophyta,Bacillariophyceae,Cymbella,Cymbella ventricosa,Pennate Diatoms,Encyonema ventricosum
Chromista,Ochrophyta,Bacillariophyceae,Cymbopleura,Cymbopleura anglica,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Cymbopleura,Cymbopleura sp.,Pennate Diatoms,None
Protozoa,Dinozoa,Dinophyceae,Cystodinium,Cystodinium sp.,Dinoflagellates,None
Bacteria,Cyanobacteria,Cyanophyceae,Dactylococcopsis,Dactylococcopsis sp.,Cyanobacteria,None
Plantae,Chlorophyta,Chlorophyceae,Dactylococcus,Dactylococcus infusionum,Green Algae,None
Chromista,Ochrophyta,Bacillariophyceae,Denticula,Denticula elegans,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Denticula,Denticula pelagica,Pennate Diatoms,Tetralunata pelagica
Chromista,Ochrophyta,Bacillariophyceae,Denticula,Denticula sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Denticula,Denticula tenuis,Pennate Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Desmatractum,Desmatractum indutum,Green Algae,None
Plantae,Chlorophyta,Zygnematophyceae,Desmidium,Desmidium swartzii,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Desmodesmus,Desmodesmus aculeolatus,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Desmodesmus,Desmodesmus armatus,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Desmodesmus,Desmodesmus bicaudatus,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Desmodesmus,Desmodesmus sp.,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Desmodesmus,Desmodesmus subspicatus,Green Algae,None
