Genus,Group
Cylindrotheca,Pennate Diatoms
Cymatopleura,Pennate Diatoms
Cymbella,Pennate Diatoms
Cymbopleura,Pennate Diatoms
Desmatractum,Green Algae
Desmodesmus,Green Algae
Diatoma,Pennate Diatoms
Dictyocha,Silico-flagellates
Dictyochloris,Green Algae
Dictyosphaerium,Green Algae
Didymosphenia,Green Algae
Dinobryon,Chrysophytes
Dinophysis,Dinoflagellates
Diploneis,Pennate Diatoms
Ditylum,Centric Diatoms
Dolichospermum,Cyanobacteria
Drepanochloris,Green Algae
Dunaliella,Green Algae
Elakatothrix,Green Algae
Encyonema,Pennate Diatoms
Encyonopsis,Pennate Diatoms
Entomoneis,Pennate Diatoms
Epipyxis,Chrysophytes
Epithemia,Pennate Diatoms
Eucampia,Centric Diatoms
Eucapsis,Cyanobacteria
Euglena,Euglenoids
Eunotia,Pennate Diatoms
Eunotogramma,Centric Diatoms
Eupyxidicula,Centric Diatoms
Eutreptia,Euglenoids
Eutreptiella,Euglenoids
Fallacia,Pennate Diatoms
Fragilaria,Pennate Diatoms
Fragilariforma,Pennate Diatoms
Fragilariopsis,Pennate Diatoms
Frustulia,Pennate Diatoms
Geissleria,Pennate Diatoms
Geitlerinema,Cyanobacteria
Glaucospira,Cyanobacteria
Gloeocapsa,Cyanobacteria
Gloeocystis,Green Algae
Golenkinia,Green Algae
Gomphoneis,Pennate Diatoms
Gomphonema,Pennate Diatoms
Gomphosinica,Pennate Diatoms
Gomphosphaeria,Cyanobacteria
Goniochloris,Xanthophytes
Gonium,Green Algae
Gonyaulax,Dinoflagellates
Guinardia,Centric Diatoms
Gymnodinium,Dinoflagellates
Gyrodinium,Dinoflagellates
Gyrosigma,Pennate Diatoms
Haematococcus,Green Algae
Halamphora,Pennate Diatoms
Hannaea,Pennate Diatoms
Hantzschia,Pennate Diatoms
Hapalosiphon,Cyanobacteria
Hemiaulus,Centric Diatoms
Hemidiscus,Centric Diatoms
Hemiselmis,Cryptophytes
Heterocapsa,Dinoflagellates
Heteroleibleinia,Cyanobacteria
Heterosigma,Raphidophytes
Hillea,Cryptophytes
Hippodonta,Pennate Diatoms
Humidophila,Pennate Diatoms
Hydrosera,Centric Diatoms
Iconella,Pennate Diatoms
Karlodinium,Dinoflagellates
Katodinium,Dinoflagellates
Kephyrion,Chrysophytes
Keratococcus,Green Algae
Kirchneriella,Green Algae
Klebsormidium,Green Algae
Komma,Cryptophytes
Komvophoron,Cyanobacteria
Korshikoviella,Green Algae
Kryptoperidinium,Dinoflagellates
Lacunastrum,Green Algae
Lagerheimia,Green Algae
Lebouridinium,Dinoflagellates
Lemmermannia,Green Algae
Lemnicola,Pennate Diatoms
Lepocinclis,Euglenoids
Leptocylindrus,Centric Diatoms
Leptolyngbya,Cyanobacteria
Leucocryptos,Kathablepharids
Licmophora,Pennate Diatoms
Limnococcus,Cyanobacteria
Limnothrix,Cyanobacteria
Lindavia,Centric Diatoms
Luticola,Pennate Diatoms
Lyngbya,Cyanobacteria
Mallomonas,Synurophytes
Mastogloia,Pennate Diatoms
Mayamaea,Pennate Diatoms
Melosira,Centric Diatoms
Membraneis,Pennate Diatoms
Merismopedia,Cyanobacteria
Mesoporos,Dinoflagellates
Micractinium,Green Algae
Microcostatus,Pennate Diatoms
Microcystis,Cyanobacteria
Microglena,Green Algae
Microspora,Green Algae
Monactinus,Green Algae
Monomorphina,Euglenoids
Monoraphidium,Green Algae
Mougeotia,Green Algae
Myochloris,Green Algae
Myrionecta,Ciliates
Myxobaktron,Cyanobacteria
Nannochloropsis,Eustigmatophytes
Nautococcus,Green Algae
Navicula,Pennate Diatoms
Navigeia,Pennate Diatoms
Neidium,Pennate Diatoms
Nephrocytium,Green Algae
Nephroselmis,Green Algae
Nitzschia,Pennate Diatoms
Nostoc,Cyanobacteria
Nupela,Pennate Diatoms
Oblea,Dinoflagellates
Ochromonas,Chrysophytes
Octactis,Silico-flagellates
Odontella,Centric Diatoms
Oedogonium,Green Algae
Oocystis,Green Algae
Ophiocytium,Xanthophytes
Ornithocercus,Dinoflagellates
Oscillatoria,Cyanobacteria
Palmella,Green Algae
Pandorina,Green Algae
Paralia,Centric Diatoms
Parvodinium,Dinoflagellates
Pediastrum,Green Algae
Pedinella,Silico-flagellates
Peridiniopsis,Dinoflagellates
Peridinium,Dinoflagellates
Phacus,Euglenoids
Phaeocystis,Haptophytes
Phalacroma,Dinoflagellates
Phormidium,Cyanobacteria
Pinnularia,Pennate Diatoms
Plagioselmis,Cryptophytes
Plagiotropis,Pennate Diatoms
Planktolyngbya,Cyanobacteria
Planktosphaeria,Green Algae
Planktothrix,Cyanobacteria
Planothidium,Pennate Diatoms
Pleurosigma,Pennate Diatoms
Pleurosira,Centric Diatoms
Prorocentrum,Dinoflagellates
Protoderma,Green Algae
Protoperidinium,Dinoflagellates
Prymnesium,Haptophytes
Psammodictyon,Pennate Diatoms
Psammothidium,Pennate Diatoms
Pseudanabaena,Cyanobacteria
Pseudocharaciopsis,Xanthophytes
Pseudokephyrion,Chrysophytes
Pseudo-nitzschia,Pennate Diatoms
Pseudopediastrum,Green Algae
Pseudoschroederia,Green Algae
Pseudoscourfieldia,Green Algae
Pseudostaurastrum,Green Algae
Pseudostaurosira,Pennate Diatoms
Pyramimonas,Green Algae
Pyrocystis,Dinoflagellates
Pyrophacus,Dinoflagellates
Quadrigula,Green Algae
Radiococcus,Green Algae
Raphidiopsis,Cyanobacteria
Raphidocelis,Green Algae
Reimeria,Pennate Diatoms
Rhabdoderma,Cyanobacteria
Rhizoclonium,Green Algae
Rhizosolenia,Centric Diatoms
Rhodomonas,Cryptophytes
Rhoicosphenia,Pennate Diatoms
Rhopalodia,Pennate Diatoms
Rusalka,Green Algae
Salpingella,Ciliates
Scenedesmus,Green Algae
Schroederia,Green Algae
Scrippsiella,Dinoflagellates
Selenastrum,Green Algae
Sellaphora,Pennate Diatoms
Seminavis,Pennate Diatoms
Skeletonema,Centric Diatoms
Snowella,Cyanobacteria
Sphaerellocystis,Green Algae
Sphaerocystis,Green Algae
Sphaerospermopsis,Cyanobacteria
Spirogyra,Green Algae
Spirulina,Cyanobacteria
Sprirulina,Cyanobacteria
Staurastrum,Green Algae
Stauridium,Green Algae
Stauroforma,Pennate Diatoms
Stauroneis,Pennate Diatoms
Staurosira,Pennate Diatoms
Staurosirella,Pennate Diatoms
Stenopterobia,Pennate Diatoms
Stephanocyclus,Centric Diatoms
Stephanodiscus,Centric Diatoms
Stigeoclonium,Green Algae
Stigonema,Cyanobacteria
Striatella,Pennate Diatoms
Strombidium,Ciliates
Strombomonas,Euglenoids
Surirella,Pennate Diatoms
Synechococcus,Cyanobacteria
Synechocystis,Cyanobacteria
Synedra,Pennate Diatoms
Synura,Synurophytes
Tabellaria,Pennate Diatoms
Tapinothrix,Cyanobacteria
Teilingia,Green Algae
Teleaulax,Cryptophytes
Terpsinoe,Centric Diatoms
Tetrabaena,Green Algae
Tetradesmus,Green Algae
Tetraedron,Green Algae
Tetraselmis,Green Algae
Tetrastrum,Green Algae
Thalassionema,Pennate Diatoms
Thalassiosira,Centric Diatoms
Tovellia,Dinoflagellates
Trachelomonas,Euglenoids
Treubaria,Green Algae
Triceratium,Centric Diatoms
Tripos,Dinoflagellates
Tryblionella,Pennate Diatoms
Ulnaria,Pennate Diatoms
Unknown,Unknown
Urosolenia,Centric Diatoms
Volvox,Green Algae
Warnowia,Dinoflagellates
Westella,Green Algae
Willea,Green Algae
Woloszynskia,Dinoflagellates
Woronichinia,Cyanobacteria
Xenococcus,Cyanobacteria
Zygoceros,Centric Diatoms
Mucidosphaerium,Pennate Diatoms
Romeria,Cyanobacteria
Odontidium,Pennate Diatoms
