SampleID,Genus,BV.per.mL,,Year,Month,Season,StationCode,Region,RegionAbbreviation
NZ068.Aug.2018,Plagioselmis,55349.28,,2018,Aug,Summer,NZ068,Northern Interior Delta,NID
NZ068.Aug.2018,Eucapsis,53337.32,,2018,Aug,Summer,NZ068,Northern Interior Delta,NID
NZ068.Aug.2018,Chlorella,10781.45,,2018,Aug,Summer,NZ068,Northern Interior Delta,NID
C3A.Aug.2018,Cyclotella,19546.77,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
C3A.Aug.2018,Eucapsis,34013.88,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
C3A.Aug.2018,Pseudanabaena,4043.04,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
C3A.Aug.2018,Chlorella,6289.18,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
C3A.Aug.2018,Achnanthidium,17066.03,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
C3A.Aug.2018,Encyonema,39942.79,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
C3A.Aug.2018,Nitzschia,115550.25,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
C3A.Aug.2018,Ulnaria,63651.68,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
D12.Aug.2018,Cyclotella,56567.33,,2018,Aug,Summer,D12,Confluence,CON
D12.Aug.2018,Chroococcus,140653.91,,2018,Aug,Summer,D12,Confluence,CON
D12.Aug.2018,Eucapsis,147539.74,,2018,Aug,Summer,D12,Confluence,CON
D12.Aug.2018,Chlorella,13317.44,,2018,Aug,Summer,D12,Confluence,CON
EZ2 SJR.Aug.2018,Cyclotella,242030.43,,2018,Aug,Summer,EZ2 SJR,Low Salinity Zone,LSZ
EZ2 SJR.Aug.2018,Chroococcus,338639.09,,2018,Aug,Summer,EZ2 SJR,Low Salinity Zone,LSZ
EZ2 SJR.Aug.2018,Eucapsis,94503.97,,2018,Aug,Summer,EZ2 SJR,Low Salinity Zone,LSZ
D19.Aug.2018,Skeletonema,28746.48,,2018,Aug,Summer,D19,Central Delta,CED
D19.Aug.2018,Plagioselmis,129424.77,,2018,Aug,Summer,D19,Central Delta,CED
D19.Aug.2018,Chroococcus,166468.01,,2018,Aug,Summer,D19,Central Delta,CED
D19.Aug.2018,Eucapsis,41604.22,,2018,Aug,Summer,D19,Central Delta,CED
D19.Aug.2018,Pseudanabaena,11411.26,,2018,Aug,Summer,D19,Central Delta,CED
D19.Aug.2018,Chlorella,20808.5,,2018,Aug,Summer,D19,Central Delta,CED
D19.Aug.2018,Cocconeis,272808.12,,2018,Aug,Summer,D19,Central Delta,CED
D28A.Aug.2018,Plagioselmis,46636.9,,2018,Aug,Summer,D28A,Central Delta,CED
D28A.Aug.2018,Eucapsis,35448.82,,2018,Aug,Summer,D28A,Central Delta,CED
D28A.Aug.2018,Microcystis,83577.32,,2018,Aug,Summer,D28A,Central Delta,CED
D28A.Aug.2018,Chlorella,12578.36,,2018,Aug,Summer,D28A,Central Delta,CED
D28A.Aug.2018,Lagerheimia,30134.61,,2018,Aug,Summer,D28A,Central Delta,CED
D28A.Aug.2018,Cocconeis,132347.95,,2018,Aug,Summer,D28A,Central Delta,CED
D16.Aug.2018,Chroococcus,27109.39,,2018,Aug,Summer,D16,Central Delta,CED
D16.Aug.2018,Eucapsis,73687.07,,2018,Aug,Summer,D16,Central Delta,CED
D16.Aug.2018,Chlorella,20190.08,,2018,Aug,Summer,D16,Central Delta,CED
D26.Aug.2018,Aulacoseira,41824839.12,,2018,Aug,Summer,D26,Central Delta,CED
D26.Aug.2018,Cyclotella,100550.06,,2018,Aug,Summer,D26,Central Delta,CED
D26.Aug.2018,Eucapsis,58670.53,,2018,Aug,Summer,D26,Central Delta,CED
D26.Aug.2018,Microcystis,32580.6,,2018,Aug,Summer,D26,Central Delta,CED
D26.Aug.2018,Nitzschia,22726.23,,2018,Aug,Summer,D26,Central Delta,CED
D26.Aug.2018,Ulnaria,33199.37,,2018,Aug,Summer,D26,Central Delta,CED
MD10A.Aug.2018,Aulacoseira,9363754.95,,2018,Aug,Summer,MD10A,Southern Interior Delta,SID
MD10A.Aug.2018,Chroococcus,28301.31,,2018,Aug,Summer,MD10A,Southern Interior Delta,SID
MD10A.Aug.2018,Eucapsis,84624.49,,2018,Aug,Summer,MD10A,Southern Interior Delta,SID
MD10A.Aug.2018,Drepanochloris,14858.19,,2018,Aug,Summer,MD10A,Southern Interior Delta,SID
MD10A.Aug.2018,Scenedesmus,95421.42,,2018,Aug,Summer,MD10A,Southern Interior Delta,SID
P8.Aug.2018,Kephyrion,85979.39,,2018,Aug,Summer,P8,Southern Interior Delta,SID
P8.Aug.2018,Cryptomonas,138256.34,,2018,Aug,Summer,P8,Southern Interior Delta,SID
P8.Aug.2018,Plagioselmis,25888.04,,2018,Aug,Summer,P8,Southern Interior Delta,SID
P8.Aug.2018,Eucapsis,82293.52,,2018,Aug,Summer,P8,Southern Interior Delta,SID
P8.Aug.2018,Microcystis,28695.17,,2018,Aug,Summer,P8,Southern Interior Delta,SID
P8.Aug.2018,Mucidosphaerium,25886.27,,2018,Aug,Summer,P8,Southern Interior Delta,SID
P8.Aug.2018,Ulnaria,29058.37,,2018,Aug,Summer,P8,Southern Interior Delta,SID
D8.Aug.2018,Eucapsis,139757.06,,2018,Aug,Summer,D8,Grizzly.Suisun Bay,GSB
D10.Aug.2018,Cyclotella,46575.08,,2018,Aug,Summer,D10,Confluence,CON
D10.Aug.2018,Eucapsis,78470.75,,2018,Aug,Summer,D10,Confluence,CON
EZ6.Aug.2018,Cyclotella,85054.88,,2018,Aug,Summer,EZ6,Low Salinity Zone,LSZ
EZ6.Aug.2018,Eucapsis,114724.46,,2018,Aug,Summer,EZ6,Low Salinity Zone,LSZ
EZ6.Aug.2018,Microcystis,19910.37,,2018,Aug,Summer,EZ6,Low Salinity Zone,LSZ
EZ6.Aug.2018,Chlorella,8370.9,,2018,Aug,Summer,EZ6,Low Salinity Zone,LSZ
EZ2.Aug.2018,Cyclotella,669609.08,,2018,Aug,Summer,EZ2,Low Salinity Zone,LSZ
EZ2.Aug.2018,Eucapsis,131993.94,,2018,Aug,Summer,EZ2,Low Salinity Zone,LSZ
EZ2.Aug.2018,Chlorella,5022.54,,2018,Aug,Summer,EZ2,Low Salinity Zone,LSZ
D6.Aug.2018,Eucapsis,28322.61,,2018,Aug,Summer,D6,San Pablo Bay,SPB
D6.Aug.2018,Chlorella,7212.53,,2018,Aug,Summer,D6,San Pablo Bay,SPB
D7.Aug.2018,Eucapsis,119859.36,,2018,Aug,Summer,D7,Grizzly.Suisun Bay,GSB
NZS42.Aug.2018,Eucapsis,191829.03,,2018,Aug,Summer,NZS42,Grizzly.Suisun Bay,GSB
NZS42.Aug.2018,Entomoneis,6799659.47,,2018,Aug,Summer,NZS42,Grizzly.Suisun Bay,GSB
NZ032.Aug.2018,Cyclotella,139725.23,,2018,Aug,Summer,NZ032,Grizzly.Suisun Bay,GSB
NZ032.Aug.2018,Eucapsis,228788.71,,2018,Aug,Summer,NZ032,Grizzly.Suisun Bay,GSB
D41A.Aug.2018,Kephyrion,11300.48,,2018,Aug,Summer,D41A,San Pablo Bay,SPB
D41A.Aug.2018,Eucapsis,44541.87,,2018,Aug,Summer,D41A,San Pablo Bay,SPB
D41.Aug.2018,Eucapsis,34093.03,,2018,Aug,Summer,D41,San Pablo Bay,SPB
D41.Aug.2018,Nitzschia,36998.3,,2018,Aug,Summer,D41,San Pablo Bay,SPB
NZ325.Aug.2018,Eucapsis,52236.98,,2018,Aug,Summer,NZ325,San Pablo Bay,SPB
NZ002.Aug.2018,Cyclotella,43056.09,,2018,Aug,Summer,NZ002,San Pablo Bay,SPB
NZ002.Aug.2018,Eucapsis,40812.8,,2018,Aug,Summer,NZ002,San Pablo Bay,SPB
NZ002.Aug.2018,Chlorella,971.72,,2018,Aug,Summer,NZ002,San Pablo Bay,SPB
NZ004.Aug.2018,Cyclotella,29941.12,,2018,Aug,Summer,NZ004,San Pablo Bay,SPB
NZ004.Aug.2018,Eucapsis,49854.1,,2018,Aug,Summer,NZ004,San Pablo Bay,SPB
NZ004.Aug.2018,Staurosira,59347.58,,2018,Aug,Summer,NZ004,San Pablo Bay,SPB
C3A.Dec.2018,Eucapsis,23933.78,,2018,Dec,Winter,C3A,Northern Interior Delta,NID
C3A.Dec.2018,Chlorella,578.12,,2018,Dec,Winter,C3A,Northern Interior Delta,NID
C3A.Dec.2018,Coccomyxa,12779.49,,2018,Dec,Winter,C3A,Northern Interior Delta,NID
C3A.Dec.2018,Achnanthidium,94189.93,,2018,Dec,Winter,C3A,Northern Interior Delta,NID
C3A.Dec.2018,Encyonema,103033.48,,2018,Dec,Winter,C3A,Northern Interior Delta,NID
C3A.Dec.2018,Frustulia,2389721.21,,2018,Dec,Winter,C3A,Northern Interior Delta,NID
C3A.Dec.2018,Nitzschia,11722.29,,2018,Dec,Winter,C3A,Northern Interior Delta,NID
C9.Dec.2018,Cyclotella,19127.24,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C9.Dec.2018,Eucapsis,12249.26,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C9.Dec.2018,Microcystis,2343.96,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C9.Dec.2018,Chlorella,937.07,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C9.Dec.2018,Coccomyxa,8960.19,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C9.Dec.2018,Cocconeis,25618.32,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C9.Dec.2018,Nitzschia,5747.03,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C10A.Dec.2018,Cyclotella,995112.27,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Eucapsis,23902.57,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Chlorella,622.59,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Coccomyxa,50597.29,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Desmodesmus,129234.49,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Diploneis,269740.05,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Navicula,344177.5,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Nitzschia,78517.56,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Surirella,201539.3,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
D4.Dec.2018,Eucapsis,68799.47,,2018,Dec,Winter,D4,Confluence,CON
EZ6.Dec.2018,Cyclotella,81290.76,,2018,Dec,Winter,EZ6,Low Salinity Zone,LSZ
EZ6.Dec.2018,Eucapsis,58008.99,,2018,Dec,Winter,EZ6,Low Salinity Zone,LSZ
D22.Dec.2018,Cyclotella,121936.14,,2018,Dec,Winter,D22,Confluence,CON
D22.Dec.2018,Eucapsis,81334.28,,2018,Dec,Winter,D22,Confluence,CON
D22.Dec.2018,Coccomyxa,8839.15,,2018,Dec,Winter,D22,Confluence,CON
D22.Dec.2018,Nitzschia,33270.66,,2018,Dec,Winter,D22,Confluence,CON
EZ2.Dec.2018,Eucapsis,726937.78,,2018,Dec,Winter,EZ2,Low Salinity Zone,LSZ
EZ2.Dec.2018,Nitzschia,2709862.52,,2018,Dec,Winter,EZ2,Low Salinity Zone,LSZ
NZ068.Dec.2018,Cyclotella,281583.65,,2018,Dec,Winter,NZ068,Northern Interior Delta,NID
NZ068.Dec.2018,Eucapsis,30984.49,,2018,Dec,Winter,NZ068,Northern Interior Delta,NID
NZ068.Dec.2018,Coccomyxa,28320.19,,2018,Dec,Winter,NZ068,Northern Interior Delta,NID
NZ068.Dec.2018,Cocconeis,81208.16,,2018,Dec,Winter,NZ068,Northern Interior Delta,NID
D12.Dec.2018,Eucapsis,38131.78,,2018,Dec,Winter,D12,Confluence,CON
D12.Dec.2018,Microcystis,6641.22,,2018,Dec,Winter,D12,Confluence,CON
D12.Dec.2018,Coccomyxa,76785.49,,2018,Dec,Winter,D12,Confluence,CON
EZ2 SJR.Dec.2018,Eucapsis,50649.2,,2018,Dec,Winter,EZ2 SJR,Low Salinity Zone,LSZ
EZ2 SJR.Dec.2018,Chlorella,4624.96,,2018,Dec,Winter,EZ2 SJR,Low Salinity Zone,LSZ
EZ2 SJR.Dec.2018,Coccomyxa,2791.9,,2018,Dec,Winter,EZ2 SJR,Low Salinity Zone,LSZ
D19.Dec.2018,Cyclotella,210006.04,,2018,Dec,Winter,D19,Central Delta,CED
D19.Dec.2018,Plagioselmis,202332.74,,2018,Dec,Winter,D19,Central Delta,CED
D19.Dec.2018,Eucapsis,24778.9,,2018,Dec,Winter,D19,Central Delta,CED
D19.Dec.2018,Chlorella,1348.95,,2018,Dec,Winter,D19,Central Delta,CED
D19.Dec.2018,Coccomyxa,86376.59,,2018,Dec,Winter,D19,Central Delta,CED
D19.Dec.2018,Cocconeis,112070.53,,2018,Dec,Winter,D19,Central Delta,CED
D28A.Dec.2018,Plagioselmis,551203.14,,2018,Dec,Winter,D28A,Central Delta,CED
D28A.Dec.2018,Eucapsis,17037.6,,2018,Dec,Winter,D28A,Central Delta,CED
D28A.Dec.2018,Chlamydomonas,30047.02,,2018,Dec,Winter,D28A,Central Delta,CED
D28A.Dec.2018,Chlorella,404.68,,2018,Dec,Winter,D28A,Central Delta,CED
D28A.Dec.2018,Coccomyxa,3365.27,,2018,Dec,Winter,D28A,Central Delta,CED
D28A.Dec.2018,Monoraphidium,2034.1,,2018,Dec,Winter,D28A,Central Delta,CED
D16.Dec.2018,Eucapsis,27787.52,,2018,Dec,Winter,D16,Central Delta,CED
D16.Dec.2018,Chlorella,1348.95,,2018,Dec,Winter,D16,Central Delta,CED
D16.Dec.2018,Coccomyxa,5182.79,,2018,Dec,Winter,D16,Central Delta,CED
D16.Dec.2018,Cocconeis,203122.17,,2018,Dec,Winter,D16,Central Delta,CED
D16.Dec.2018,Rhoicosphenia,31977.57,,2018,Dec,Winter,D16,Central Delta,CED
D26.Dec.2018,Plagioselmis,278613.02,,2018,Dec,Winter,D26,Central Delta,CED
D26.Dec.2018,Eucapsis,25120.7,,2018,Dec,Winter,D26,Central Delta,CED
D26.Dec.2018,Coccomyxa,2619.01,,2018,Dec,Winter,D26,Central Delta,CED
MD10A.Dec.2018,Plagioselmis,14125.68,,2018,Dec,Winter,MD10A,Southern Interior Delta,SID
MD10A.Dec.2018,Chroococcus,899.3,,2018,Dec,Winter,MD10A,Southern Interior Delta,SID
MD10A.Dec.2018,Eucapsis,16541.8,,2018,Dec,Winter,MD10A,Southern Interior Delta,SID
MD10A.Dec.2018,Microcystis,3320.61,,2018,Dec,Winter,MD10A,Southern Interior Delta,SID
MD10A.Dec.2018,Chlorella,25180.32,,2018,Dec,Winter,MD10A,Southern Interior Delta,SID
MD10A.Dec.2018,Cladophora,2887.22,,2018,Dec,Winter,MD10A,Southern Interior Delta,SID
P8.Dec.2018,Plagioselmis,419243.03,,2018,Dec,Winter,P8,Southern Interior Delta,SID
P8.Dec.2018,Eucapsis,22013.67,,2018,Dec,Winter,P8,Southern Interior Delta,SID
P8.Dec.2018,Chlorella,2512.95,,2018,Dec,Winter,P8,Southern Interior Delta,SID
P8.Dec.2018,Monoraphidium,2712.13,,2018,Dec,Winter,P8,Southern Interior Delta,SID
P8.Dec.2018,Achnanthidium,13805.39,,2018,Dec,Winter,P8,Southern Interior Delta,SID
D8.Dec.2018,Eucapsis,46824.44,,2018,Dec,Winter,D8,Grizzly.Suisun Bay,GSB
D8.Dec.2018,Chlorella,740.71,,2018,Dec,Winter,D8,Grizzly.Suisun Bay,GSB
D8.Dec.2018,Coccomyxa,1595.37,,2018,Dec,Winter,D8,Grizzly.Suisun Bay,GSB
D10.Dec.2018,Eucapsis,82145.59,,2018,Dec,Winter,D10,Confluence,CON
D10.Dec.2018,Coccomyxa,7880.68,,2018,Dec,Winter,D10,Confluence,CON
D6.Dec.2018,Eucapsis,12302.48,,2018,Dec,Winter,D6,San Pablo Bay,SPB
D6.Dec.2018,Chlorella,188.54,,2018,Dec,Winter,D6,San Pablo Bay,SPB
D7.Dec.2018,Eucapsis,68150.42,,2018,Dec,Winter,D7,Grizzly.Suisun Bay,GSB
D7.Dec.2018,Coccomyxa,22837.4,,2018,Dec,Winter,D7,Grizzly.Suisun Bay,GSB
NZS42.Dec.2018,Eucapsis,150579.97,,2018,Dec,Winter,NZS42,Grizzly.Suisun Bay,GSB
NZS42.Dec.2018,Chlorella,6474.94,,2018,Dec,Winter,NZS42,Grizzly.Suisun Bay,GSB
NZS42.Dec.2018,Coccomyxa,26828.66,,2018,Dec,Winter,NZS42,Grizzly.Suisun Bay,GSB
NZ032.Dec.2018,Eucapsis,93648.87,,2018,Dec,Winter,NZ032,Grizzly.Suisun Bay,GSB
NZ032.Dec.2018,Microcystis,17077.41,,2018,Dec,Winter,NZ032,Grizzly.Suisun Bay,GSB
D41A.Dec.2018,Coscinodiscus,15749178.68,,2018,Dec,Winter,D41A,San Pablo Bay,SPB
D41A.Dec.2018,Eucapsis,20946.67,,2018,Dec,Winter,D41A,San Pablo Bay,SPB
D41A.Dec.2018,Chlorella,981.05,,2018,Dec,Winter,D41A,San Pablo Bay,SPB
D41A.Dec.2018,Surirella,132004.93,,2018,Dec,Winter,D41A,San Pablo Bay,SPB
D41.Dec.2018,Eucapsis,12314.59,,2018,Dec,Winter,D41,San Pablo Bay,SPB
D41.Dec.2018,Microcystis,8750.86,,2018,Dec,Winter,D41,San Pablo Bay,SPB
NZ325.Dec.2018,Plagioselmis,375397.45,,2018,Dec,Winter,NZ325,San Pablo Bay,SPB
NZ325.Dec.2018,Eucapsis,40869.97,,2018,Dec,Winter,NZ325,San Pablo Bay,SPB
NZ325.Dec.2018,Microcystis,14942.74,,2018,Dec,Winter,NZ325,San Pablo Bay,SPB
NZ325.Dec.2018,Chlorella,5058.55,,2018,Dec,Winter,NZ325,San Pablo Bay,SPB
NZ325.Dec.2018,Coccomyxa,3141.62,,2018,Dec,Winter,NZ325,San Pablo Bay,SPB
NZ002.Dec.2018,Eucapsis,36959.88,,2018,Dec,Winter,NZ002,San Pablo Bay,SPB
NZ002.Dec.2018,Coccomyxa,2650.56,,2018,Dec,Winter,NZ002,San Pablo Bay,SPB
NZ004.Dec.2018,Eucapsis,36779.59,,2018,Dec,Winter,NZ004,San Pablo Bay,SPB
D16.45125.2018,Plagioselmis,118139.41,,2018,18-Jul,Summer,D16,Central Delta,CED
D16.45125.2018,Aphanizomenon,627176.57,,2018,18-Jul,Summer,D16,Central Delta,CED
D16.45125.2018,Eucapsis,54862.35,,2018,18-Jul,Summer,D16,Central Delta,CED
D16.45125.2018,Microcystis,57390.35,,2018,18-Jul,Summer,D16,Central Delta,CED
D16.45125.2018,Chlorella,9433.77,,2018,18-Jul,Summer,D16,Central Delta,CED
D26.45125.2018,Aphanizomenon,238924.41,,2018,18-Jul,Summer,D26,Central Delta,CED
D26.45125.2018,Eucapsis,53781.32,,2018,18-Jul,Summer,D26,Central Delta,CED
D26.45125.2018,Microcystis,204050.51,,2018,18-Jul,Summer,D26,Central Delta,CED
D26.45125.2018,Chlorella,8150.78,,2018,18-Jul,Summer,D26,Central Delta,CED
D26.45125.2018,Mucidosphaerium,20439.84,,2018,18-Jul,Summer,D26,Central Delta,CED
D26.45125.2018,Cocconeis,358386.61,,2018,18-Jul,Summer,D26,Central Delta,CED
D26.45125.2018,Ulnaria,258078.5,,2018,18-Jul,Summer,D26,Central Delta,CED
MD10A.45125.2018,Cyclotella,100818.27,,2018,18-Jul,Summer,MD10A,Southern Interior Delta,SID
MD10A.45125.2018,Eucapsis,40776.27,,2018,18-Jul,Summer,MD10A,Southern Interior Delta,SID
MD10A.45125.2018,Chlorella,42329.89,,2018,18-Jul,Summer,MD10A,Southern Interior Delta,SID
MD10A.45125.2018,Cocconeis,10583.07,,2018,18-Jul,Summer,MD10A,Southern Interior Delta,SID
P8.45125.2018,Cyclotella,56473.77,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
P8.45125.2018,Cryptomonas,599909.09,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
P8.45125.2018,Plagioselmis,51894.81,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
P8.45125.2018,Chroococcus,126885.62,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
P8.45125.2018,Eucapsis,69216.17,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
P8.45125.2018,Pseudanabaena,382791.89,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
P8.45125.2018,Chlorella,33456.17,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
D8.45125.2018,Cyclotella,83835.14,,2018,18-Jul,Summer,D8,Grizzly.Suisun Bay,GSB
D8.45125.2018,Cryptomonas,379895.8,,2018,18-Jul,Summer,D8,Grizzly.Suisun Bay,GSB
D8.45125.2018,Eucapsis,138101.17,,2018,18-Jul,Summer,D8,Grizzly.Suisun Bay,GSB
D10.45125.2018,Cyclotella,52396.96,,2018,18-Jul,Summer,D10,Confluence,CON
D10.45125.2018,Plagioselmis,326411.69,,2018,18-Jul,Summer,D10,Confluence,CON
D10.45125.2018,Eucapsis,94282.2,,2018,18-Jul,Summer,D10,Confluence,CON
EZ6.45125.2018,Chroococcus,39070.53,,2018,18-Jul,Summer,EZ6,Low Salinity Zone,LSZ
EZ6.45125.2018,Eucapsis,114808.33,,2018,18-Jul,Summer,EZ6,Low Salinity Zone,LSZ
EZ2.45125.2018,Cyclotella,112947.53,,2018,18-Jul,Summer,EZ2,Low Salinity Zone,LSZ
EZ2.45125.2018,Eucapsis,218080.62,,2018,18-Jul,Summer,EZ2,Low Salinity Zone,LSZ
EZ2.45125.2018,Chlorella,22578.67,,2018,18-Jul,Summer,EZ2,Low Salinity Zone,LSZ
EZ2.45125.2018,Navicula,1566294.9,,2018,18-Jul,Summer,EZ2,Low Salinity Zone,LSZ
D6.45125.2018,Cyclotella,19960.75,,2018,18-Jul,Summer,D6,San Pablo Bay,SPB
D6.45125.2018,Eucapsis,32013.86,,2018,18-Jul,Summer,D6,San Pablo Bay,SPB
D6.45125.2018,Chlorella,5035.14,,2018,18-Jul,Summer,D6,San Pablo Bay,SPB
D6.45125.2018,Cocconeis,26847.71,,2018,18-Jul,Summer,D6,San Pablo Bay,SPB
D7.45125.2018,Eucapsis,49735.82,,2018,18-Jul,Summer,D7,Grizzly.Suisun Bay,GSB
D7.45125.2018,Chlorella,8063.81,,2018,18-Jul,Summer,D7,Grizzly.Suisun Bay,GSB
NZS42.45125.2018,Eucapsis,144966.32,,2018,18-Jul,Summer,NZS42,Grizzly.Suisun Bay,GSB
NZS42.45125.2018,Chlorella,15094.03,,2018,18-Jul,Summer,NZS42,Grizzly.Suisun Bay,GSB
NZ032.45125.2018,Eucapsis,95331.91,,2018,18-Jul,Summer,NZ032,Grizzly.Suisun Bay,GSB
NZ032.45125.2018,Chlorella,10990.52,,2018,18-Jul,Summer,NZ032,Grizzly.Suisun Bay,GSB
D41A.45125.2018,Chroococcus,1521.98,,2018,18-Jul,Summer,D41A,San Pablo Bay,SPB
D41A.45125.2018,Eucapsis,22578.82,,2018,18-Jul,Summer,D41A,San Pablo Bay,SPB
D41A.45125.2018,Chlorella,760.99,,2018,18-Jul,Summer,D41A,San Pablo Bay,SPB
D41.45125.2018,Cyclotella,12060.29,,2018,18-Jul,Summer,D41,San Pablo Bay,SPB
D41.45125.2018,Eucapsis,37565.84,,2018,18-Jul,Summer,D41,San Pablo Bay,SPB
D41.45125.2018,Chlorella,2096.39,,2018,18-Jul,Summer,D41,San Pablo Bay,SPB
D41.45125.2018,Mucidosphaerium,4185.45,,2018,18-Jul,Summer,D41,San Pablo Bay,SPB
D41.45125.2018,Nitzschia,5555.3,,2018,18-Jul,Summer,D41,San Pablo Bay,SPB
NZ325.45125.2018,Plagioselmis,114025.99,,2018,18-Jul,Summer,NZ325,San Pablo Bay,SPB
NZ325.45125.2018,Eucapsis,40347.91,,2018,18-Jul,Summer,NZ325,San Pablo Bay,SPB
NZ002.45125.2018,Thalassiosira,196430.49,,2018,18-Jul,Summer,NZ002,San Pablo Bay,SPB
NZ002.45125.2018,Eucapsis,28474.1,,2018,18-Jul,Summer,NZ002,San Pablo Bay,SPB
NZ002.45125.2018,Chlorella,9697.44,,2018,18-Jul,Summer,NZ002,San Pablo Bay,SPB
NZ004.45125.2018,Eucapsis,40179.67,,2018,18-Jul,Summer,NZ004,San Pablo Bay,SPB
NZ004.45125.2018,Chlorella,9959.97,,2018,18-Jul,Summer,NZ004,San Pablo Bay,SPB
NZ004.45125.2018,Oocystis,26764.59,,2018,18-Jul,Summer,NZ004,San Pablo Bay,SPB
C9.45125.2018,Cyclotella,322707.24,,2018,18-Jul,Summer,C9,Southern Interior Delta,SID
C9.45125.2018,Chroococcus,570747.46,,2018,18-Jul,Summer,C9,Southern Interior Delta,SID
C9.45125.2018,Eucapsis,48612.18,,2018,18-Jul,Summer,C9,Southern Interior Delta,SID
