Genus,Group
Cylindrospermum,Cyanobacteria
Dolichospermum,Cyanobacteria
Eucapsis,Cyanobacteria
Geitlerinema,Cyanobacteria
Glaucospira,Cyanobacteria
Gloeocapsa,Cyanobacteria
Gomphosphaeria,Cyanobacteria
Hapalosiphon,Cyanobacteria
Heteroleibleinia,Cyanobacteria
Komvophoron,Cyanobacteria
Leptolyngbya,Cyanobacteria
Limnococcus,Cyanobacteria
Limnothrix,Cyanobacteria
Lyngbya,Cyanobacteria
Merismopedia,Cyanobacteria
Microcystis,Cyanobacteria
Myxobaktron,Cyanobacteria
Nostoc,Cyanobacteria
Oscillatoria,Cyanobacteria
Phormidium,Cyanobacteria
Planktolyngbya,Cyanobacteria
Planktothrix,Cyanobacteria
Pseudanabaena,Cyanobacteria
Raphidiopsis,Cyanobacteria
Rhabdoderma,Cyanobacteria
Snowella,Cyanobacteria
Spirulina,Cyanobacteria
Sprirulina,Cyanobacteria
Stigonema,Cyanobacteria
Synechococcus,Cyanobacteria
Synechocystis,Cyanobacteria
Tapinothrix,Cyanobacteria
Woronichinia,Cyanobacteria
Xenococcus,Cyanobacteria
Merismopedia,Cyanobacteria
Sphaerospermopsis,Cyanobacteria
Akashiwo,Dinoflagellates
Alexandrium,Dinoflagellates
Amphidinium,Dinoflagellates
Ceratium,Dinoflagellates
Crypthecodinium,Dinoflagellates
Dinophysis,Dinoflagellates
Gonyaulax,Dinoflagellates
Gymnodinium,Dinoflagellates
Gyrodinium,Dinoflagellates
Heterocapsa,Dinoflagellates
Karlodinium,Dinoflagellates
Katodinium,Dinoflagellates
Kryptoperidinium,Dinoflagellates
Lebouridinium,Dinoflagellates
Mesoporos,Dinoflagellates
Oblea,Dinoflagellates
Ornithocercus,Dinoflagellates
Parvodinium,Dinoflagellates
Peridiniopsis,Dinoflagellates
Peridinium,Dinoflagellates
Phalacroma,Dinoflagellates
Prorocentrum,Dinoflagellates
Protoperidinium,Dinoflagellates
Pyrocystis,Dinoflagellates
Pyrophacus,Dinoflagellates
Scrippsiella,Dinoflagellates
Tovellia,Dinoflagellates
Tripos,Dinoflagellates
Warnowia,Dinoflagellates
Woloszynskia,Dinoflagellates
Euglena,Euglenoids
Eutreptia,Euglenoids
Eutreptiella,Euglenoids
Lepocinclis,Euglenoids
Monomorphina,Euglenoids
Phacus,Euglenoids
Strombomonas,Euglenoids
Trachelomonas,Euglenoids
Unknown,Euglenoids
Phacus,Euglenoids
Nannochloropsis,Eustigmatophytes
Actinastrum,Green Algae
Acutodesmus,Green Algae
Ankistrodesmus,Green Algae
Chlamydomonas,Green Algae
Chlamydonephris,Green Algae
Chlorella,Green Algae
Chlorococcum,Green Algae
Chloroidium,Green Algae
Chlorolobion,Green Algae
Chloromonas,Green Algae
Cladophora,Green Algae
Closteriopsis,Green Algae
Closterium,Green Algae
Coccomyxa,Green Algae
Coelastrum,Green Algae
Coenochloris,Green Algae
Coenococcus,Green Algae
Cosmarium,Green Algae
Crucigenia,Green Algae
Desmatractum,Green Algae
Desmodesmus,Green Algae
Dictyochloris,Green Algae
Dictyosphaerium,Green Algae
Didymosphenia,Green Algae
Drepanochloris,Green Algae
Dunaliella,Green Algae
Elakatothrix,Green Algae
Gloeocystis,Green Algae
Golenkinia,Green Algae
Gonium,Green Algae
Haematococcus,Green Algae
Keratococcus,Green Algae
Kirchneriella,Green Algae
Klebsormidium,Green Algae
Korshikoviella,Green Algae
Lacunastrum,Green Algae
Lagerheimia,Green Algae
Lemmermannia,Green Algae
Micractinium,Green Algae
Microglena,Green Algae
Microspora,Green Algae
Monactinus,Green Algae
Monoraphidium,Green Algae
Mougeotia,Green Algae
Myochloris,Green Algae
Nephrocytium,Green Algae
Nephroselmis,Green Algae
Oedogonium,Green Algae
Oocystis,Green Algae
Palmella,Green Algae
Pandorina,Green Algae
Pediastrum,Green Algae
Planktosphaeria,Green Algae
Protoderma,Green Algae
Pseudopediastrum,Green Algae
Pseudoschroederia,Green Algae
Pseudoscourfieldia,Green Algae
Pseudostaurastrum,Green Algae
Pyramimonas,Green Algae
Quadrigula,Green Algae
Radiococcus,Green Algae
Raphidocelis,Green Algae
Rhizoclonium,Green Algae
Rusalka,Green Algae
Scenedesmus,Green Algae
Schroederia,Green Algae
Selenastrum,Green Algae
Sphaerellocystis,Green Algae
Sphaerocystis,Green Algae
Spirogyra,Green Algae
Staurastrum,Green Algae
Stauridium,Green Algae
Stigeoclonium,Green Algae
Teilingia,Green Algae
Tetrabaena,Green Algae
Tetradesmus,Green Algae
Tetraedron,Green Algae
Tetraselmis,Green Algae
Tetrastrum,Green Algae
Treubaria,Green Algae
Volvox,Green Algae
Westella,Green Algae
Willea,Green Algae
Chlamydonephris,Green Algae
Nautococcus,Green Algae
Pediastrum,Green Algae
Selenastrum,Green Algae
Chrysochromulina,Haptophytes
Phaeocystis,Haptophytes
Prymnesium,Haptophytes
Leucocryptos,Kathablepharids
Capartogramma,Pennate Diatoms
Cymbella,Pennate Diatoms
Encyonema,Pennate Diatoms
Gomphonema,Pennate Diatoms
Iconella,Pennate Diatoms
Microcostatus,Pennate Diatoms
Navicula,Pennate Diatoms
Nitzschia,Pennate Diatoms
Staurosirella,Pennate Diatoms
Surirella,Pennate Diatoms
Achnanthes,Pennate Diatoms
Achnanthidium,Pennate Diatoms
Adlafia,Pennate Diatoms
Amphicampa,Pennate Diatoms
Amphipleura,Pennate Diatoms
Amphora,Pennate Diatoms
Aneumastus,Pennate Diatoms
Anomoeoneis,Pennate Diatoms
Astartiella,Pennate Diatoms
Asterionella,Pennate Diatoms
Asterionellopsis,Pennate Diatoms
Bacillaria,Pennate Diatoms
Belonastrum,Pennate Diatoms
Caloneis,Pennate Diatoms
Campylodiscus,Pennate Diatoms
Cocconeis,Pennate Diatoms
Craticula,Pennate Diatoms
Cylindrotheca,Pennate Diatoms
Cymatopleura,Pennate Diatoms
Cymbella,Pennate Diatoms
Cymbopleura,Pennate Diatoms
Diatoma,Pennate Diatoms
Didymosphenia,Pennate Diatoms
Diploneis,Pennate Diatoms
Encyonema,Pennate Diatoms
Encyonopsis,Pennate Diatoms
Entomoneis,Pennate Diatoms
Epithemia,Pennate Diatoms
Eunotia,Pennate Diatoms
Fallacia,Pennate Diatoms
Fragilaria,Pennate Diatoms
Fragilariforma,Pennate Diatoms
Fragilariopsis,Pennate Diatoms
Frustulia,Pennate Diatoms
Geissleria,Pennate Diatoms
Gomphoneis,Pennate Diatoms
Gomphonema,Pennate Diatoms
Gomphosinica,Pennate Diatoms
Gyrosigma,Pennate Diatoms
Halamphora,Pennate Diatoms
Hannaea,Pennate Diatoms
Hantzschia,Pennate Diatoms
Hippodonta,Pennate Diatoms
Humidophila,Pennate Diatoms
Iconella,Pennate Diatoms
Lemnicola,Pennate Diatoms
Licmophora,Pennate Diatoms
Luticola,Pennate Diatoms
Mastogloia,Pennate Diatoms
Mayamaea,Pennate Diatoms
Membraneis,Pennate Diatoms
Navicula,Pennate Diatoms
Navigeia,Pennate Diatoms
Neidium,Pennate Diatoms
Nitzschia,Pennate Diatoms
Nupela,Pennate Diatoms
Pinnularia,Pennate Diatoms
Plagiotropis,Pennate Diatoms
Planothidium,Pennate Diatoms
Pleurosigma,Pennate Diatoms
Psammodictyon,Pennate Diatoms
Psammothidium,Pennate Diatoms
Pseudo-nitzschia,Pennate Diatoms
Pseudostaurosira,Pennate Diatoms
Reimeria,Pennate Diatoms
Rhoicosphenia,Pennate Diatoms
Rhopalodia,Pennate Diatoms
Sellaphora,Pennate Diatoms
Seminavis,Pennate Diatoms
Stauroforma,Pennate Diatoms
Stauroneis,Pennate Diatoms
Staurosira,Pennate Diatoms
Staurosirella,Pennate Diatoms
Stenopterobia,Pennate Diatoms
Striatella,Pennate Diatoms
Surirella,Pennate Diatoms
Synedra,Pennate Diatoms
Tabellaria,Pennate Diatoms
Thalassionema,Pennate Diatoms
Tryblionella,Pennate Diatoms
Ulnaria,Pennate Diatoms
Heterosigma,Raphidophytes
Bangia,Red Algae
Dictyocha,Silico-flagellates
Octactis,Silico-flagellates
Pedinella,Silico-flagellates
Mallomonas,Synurophytes
Synura,Synurophytes
Unknown,Unknown
Characiopsis,Xanthophytes
Goniochloris,Xanthophytes
Ophiocytium,Xanthophytes
Pseudocharaciopsis,Xanthophytes
