Year,Month,Season,DateTime,StationCode,Region,RegionAbbreviation,AlgalType,Genus,BV.per.mL
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Pennate Diatom,Nitzschia,229037.11
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Pennate Diatom,Ulnaria,77489
2018,Aug,Summer,2018-08-02T13:50:00Z,D4,Confluence,CON,Centric Diatom,Cyclotella,164192.9
2018,Aug,Summer,2018-08-02T13:50:00Z,D4,Confluence,CON,Cyanobacterium,Eucapsis,146750.02
2018,Aug,Summer,2018-08-02T14:40:00Z,D22,Confluence,CON,Centric Diatom,Cyclotella,30498.06
2018,Aug,Summer,2018-08-02T14:40:00Z,D22,Confluence,CON,Cryptophyte,Plagioselmis,58533.54
2018,Aug,Summer,2018-08-02T14:40:00Z,D22,Confluence,CON,Cyanobacterium,Eucapsis,122673.8
2018,Aug,Summer,2018-08-02T14:40:00Z,D22,Confluence,CON,Green Alga,Chlorella,22195.73
2018,Aug,Summer,2018-08-02T14:40:00Z,D22,Confluence,CON,Green Alga,Monoraphidium,16084.44
2018,Aug,Summer,2018-08-02T15:35:00Z,NZ068,Northern Interior Delta,NID,Centric Diatom,Cyclotella,174350.24
2018,Aug,Summer,2018-08-02T15:35:00Z,NZ068,Northern Interior Delta,NID,Cryptophyte,Plagioselmis,55349.28
2018,Aug,Summer,2018-08-02T15:35:00Z,NZ068,Northern Interior Delta,NID,Cyanobacterium,Eucapsis,53337.32
2018,Aug,Summer,2018-08-02T15:35:00Z,NZ068,Northern Interior Delta,NID,Green Alga,Chlorella,10781.45
2018,Aug,Summer,2018-08-02T16:00:00Z,C3A,Northern Interior Delta,NID,Centric Diatom,Cyclotella,19546.77
2018,Aug,Summer,2018-08-02T16:00:00Z,C3A,Northern Interior Delta,NID,Cyanobacterium,Eucapsis,34013.88
2018,Aug,Summer,2018-08-02T16:00:00Z,C3A,Northern Interior Delta,NID,Cyanobacterium,Pseudanabaena,4043.04
2018,Aug,Summer,2018-08-02T16:00:00Z,C3A,Northern Interior Delta,NID,Green Alga,Chlorella,6289.18
2018,Aug,Summer,2018-08-02T16:00:00Z,C3A,Northern Interior Delta,NID,Pennate Diatom,Achnanthidium,17066.03
2018,Aug,Summer,2018-08-02T16:00:00Z,C3A,Northern Interior Delta,NID,Pennate Diatom,Encyonema,39942.79
2018,Aug,Summer,2018-08-02T16:00:00Z,C3A,Northern Interior Delta,NID,Pennate Diatom,Nitzschia,115550.25
2018,Aug,Summer,2018-08-02T16:00:00Z,C3A,Northern Interior Delta,NID,Pennate Diatom,Ulnaria,63651.68
2018,Aug,Summer,2018-08-03T15:25:00Z,D12,Confluence,CON,Centric Diatom,Cyclotella,56567.33
2018,Aug,Summer,2018-08-03T15:25:00Z,D12,Confluence,CON,Cyanobacterium,Chroococcus,140653.91
2018,Aug,Summer,2018-08-03T15:25:00Z,D12,Confluence,CON,Cyanobacterium,Eucapsis,147539.74
2018,Aug,Summer,2018-08-03T15:25:00Z,D12,Confluence,CON,Green Alga,Chlorella,13317.44
2018,Aug,Summer,2018-08-03T15:25:00Z,EZ2 SJR,Low Salinity Zone,LSZ,Centric Diatom,Cyclotella,242030.43
2018,Aug,Summer,2018-08-03T15:25:00Z,EZ2 SJR,Low Salinity Zone,LSZ,Cyanobacterium,Chroococcus,338639.09
2018,Aug,Summer,2018-08-03T15:25:00Z,EZ2 SJR,Low Salinity Zone,LSZ,Cyanobacterium,Eucapsis,94503.97
2018,Aug,Summer,2018-08-03T16:30:00Z,D19,Central Delta,CED,Centric Diatom,Skeletonema,28746.48
2018,Aug,Summer,2018-08-03T16:30:00Z,D19,Central Delta,CED,Cryptophyte,Plagioselmis,129424.76999999999
2018,Aug,Summer,2018-08-03T16:30:00Z,D19,Central Delta,CED,Cyanobacterium,Chroococcus,166468.01
2018,Aug,Summer,2018-08-03T16:30:00Z,D19,Central Delta,CED,Cyanobacterium,Eucapsis,41604.22
2018,Aug,Summer,2018-08-03T16:30:00Z,D19,Central Delta,CED,Cyanobacterium,Pseudanabaena,11411.26
2018,Aug,Summer,2018-08-03T16:30:00Z,D19,Central Delta,CED,Green Alga,Chlorella,20808.5
2018,Aug,Summer,2018-08-03T16:30:00Z,D19,Central Delta,CED,Pennate Diatom,Cocconeis,272808.12
2018,Aug,Summer,2018-08-03T17:10:00Z,D28A,Central Delta,CED,Cryptophyte,Plagioselmis,46636.9
2018,Aug,Summer,2018-08-03T17:10:00Z,D28A,Central Delta,CED,Cyanobacterium,Eucapsis,35448.82
2018,Aug,Summer,2018-08-03T17:10:00Z,D28A,Central Delta,CED,Cyanobacterium,Microcystis,83577.32
2018,Aug,Summer,2018-08-03T17:10:00Z,D28A,Central Delta,CED,Green Alga,Chlorella,12578.36
2018,Aug,Summer,2018-08-03T17:10:00Z,D28A,Central Delta,CED,Green Alga,Lagerheimia,30134.61
2018,Aug,Summer,2018-08-03T17:10:00Z,D28A,Central Delta,CED,Pennate Diatom,Cocconeis,132347.95
2018,Aug,Summer,2018-08-06T17:40:00Z,D16,Central Delta,CED,Cyanobacterium,Chroococcus,27109.39
2018,Aug,Summer,2018-08-06T17:40:00Z,D16,Central Delta,CED,Cyanobacterium,Eucapsis,73687.07
2018,Aug,Summer,2018-08-06T17:40:00Z,D16,Central Delta,CED,Green Alga,Chlorella,20190.08
2018,Aug,Summer,2018-08-06T18:35:00Z,D26,Central Delta,CED,Centric Diatom,Aulacoseira,41824839.12
2018,Aug,Summer,2018-08-06T18:35:00Z,D26,Central Delta,CED,Centric Diatom,Cyclotella,100550.06
2018,Aug,Summer,2018-08-06T18:35:00Z,D26,Central Delta,CED,Cyanobacterium,Eucapsis,58670.53
2018,Aug,Summer,2018-08-06T18:35:00Z,D26,Central Delta,CED,Cyanobacterium,Microcystis,32580.6
2018,Aug,Summer,2018-08-06T18:35:00Z,D26,Central Delta,CED,Pennate Diatom,Nitzschia,22726.23
2018,Aug,Summer,2018-08-06T18:35:00Z,D26,Central Delta,CED,Pennate Diatom,Ulnaria,33199.37
2018,Aug,Summer,2018-08-06T19:45:00Z,MD10A,Southern Interior Delta,SID,Centric Diatom,Aulacoseira,9363754.95
2018,Aug,Summer,2018-08-06T19:45:00Z,MD10A,Southern Interior Delta,SID,Cyanobacterium,Chroococcus,28301.31
2018,Aug,Summer,2018-08-06T19:45:00Z,MD10A,Southern Interior Delta,SID,Cyanobacterium,Eucapsis,84624.49
2018,Aug,Summer,2018-08-06T19:45:00Z,MD10A,Southern Interior Delta,SID,Green Alga,Drepanochloris,14858.19
2018,Aug,Summer,2018-08-06T19:45:00Z,MD10A,Southern Interior Delta,SID,Green Alga,Scenedesmus,95421.42
2018,Aug,Summer,2018-08-06T21:00:00Z,P8,Southern Interior Delta,SID,Chrysophyte,Kephyrion,85979.39
2018,Aug,Summer,2018-08-06T21:00:00Z,P8,Southern Interior Delta,SID,Cryptophyte,Cryptomonas,138256.34
2018,Aug,Summer,2018-08-06T21:00:00Z,P8,Southern Interior Delta,SID,Cryptophyte,Plagioselmis,25888.04
2018,Aug,Summer,2018-08-06T21:00:00Z,P8,Southern Interior Delta,SID,Cyanobacterium,Eucapsis,82293.52
2018,Aug,Summer,2018-08-06T21:00:00Z,P8,Southern Interior Delta,SID,Cyanobacterium,Microcystis,28695.17
2018,Aug,Summer,2018-08-06T21:00:00Z,P8,Southern Interior Delta,SID,Green Alga,Mucidosphaerium,25886.27
2018,Aug,Summer,2018-08-06T21:00:00Z,P8,Southern Interior Delta,SID,Pennate Diatom,Ulnaria,29058.37
2018,Aug,Summer,2018-08-07T18:30:00Z,D8,Grizzly.Suisun Bay,GSB,Cyanobacterium,Eucapsis,139757.06
2018,Aug,Summer,2018-08-07T19:20:00Z,D10,Confluence,CON,Centric Diatom,Cyclotella,46575.08
2018,Aug,Summer,2018-08-07T19:20:00Z,D10,Confluence,CON,Cyanobacterium,Eucapsis,78470.75
2018,Aug,Summer,2018-08-07T20:00:00Z,EZ6,Low Salinity Zone,LSZ,Centric Diatom,Cyclotella,85054.88
2018,Aug,Summer,2018-08-07T20:00:00Z,EZ6,Low Salinity Zone,LSZ,Cyanobacterium,Eucapsis,114724.46
2018,Aug,Summer,2018-08-07T20:00:00Z,EZ6,Low Salinity Zone,LSZ,Cyanobacterium,Microcystis,19910.37
2018,Aug,Summer,2018-08-07T20:00:00Z,EZ6,Low Salinity Zone,LSZ,Green Alga,Chlorella,8370.9
2018,Aug,Summer,2018-08-07T20:40:00Z,EZ2,Low Salinity Zone,LSZ,Centric Diatom,Cyclotella,669609.08
2018,Aug,Summer,2018-08-07T20:40:00Z,EZ2,Low Salinity Zone,LSZ,Cyanobacterium,Eucapsis,131993.94
2018,Aug,Summer,2018-08-07T20:40:00Z,EZ2,Low Salinity Zone,LSZ,Green Alga,Chlorella,5022.54
2018,Aug,Summer,2018-08-08T20:00:00Z,D6,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,28322.61
2018,Aug,Summer,2018-08-08T20:00:00Z,D6,San Pablo Bay,SPB,Green Alga,Chlorella,7212.53
2018,Aug,Summer,2018-08-08T20:50:00Z,D7,Grizzly.Suisun Bay,GSB,Cyanobacterium,Eucapsis,119859.36
2018,Aug,Summer,2018-08-08T21:50:00Z,NZS42,Grizzly.Suisun Bay,GSB,Cyanobacterium,Eucapsis,191829.03
2018,Aug,Summer,2018-08-08T21:50:00Z,NZS42,Grizzly.Suisun Bay,GSB,Pennate Diatom,Entomoneis,6799659.47
2018,Aug,Summer,2018-08-08T22:50:00Z,NZ032,Grizzly.Suisun Bay,GSB,Centric Diatom,Cyclotella,139725.23
2018,Aug,Summer,2018-08-08T22:50:00Z,NZ032,Grizzly.Suisun Bay,GSB,Cyanobacterium,Eucapsis,228788.71
2018,Aug,Summer,2018-08-09T17:25:00Z,D41A,San Pablo Bay,SPB,Chrysophyte,Kephyrion,11300.48
2018,Aug,Summer,2018-08-09T17:25:00Z,D41A,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,44541.87
2018,Aug,Summer,2018-08-09T18:10:00Z,D41,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,34093.03
2018,Aug,Summer,2018-08-09T18:10:00Z,D41,San Pablo Bay,SPB,Pennate Diatom,Nitzschia,36998.3
2018,Aug,Summer,2018-08-09T18:55:00Z,NZ325,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,52236.98
2018,Aug,Summer,2018-08-09T19:10:00Z,NZ002,San Pablo Bay,SPB,Centric Diatom,Cyclotella,43056.09
2018,Aug,Summer,2018-08-09T19:10:00Z,NZ002,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,40812.8
2018,Aug,Summer,2018-08-09T19:10:00Z,NZ002,San Pablo Bay,SPB,Green Alga,Chlorella,971.72
2018,Aug,Summer,2018-08-09T19:30:00Z,NZ004,San Pablo Bay,SPB,Centric Diatom,Cyclotella,29941.12
2018,Aug,Summer,2018-08-09T19:30:00Z,NZ004,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,49854.1
2018,Aug,Summer,2018-08-09T19:30:00Z,NZ004,San Pablo Bay,SPB,Pennate Diatom,Staurosira,59347.58
2018,Dec,Winter,2018-12-10T16:00:00Z,C3A,Northern Interior Delta,NID,Cyanobacterium,Eucapsis,23933.78
2018,Dec,Winter,2018-12-10T16:00:00Z,C3A,Northern Interior Delta,NID,Green Alga,Chlorella,578.12
2018,Dec,Winter,2018-12-10T16:00:00Z,C3A,Northern Interior Delta,NID,Green Alga,Coccomyxa,12779.49
2018,Dec,Winter,2018-12-10T16:00:00Z,C3A,Northern Interior Delta,NID,Pennate Diatom,Achnanthidium,94189.93
2018,Dec,Winter,2018-12-10T16:00:00Z,C3A,Northern Interior Delta,NID,Pennate Diatom,Encyonema,103033.48
2018,Dec,Winter,2018-12-10T16:00:00Z,C3A,Northern Interior Delta,NID,Pennate Diatom,Frustulia,2389721.21
2018,Dec,Winter,2018-12-10T16:00:00Z,C3A,Northern Interior Delta,NID,Pennate Diatom,Nitzschia,11722.29
2018,Dec,Winter,2018-12-10T17:55:00Z,C9,Southern Interior Delta,SID,Centric Diatom,Cyclotella,19127.24
2018,Dec,Winter,2018-12-10T17:55:00Z,C9,Southern Interior Delta,SID,Cyanobacterium,Eucapsis,12249.26
2018,Dec,Winter,2018-12-10T17:55:00Z,C9,Southern Interior Delta,SID,Cyanobacterium,Microcystis,2343.96
2018,Dec,Winter,2018-12-10T17:55:00Z,C9,Southern Interior Delta,SID,Green Alga,Chlorella,937.07
2018,Dec,Winter,2018-12-10T17:55:00Z,C9,Southern Interior Delta,SID,Green Alga,Coccomyxa,8960.19
2018,Dec,Winter,2018-12-10T17:55:00Z,C9,Southern Interior Delta,SID,Pennate Diatom,Cocconeis,25618.32
2018,Dec,Winter,2018-12-10T17:55:00Z,C9,Southern Interior Delta,SID,Pennate Diatom,Nitzschia,5747.03
2018,Dec,Winter,2018-12-10T19:30:00Z,C10A,Southern Interior Delta,SID,Centric Diatom,Cyclotella,995112.27
2018,Dec,Winter,2018-12-10T19:30:00Z,C10A,Southern Interior Delta,SID,Cyanobacterium,Eucapsis,23902.57
2018,Dec,Winter,2018-12-10T19:30:00Z,C10A,Southern Interior Delta,SID,Green Alga,Chlorella,622.59
2018,Dec,Winter,2018-12-10T19:30:00Z,C10A,Southern Interior Delta,SID,Green Alga,Coccomyxa,50597.29
2018,Dec,Winter,2018-12-10T19:30:00Z,C10A,Southern Interior Delta,SID,Green Alga,Desmodesmus,129234.49
2018,Dec,Winter,2018-12-10T19:30:00Z,C10A,Southern Interior Delta,SID,Pennate Diatom,Diploneis,269740.05
2018,Dec,Winter,2018-12-10T19:30:00Z,C10A,Southern Interior Delta,SID,Pennate Diatom,Navicula,344177.5
2018,Dec,Winter,2018-12-10T19:30:00Z,C10A,Southern Interior Delta,SID,Pennate Diatom,Nitzschia,78517.56
2018,Dec,Winter,2018-12-10T19:30:00Z,C10A,Southern Interior Delta,SID,Pennate Diatom,Surirella,201539.3
2018,Dec,Winter,2018-12-11T16:00:00Z,D4,Confluence,CON,Cyanobacterium,Eucapsis,68799.47
2018,Dec,Winter,2018-12-11T16:50:00Z,EZ6,Low Salinity Zone,LSZ,Centric Diatom,Cyclotella,81290.76
2018,Dec,Winter,2018-12-11T16:50:00Z,EZ6,Low Salinity Zone,LSZ,Cyanobacterium,Eucapsis,58008.99
2018,Dec,Winter,2018-12-11T17:40:00Z,D22,Confluence,CON,Centric Diatom,Cyclotella,121936.14
2018,Dec,Winter,2018-12-11T17:40:00Z,D22,Confluence,CON,Cyanobacterium,Eucapsis,81334.28
2018,Dec,Winter,2018-12-11T17:40:00Z,D22,Confluence,CON,Green Alga,Coccomyxa,8839.15
2018,Dec,Winter,2018-12-11T17:40:00Z,D22,Confluence,CON,Pennate Diatom,Nitzschia,33270.66
2018,Dec,Winter,2018-12-11T17:40:00Z,EZ2,Low Salinity Zone,LSZ,Cyanobacterium,Eucapsis,726937.78
2018,Dec,Winter,2018-12-11T17:40:00Z,EZ2,Low Salinity Zone,LSZ,Pennate Diatom,Nitzschia,2709862.52
2018,Dec,Winter,2018-12-11T18:40:00Z,NZ068,Northern Interior Delta,NID,Centric Diatom,Cyclotella,281583.65
2018,Dec,Winter,2018-12-11T18:40:00Z,NZ068,Northern Interior Delta,NID,Cyanobacterium,Eucapsis,30984.49
2018,Dec,Winter,2018-12-11T18:40:00Z,NZ068,Northern Interior Delta,NID,Green Alga,Coccomyxa,28320.19
2018,Dec,Winter,2018-12-11T18:40:00Z,NZ068,Northern Interior Delta,NID,Pennate Diatom,Cocconeis,81208.16
2018,Dec,Winter,2018-12-12T16:50:00Z,D12,Confluence,CON,Cyanobacterium,Eucapsis,38131.78
2018,Dec,Winter,2018-12-12T16:50:00Z,D12,Confluence,CON,Cyanobacterium,Microcystis,6641.22
2018,Dec,Winter,2018-12-12T16:50:00Z,D12,Confluence,CON,Green Alga,Coccomyxa,76785.49
2018,Dec,Winter,2018-12-12T18:00:00Z,EZ2 SJR,Low Salinity Zone,LSZ,Cyanobacterium,Eucapsis,50649.2
2018,Dec,Winter,2018-12-12T18:00:00Z,EZ2 SJR,Low Salinity Zone,LSZ,Green Alga,Chlorella,4624.96
2018,Dec,Winter,2018-12-12T18:00:00Z,EZ2 SJR,Low Salinity Zone,LSZ,Green Alga,Coccomyxa,2791.9
2018,Dec,Winter,2018-12-12T19:00:00Z,D19,Central Delta,CED,Centric Diatom,Cyclotella,210006.04
2018,Dec,Winter,2018-12-12T19:00:00Z,D19,Central Delta,CED,Cryptophyte,Plagioselmis,202332.74
2018,Dec,Winter,2018-12-12T19:00:00Z,D19,Central Delta,CED,Cyanobacterium,Eucapsis,24778.9
2018,Dec,Winter,2018-12-12T19:00:00Z,D19,Central Delta,CED,Green Alga,Chlorella,1348.95
2018,Dec,Winter,2018-12-12T19:00:00Z,D19,Central Delta,CED,Green Alga,Coccomyxa,86376.59
2018,Dec,Winter,2018-12-12T19:00:00Z,D19,Central Delta,CED,Pennate Diatom,Cocconeis,112070.53
2018,Dec,Winter,2018-12-12T19:40:00Z,D28A,Central Delta,CED,Cryptophyte,Plagioselmis,551203.14
2018,Dec,Winter,2018-12-12T19:40:00Z,D28A,Central Delta,CED,Cyanobacterium,Eucapsis,17037.6
2018,Dec,Winter,2018-12-12T19:40:00Z,D28A,Central Delta,CED,Green Alga,Chlamydomonas,30047.02
2018,Dec,Winter,2018-12-12T19:40:00Z,D28A,Central Delta,CED,Green Alga,Chlorella,404.68
2018,Dec,Winter,2018-12-12T19:40:00Z,D28A,Central Delta,CED,Green Alga,Coccomyxa,3365.27
2018,Dec,Winter,2018-12-12T19:40:00Z,D28A,Central Delta,CED,Green Alga,Monoraphidium,2034.1
2018,Dec,Winter,2018-12-13T16:45:00Z,D16,Central Delta,CED,Cyanobacterium,Eucapsis,27787.52
2018,Dec,Winter,2018-12-13T16:45:00Z,D16,Central Delta,CED,Green Alga,Chlorella,1348.95
2018,Dec,Winter,2018-12-13T16:45:00Z,D16,Central Delta,CED,Green Alga,Coccomyxa,5182.79
2018,Dec,Winter,2018-12-13T16:45:00Z,D16,Central Delta,CED,Pennate Diatom,Cocconeis,203122.17
2018,Dec,Winter,2018-12-13T16:45:00Z,D16,Central Delta,CED,Pennate Diatom,Rhoicosphenia,31977.57
2018,Dec,Winter,2018-12-13T17:50:00Z,D26,Central Delta,CED,Cryptophyte,Plagioselmis,278613.02
2018,Dec,Winter,2018-12-13T17:50:00Z,D26,Central Delta,CED,Cyanobacterium,Eucapsis,25120.7
2018,Dec,Winter,2018-12-13T17:50:00Z,D26,Central Delta,CED,Green Alga,Coccomyxa,2619.01
2018,Dec,Winter,2018-12-13T19:10:00Z,MD10A,Southern Interior Delta,SID,Cryptophyte,Plagioselmis,14125.68
2018,Dec,Winter,2018-12-13T19:10:00Z,MD10A,Southern Interior Delta,SID,Cyanobacterium,Chroococcus,899.3
2018,Dec,Winter,2018-12-13T19:10:00Z,MD10A,Southern Interior Delta,SID,Cyanobacterium,Eucapsis,16541.8
2018,Dec,Winter,2018-12-13T19:10:00Z,MD10A,Southern Interior Delta,SID,Cyanobacterium,Microcystis,3320.61
2018,Dec,Winter,2018-12-13T19:10:00Z,MD10A,Southern Interior Delta,SID,Green Alga,Chlorella,25180.32
2018,Dec,Winter,2018-12-13T19:10:00Z,MD10A,Southern Interior Delta,SID,Green Alga,Cladophora,2887.22
2018,Dec,Winter,2018-12-13T20:05:00Z,P8,Southern Interior Delta,SID,Cryptophyte,Plagioselmis,419243.03
2018,Dec,Winter,2018-12-13T20:05:00Z,P8,Southern Interior Delta,SID,Cyanobacterium,Eucapsis,22013.67
2018,Dec,Winter,2018-12-13T20:05:00Z,P8,Southern Interior Delta,SID,Green Alga,Chlorella,2512.95
2018,Dec,Winter,2018-12-13T20:05:00Z,P8,Southern Interior Delta,SID,Green Alga,Monoraphidium,2712.13
2018,Dec,Winter,2018-12-13T20:05:00Z,P8,Southern Interior Delta,SID,Pennate Diatom,Achnanthidium,13805.39
2018,Dec,Winter,2018-12-14T19:05:00Z,D8,Grizzly.Suisun Bay,GSB,Cyanobacterium,Eucapsis,46824.44
2018,Dec,Winter,2018-12-14T19:05:00Z,D8,Grizzly.Suisun Bay,GSB,Green Alga,Chlorella,740.71
2018,Dec,Winter,2018-12-14T19:05:00Z,D8,Grizzly.Suisun Bay,GSB,Green Alga,Coccomyxa,1595.37
2018,Dec,Winter,2018-12-14T19:55:00Z,D10,Confluence,CON,Cyanobacterium,Eucapsis,82145.59
2018,Dec,Winter,2018-12-14T19:55:00Z,D10,Confluence,CON,Green Alga,Coccomyxa,7880.68
2018,Dec,Winter,2018-12-17T18:10:00Z,D6,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,12302.48
2018,Dec,Winter,2018-12-17T18:10:00Z,D6,San Pablo Bay,SPB,Green Alga,Chlorella,188.54
2018,Dec,Winter,2018-12-18T18:35:00Z,D7,Grizzly.Suisun Bay,GSB,Cyanobacterium,Eucapsis,68150.42
2018,Dec,Winter,2018-12-18T18:35:00Z,D7,Grizzly.Suisun Bay,GSB,Green Alga,Coccomyxa,22837.4
2018,Dec,Winter,2018-12-18T19:25:00Z,NZS42,Grizzly.Suisun Bay,GSB,Cyanobacterium,Eucapsis,150579.97
2018,Dec,Winter,2018-12-18T19:25:00Z,NZS42,Grizzly.Suisun Bay,GSB,Green Alga,Chlorella,6474.94
2018,Dec,Winter,2018-12-18T19:25:00Z,NZS42,Grizzly.Suisun Bay,GSB,Green Alga,Coccomyxa,26828.66
2018,Dec,Winter,2018-12-18T20:35:00Z,NZ032,Grizzly.Suisun Bay,GSB,Cyanobacterium,Eucapsis,93648.87
2018,Dec,Winter,2018-12-18T20:35:00Z,NZ032,Grizzly.Suisun Bay,GSB,Cyanobacterium,Microcystis,17077.41
2018,Dec,Winter,2018-12-19T16:30:00Z,D41A,San Pablo Bay,SPB,Centric Diatom,Coscinodiscus,15749178.68
2018,Dec,Winter,2018-12-19T16:30:00Z,D41A,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,20946.67
2018,Dec,Winter,2018-12-19T16:30:00Z,D41A,San Pablo Bay,SPB,Green Alga,Chlorella,981.05
2018,Dec,Winter,2018-12-19T16:30:00Z,D41A,San Pablo Bay,SPB,Pennate Diatom,Surirella,132004.93
2018,Dec,Winter,2018-12-19T17:20:00Z,D41,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,12314.59
2018,Dec,Winter,2018-12-19T17:20:00Z,D41,San Pablo Bay,SPB,Cyanobacterium,Microcystis,8750.86
2018,Dec,Winter,2018-12-19T18:15:00Z,NZ325,San Pablo Bay,SPB,Cryptophyte,Plagioselmis,375397.45
2018,Dec,Winter,2018-12-19T18:15:00Z,NZ325,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,40869.97
2018,Dec,Winter,2018-12-19T18:15:00Z,NZ325,San Pablo Bay,SPB,Cyanobacterium,Microcystis,14942.74
2018,Dec,Winter,2018-12-19T18:15:00Z,NZ325,San Pablo Bay,SPB,Green Alga,Chlorella,5058.55
2018,Dec,Winter,2018-12-19T18:15:00Z,NZ325,San Pablo Bay,SPB,Green Alga,Coccomyxa,3141.62
2018,Dec,Winter,2018-12-19T18:40:00Z,NZ002,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,36959.88
2018,Dec,Winter,2018-12-19T18:40:00Z,NZ002,San Pablo Bay,SPB,Green Alga,Coccomyxa,2650.56
2018,Dec,Winter,2018-12-19T19:05:00Z,NZ004,San Pablo Bay,SPB,Cyanobacterium,Eucapsis,36779.59
2018,Jul 18,Summer,2018-07-09T19:10:00Z,D16,Central Delta,CED,Cryptophyte,Plagioselmis,118139.41
2018,Jul 18,Summer,2018-07-09T19:10:00Z,D16,Central Delta,CED,Cyanobacterium,Aphanizomenon,627176.57
2018,Jul 18,Summer,2018-07-09T19:10:00Z,D16,Central Delta,CED,Cyanobacterium,Eucapsis,54862.35
2018,Jul 18,Summer,2018-07-09T19:10:00Z,D16,Central Delta,CED,Cyanobacterium,Microcystis,57390.35
2018,Jul 18,Summer,2018-07-09T19:10:00Z,D16,Central Delta,CED,Green Alga,Chlorella,9433.77
2018,Jul 18,Summer,2018-07-09T20:00:00Z,D26,Central Delta,CED,Cyanobacterium,Aphanizomenon,238924.41
2018,Jul 18,Summer,2018-07-09T20:00:00Z,D26,Central Delta,CED,Cyanobacterium,Eucapsis,53781.32
2018,Jul 18,Summer,2018-07-09T20:00:00Z,D26,Central Delta,CED,Cyanobacterium,Microcystis,204050.51
2018,Jul 18,Summer,2018-07-09T20:00:00Z,D26,Central Delta,CED,Green Alga,Chlorella,8150.78
2018,Jul 18,Summer,2018-07-09T20:00:00Z,D26,Central Delta,CED,Green Alga,Mucidosphaerium,20439.84
2018,Jul 18,Summer,2018-07-09T20:00:00Z,D26,Central Delta,CED,Pennate Diatom,Cocconeis,358386.61
2018,Jul 18,Summer,2018-07-09T20:00:00Z,D26,Central Delta,CED,Pennate Diatom,Ulnaria,258078.5
2018,Jul 18,Summer,2018-07-09T21:15:00Z,MD10A,Southern Interior Delta,SID,Centric Diatom,Cyclotella,100818.27
2018,Jul 18,Summer,2018-07-09T21:15:00Z,MD10A,Southern Interior Delta,SID,Cyanobacterium,Eucapsis,40776.27
2018,Jul 18,Summer,2018-07-09T21:15:00Z,MD10A,Southern Interior Delta,SID,Green Alga,Chlorella,42329.89
2018,Jul 18,Summer,2018-07-09T21:15:00Z,MD10A,Southern Interior Delta,SID,Pennate Diatom,Cocconeis,10583.07
2018,Jul 18,Summer,2018-07-09T22:30:00Z,P8,Southern Interior Delta,SID,Centric Diatom,Cyclotella,56473.77
