Region,Region Abbreviation,Year,Season,Month,SampleDate,SampleTime,StationCode,Factor,Taxon,Algal Type,Genus,Species,Unit Abundance,Total Cells Counted,GALD 1,Group Code,Biovolume (individual cell),Biovolume per mL
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,13:10,D41,250.24,cf. Chlorella sp.,Green Alga,Chlorella,sp.,2,2,2,i,4.19,2096.39
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,13:10,D41,250.24,cf. Mucidosphaerium sp.,Green Alga,Mucidosphaerium,sp.,2,3,2.2,c,5.58,4185.45
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,13:10,D41,250.24,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,400,834,0.8,c,0.18,37565.84
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,11:15,D28A,281.52,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,1,1,13,i,275.37,77521.28
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,11:15,D28A,281.52,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,1,1,14.8,i,101.31,28519.52
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,11:15,D28A,281.52,cf. Chlorella sp.,Green Alga,Chlorella,sp.,4,4,2.2,i,5.58,6278.17
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,11:15,D28A,281.52,cf. Aphanizomenon sp.,Cyanobacterium,Aphanizomenon,sp.,1,34,3.7,f,39.78,380785.77
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,11:15,D28A,281.52,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,389,779,0.8,c,0.18,39474.54
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,11:15,D28A,281.52,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,10,11,5.6,c,73.62,227985.95
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,13:00,D26,375.36,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,1,1,22.2,i,954.79,358386.61
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,13:00,D26,375.36,Ulnaria sp.,Pennate Diatom,Ulnaria,sp.,5,5,11.1,i,137.51,258078.50
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,13:00,D26,375.36,cf. Chlorella sp.,Green Alga,Chlorella,sp.,3,3,2.4,i,7.24,8150.78
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,13:00,D26,375.36,cf. Mucidosphaerium sp.,Green Alga,Mucidosphaerium,sp.,3,13,2,c,4.19,20439.84
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,13:00,D26,375.36,Aphanizomenon sp.,Cyanobacterium,Aphanizomenon,sp.,1,16,3.7,f,39.78,238924.41
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,13:00,D26,375.36,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,411,796,0.8,c,0.18,53781.32
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,13:00,D26,375.36,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,10,10,5.3,i,54.36,204050.51
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,13:55,NZ325,264.96,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,1,1,10.2,i,430.35,114025.99
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,13:55,NZ325,264.96,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,402,846,0.8,c,0.18,40347.91
Grizzly.Suisun Bay,GSB,2018,Summer,Jul 18,7/11/2018,15:05,NZS42,900.86,cf. Chlorella sp.,Green Alga,Chlorella,sp.,4,4,2,i,4.19,15094.03
Grizzly.Suisun Bay,GSB,2018,Summer,Jul 18,7/11/2018,15:05,NZS42,900.86,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,463,894,0.8,c,0.18,144966.32
Confluence,CON,2018,Summer,Jul 18,7/10/2018,13:25,D10,574.96,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,1,1,5.6,i,91.13,52396.96
Confluence,CON,2018,Summer,Jul 18,7/10/2018,13:25,D10,574.96,cf. Plagioselmis sp.,Cryptophyte,Plagioselmis,sp.,1,1,11.1,i,567.71,326411.69
Confluence,CON,2018,Summer,Jul 18,7/10/2018,13:25,D10,574.96,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,451,911,0.8,c,0.18,94282.20
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/10/2018,14:55,EZ2,919.94,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,1,1,6.5,i,122.78,112947.53
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/10/2018,14:55,EZ2,919.94,cf. Navicula sp.,Pennate Diatom,Navicula,sp.,1,1,31.5,i,1702.61,1566294.90
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/10/2018,14:55,EZ2,919.94,Chlorella sp.,Green Alga,Chlorella,sp.,3,3,2.5,i,8.18,22578.67
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/10/2018,14:55,EZ2,919.94,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,653,1317,0.8,c,0.18,218080.62
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/10/2018,14:11,EZ6,766.62,Chroococcus minutus,Cyanobacterium,Chroococcus,minutus,1,1,4.6,i,50.96,39070.53
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/10/2018,14:11,EZ6,766.62,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,413,832,0.8,c,0.18,114808.33
Grizzly.Suisun Bay,GSB,2018,Summer,Jul 18,7/10/2018,12:40,D8,919.94,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,1,1,5.6,i,91.13,83835.14
Grizzly.Suisun Bay,GSB,2018,Summer,Jul 18,7/10/2018,12:40,D8,919.94,Cryptomonas sp.,Cryptophyte,Cryptomonas,sp.,1,1,14.8,i,412.96,379895.80
Grizzly.Suisun Bay,GSB,2018,Summer,Jul 18,7/10/2018,12:40,D8,919.94,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,411,834,0.8,c,0.18,138101.17
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/19/2018,9:40,EZ2 SJR,919.94,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,1,1,11.1,i,43.51,40028.36
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/19/2018,9:40,EZ2 SJR,919.94,Skeletonema potamos,Centric Diatom,Skeletonema,potamos,1,1,18.5,i,198.91,182988.37
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/19/2018,9:40,EZ2 SJR,919.94,Chlorella sp.,Green Alga,Chlorella,sp.,1,1,2.8,i,11.49,10573.80
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/19/2018,9:40,EZ2 SJR,919.94,Chroococcus minutus,Cyanobacterium,Chroococcus,minutus,1,1,5.6,i,91.95,84590.41
Low Salinity Zone,LSZ,2018,Summer,Jul 18,7/19/2018,9:40,EZ2 SJR,919.94,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,433,880,0.8,c,0.18,145718.26
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,14:10,NZ002,199.99,cf. Thalassiosira sp.,Centric Diatom,Thalassiosira,sp.,1,1,13,i,982.22,196430.49
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,14:10,NZ002,199.99,Chlorella sp.,Green Alga,Chlorella,sp.,10,10,2.8,i,4.85,9697.44
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,14:10,NZ002,199.99,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,393,791,0.8,c,0.18,28474.10
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,14:25,NZ004,270.57,Chlorella sp.,Green Alga,Chlorella,sp.,4,4,2.6,i,9.20,9959.97
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,14:25,NZ004,270.57,cf. Oocystis sp.,Green Alga,Oocystis,sp.,1,3,4.6,c,32.97,26764.59
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,14:25,NZ004,270.57,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,409,825,0.8,c,0.18,40179.67
Grizzly.Suisun Bay,GSB,2018,Summer,Jul 18,7/11/2018,16:00,NZ032,657.10,Chlorella sp.,Green Alga,Chlorella,sp.,3,3,2.8,i,5.58,10990.52
Grizzly.Suisun Bay,GSB,2018,Summer,Jul 18,7/11/2018,16:00,NZ032,657.10,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,398,806,0.8,c,0.18,95331.91
Grizzly.Suisun Bay,GSB,2018,Summer,Jul 18,7/11/2018,14:15,D7,328.55,cf. Chlorella sp.,Green Alga,Chlorella,sp.,3,3,2.8,i,8.18,8063.81
Grizzly.Suisun Bay,GSB,2018,Summer,Jul 18,7/11/2018,14:15,D7,328.55,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,412,841,0.8,c,0.18,49735.82
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,8:55,C9,328.55,Cyclotella meneghiniana,Centric Diatom,Cyclotella,meneghiniana,1,1,13,i,982.22,322707.24
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,8:55,C9,328.55,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,1,1,13,i,88.99,29235.97
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,8:55,C9,328.55,Chlorella sp.,Green Alga,Chlorella,sp.,12,12,3.7,i,9.20,36282.76
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,8:55,C9,328.55,Monoraphidium convolutum,Green Alga,Monoraphidium,convolutum,1,1,7.4,i,3.14,1031.14
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,8:55,C9,328.55,Chroococcus minutus,Cyanobacterium,Chroococcus,minutus,20,30,5.6,c,57.91,570747.46
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,8:55,C9,328.55,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,402,822,0.8,c,0.18,48612.18
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,8:55,C9,328.55,Pseudanabaena sp.,Cyanobacterium,Pseudanabaena,sp.,3,38,7.4,f,60.21,751736.01
Northern Interior Delta,NID,2018,Summer,Jul 18,7/17/2018,9:00,C3A,209.08,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,3,3,5.6,i,105.91,66429.56
Northern Interior Delta,NID,2018,Summer,Jul 18,7/17/2018,9:00,C3A,209.08,Encyonema silesiacum,Pennate Diatom,Encyonema,silesiacum,1,1,20.4,i,281.82,58921.43
Northern Interior Delta,NID,2018,Summer,Jul 18,7/17/2018,9:00,C3A,209.08,Gomphonema parvulum,Pennate Diatom,Gomphonema,parvulum,1,1,16.7,i,1025.34,214374.44
Northern Interior Delta,NID,2018,Summer,Jul 18,7/17/2018,9:00,C3A,209.08,Staurosira construens var. binodis,Pennate Diatom,Staurosira,construens var. binodis,1,1,18.5,i,198.91,41588.27
Northern Interior Delta,NID,2018,Summer,Jul 18,7/17/2018,9:00,C3A,209.08,Chlorella sp.,Green Alga,Chlorella,sp.,2,2,2.8,i,11.49,4806.27
Northern Interior Delta,NID,2018,Summer,Jul 18,7/17/2018,9:00,C3A,209.08,Dolichospermum sp.,Cyanobacterium,Dolichospermum,sp.,1,1,5,i,39.27,8210.43
Northern Interior Delta,NID,2018,Summer,Jul 18,7/17/2018,9:00,C3A,209.08,Dolichospermum spp.,Cyanobacterium,Dolichospermum,spp.,1,1,5,i,39.27,8210.43
Northern Interior Delta,NID,2018,Summer,Jul 18,7/17/2018,9:00,C3A,209.08,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,394,796,0.8,c,0.18,29956.54
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,14:15,MD10A,287.48,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,1,1,9.3,i,36.81,10583.07
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,14:15,MD10A,287.48,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,3,3,8.2,i,116.90,100818.27
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,14:15,MD10A,287.48,Chlorella sp.,Green Alga,Chlorella,sp.,16,16,2.8,i,9.20,42329.89
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,14:15,MD10A,287.48,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,386,788,0.8,c,0.18,40776.27
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,10:30,C10A,459.97,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,19,19,17.6,i,1302.56,11383631.98
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,10:30,C10A,459.97,Navicula sp.,Pennate Diatom,Navicula,sp.,1,1,40.7,i,3299.82,1517814.35
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,10:30,C10A,459.97,Nitzschia palea,Pennate Diatom,Nitzschia,palea,4,4,29.6,i,146.59,269714.93
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,10:30,C10A,459.97,Skeletonema potamos,Centric Diatom,Skeletonema,potamos,9,9,16.7,i,155.91,645404.93
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,10:30,C10A,459.97,Chlamydomonas sp.,Green Alga,Chlamydomonas,sp.,4,4,7.4,i,71.24,131082.00
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,10:30,C10A,459.97,Chlorella sp.,Green Alga,Chlorella,sp.,7,7,3.7,i,18.82,60585.25
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,10:30,C10A,459.97,cf. Oocystis sp.,Green Alga,Oocystis,sp.,1,4,3.7,c,26.52,48796.90
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,10:30,C10A,459.97,Chroococcus minutus,Cyanobacterium,Chroococcus,minutus,6,7,5.6,c,57.91,186444.17
Southern Interior Delta,SID,2018,Summer,Jul 18,7/16/2018,10:30,C10A,459.97,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,348,702,0.8,c,0.18,58121.71
Confluence,CON,2018,Summer,Jul 18,7/18/2018,7:40,D4,766.62,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,2,2,7.4,i,122.78,188245.89
Confluence,CON,2018,Summer,Jul 18,7/18/2018,7:40,D4,766.62,Dolichospermum sp.,Cyanobacterium,Dolichospermum,sp.,1,40,1.9,f,3.59,110127.71
Confluence,CON,2018,Summer,Jul 18,7/18/2018,7:40,D4,766.62,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,424,864,0.8,c,0.18,119224.03
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,15:30,P8,459.97,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,1,1,6.5,i,122.78,56473.77
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,15:30,P8,459.97,Chlorella sp.,Green Alga,Chlorella,sp.,15,15,2.8,i,4.85,33456.17
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,15:30,P8,459.97,Cryptomonas sp.,Cryptophyte,Cryptomonas,sp.,2,2,14.8,i,652.12,599909.09
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,15:30,P8,459.97,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,1,1,6.5,i,112.82,51894.81
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,15:30,P8,459.97,Chroococcus minutus,Cyanobacterium,Chroococcus,minutus,3,3,5.6,i,91.95,126885.62
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,15:30,P8,459.97,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,413,836,0.8,c,0.18,69216.17
Southern Interior Delta,SID,2018,Summer,Jul 18,7/9/2018,15:30,P8,459.97,Pseudanabaena sp.,Cyanobacterium,Pseudanabaena,sp.,2,18,5.6,f,46.23,382791.89
San Pablo Bay,SPB,2018,Summer,Jul 18,7/11/2018,13:30,D6,219.03,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,1,1,11.1,i,122.57,26847.71
San Pablo Bay,SPB,2018,Summer,Jul 18,7/11/2018,13:30,D6,219.03,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,1,1,5.6,i,91.13,19960.75
San Pablo Bay,SPB,2018,Summer,Jul 18,7/11/2018,13:30,D6,219.03,cf. Chlorella sp.,Green Alga,Chlorella,sp.,2,2,3.7,i,11.49,5035.14
San Pablo Bay,SPB,2018,Summer,Jul 18,7/11/2018,13:30,D6,219.03,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,400,812,0.8,c,0.18,32013.86
Northern Interior Delta,NID,2018,Summer,Aug,8/2/2018,9:00,C3A,214.49,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,1,1,7.4,i,79.57,17066.03
Northern Interior Delta,NID,2018,Summer,Aug,8/2/2018,9:00,C3A,214.49,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,1,1,5.6,i,91.13,19546.77
Northern Interior Delta,NID,2018,Summer,Aug,8/2/2018,9:00,C3A,214.49,Encyonema sp.,Pennate Diatom,Encyonema,sp.,1,1,20.4,i,186.22,39942.79
Northern Interior Delta,NID,2018,Summer,Aug,8/2/2018,9:00,C3A,214.49,Nitzschia spp.,Pennate Diatom,Nitzschia,spp.,2,2,26,i,269.36,115550.25
Northern Interior Delta,NID,2018,Summer,Aug,8/2/2018,9:00,C3A,214.49,Ulnaria sp.,Pennate Diatom,Ulnaria,sp.,3,3,7.4,i,98.92,63651.68
Northern Interior Delta,NID,2018,Summer,Aug,8/2/2018,9:00,C3A,214.49,cf. Chlorella sp.,Green Alga,Chlorella,sp.,7,7,2,i,4.19,6289.18
Northern Interior Delta,NID,2018,Summer,Aug,8/2/2018,9:00,C3A,214.49,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,401,881,0.8,c,0.18,34013.88
Northern Interior Delta,NID,2018,Summer,Aug,8/2/2018,9:00,C3A,214.49,Pseudanabaena sp.,Cyanobacterium,Pseudanabaena,sp.,1,8,3,f,2.36,4043.04
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,Cyclotella cf. meneghiniana,Centric Diatom,Cyclotella,meneghiniana,1,1,11.1,i,541.91,348700.49
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,1,1,5.6,i,91.13,58640.32
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,Nitzschia spp.,Pennate Diatom,Nitzschia,spp.,2,2,26,i,177.97,229037.11
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,cf. Skeletonema sp.,Centric Diatom,Skeletonema,sp.,3,3,9.3,i,99.99,193030.63
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,Ulnaria sp.,Pennate Diatom,Ulnaria,sp.,1,1,7.4,i,120.42,77489.00
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,cf. Chlorella sp.,Green Alga,Chlorella,sp.,1,1,2.2,i,5.58,3587.53
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,Drepanochloris nannoselene,Green Alga,Drepanochloris,nannoselene,1,1,9.3,i,32.36,20821.68
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,cf. Monoraphidium sp.,Green Alga,Monoraphidium,sp.,1,1,7.4,i,15.50,9972.84
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,cf. Mucidosphaerium sp.,Green Alga,Mucidosphaerium,sp.,1,4,5.6,c,40.14,103318.66
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,Scenedesmus spp.,Green Alga,Scenedesmus,spp.,2,6,11.1,c,122.98,474807.10
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,369,751,0.8,c,0.18,86984.42
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,11:00,C10A,643.47,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,31,44,4.6,c,36.09,1021719.20
Confluence,CON,2018,Summer,Aug,8/2/2018,6:50,D4,900.86,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,2,2,5.6,i,91.13,164192.90
Confluence,CON,2018,Summer,Aug,8/2/2018,6:50,D4,900.86,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,469,905,0.8,c,0.18,146750.02
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,9:20,C9,450.43,cf. Chlorella sp.,Green Alga,Chlorella,sp.,5,5,3,i,6.37,14347.59
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,9:20,C9,450.43,Drepanochloris nannoselene,Green Alga,Drepanochloris,nannoselene,1,1,9.3,i,32.36,14575.18
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,9:20,C9,450.43,cf. Mucidosphaerium sp.,Green Alga,Mucidosphaerium,sp.,1,3,2.2,i,5.58,7533.81
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,9:20,C9,450.43,Aphanizomenon sp.,Cyanobacterium,Aphanizomenon,sp.,1,22,3.7,f,39.78,394225.27
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,9:20,C9,450.43,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,379,808,0.8,c,0.18,65510.51
Southern Interior Delta,SID,2018,Summer,Aug,8/1/2018,9:20,C9,450.43,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,6,8,4.6,i,36.09,130036.99
Southern Interior Delta,SID,2018,Summer,Aug,8/6/2018,14:00,P8,563.04,cf. Ulnaria sp.,Pennate Diatom,Ulnaria,sp.,1,1,7.4,i,51.61,29058.37
