"","Station","Date","Time","SampleDescription","WindDirection","TotAlkalinity","DissAmmonia","DissBromide","DissCalcium","DissChloride","Chla","DissNitrateNitrite","DOC","TOC","DON","Pheophytin","TotPhos","DissSilica","TDS","TSS","VSS","TKN","DissOrthophos","TotAmmonia","TotChloride","TON","SpCndBottom","SpCndSurface","FieldNotes","north_lat","west_long","Microcystis","DOpercentBottom","DOBottom","DOpercentSurface","DOSurface","Secchi","WTBottom","AirTemp","WTSurface","TurbidityBottom","TurbiditySurface","Depth","Weather","WindVelocity","pHBottom","pHSurface","LightExtinction","river_km","location","loc_num"
"11","EZ2",2015-04-13,"11:55","",NA,NA,0.11,NA,25,370,6.82,0.45,2.5,3.1,0.2,2.99,0.14,15.8,911,36,5,0.6,0.07,NA,NA,NA,NA,1802,NA,38.1185,-121.701,NA,NA,NA,NA,8.45,28,NA,NA,17.68,NA,36.8,27.5,NA,15,NA,7.81,NA,87.67550659,"sac",2
"12","EZ2",2015-05-13,"12:35","",NA,NA,0.1,NA,24,450,2.68,0.45,2.6,2.9,0.3,1.71,0.16,14.6,979,29,4,0.6,0.07,NA,NA,NA,NA,1780,NA,38.1223,-121.6996,NA,NA,NA,NA,8.3,32,NA,NA,19.2,NA,23.6,30.6,"partly cludy and cool with medium winds (12-13 mph)",NA,NA,7.9,NA,88.09857178,"sac",2
"13","EZ2",2015-06-10,"12:00","",NA,NA,0.07,NA,22,424,2.73,0.59,2.4,2.4,0.2,0.95,0.1,15.7,909,16,2,0.4,0.08,NA,NA,NA,NA,1711,NA,38.1159,-121.706,NA,NA,NA,NA,7.8,60,NA,NA,21.94,NA,14.8,31.6,"cool, rain, cloudy, winds 5-10 mph",NA,NA,7.8,NA,87.27823639,"sac",2
"14","EZ2",2015-07-10,"11:45","",NA,NA,0.02,NA,21,394,5,0.38,2.4,2.6,0.4,1,0.12,13.6,872,16,2,0.5,0.07,NA,NA,NA,NA,1601,NA,38.1407,-121.6911,NA,NA,NA,NA,8.2,56,NA,NA,22.3,NA,11.9,27.4,"overcast and cool with light winds",6,NA,7.9,NA,90.16669464,"sac",2
"15","EZ2",2015-08-25,"15:50","",NA,NA,NA,NA,22,590,2.83,0.28,2.1,2.6,0.5,0.98,0.1,12.4,1221,17,3,0.6,0.06,NA,NA,NA,NA,2284,NA,38.1123,-121.7091,1,NA,NA,NA,9.21,52,NA,NA,22,NA,12.7,33.1,NA,NA,NA,7.95,NA,86.75173187,"sac",2
"16","EZ2",2015-09-22,"13:30","",NA,NA,0.08,NA,22,431,2.83,0.41,2.2,2.3,0.3,0.83,0.1,16.2,948,10,2,0.6,0.08,NA,NA,NA,NA,1706,NA,38.1642,-121.679,2,NA,NA,NA,7.55,76,NA,NA,22,NA,8.4,34.4,"mostly sunny and warm with medium winds",NA,NA,7.9,NA,93.11457062,"sac",2
"17","EZ2",2015-10-21,"14:00","",NA,NA,0.09,NA,16,185,3.24,0.49,2,2,0.3,0.76,0.1,16,453,8,1,0.4,0.09,NA,NA,NA,NA,858,NA,38.1412,-121.6912,1.5,NA,NA,NA,8.15,80,NA,NA,20.74,NA,6.7,30,"sunny, clear",11,NA,7.93,NA,90.16669464,"sac",2
"18","EZ2",2015-11-04,"13:50","",NA,NA,0.09,NA,20,377,1.79,0.59,1.8,1.9,NA,0.51,0.11,15.7,849,17,2,0.2,0.09,NA,NA,NA,NA,1298,NA,38.1387,-121.6924,2,NA,NA,NA,8.8,52,NA,NA,17.5,NA,11.7,33.2,"partly cloudy and cool with strong winds",NA,NA,7.85,NA,89.90628815,"sac",2
"19","EZ2",2015-12-04,"14:23","",NA,NA,0.2,NA,16,155,6,0.53,2.8,2.2,0.2,0.57,0.11,18.1,397,12,2,0.6,0.05,NA,NA,NA,NA,886,NA,38.1607,-121.683,1,NA,NA,NA,9.9,64,NA,57,10.57,NA,12.6,31.6,"Sunny, clear, calm winds <5 mph",NA,NA,7.72,NA,92.56719208,"sac",2
"20","EZ2",2016-01-06,"16:00","",NA,NA,0.19,NA,18,218,2.34,0.58,3.5,3.5,0.3,0.69,0.11,20.6,514,19,3,0.7,0.05,NA,NA,NA,NA,966,NA,38.1381,-121.6937,1,NA,NA,NA,10.7,44,NA,10,8.3,NA,20.1,37.5,"raining, overcast with medium winds",NA,NA,7.8,NA,89.90628815,"sac",2
"21","EZ2",2016-02-03,"11:00","",NA,NA,0.1,NA,14,44,1.04,0.47,4.3,4.5,0.4,NA,0.11,19.3,184,37,5,0.7,0.04,NA,NA,NA,NA,315,NA,38.055,-121.953,1,NA,NA,NA,9.6,24,NA,NA,10.6,NA,40.6,38.5,"party cloudy, cool, ~7-10 mph wind",NA,NA,7.6,NA,63.03571701,"joined",3
"22","EZ2",2016-03-04,"12:40","",NA,NA,0.14,NA,18,162,3.65,0.34,2.9,3,0.2,NA,0.08,19.2,455,10,2,0.5,0.04,NA,NA,NA,NA,836,NA,38.0751,-121.7695,1,NA,NA,NA,9.6,72,NA,NA,15.3,NA,13.2,31.6,"raining, cloudy and cool with light winds",NA,NA,7.7,NA,79.95744324,"sac",2
"23","EZ2",2016-04-15,"10:05","",NA,NA,0.08,NA,16,143,5.81,0.24,2.9,3.3,0.2,0.7,0.12,17.2,382,33,5,0.4,0.04,NA,NA,NA,NA,1630,NA,38.0607,-122.0013,1,NA,NA,NA,8.95,28,NA,NA,17.13,NA,35.6,42,"sunny ~60F, winds ~7mph",NA,NA,7.9,NA,58.85342407,"joined",3
"24","EZ2",2016-05-13,"9:30","",NA,NA,0.02,NA,24,550,54.17,0.15,3.1,3.6,0.4,5.97,0.16,9.4,1173,70,13,0.6,0.04,NA,NA,NA,NA,2153,"Corrected lat/long to station D4/NZ060.",38.0625,-121.8205,1,NA,NA,NA,9.5,28,NA,NA,18.79,NA,47.3,42.3,"sunny, partly cloudy, cool, winds ~16 mph",NA,NA,8.18,NA,75.05490112,"joined",3
"25","EZ2",2016-06-13,"12:00","",NA,NA,0.06,NA,22,509,7.98,0.33,2.2,2.8,0.2,3,0.13,10.1,1096,49,8,0.4,0.06,NA,NA,NA,NA,1977,NA,38.0642,-121.7923,1,NA,NA,NA,8.53,20,NA,NA,20.49,NA,39.3,37.7,"~ 75 F, sunny, winds ~20 mph",NA,NA,7.86,NA,77.74186707,"sac",2
"26","EZ2",2016-07-13,"13:00","",NA,NA,0.05,NA,12,172,3.97,0.25,1.7,1.7,0.2,0.81,0.08,12.3,398,17,2,0.4,0.05,NA,NA,NA,NA,848,NA,38.0655,-121.7891,2.5,NA,NA,NA,8.4,48,NA,NA,22.31,NA,18.3,36.8,"sunny, ~100F, winds ~6mph",NA,NA,7.81,NA,77.96687317,"sac",2
"27","EZ2",2016-08-10,"11:35","",NA,NA,0.03,NA,18,427,8.92,0.17,1.9,2,0.2,2.27,0.1,9.7,974,23,4,0.4,0.05,NA,NA,NA,NA,1805,NA,38.0608,-121.7982,2,NA,NA,NA,8.44,48,NA,NA,21.58,NA,23.1,40.8,"sunny, clear, ~70 deg F, wind ~12 mph",NA,NA,7.81,NA,77.12834167,"sac",2
"28","EZ2",2016-09-12,"15:00","",NA,NA,0.09,NA,21,417,2.11,0.25,2.5,1.9,0.2,1.52,0.11,16.4,920,27,4,0.4,0.07,NA,NA,NA,NA,1693,"passed through D22 during EZ 2 tow, but did vertical drop at D22 station. Corrected lat/long to station D22/NZ064.",38.0845,-121.7391,1,NA,NA,NA,8.74,36,NA,NA,19.78,NA,22.6,32.6,"sunny, clear, cool (73 deg F), winds ~ 20 mph",NA,NA,7.8,NA,82.83917236,"sac",2
"29","EZ2",2016-10-24,"13:20","",NA,NA,0.11,NA,20,452,2.59,0.45,1.8,1.9,0.2,1.03,0.1,15.1,936,16,2,0.3,0.08,NA,NA,NA,NA,1696,"EZ6 same as D22 pretow location. corrected lat and long.",38.1279,-121.6965,1,NA,NA,NA,8.26,60,NA,NA,17.66,NA,13.5,36.3,"overcast, cool, winds less than 10 mph",NA,NA,7.76,NA,88.71922302,"sac",2
"30","EZ2",2016-11-07,"12:50","",NA,NA,0.18,NA,17,238,2.03,0.5,2.8,2.8,0.2,0.56,0.09,18.5,570,14,4,0.5,0.09,NA,NA,NA,NA,1038,NA,38.1045,-121.7206,1,NA,NA,NA,7.99,80,NA,67.3,16.52,NA,9.1,35,"67.3 F, wind 7.4 mph, partly cloudy",7.4,NA,7.46,NA,85.32604218,"sac",2
"31","EZ2",2016-12-09,"14:25","",NA,NA,0.19,NA,22,365,2.11,0.47,2.8,3,0.3,1.37,0.1,21.2,831,22,3,0.5,0.08,NA,NA,NA,NA,1566,NA,38.0913,-121.7384,1,NA,NA,NA,10.11,44,NA,58.5,10.34,NA,18.5,31.3,"58.5 F, wind 1.3 mph, cloudy, no waves, no rain",1.3,NA,7.7,NA,83.08384705,"sac",2
"32","EZ2",2017-01-11,"13:50","",NA,NA,0.12,NA,14,96,1.73,0.38,3.4,3.4,0.4,1.98,0.18,18,264,128,12,0.6,0.07,NA,NA,NA,1806,472,"air temp 52.5, wind 9.6 mph, cloudy, small waves, no rain    did vert drop as EZ check"", started at bottoma nd brought back up to surface""",38.0372,-122.1643,1,NA,10.52,NA,10.68,16,9.78,52.5,9.67,84.4,98,49.5,NA,9.6,7.66,7.74,NA,44.38142776,"joined",3
"33","EZ2",2017-02-10,"13:40","",NA,NA,0.06,NA,13,20,2.84,0.33,2.7,2.7,0.2,1.74,0.1,16.8,121,57,3,0.4,0.07,NA,NA,NA,4677,213,"air temp: 60.3F, wind 7.4MPH, partly cloudy, no waves/flat, no rain.
updated long with (-).",38.0652,-122.2427,1,NA,9.46,NA,9.76,16,11.67,60.3,11.9,206.3,58.9,58.2,NA,7.4,7.42,7.59,NA,37.08404922,"joined",3
"34","EZ2",2017-03-10,"13:05","",NA,NA,0.07,NA,15,59,4.13,0.35,2.7,2.9,0.3,0.85,0.07,17.9,199,31,4,0.4,0.06,NA,NA,NA,3134,339,"No Secchi. Made 5 attempts sampling EZ2. S.C values ranged from 425 to 4700 in small area sampled",38.0401,-122.1268,1,NA,9.75,NA,10.09,NA,11.94,64.2,12.25,59.8,34.7,60.5,"air temp 64.2 F, wind 6.5 mph, overcast, no waves, no rain",6.5,7.39,7.56,NA,47.28268051,"joined",3
"35","EZ2",2017-06-19,"10:50","",NA,NA,0.05,NA,15,281,3.88,0.19,2.2,2.3,0.1,1.09,0.06,13.5,632,12,2,0.2,0.05,NA,NA,NA,1930,1001,"West Point at Chipps island near channel marker 27
updated long with (-)",38.0534,-121.9406,1,NA,8.58,NA,8.76,56,21.33,75.9,21.76,16.3,11.5,39.4,"Air temperature 75.9 degrees F, Wind speed 21.3 mph, Sunny, Moderate Waves with few white caps",21.3,7.68,7.72,NA,64.13883209,"joined",3
"36","EZ2",2017-07-18,"12:30","",NA,NA,0.06,NA,15,288,14.25,0.06,2.3,2.4,0.2,6.97,0.07,4.4,632,39,5,0.3,0.05,NA,NA,NA,2136,1362,"Channel marker 34
updated long with (-)",38.0589,-121.8688,1,NA,8.03,NA,8.3,34,22.5,73,22.98,34.1,23.9,52.3,"Air temperature 73 degrees F, Wind speed 26.7 mph, Sunny, Moderate waves with few white caps",26.7,7.7,7.76,NA,70.73982239,"joined",3
"37","EZ2",2017-08-16,"12:00","",NA,NA,0.06,NA,21,520,2.57,0.26,1.8,1.8,0.2,1.53,0.07,11.9,1070,18,2,0.3,0.07,NA,NA,NA,1945,1905,"near D10
updated long with (-)",38.0648,-121.8347,1,NA,8.07,NA,8.19,52,21.79,71.4,21.99,19.3,12.1,40.8,"71.4F airtemp, 12.3MPH wind, Sunny, moderate waves, no rain.",12.3,7.91,7.87,NA,73.83301544,"joined",3
"38","EZ2",2017-09-14,"13:05","",NA,NA,0.09,NA,19,385,2.62,0.3,1.9,2.1,0.3,1.28,0.08,15.9,871,16,3,0.3,0.08,NA,NA,NA,2218,1564,"downstream of Port Sacramento
updated long with (-)",38.0628,-121.8578,2,NA,8.13,NA,8.36,76,22.15,67.3,22.47,22.8,15.2,65.2,"67.3 F air temp, 17.4 mph wind speed, overcast, ripples to small waves, no rain",17.4,7.7,7.72,NA,71.8960495,"joined",3
"39","EZ2",2017-10-12,"11:35","",NA,NA,0.08,NA,16,345,2.25,0.27,1.7,1.9,0.1,0.72,0.07,14.7,758,17,2,0.4,0.06,NA,NA,NA,1771,1411,NA,38.0625,-121.8178,1,NA,8.69,NA,8.85,48,17.38,62.6,17.65,22.2,13.8,39.4,"air temp 62.6F, wind speed 7.0, overcast, ripples ro small waves, no rain",7,7.58,7.6,NA,75.42990112,"joined",3
"40","EZ2",2017-11-09,"10:00","",NA,NA,0.12,NA,17,304,2.19,0.4,1.7,1.8,0.1,1.06,0.07,15.6,704,12,2,0.3,0.07,NA,NA,NA,2019,1349,"Ended tow at D22
updated long with (-)",38.0803,-121.76,1,NA,8.64,NA,8.73,76,15.41,60.8,15.46,13.7,10.5,35.5,"Air temperature 60.8 degrees Fahrenheit, Wind speed 6.2 mph, Cloudy, Ripples to small waves with no white caps",6.2,7.46,7.46,NA,81.05278015,"sac",2
"41","EZ2",2017-12-08,"9:35","",NA,NA,0.17,NA,20,375,NA,0.46,2.6,2.7,0.2,2.95,0.08,17.9,833,17,2,0.4,0.07,NA,NA,NA,1849,1536,"Ended EZ2 tow at D22, collected D22 water at end of tow.
updated long with (-)",38.082,-121.7557,1,NA,9.57,NA,9.62,48,11.31,43,11.18,18.5,12.8,33.8,"43.0 degrees with 9.2 mph winds. Partly cloudy with ripples to small waves and no rain",9.2,7.59,7.57,NA,81.46343231,"sac",2
"42","EZ2",2018-01-05,"9:45","",NA,NA,0.23,NA,20,291,1.83,0.38,2.1,2.2,0.2,0.96,0.06,18,774,8,1,0.5,0.06,NA,NA,NA,2253,1841,"located at D22",38.0855,-121.7489,1,NA,10.04,NA,10.14,100,9.52,50.5,9.53,33.8,10.8,32.7,"50.5 degrees F with 4.6 mph winds, foggy, no waves/flat and no rain",4.6,7.47,7.49,NA,82.00597382,"sac",2
"43","EZ2",2018-02-08,"11:50","",NA,NA,0.13,NA,16,130,1.54,0.51,2.8,3.1,0.5,0.6,0.07,19,364,8,1,0.4,0.07,NA,NA,NA,2095,679,NA,38.0622,-121.8208,1,NA,9.56,NA,9.72,76,12.04,66,12.06,15.7,11.1,37.6,"Air temp 66.0 degrees F, Wind speed 2.5mph, Partly cloudy skies, ripples to small waves with no white caps, no rain",2.5,7.53,7.53,NA,75.05490112,"joined",3
"44","EZ2",2018-03-14,"15:20","",NA,NA,0.15,NA,22,345,3.81,0.48,2.8,3.3,0.2,1.17,0.07,15.9,779,12,2,0.4,0.07,NA,NA,NA,1827,1450,NA,38.0705,-121.7786,1,NA,9.79,NA,9.87,72,12.61,50.4,12.64,16.5,12.4,36.8,"Air temp. 50.4 degrees F., Wind Speed 4.6 mph, partially cloudy, ripples to small waves with no white caps, no rain",4.6,7.71,7.74,NA,78.95344543,"sac",2
"45","EZ2",2018-04-11,"11:45","",NA,NA,0.07,NA,10,24,2.16,0.23,2.7,2.7,NA,1.03,0.05,13,105,8,1,0.2,0.05,NA,NA,NA,2008,190,"Located downstream of buoy 16A, found at the end of EZ6 zooplankton tow; same secchi reading used for both EZ6 and EZ2; no zooplankton tow performed at EZ2",38.0647,-122.0349,1,NA,9.43,NA,9.76,80,14.71,57.6,14.64,14.8,11.7,41.6,"Air temp 57.6 deg F, wind speed 18.6 mph, overcast, ripples to small waves with no white caps",18.6,7.57,7.68,NA,55.95080185,"joined",3
"46","EZ2",2018-05-10,"11:45","",NA,NA,0.05,NA,18,310,12.1,0.35,3,3.3,0.3,1.05,0.11,14.4,708,37,5,0.4,0.07,NA,NA,NA,1933,1347,"EZ2 located at the end of D10 tow",38.0485,-121.8947,1,NA,9.18,NA,9.35,36,17.92,64,18.24,43.6,32.2,36.9,"Air temp 64 degrees F with 21.2 mph winds, partly cloudy, ripples to small waves with no white caps, and no rain",21.2,7.85,7.93,NA,68.27735901,"joined",3
"47","EZ2",2018-06-08,"12:00","",NA,NA,0.05,NA,23,550,2.57,0.4,2.4,2.5,0.2,1.29,0.11,12.6,1170,23,4,0.4,0.08,NA,NA,NA,2188,2093,NA,38.0607,-121.8605,1,NA,8.6,NA,8.7,52,20.31,71.1,20.37,22.2,21.7,47.2,"71.1 degrees, 23.2 mph wind, sunny, moderate waves with a few white caps, and no rain",23.2,7.75,7.73,NA,71.43043518,"joined",3
"48","EZ2",2018-07-10,"14:55","",NA,NA,0.05,NA,19,396,2.7,0.37,2,2.3,0.1,1.5,0.1,13.7,865,29,5,0.3,0.08,NA,NA,NA,2009,1717,"First set of powerlines is where EZ2 is located, Churn bucket 9",38.0662,-121.7871,2,NA,8.26,NA,8.32,40,21.83,82.6,21.92,29.5,23.2,35.2,"Air temperature 82.6 degrees Fahrenheit, Wind speed 25.8 mph, Sunny, Ripples to small waves with no white caps",25.8,7.82,7.82,NA,78.16998291,"sac",2
"49","EZ2",2018-08-07,"13:40","",NA,NA,0.1,NA,19,380,2.74,0.247,1.9,2,NA,1.79,0.08,14,859,19,3,0.2,0.07,NA,NA,NA,1839,1542,NA,38.067,-121.7816,2,NA,8.35,NA,8.41,56,21.56,75,21.65,17.3,17,31,"Air temperature 75 deg F, wind speed 28 mph, overcast, ripples to small waves with no white caps",28,7.73,7.68,NA,78.69498444,"sac",2
"50","EZ2",2018-09-13,"7:45","",NA,NA,0.08,NA,19,280,2.03,0.221,2.3,2.4,0.2,0.87,0.09,16.6,659,11,2,0.3,0.081,NA,NA,NA,1833,1197,"located at D22",38.0864,-121.7468,2,NA,8.32,NA,8.44,76,20,59.7,19.98,19.9,10.4,30,"Air Temp. 59.7 degrees F, Wind Speed 19.6 mph, partially cloudy, ripples to small waves with no white caps, no rain",19.6,7.87,7.91,NA,82.29335022,"sac",2
"51","EZ2",2018-10-12,"8:35","",NA,NA,0.09,NA,18,310,1.16,0.34,1.6,1.7,NA,0.55,0.08,16.1,710,10,2,0.255,0.082,NA,NA,NA,2162,1276,NA,38.1006,-121.726917,1,NA,8.52,NA,8.67,72,18.43,65.3,18.31,18.9,10.8,30,"Air temp 65.3 degrees F, Wind speed 23.0 mph, Sunny skies, Ripples to small waves with no white caps, No rain",23,7.7,7.71,NA,84.65762329,"sac",2
"52","EZ2",2018-11-20,"16:15","Could not stick with the tide due to many stations sampled that day",NA,NA,0.245,NA,16.5,167,1.37,0.525,1.9,1.9,0.18,NA,0.101,16.8,428,4,NA,0.481,0.097,NA,NA,NA,2032,796,"Located right below RV bridge, too dark to see any microcystis, did not do a tow because we were too close to the bridge",38.1574,-121.6852,1,NA,9.24,NA,9.54,144,12.34,58.5,12.56,15.9,3.2,32.5,"Air temp 58.5 degrees F, Wind speed 1.3 mph, Overcast skies, No waves/flat, No rain",1.3,7.84,7.83,NA,92.09062958,"sac",2
"53","EZ2",2018-12-11,"9:40","",NA,NA,0.203,NA,22.4,435,0.97,0.591,3.2,3.2,0.35,1.37,0.098,16.9,980,19,3,0.399,0.082,NA,NA,NA,2608,1756,"EZ2 same as D22, EZ2 is duplicate for the day",38.0971,-121.7398,1,NA,8.72,NA,8.83,60,11.4,49.1,11.71,12.4,14.4,30.9,"Air temperature 49.1 degrees Fahrenheit, Wind speed 12.3 mph, Sunny, No waves/flat",12.3,7.73,7.87,NA,84.22335815,"sac",2
"54","EZ2",2019-01-10,"10:00","",NA,NA,0.28,NA,18.5,180,1.16,0.53,3.1,3.1,0.31,1.15,0.104,19.2,473,12,2,0.6,0.083,NA,NA,NA,2138,1590,"Located 100 yards downstream of channel markers 7 and 8",38.0611,-121.8118,1,NA,9.76,NA,10.13,68,8.9,43.2,8.88,26.3,12.5,39.6,"Foggy, no waves/flat",3.3,7.57,7.65,NA,75.92834473,"joined",3
"55","EZ2",2019-02-21,"15:05","",NA,NA,0.1,NA,16,240,1.57,0.43,4.2,4.2,0.3,2.32,0.17,14.9,568,98,10,0.6,0.075,NA,NA,NA,1846,1022,"passed through NZ004 during the zooplankton tow",38.0375,-122.1653,1,NA,10.05,NA,10.31,16,9.44,51.6,9.56,120,135.7,55.8,"Sunny, no waves/flat",12.1,7.62,7.74,NA,44.20678329,"joined",3
"56","EZ2",2019-03-15,"10:20","",NA,NA,0.1,NA,12.1,28,2.3,0.31,2.9,3.6,0.25,0.71,0.07,18,134,26,4,0.4,0.065,NA,NA,NA,2156,234,"EZ2 located at the end of the EZ6 tow",38.0512,-122.0917,1,NA,9.75,NA,10.14,32,11.62,52.9,11.78,32,33.1,35.6,"Sunny, no waves/flat and no rain",3.3,7.57,7.7,NA,50.6539917,"joined",3
"57","EZ2",2019-04-15,"11:45","",NA,NA,0.14,NA,13.9,77,1.89,0.193,2.2,2.2,NA,0.73,0.07,16.6,235,16,2,0.3,0.055,NA,NA,NA,2031,534,"EZ2 located at end of EZ6 tow, same secchi reading used from EZ6",38.0552,-122.0753,1,NA,9.35,NA,9.38,48,15.29,54.1,15.32,17.8,16.7,31.9,"Cloudy, ripples to small waves with no white caps",25.1,7.64,7.66,NA,52.19772339,"joined",3
"58","EZ2",2019-05-14,"13:25","",NA,NA,0.06,NA,20,426,1.64,0.18,1.9,1.9,NA,0.75,0.09,13.7,891,28,4,0.2,0.054,NA,NA,NA,2052,1221,"Ended EZ6 tow at the beginning of EZ2",38.0615,-122.0644,1,NA,9.2,NA,9.67,32,17.76,58.1,17.81,33.3,26.2,11.1,"Cloudy with moderate waves with few white caps and no rain",31,7.97,8.07,NA,53.19456863,"joined",3
"59","EZ2",2019-06-11,"10:25","",NA,NA,NA,NA,10,67.5,1.48,0.18,1.9,1.9,0.2,NA,0.06,14.1,194,8,1,0.3,0.054,NA,NA,NA,2187,341,NA,38.0614,-122.0181,1,NA,8.07,NA,8.59,48,20.96,81.5,21.84,13.7,10.8,45.3,"Sunny, no waves/flat",10.2,7.2,7.62,NA,57.42842102,"joined",3
"60","EZ2",2019-07-11,"12:20","",NA,NA,0.051,NA,18.5,420,1.85,0.24,1.9,2,NA,1.34,0.081,13.2,877,16,3,0.256,0.064,NA,NA,NA,1765,1830,"Passed through EZ2 during D10 tow, EZ2 samples collected after the tow",38.0483,-121.8857,1,94.3,8.27,96.2,8.43,36,21.61,73,21.59,19.6,20.5,34.8,"Sunny, moderate waves with few white caps",27,7.72,7.75,NA,69.06485748,"joined",3
"61","EZ2",2019-08-08,"12:15","",NA,NA,NA,NA,21,440,3.8,0.216,1.7,1.7,0.11,1.25,0.067,13.7,1050,14,3,0.196,0.066,NA,NA,NA,2087,1899,"Ended the D4 tow at EZ2",38.0627,-121.8167,2,92.4,7.91,94.7,8.09,56,22.76,68.7,22.89,12.1,11.3,31.2,"Sunny, large waves with frequent white caps",28.4,7.66,7.72,NA,75.42990112,"joined",3
