SampleID,SampleDate,StationCode,Month,Year,Region,RegionAbbv,Genus,Units.per.mL,BV.um3.per.mL
NZS42.Jan.2022,1/12/2022,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Eucapsis,58214.7,20957.292
NZS42.Jan.2022,1/12/2022,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Monoraphidium,143.74,835.1294
NZS42.Jan.2022,1/12/2022,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Nitzschia,143.74,4698.8606
D41.Jan.2022,1/13/2022,D41,Jan,2022,San Pablo Bay,SPB,Cryptomonas,181.56,77044.986
D41.Jan.2022,1/13/2022,D41,Jan,2022,San Pablo Bay,SPB,Cyclotella,363.12,57783.2856
D41.Jan.2022,1/13/2022,D41,Jan,2022,San Pablo Bay,SPB,Eucapsis,23723.84,8540.5824
D41.Jan.2022,1/13/2022,D41,Jan,2022,San Pablo Bay,SPB,Plagioselmis,60.52,17814.6672
D41A.Jan.2022,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Chrysochromulina,41.07,974.5911
D41A.Jan.2022,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Cyclotella,41.07,7902.6894
D41A.Jan.2022,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Eucapsis,16345.86,5884.5096
D41A.Jan.2022,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Navicula,41.07,13992.9597
D41A.Jan.2022,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Ochromonas,82.14,7552.773
D41A.Jan.2022,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Plagioselmis,287.49,115891.7367
D41A.Jan.2022,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Staurosira,41.07,1548.339
NZ002.Jan.2022,1/13/2022,NZ002,Jan,2022,San Pablo Bay,SPB,Cyclotella,176.92,35571.5352
NZ002.Jan.2022,1/13/2022,NZ002,Jan,2022,San Pablo Bay,SPB,Eucapsis,35118.62,12642.7032
NZ002.Jan.2022,1/13/2022,NZ002,Jan,2022,San Pablo Bay,SPB,Plagioselmis,530.76,463921.3932
NZ004.Jan.2022,1/13/2022,NZ004,Jan,2022,San Pablo Bay,SPB,Cryptomonas,54.11,28702.1084
NZ004.Jan.2022,1/13/2022,NZ004,Jan,2022,San Pablo Bay,SPB,Cyclotella,432.88,191216.0824
NZ004.Jan.2022,1/13/2022,NZ004,Jan,2022,San Pablo Bay,SPB,Eucapsis,20832.35,7499.646
NZ004.Jan.2022,1/13/2022,NZ004,Jan,2022,San Pablo Bay,SPB,Plagioselmis,324.66,58646.5824
NZ004.Jan.2022,1/13/2022,NZ004,Jan,2022,San Pablo Bay,SPB,Thalassiosira,108.22,114954.5306
NZ325.Jan.2022,1/13/2022,NZ325,Jan,2022,San Pablo Bay,SPB,Crucigenia,95.83,8288.3367
NZ325.Jan.2022,1/13/2022,NZ325,Jan,2022,San Pablo Bay,SPB,Cyclotella,191.66,30481.6064
NZ325.Jan.2022,1/13/2022,NZ325,Jan,2022,San Pablo Bay,SPB,Encyonema,95.83,17873.2533
NZ325.Jan.2022,1/13/2022,NZ325,Jan,2022,San Pablo Bay,SPB,Eucapsis,38427.83,13834.0188
NZ325.Jan.2022,1/13/2022,NZ325,Jan,2022,San Pablo Bay,SPB,Plagioselmis,191.66,10035.3176
D12.Jan.2022,1/16/2022,D12,Jan,2022,Confluence,CON,Achnanthidium,102.22,1782.7168
D12.Jan.2022,1/16/2022,D12,Jan,2022,Confluence,CON,Cocconeis,408.88,403433.7184
D12.Jan.2022,1/16/2022,D12,Jan,2022,Confluence,CON,Cyclotella,204.44,47583.41
D12.Jan.2022,1/16/2022,D12,Jan,2022,Confluence,CON,Diatoma,102.22,30337.8738
D12.Jan.2022,1/16/2022,D12,Jan,2022,Confluence,CON,Eucapsis,40070.24,14425.2864
D12.Jan.2022,1/16/2022,D12,Jan,2022,Confluence,CON,Melosira,102.22,358739.0456
D12.Jan.2022,1/16/2022,D12,Jan,2022,Confluence,CON,Monoraphidium,102.22,3574.6334
D12.Jan.2022,1/16/2022,D12,Jan,2022,Confluence,CON,Navicula,102.22,81331.343
D12.Jan.2022,1/16/2022,D12,Jan,2022,Confluence,CON,Nitzschia,306.66,46888.314
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Achnanthidium,95.82,9672.0708
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Chlorella,431.19,9680.2155
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Chroococcus,47.91,275.9616
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Chrysochromulina,191.64,4681.7652
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Coccomyxa,479.1,5821.065
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Cyclotella,2012.22,184319.352
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Eucapsis,15043.74,5415.7464
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Navicula,143.73,70258.0986
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Nitzschia,191.64,30691.146
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Plagioselmis,95.82,69821.1594
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Planktolyngbya,47.91,881.544
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Scenedesmus,47.91,13644.768
C10A.Feb.2022,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Staurosira,479.1,55690.584
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Cryptomonas,73.02,31499.3676
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Cyclotella,219.06,118710.8046
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Diatoma,36.51,8318.0733
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Encyonema,36.51,4943.454
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Eucapsis,14238.9,5126.004
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Navicula,36.51,6654.3126
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Nitzschia,292.08,29713.2984
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Plagioselmis,109.53,22953.1068
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Planktolyngbya,109.53,3152.6385
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Planktothrix,73.02,2278.224
C3A.Feb.2022,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Scenedesmus,73.02,13219.5408
C9.Feb.2022,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Achnanthidium,28.04,5724.366
C9.Feb.2022,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Coccomyxa,182.26,2679.222
C9.Feb.2022,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Cyclotella,14.02,1109.9634
C9.Feb.2022,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Drepanochloris,14.02,117.6278
C9.Feb.2022,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Eucapsis,4528.46,1630.2456
C9.Feb.2022,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Nitzschia,14.02,4960.4162
C9.Feb.2022,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Plagioselmis,869.24,262104.601
C9.Feb.2022,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Planothidium,14.02,1650.0138
D12.Feb.2022,2/8/2022,D12,Feb,2022,Confluence,CON,Cocconeis,204.44,105691.3912
D12.Feb.2022,2/8/2022,D12,Feb,2022,Confluence,CON,Cryptomonas,51.11,42819.4469
D12.Feb.2022,2/8/2022,D12,Feb,2022,Confluence,CON,Cyclotella,102.22,88191.3272
D12.Feb.2022,2/8/2022,D12,Feb,2022,Confluence,CON,Epithemia,51.11,9517.7042
D12.Feb.2022,2/8/2022,D12,Feb,2022,Confluence,CON,Eucapsis,20137.34,7249.4424
D12.Feb.2022,2/8/2022,D12,Feb,2022,Confluence,CON,Navicula,51.11,2624.4985
D12.Feb.2022,2/8/2022,D12,Feb,2022,Confluence,CON,Plagioselmis,255.55,62080.7615
D16.Feb.2022,2/8/2022,D16,Feb,2022,Central Delta,CED,Aulacoseira,34.58,4939.753
D16.Feb.2022,2/8/2022,D16,Feb,2022,Central Delta,CED,Carteria,69.16,2874.9812
D16.Feb.2022,2/8/2022,D16,Feb,2022,Central Delta,CED,Chrysochromulina,103.74,6382.0848
D16.Feb.2022,2/8/2022,D16,Feb,2022,Central Delta,CED,Coccomyxa,34.58,383.838
D16.Feb.2022,2/8/2022,D16,Feb,2022,Central Delta,CED,Eucapsis,13174.98,4742.9928
D16.Feb.2022,2/8/2022,D16,Feb,2022,Central Delta,CED,Nitzschia,69.16,15727.6756
D16.Feb.2022,2/8/2022,D16,Feb,2022,Central Delta,CED,Plagioselmis,345.8,137447.8924
D19.Feb.2022,2/8/2022,D19,Feb,2022,Central Delta,CED,Cryptomonas,27.38,103553.3504
D19.Feb.2022,2/8/2022,D19,Feb,2022,Central Delta,CED,Cyclotella,109.52,19106.5854
D19.Feb.2022,2/8/2022,D19,Feb,2022,Central Delta,CED,Eucapsis,10404.4,3745.584
D19.Feb.2022,2/8/2022,D19,Feb,2022,Central Delta,CED,Monoraphidium,27.38,657.9414
D19.Feb.2022,2/8/2022,D19,Feb,2022,Central Delta,CED,Navicula,27.38,9152.3126
D19.Feb.2022,2/8/2022,D19,Feb,2022,Central Delta,CED,Plagioselmis,465.46,232990.6576
D28A.Feb.2022,2/8/2022,D28A,Feb,2022,Central Delta,CED,Cocconeis,146.04,120960.5508
D28A.Feb.2022,2/8/2022,D28A,Feb,2022,Central Delta,CED,Cyclotella,36.51,11408.2797
D28A.Feb.2022,2/8/2022,D28A,Feb,2022,Central Delta,CED,Eucapsis,14238.9,5126.004
D28A.Feb.2022,2/8/2022,D28A,Feb,2022,Central Delta,CED,Navicula,73.02,12499.5636
D28A.Feb.2022,2/8/2022,D28A,Feb,2022,Central Delta,CED,Nitzschia,73.02,2774.76
D28A.Feb.2022,2/8/2022,D28A,Feb,2022,Central Delta,CED,Plagioselmis,292.08,51084.792
EZ2-SJR.Feb.2022,2/8/2022,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Cocconeis,135.28,154735.9696
EZ2-SJR.Feb.2022,2/8/2022,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Cyclotella,135.28,245943.0984
EZ2-SJR.Feb.2022,2/8/2022,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Encyonema,67.64,4407.4224
EZ2-SJR.Feb.2022,2/8/2022,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Eucapsis,27191.28,9788.8608
EZ2-SJR.Feb.2022,2/8/2022,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Nitzschia,202.92,4458.1524
EZ2-SJR.Feb.2022,2/8/2022,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Plagioselmis,135.28,32736.4072
D26.Feb.2022,2/9/2022,D26,Feb,2022,Central Delta,CED,Cocconeis,26.28,8018.8164
D26.Feb.2022,2/9/2022,D26,Feb,2022,Central Delta,CED,Crucigenia,26.28,3885.498
D26.Feb.2022,2/9/2022,D26,Feb,2022,Central Delta,CED,Cyclotella,26.28,1941.8292
D26.Feb.2022,2/9/2022,D26,Feb,2022,Central Delta,CED,Eucapsis,10275.48,3699.1728
D26.Feb.2022,2/9/2022,D26,Feb,2022,Central Delta,CED,Monoraphidium,26.28,1239.3648
D26.Feb.2022,2/9/2022,D26,Feb,2022,Central Delta,CED,Navicula,26.28,6414.948
D26.Feb.2022,2/9/2022,D26,Feb,2022,Central Delta,CED,Ochromonas,26.28,25928.8992
D26.Feb.2022,2/9/2022,D26,Feb,2022,Central Delta,CED,Plagioselmis,131.4,34093.044
D26.Feb.2022,2/9/2022,D26,Feb,2022,Central Delta,CED,Staurosira,26.28,1374.7068
MD10A.Feb.2022,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Chrysochromulina,41.06,1459.2724
MD10A.Feb.2022,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Coccomyxa,102.65,1204.0845
MD10A.Feb.2022,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Cryptomonas,20.53,40478.3851
MD10A.Feb.2022,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Cyclotella,20.53,2030.8276
MD10A.Feb.2022,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Eucapsis,7041.79,2535.0444
MD10A.Feb.2022,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Monoraphidium,41.06,278.7974
MD10A.Feb.2022,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Plagioselmis,1047.03,325427.3943
P8.Feb.2022,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Achnanthidium,34.58,1412.9388
P8.Feb.2022,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Cryptomonas,276.64,266520.5088
P8.Feb.2022,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Cyclotella,69.16,148065.3356
P8.Feb.2022,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Eucapsis,13451.62,4842.5832
P8.Feb.2022,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Plagioselmis,311.22,62458.7418
P8.Feb.2022,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Scenedesmus,34.58,7833.0616
D22.Feb.2022,2/10/2022,D22,Feb,2022,Confluence,CON,Cocconeis,65.7,18288.909
D22.Feb.2022,2/10/2022,D22,Feb,2022,Confluence,CON,Cyclotella,131.4,28735.209
D22.Feb.2022,2/10/2022,D22,Feb,2022,Confluence,CON,Eucapsis,13238.55,4765.878
D22.Feb.2022,2/10/2022,D22,Feb,2022,Confluence,CON,Fragilaria,32.85,11106.9135
D22.Feb.2022,2/10/2022,D22,Feb,2022,Confluence,CON,Nitzschia,98.55,13089.411
D22.Feb.2022,2/10/2022,D22,Feb,2022,Confluence,CON,Plagioselmis,164.25,31131.945
D22.Feb.2022,2/10/2022,D22,Feb,2022,Confluence,CON,Staurosira,32.85,1609.9785
D4.Feb.2022,2/10/2022,D4,Feb,2022,Confluence,CON,Aulacoseira,48.42,7675.5384
D4.Feb.2022,2/10/2022,D4,Feb,2022,Confluence,CON,Chlorella,48.42,556.3458
D4.Feb.2022,2/10/2022,D4,Feb,2022,Confluence,CON,Coccomyxa,242.1,2292.687
D4.Feb.2022,2/10/2022,D4,Feb,2022,Confluence,CON,Cocconeis,96.84,39425.5008
D4.Feb.2022,2/10/2022,D4,Feb,2022,Confluence,CON,Cyclotella,48.42,5476.302
D4.Feb.2022,2/10/2022,D4,Feb,2022,Confluence,CON,Eucapsis,19174.32,6902.7552
D4.Feb.2022,2/10/2022,D4,Feb,2022,Confluence,CON,Navicula,48.42,42288.0912
D4.Feb.2022,2/10/2022,D4,Feb,2022,Confluence,CON,Plagioselmis,96.84,10264.0716
EZ2.Feb.2022,2/10/2022,EZ2,Feb,2022,Entrapment Zone,EZ,Cocconeis,360.76,187602.4152
EZ2.Feb.2022,2/10/2022,EZ2,Feb,2022,Entrapment Zone,EZ,Cyclotella,270.57,212386.6272
