SampleDate,StationCode,Month,Year,Region,RegionAbbv,AlgalType,Units.per.mL,BV.um3.per.mL
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Centric Diatom,41.07,7902.689399999999
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Chrysophyte,82.14,7552.773
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Cryptophyte,287.49,115891.73670000001
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Cyanobacterium,16345.86,5884.5096
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Haptophyte,41.07,974.5911
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Pennate Diatom,82.14,15541.2987
2022-01-13,NZ002,Jan,2022,San Pablo Bay,SPB,Centric Diatom,176.92,35571.5352
2022-01-13,NZ002,Jan,2022,San Pablo Bay,SPB,Cryptophyte,530.76,463921.3932
2022-01-13,NZ002,Jan,2022,San Pablo Bay,SPB,Cyanobacterium,35118.619999999995,12642.703199999998
2022-01-13,NZ004,Jan,2022,San Pablo Bay,SPB,Centric Diatom,541.1,306170.613
2022-01-13,NZ004,Jan,2022,San Pablo Bay,SPB,Cryptophyte,378.77,87348.6908
2022-01-13,NZ004,Jan,2022,San Pablo Bay,SPB,Cyanobacterium,20832.35,7499.646
2022-01-13,NZ325,Jan,2022,San Pablo Bay,SPB,Centric Diatom,191.66,30481.606399999997
2022-01-13,NZ325,Jan,2022,San Pablo Bay,SPB,Cryptophyte,191.66,10035.3176
2022-01-13,NZ325,Jan,2022,San Pablo Bay,SPB,Cyanobacterium,38427.83,13834.018799999998
2022-01-13,NZ325,Jan,2022,San Pablo Bay,SPB,Green Alga,95.83,8288.3367
2022-01-13,NZ325,Jan,2022,San Pablo Bay,SPB,Pennate Diatom,95.83,17873.2533
2022-01-16,D12,Jan,2022,Confluence,CON,Centric Diatom,306.65999999999997,406322.4556
2022-01-16,D12,Jan,2022,Confluence,CON,Cyanobacterium,40070.24,14425.2864
2022-01-16,D12,Jan,2022,Confluence,CON,Green Alga,102.22,3574.6333999999997
2022-01-16,D12,Jan,2022,Confluence,CON,Pennate Diatom,1022.1999999999999,563773.9659999999
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Centric Diatom,2012.2199999999998,184319.35199999998
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Cryptophyte,95.82,69821.15939999999
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Cyanobacterium,15139.56,6573.251999999999
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Green Alga,958.1999999999999,29146.048499999997
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Haptophyte,191.64,4681.7652
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Pennate Diatom,910.29,166311.8994
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Centric Diatom,219.06,118710.80459999999
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Cryptophyte,182.55,54452.4744
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Cyanobacterium,14421.449999999999,10556.8665
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Green Alga,73.02,13219.540799999999
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Pennate Diatom,401.60999999999996,49629.1383
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Centric Diatom,14.02,1109.9634
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Cryptophyte,869.24,262104.60100000002
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Cyanobacterium,4528.46,1630.2456
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Green Alga,196.28,2796.8498
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Pennate Diatom,56.08,12334.796
2022-02-08,D12,Feb,2022,Confluence,CON,Centric Diatom,102.22,88191.3272
2022-02-08,D12,Feb,2022,Confluence,CON,Cryptophyte,306.66,104900.2084
2022-02-08,D12,Feb,2022,Confluence,CON,Cyanobacterium,20137.34,7249.4424
2022-02-08,D12,Feb,2022,Confluence,CON,Pennate Diatom,306.65999999999997,117833.59389999999
2022-02-08,D16,Feb,2022,Central Delta,CED,Centric Diatom,34.58,4939.753
2022-02-08,D16,Feb,2022,Central Delta,CED,Cryptophyte,345.79999999999995,137447.89239999998
2022-02-08,D16,Feb,2022,Central Delta,CED,Cyanobacterium,13174.98,4742.9928
2022-02-08,D16,Feb,2022,Central Delta,CED,Green Alga,103.74,3258.8192
2022-02-08,D16,Feb,2022,Central Delta,CED,Haptophyte,103.74,6382.0848
2022-02-08,D16,Feb,2022,Central Delta,CED,Pennate Diatom,69.16,15727.675599999999
2022-02-08,D19,Feb,2022,Central Delta,CED,Centric Diatom,109.52,19106.585399999996
2022-02-08,D19,Feb,2022,Central Delta,CED,Cryptophyte,492.84,336544.00800000003
2022-02-08,D19,Feb,2022,Central Delta,CED,Cyanobacterium,10404.4,3745.5839999999994
2022-02-08,D19,Feb,2022,Central Delta,CED,Green Alga,27.38,657.9414
2022-02-08,D19,Feb,2022,Central Delta,CED,Pennate Diatom,27.38,9152.3126
2022-02-08,D28A,Feb,2022,Central Delta,CED,Centric Diatom,36.51,11408.279700000001
2022-02-08,D28A,Feb,2022,Central Delta,CED,Cryptophyte,292.08,51084.792
2022-02-08,D28A,Feb,2022,Central Delta,CED,Cyanobacterium,14238.9,5126.004
2022-02-08,D28A,Feb,2022,Central Delta,CED,Pennate Diatom,292.08,136234.8744
2022-02-08,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Centric Diatom,135.28,245943.0984
2022-02-08,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Cryptophyte,135.28,32736.4072
2022-02-08,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Cyanobacterium,27191.28,9788.8608
2022-02-08,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Pennate Diatom,405.84000000000003,163601.54439999998
2022-02-09,D26,Feb,2022,Central Delta,CED,Centric Diatom,26.28,1941.8292000000001
2022-02-09,D26,Feb,2022,Central Delta,CED,Chrysophyte,26.28,25928.8992
2022-02-09,D26,Feb,2022,Central Delta,CED,Cryptophyte,131.4,34093.044
2022-02-09,D26,Feb,2022,Central Delta,CED,Cyanobacterium,10275.48,3699.1728
2022-02-09,D26,Feb,2022,Central Delta,CED,Green Alga,52.56,5124.8628
2022-02-09,D26,Feb,2022,Central Delta,CED,Pennate Diatom,78.84,15808.471200000002
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Centric Diatom,20.53,2030.8276
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Cryptophyte,1067.56,365905.7794
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Cyanobacterium,7041.79,2535.0443999999998
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Green Alga,143.71,1482.8819000000003
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Haptophyte,41.06,1459.2724
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Centric Diatom,69.16,148065.3356
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Cryptophyte,587.8599999999999,328979.25059999997
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Cyanobacterium,13451.619999999999,4842.583199999999
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Green Alga,34.58,7833.0616
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Pennate Diatom,34.58,1412.9388
2022-02-10,D22,Feb,2022,Confluence,CON,Centric Diatom,131.4,28735.209000000003
2022-02-10,D22,Feb,2022,Confluence,CON,Cryptophyte,164.25,31131.945
2022-02-10,D22,Feb,2022,Confluence,CON,Cyanobacterium,13238.550000000001,4765.878
2022-02-10,D22,Feb,2022,Confluence,CON,Pennate Diatom,229.95000000000002,44095.212
2022-02-10,D4,Feb,2022,Confluence,CON,Centric Diatom,96.84,13151.840400000001
2022-02-10,D4,Feb,2022,Confluence,CON,Cryptophyte,96.84,10264.0716
2022-02-10,D4,Feb,2022,Confluence,CON,Cyanobacterium,19174.32,6902.7552000000005
2022-02-10,D4,Feb,2022,Confluence,CON,Green Alga,290.52000000000004,2849.0328000000004
2022-02-10,D4,Feb,2022,Confluence,CON,Pennate Diatom,145.26,81713.592
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Centric Diatom,270.57,212386.62720000002
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Cryptophyte,90.19,14351.9347
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Cyanobacterium,35083.909999999996,12630.2076
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Pennate Diatom,992.0899999999999,255154.7252
2022-02-10,EZ6,Feb,2022,Entrapment Zone,EZ,Centric Diatom,127.76,35578.6048
2022-02-10,EZ6,Feb,2022,Entrapment Zone,EZ,Cryptophyte,702.6800000000001,247201.54640000005
2022-02-10,EZ6,Feb,2022,Entrapment Zone,EZ,Cyanobacterium,25168.72,9060.7392
2022-02-10,EZ6,Feb,2022,Entrapment Zone,EZ,Pennate Diatom,127.76,115932.61800000002
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Centric Diatom,154.6,15903.702
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Cryptophyte,231.9,150251.875
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Cyanobacterium,15034.85,9867.731499999998
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Green Alga,77.3,1520.491
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Pennate Diatom,386.5,111765.36450000001
2022-02-11,D10,Feb,2022,Confluence,CON,Centric Diatom,270.57,69163.10339999999
2022-02-11,D10,Feb,2022,Confluence,CON,Cryptophyte,450.95,88345.6145
2022-02-11,D10,Feb,2022,Confluence,CON,Cyanobacterium,35625.05,14491.7292
2022-02-11,D10,Feb,2022,Confluence,CON,Pennate Diatom,90.19,254297.9202
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Centric Diatom,58.97,4357.2933
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Cryptophyte,235.88,104464.17559999999
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Cyanobacterium,22998.3,8279.388
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Green Alga,235.88,4570.7647
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Pennate Diatom,58.97,13314.836299999999
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Centric Diatom,235.89,391961.11439999996
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Cryptophyte,707.67,170999.01989999998
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Cyanobacterium,29722.14,10699.970399999998
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Green Alga,864.93,12679.8738
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Pennate Diatom,157.26,84601.16219999999
2022-02-14,D7,Feb,2022,Grizzly and Suisun Bay,GSB,Centric Diatom,357.77,35687.5575
2022-02-14,D7,Feb,2022,Grizzly and Suisun Bay,GSB,Cryptophyte,306.66,68190.962
2022-02-14,D7,Feb,2022,Grizzly and Suisun Bay,GSB,Cyanobacterium,20086.23,7231.042799999999
2022-02-14,NZ032,Feb,2022,Grizzly and Suisun Bay,GSB,Centric Diatom,4312.35,501741.9225
2022-02-14,NZ032,Feb,2022,Grizzly and Suisun Bay,GSB,Cyanobacterium,34690.46,12488.5656
2022-02-14,NZ032,Feb,2022,Grizzly and Suisun Bay,GSB,Pennate Diatom,191.66,166508.4582
2022-02-14,NZS42,Feb,2022,Grizzly and Suisun Bay,GSB,Centric Diatom,766.6,115058.994
2022-02-14,NZS42,Feb,2022,Grizzly and Suisun Bay,GSB,Cryptophyte,191.65,14632.477499999999
2022-02-14,NZS42,Feb,2022,Grizzly and Suisun Bay,GSB,Cyanobacterium,77234.95,27804.582
2022-02-14,NZS42,Feb,2022,Grizzly and Suisun Bay,GSB,Haptophyte,1916.5,48123.315
2022-02-14,NZS42,Feb,2022,Grizzly and Suisun Bay,GSB,Pennate Diatom,383.3,33611.577000000005
2022-02-15,D41,Feb,2022,San Pablo Bay,SPB,Centric Diatom,110.39999999999999,735907.632
2022-02-15,D41,Feb,2022,San Pablo Bay,SPB,Chrysophyte,36.8,1202.2559999999999
2022-02-15,D41,Feb,2022,San Pablo Bay,SPB,Cryptophyte,588.8,70143.74399999999
2022-02-15,D41,Feb,2022,San Pablo Bay,SPB,Cyanobacterium,13873.599999999999,4994.495999999999
2022-02-15,D41,Feb,2022,San Pablo Bay,SPB,Green Alga,294.4,3329.6639999999998
2022-02-15,D41A,Feb,2022,San Pablo Bay,SPB,Cryptophyte,296.76,100227.7224
2022-02-15,D41A,Feb,2022,San Pablo Bay,SPB,Cyanobacterium,58906.86,21206.469599999997
2022-02-15,D41A,Feb,2022,San Pablo Bay,SPB,Pennate Diatom,296.76,61537.6374
2022-02-15,NZ002,Feb,2022,San Pablo Bay,SPB,Centric Diatom,148.38,14505.628800000002
2022-02-15,NZ002,Feb,2022,San Pablo Bay,SPB,Cryptophyte,49.46,6161.2321999999995
2022-02-15,NZ002,Feb,2022,San Pablo Bay,SPB,Cyanobacterium,19586.16,7051.0176
2022-02-15,NZ002,Feb,2022,San Pablo Bay,SPB,Haptophyte,49.46,1236.9946
2022-02-15,NZ002,Feb,2022,San Pablo Bay,SPB,Pennate Diatom,49.46,22477.097
2022-02-15,NZ004,Feb,2022,San Pablo Bay,SPB,Centric Diatom,204.44,31642.712099999997
2022-02-15,NZ004,Feb,2022,San Pablo Bay,SPB,Cryptophyte,204.44,120814.8402
2022-02-15,NZ004,Feb,2022,San Pablo Bay,SPB,Cyanobacterium,20035.12,7212.6432
2022-02-15,NZ004,Feb,2022,San Pablo Bay,SPB,Green Alga,51.11,1924.8025999999998
2022-02-15,NZ004,Feb,2022,San Pablo Bay,SPB,Haptophyte,102.22,2858.0712
2022-02-15,NZ004,Feb,2022,San Pablo Bay,SPB,Pennate Diatom,51.11,4696.4979
2022-02-15,NZ325,Feb,2022,San Pablo Bay,SPB,Centric Diatom,547.6,149894.548
2022-02-15,NZ325,Feb,2022,San Pablo Bay,SPB,Cyanobacterium,41617.6,16662.372799999997
2022-02-15,NZ325,Feb,2022,San Pablo Bay,SPB,Dinoflagellate,109.52,119984.63599999998
2022-02-15,NZ325,Feb,2022,San Pablo Bay,SPB,Pennate Diatom,3176.08,823693.3487999999
2022-03-09,C10A,Mar,2022,Southern Interior Delta,SID,Centric Diatom,847.2800000000001,931634.5916
2022-03-09,C10A,Mar,2022,Southern Interior Delta,SID,Cryptophyte,60.52,20418.2376
2022-03-09,C10A,Mar,2022,Southern Interior Delta,SID,Cyanobacterium,22513.440000000002,12388.444
2022-03-09,C10A,Mar,2022,Southern Interior Delta,SID,Green Alga,665.72,25122.4572
2022-03-09,C10A,Mar,2022,Southern Interior Delta,SID,Pennate Diatom,968.32,320668.24600000004
2022-03-09,C3A,Mar,2022,Northern Interior Delta,NID,Centric Diatom,506.96999999999997,325652.8869
2022-03-09,C3A,Mar,2022,Northern Interior Delta,NID,Cryptophyte,94.32,44914.9482
2022-03-09,C3A,Mar,2022,Northern Interior Delta,NID,Cyanobacterium,3595.95,16952.133599999997
2022-03-09,C3A,Mar,2022,Northern Interior Delta,NID,Green Alga,106.10999999999999,7896.824099999999
2022-03-09,C3A,Mar,2022,Northern Interior Delta,NID,Pennate Diatom,495.17999999999995,13337.2017
2022-03-09,C9,Mar,2022,Southern Interior Delta,SID,Centric Diatom,282.38,616124.5186000001
2022-03-09,C9,Mar,2022,Southern Interior Delta,SID,Cryptophyte,443.74,181227.85340000002
2022-03-09,C9,Mar,2022,Southern Interior Delta,SID,Cyanobacterium,7483.070000000001,3495.4610000000002
2022-03-09,C9,Mar,2022,Southern Interior Delta,SID,Green Alga,20.17,549.0274000000001
2022-03-09,C9,Mar,2022,Southern Interior Delta,SID,Pennate Diatom,121.02000000000001,184132.1317
2022-03-10,D12,Mar,2022,Confluence,CON,Centric Diatom,76.66,55964.099799999996
2022-03-10,D12,Mar,2022,Confluence,CON,Cyanobacterium,30280.699999999997,10901.051999999998
2022-03-10,D12,Mar,2022,Confluence,CON,Pennate Diatom,689.9399999999999,2260691.9009999996
2022-03-10,D16,Mar,2022,Central Delta,CED,Centric Diatom,555.93,808113.8421000001
2022-03-10,D16,Mar,2022,Central Delta,CED,Cryptophyte,651.7800000000001,214337.46960000004
2022-03-10,D16,Mar,2022,Central Delta,CED,Cyanobacterium,6249.420000000001,2249.7912
2022-03-10,D16,Mar,2022,Central Delta,CED,Green Alga,153.36,1199.0835000000002
2022-03-10,D16,Mar,2022,Central Delta,CED,Pennate Diatom,191.70000000000002,41958.145800000006
2022-03-10,D19,Mar,2022,Central Delta,CED,Centric Diatom,811.65,1591087.2348
2022-03-10,D19,Mar,2022,Central Delta,CED,Cryptophyte,919.87,388717.0412999999
2022-03-10,D19,Mar,2022,Central Delta,CED,Cyanobacterium,19804.260000000002,8469.2972
2022-03-10,D19,Mar,2022,Central Delta,CED,Pennate Diatom,216.44,99238.2811
2022-03-10,D28A,Mar,2022,Central Delta,CED,Centric Diatom,784.7399999999999,1559597.9586
2022-03-10,D28A,Mar,2022,Central Delta,CED,Cryptophyte,649.4399999999999,236186.17440000002
2022-03-10,D28A,Mar,2022,Central Delta,CED,Cyanobacterium,9498.06,4589.375999999999
2022-03-10,D28A,Mar,2022,Central Delta,CED,Pennate Diatom,162.35999999999999,249095.1474
2022-03-11,D26,Mar,2022,Central Delta,CED,Centric Diatom,485.15000000000003,238499.74000000002
2022-03-11,D26,Mar,2022,Central Delta,CED,Cryptophyte,704.25,250697.50650000002
2022-03-11,D26,Mar,2022,Central Delta,CED,Cyanobacterium,4945.4000000000005,1780.3439999999998
2022-03-11,D26,Mar,2022,Central Delta,CED,Pennate Diatom,140.85,50053.864499999996
2022-03-11,MD10A,Mar,2022,Southern Interior Delta,SID,Cryptophyte,781.9999999999999,256871.36000000002
2022-03-11,MD10A,Mar,2022,Southern Interior Delta,SID,Cyanobacterium,2401.2,864.4319999999999
2022-03-11,MD10A,Mar,2022,Southern Interior Delta,SID,Green Alga,193.2,1161.408
2022-03-11,MD10A,Mar,2022,Southern Interior Delta,SID,Pennate Diatom,82.8,33974.68
2022-03-11,P8,Mar,2022,Southern Interior Delta,SID,Centric Diatom,231.89999999999998,19669.757999999998
2022-03-11,P8,Mar,2022,Southern Interior Delta,SID,Cryptophyte,425.15,191755.79099999997
2022-03-11,P8,Mar,2022,Southern Interior Delta,SID,Cyanobacterium,14957.55,5856.2480000000005
2022-03-11,P8,Mar,2022,Southern Interior Delta,SID,Pennate Diatom,115.94999999999999,105983.3245
2022-03-14,D22,Mar,2022,Confluence,CON,Centric Diatom,473.48,1205705.9976000001
2022-03-14,D22,Mar,2022,Confluence,CON,Cryptophyte,473.48,105851.1888
2022-03-14,D22,Mar,2022,Confluence,CON,Cyanobacterium,25500.28,10217.6984
2022-03-14,D22,Mar,2022,Confluence,CON,Green Alga,67.64,2608.1984
2022-03-14,D22,Mar,2022,Confluence,CON,Pennate Diatom,744.04,1972046.9056
2022-03-14,D4,Mar,2022,Confluence,CON,Centric Diatom,153.32,25593.7076
2022-03-14,D4,Mar,2022,Confluence,CON,Cryptophyte,996.5799999999999,295864.6704
2022-03-14,D4,Mar,2022,Confluence,CON,Cyanobacterium,14067.109999999999,5064.1596
2022-03-14,D4,Mar,2022,Confluence,CON,Green Alga,38.33,1128.8184999999999
2022-03-14,D4,Mar,2022,Confluence,CON,Pennate Diatom,651.61,5778710.526399999
2022-03-14,EZ2,Mar,2022,Entrapment Zone,EZ,Centric Diatom,229.98,775789.2342
2022-03-14,EZ2,Mar,2022,Entrapment Zone,EZ,Cryptophyte,459.96,130674.636
2022-03-14,EZ2,Mar,2022,Entrapment Zone,EZ,Cyanobacterium,28670.84,10321.5024
2022-03-14,EZ2,Mar,2022,Entrapment Zone,EZ,Pennate Diatom,1379.8799999999999,6062124.0796
2022-03-14,EZ6,Mar,2022,Entrapment Zone,EZ,Centric Diatom,153.32,163324.12999999998
2022-03-14,EZ6,Mar,2022,Entrapment Zone,EZ,Cryptophyte,383.29999999999995,125779.12839999999
2022-03-14,EZ6,Mar,2022,Entrapment Zone,EZ,Cyanobacterium,29207.46,10652.6736
