SampleID,AlgalType,Units.per.mL,,SampleDate,StationCode,Month,Year,Region,RegionAbbv,Season
EZ2.Jan.2022,Cyanobacterium,49180.98,,1/11/2022,EZ2,Jan,2022,Entrapment Zone,EZ,Winter
EZ2.Jan.2022,Pennate Diatom,117.94,,1/11/2022,EZ2,Jan,2022,Entrapment Zone,EZ,Winter
EZ6.Jan.2022,Centric Diatom,836.28,,1/11/2022,EZ6,Jan,2022,Entrapment Zone,EZ,Winter
EZ6.Jan.2022,Cryptophyte,139.38,,1/11/2022,EZ6,Jan,2022,Entrapment Zone,EZ,Winter
EZ6.Jan.2022,Cyanobacterium,60909.06,,1/11/2022,EZ6,Jan,2022,Entrapment Zone,EZ,Winter
EZ6.Jan.2022,Pennate Diatom,418.14,,1/11/2022,EZ6,Jan,2022,Entrapment Zone,EZ,Winter
D7.Jan.2022,Centric Diatom,191.65,,1/12/2022,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
D7.Jan.2022,Cryptophyte,383.3,,1/12/2022,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
D7.Jan.2022,Cyanobacterium,78576.5,,1/12/2022,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
NZ032.Jan.2022,Centric Diatom,229.98,,1/12/2022,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
NZ032.Jan.2022,Cyanobacterium,97281.54,,1/12/2022,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
NZ032.Jan.2022,Pennate Diatom,229.98,,1/12/2022,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
NZS42.Jan.2022,Centric Diatom,287.48,,1/12/2022,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
NZS42.Jan.2022,Cyanobacterium,58214.7,,1/12/2022,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
NZS42.Jan.2022,Green Alga,143.74,,1/12/2022,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
NZS42.Jan.2022,Pennate Diatom,287.48,,1/12/2022,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
D41.Jan.2022,Centric Diatom,363.12,,1/13/2022,D41,Jan,2022,San Pablo Bay,SPB,Winter
D41.Jan.2022,Cryptophyte,242.08,,1/13/2022,D41,Jan,2022,San Pablo Bay,SPB,Winter
D41.Jan.2022,Cyanobacterium,23723.84,,1/13/2022,D41,Jan,2022,San Pablo Bay,SPB,Winter
D41A.Jan.2022,Centric Diatom,41.07,,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Winter
D41A.Jan.2022,Chrysophyte,82.14,,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Winter
D41A.Jan.2022,Cryptophyte,287.49,,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Winter
D41A.Jan.2022,Cyanobacterium,16345.86,,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Winter
D41A.Jan.2022,Haptophyte,41.07,,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Winter
D41A.Jan.2022,Pennate Diatom,82.14,,1/13/2022,D41A,Jan,2022,San Pablo Bay,SPB,Winter
NZ002.Jan.2022,Centric Diatom,176.92,,1/13/2022,NZ002,Jan,2022,San Pablo Bay,SPB,Winter
NZ002.Jan.2022,Cryptophyte,530.76,,1/13/2022,NZ002,Jan,2022,San Pablo Bay,SPB,Winter
NZ002.Jan.2022,Cyanobacterium,35118.62,,1/13/2022,NZ002,Jan,2022,San Pablo Bay,SPB,Winter
NZ004.Jan.2022,Centric Diatom,541.1,,1/13/2022,NZ004,Jan,2022,San Pablo Bay,SPB,Winter
NZ004.Jan.2022,Cryptophyte,378.77,,1/13/2022,NZ004,Jan,2022,San Pablo Bay,SPB,Winter
NZ004.Jan.2022,Cyanobacterium,20832.35,,1/13/2022,NZ004,Jan,2022,San Pablo Bay,SPB,Winter
NZ325.Jan.2022,Centric Diatom,191.66,,1/13/2022,NZ325,Jan,2022,San Pablo Bay,SPB,Winter
NZ325.Jan.2022,Cryptophyte,191.66,,1/13/2022,NZ325,Jan,2022,San Pablo Bay,SPB,Winter
NZ325.Jan.2022,Cyanobacterium,38427.83,,1/13/2022,NZ325,Jan,2022,San Pablo Bay,SPB,Winter
NZ325.Jan.2022,Green Alga,95.83,,1/13/2022,NZ325,Jan,2022,San Pablo Bay,SPB,Winter
NZ325.Jan.2022,Pennate Diatom,95.83,,1/13/2022,NZ325,Jan,2022,San Pablo Bay,SPB,Winter
D12.Jan.2022,Centric Diatom,306.66,,1/16/2022,D12,Jan,2022,Confluence,CON,Winter
D12.Jan.2022,Cyanobacterium,40070.24,,1/16/2022,D12,Jan,2022,Confluence,CON,Winter
D12.Jan.2022,Green Alga,102.22,,1/16/2022,D12,Jan,2022,Confluence,CON,Winter
D12.Jan.2022,Pennate Diatom,1022.2,,1/16/2022,D12,Jan,2022,Confluence,CON,Winter
C10A.Feb.2022,Centric Diatom,2012.22,,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Winter
C10A.Feb.2022,Cryptophyte,95.82,,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Winter
C10A.Feb.2022,Cyanobacterium,15139.56,,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Winter
C10A.Feb.2022,Green Alga,958.2,,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Winter
C10A.Feb.2022,Haptophyte,191.64,,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Winter
C10A.Feb.2022,Pennate Diatom,910.29,,2/7/2022,C10A,Feb,2022,Southern Interior Delta,SID,Winter
C3A.Feb.2022,Centric Diatom,219.06,,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Winter
C3A.Feb.2022,Cryptophyte,182.55,,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Winter
C3A.Feb.2022,Cyanobacterium,14421.45,,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Winter
C3A.Feb.2022,Green Alga,73.02,,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Winter
C3A.Feb.2022,Pennate Diatom,401.61,,2/7/2022,C3A,Feb,2022,Northern Interior Delta,NID,Winter
C9.Feb.2022,Centric Diatom,14.02,,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Winter
C9.Feb.2022,Cryptophyte,869.24,,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Winter
C9.Feb.2022,Cyanobacterium,4528.46,,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Winter
C9.Feb.2022,Green Alga,196.28,,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Winter
C9.Feb.2022,Pennate Diatom,56.08,,2/7/2022,C9,Feb,2022,Southern Interior Delta,SID,Winter
D12.Feb.2022,Centric Diatom,102.22,,2/8/2022,D12,Feb,2022,Confluence,CON,Winter
D12.Feb.2022,Cryptophyte,306.66,,2/8/2022,D12,Feb,2022,Confluence,CON,Winter
D12.Feb.2022,Cyanobacterium,20137.34,,2/8/2022,D12,Feb,2022,Confluence,CON,Winter
D12.Feb.2022,Pennate Diatom,306.66,,2/8/2022,D12,Feb,2022,Confluence,CON,Winter
D16.Feb.2022,Centric Diatom,34.58,,2/8/2022,D16,Feb,2022,Central Delta,CED,Winter
D16.Feb.2022,Cryptophyte,345.8,,2/8/2022,D16,Feb,2022,Central Delta,CED,Winter
D16.Feb.2022,Cyanobacterium,13174.98,,2/8/2022,D16,Feb,2022,Central Delta,CED,Winter
D16.Feb.2022,Green Alga,103.74,,2/8/2022,D16,Feb,2022,Central Delta,CED,Winter
D16.Feb.2022,Haptophyte,103.74,,2/8/2022,D16,Feb,2022,Central Delta,CED,Winter
D16.Feb.2022,Pennate Diatom,69.16,,2/8/2022,D16,Feb,2022,Central Delta,CED,Winter
D19.Feb.2022,Centric Diatom,109.52,,2/8/2022,D19,Feb,2022,Central Delta,CED,Winter
D19.Feb.2022,Cryptophyte,492.84,,2/8/2022,D19,Feb,2022,Central Delta,CED,Winter
D19.Feb.2022,Cyanobacterium,10404.4,,2/8/2022,D19,Feb,2022,Central Delta,CED,Winter
D19.Feb.2022,Green Alga,27.38,,2/8/2022,D19,Feb,2022,Central Delta,CED,Winter
D19.Feb.2022,Pennate Diatom,27.38,,2/8/2022,D19,Feb,2022,Central Delta,CED,Winter
D28A.Feb.2022,Centric Diatom,36.51,,2/8/2022,D28A,Feb,2022,Central Delta,CED,Winter
D28A.Feb.2022,Cryptophyte,292.08,,2/8/2022,D28A,Feb,2022,Central Delta,CED,Winter
D28A.Feb.2022,Cyanobacterium,14238.9,,2/8/2022,D28A,Feb,2022,Central Delta,CED,Winter
D28A.Feb.2022,Pennate Diatom,292.08,,2/8/2022,D28A,Feb,2022,Central Delta,CED,Winter
EZ2-SJR.Feb.2022,Centric Diatom,135.28,,2/8/2022,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Winter
EZ2-SJR.Feb.2022,Cryptophyte,135.28,,2/8/2022,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Winter
EZ2-SJR.Feb.2022,Cyanobacterium,27191.28,,2/8/2022,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Winter
EZ2-SJR.Feb.2022,Pennate Diatom,405.84,,2/8/2022,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Winter
D26.Feb.2022,Centric Diatom,26.28,,2/9/2022,D26,Feb,2022,Central Delta,CED,Winter
D26.Feb.2022,Chrysophyte,26.28,,2/9/2022,D26,Feb,2022,Central Delta,CED,Winter
D26.Feb.2022,Cryptophyte,131.4,,2/9/2022,D26,Feb,2022,Central Delta,CED,Winter
D26.Feb.2022,Cyanobacterium,10275.48,,2/9/2022,D26,Feb,2022,Central Delta,CED,Winter
D26.Feb.2022,Green Alga,52.56,,2/9/2022,D26,Feb,2022,Central Delta,CED,Winter
D26.Feb.2022,Pennate Diatom,78.84,,2/9/2022,D26,Feb,2022,Central Delta,CED,Winter
MD10A.Feb.2022,Centric Diatom,20.53,,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Winter
MD10A.Feb.2022,Cryptophyte,1067.56,,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Winter
MD10A.Feb.2022,Cyanobacterium,7041.79,,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Winter
MD10A.Feb.2022,Green Alga,143.71,,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Winter
MD10A.Feb.2022,Haptophyte,41.06,,2/9/2022,MD10A,Feb,2022,Southern Interior Delta,SID,Winter
P8.Feb.2022,Centric Diatom,69.16,,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Winter
P8.Feb.2022,Cryptophyte,587.86,,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Winter
P8.Feb.2022,Cyanobacterium,13451.62,,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Winter
P8.Feb.2022,Green Alga,34.58,,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Winter
P8.Feb.2022,Pennate Diatom,34.58,,2/9/2022,P8,Feb,2022,Southern Interior Delta,SID,Winter
D22.Feb.2022,Centric Diatom,131.4,,2/10/2022,D22,Feb,2022,Confluence,CON,Winter
D22.Feb.2022,Cryptophyte,164.25,,2/10/2022,D22,Feb,2022,Confluence,CON,Winter
D22.Feb.2022,Cyanobacterium,13238.55,,2/10/2022,D22,Feb,2022,Confluence,CON,Winter
D22.Feb.2022,Pennate Diatom,229.95,,2/10/2022,D22,Feb,2022,Confluence,CON,Winter
D4.Feb.2022,Centric Diatom,96.84,,2/10/2022,D4,Feb,2022,Confluence,CON,Winter
D4.Feb.2022,Cryptophyte,96.84,,2/10/2022,D4,Feb,2022,Confluence,CON,Winter
D4.Feb.2022,Cyanobacterium,19174.32,,2/10/2022,D4,Feb,2022,Confluence,CON,Winter
D4.Feb.2022,Green Alga,290.52,,2/10/2022,D4,Feb,2022,Confluence,CON,Winter
D4.Feb.2022,Pennate Diatom,145.26,,2/10/2022,D4,Feb,2022,Confluence,CON,Winter
EZ2.Feb.2022,Centric Diatom,270.57,,2/10/2022,EZ2,Feb,2022,Entrapment Zone,EZ,Winter
EZ2.Feb.2022,Cryptophyte,90.19,,2/10/2022,EZ2,Feb,2022,Entrapment Zone,EZ,Winter
EZ2.Feb.2022,Cyanobacterium,35083.91,,2/10/2022,EZ2,Feb,2022,Entrapment Zone,EZ,Winter
EZ2.Feb.2022,Pennate Diatom,992.09,,2/10/2022,EZ2,Feb,2022,Entrapment Zone,EZ,Winter
EZ6.Feb.2022,Centric Diatom,127.76,,2/10/2022,EZ6,Feb,2022,Entrapment Zone,EZ,Winter
EZ6.Feb.2022,Cryptophyte,702.68,,2/10/2022,EZ6,Feb,2022,Entrapment Zone,EZ,Winter
EZ6.Feb.2022,Cyanobacterium,25168.72,,2/10/2022,EZ6,Feb,2022,Entrapment Zone,EZ,Winter
EZ6.Feb.2022,Pennate Diatom,127.76,,2/10/2022,EZ6,Feb,2022,Entrapment Zone,EZ,Winter
NZ068.Feb.2022,Centric Diatom,154.6,,2/10/2022,NZ068,Feb,2022,Northern Interior Delta,NID,Winter
NZ068.Feb.2022,Cryptophyte,231.9,,2/10/2022,NZ068,Feb,2022,Northern Interior Delta,NID,Winter
NZ068.Feb.2022,Cyanobacterium,15034.85,,2/10/2022,NZ068,Feb,2022,Northern Interior Delta,NID,Winter
NZ068.Feb.2022,Green Alga,77.3,,2/10/2022,NZ068,Feb,2022,Northern Interior Delta,NID,Winter
NZ068.Feb.2022,Pennate Diatom,386.5,,2/10/2022,NZ068,Feb,2022,Northern Interior Delta,NID,Winter
D10.Feb.2022,Centric Diatom,270.57,,2/11/2022,D10,Feb,2022,Confluence,CON,Winter
D10.Feb.2022,Cryptophyte,450.95,,2/11/2022,D10,Feb,2022,Confluence,CON,Winter
D10.Feb.2022,Cyanobacterium,35625.05,,2/11/2022,D10,Feb,2022,Confluence,CON,Winter
D10.Feb.2022,Pennate Diatom,90.19,,2/11/2022,D10,Feb,2022,Confluence,CON,Winter
D6.Feb.2022,Centric Diatom,58.97,,2/11/2022,D6,Feb,2022,San Pablo Bay,SPB,Winter
D6.Feb.2022,Cryptophyte,235.88,,2/11/2022,D6,Feb,2022,San Pablo Bay,SPB,Winter
D6.Feb.2022,Cyanobacterium,22998.3,,2/11/2022,D6,Feb,2022,San Pablo Bay,SPB,Winter
D6.Feb.2022,Green Alga,235.88,,2/11/2022,D6,Feb,2022,San Pablo Bay,SPB,Winter
D6.Feb.2022,Pennate Diatom,58.97,,2/11/2022,D6,Feb,2022,San Pablo Bay,SPB,Winter
D8.Feb.2022,Centric Diatom,235.89,,2/11/2022,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
D8.Feb.2022,Cryptophyte,707.67,,2/11/2022,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
D8.Feb.2022,Cyanobacterium,29722.14,,2/11/2022,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
D8.Feb.2022,Green Alga,864.93,,2/11/2022,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
D8.Feb.2022,Pennate Diatom,157.26,,2/11/2022,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
D7.Feb.2022,Centric Diatom,357.77,,2/14/2022,D7,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
D7.Feb.2022,Cryptophyte,306.66,,2/14/2022,D7,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
D7.Feb.2022,Cyanobacterium,20086.23,,2/14/2022,D7,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
NZ032.Feb.2022,Centric Diatom,4312.35,,2/14/2022,NZ032,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
NZ032.Feb.2022,Cyanobacterium,34690.46,,2/14/2022,NZ032,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
NZ032.Feb.2022,Pennate Diatom,191.66,,2/14/2022,NZ032,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
NZS42.Feb.2022,Centric Diatom,766.6,,2/14/2022,NZS42,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
NZS42.Feb.2022,Cryptophyte,191.65,,2/14/2022,NZS42,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
NZS42.Feb.2022,Cyanobacterium,77234.95,,2/14/2022,NZS42,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
NZS42.Feb.2022,Haptophyte,1916.5,,2/14/2022,NZS42,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
NZS42.Feb.2022,Pennate Diatom,383.3,,2/14/2022,NZS42,Feb,2022,Grizzly and Suisun Bay,GSB,Winter
D41.Feb.2022,Centric Diatom,110.4,,2/15/2022,D41,Feb,2022,San Pablo Bay,SPB,Winter
D41.Feb.2022,Chrysophyte,36.8,,2/15/2022,D41,Feb,2022,San Pablo Bay,SPB,Winter
D41.Feb.2022,Cryptophyte,588.8,,2/15/2022,D41,Feb,2022,San Pablo Bay,SPB,Winter
D41.Feb.2022,Cyanobacterium,13873.6,,2/15/2022,D41,Feb,2022,San Pablo Bay,SPB,Winter
D41.Feb.2022,Green Alga,294.4,,2/15/2022,D41,Feb,2022,San Pablo Bay,SPB,Winter
D41A.Feb.2022,Cryptophyte,296.76,,2/15/2022,D41A,Feb,2022,San Pablo Bay,SPB,Winter
D41A.Feb.2022,Cyanobacterium,58906.86,,2/15/2022,D41A,Feb,2022,San Pablo Bay,SPB,Winter
D41A.Feb.2022,Pennate Diatom,296.76,,2/15/2022,D41A,Feb,2022,San Pablo Bay,SPB,Winter
NZ002.Feb.2022,Centric Diatom,148.38,,2/15/2022,NZ002,Feb,2022,San Pablo Bay,SPB,Winter
NZ002.Feb.2022,Cryptophyte,49.46,,2/15/2022,NZ002,Feb,2022,San Pablo Bay,SPB,Winter
NZ002.Feb.2022,Cyanobacterium,19586.16,,2/15/2022,NZ002,Feb,2022,San Pablo Bay,SPB,Winter
NZ002.Feb.2022,Haptophyte,49.46,,2/15/2022,NZ002,Feb,2022,San Pablo Bay,SPB,Winter
NZ002.Feb.2022,Pennate Diatom,49.46,,2/15/2022,NZ002,Feb,2022,San Pablo Bay,SPB,Winter
NZ004.Feb.2022,Centric Diatom,204.44,,2/15/2022,NZ004,Feb,2022,San Pablo Bay,SPB,Winter
NZ004.Feb.2022,Cryptophyte,204.44,,2/15/2022,NZ004,Feb,2022,San Pablo Bay,SPB,Winter
NZ004.Feb.2022,Cyanobacterium,20035.12,,2/15/2022,NZ004,Feb,2022,San Pablo Bay,SPB,Winter
NZ004.Feb.2022,Green Alga,51.11,,2/15/2022,NZ004,Feb,2022,San Pablo Bay,SPB,Winter
NZ004.Feb.2022,Haptophyte,102.22,,2/15/2022,NZ004,Feb,2022,San Pablo Bay,SPB,Winter
NZ004.Feb.2022,Pennate Diatom,51.11,,2/15/2022,NZ004,Feb,2022,San Pablo Bay,SPB,Winter
NZ325.Feb.2022,Centric Diatom,547.6,,2/15/2022,NZ325,Feb,2022,San Pablo Bay,SPB,Winter
NZ325.Feb.2022,Cyanobacterium,41617.6,,2/15/2022,NZ325,Feb,2022,San Pablo Bay,SPB,Winter
NZ325.Feb.2022,Dinoflagellate,109.52,,2/15/2022,NZ325,Feb,2022,San Pablo Bay,SPB,Winter
NZ325.Feb.2022,Pennate Diatom,3176.08,,2/15/2022,NZ325,Feb,2022,San Pablo Bay,SPB,Winter
C10A.Mar.2022,Centric Diatom,847.28,,3/9/2022,C10A,Mar,2022,Southern Interior Delta,SID,Spring
C10A.Mar.2022,Cryptophyte,60.52,,3/9/2022,C10A,Mar,2022,Southern Interior Delta,SID,Spring
C10A.Mar.2022,Cyanobacterium,22513.44,,3/9/2022,C10A,Mar,2022,Southern Interior Delta,SID,Spring
C10A.Mar.2022,Green Alga,665.72,,3/9/2022,C10A,Mar,2022,Southern Interior Delta,SID,Spring
C10A.Mar.2022,Pennate Diatom,968.32,,3/9/2022,C10A,Mar,2022,Southern Interior Delta,SID,Spring
C3A.Mar.2022,Centric Diatom,506.97,,3/9/2022,C3A,Mar,2022,Northern Interior Delta,NID,Spring
C3A.Mar.2022,Cryptophyte,94.32,,3/9/2022,C3A,Mar,2022,Northern Interior Delta,NID,Spring
C3A.Mar.2022,Cyanobacterium,3595.95,,3/9/2022,C3A,Mar,2022,Northern Interior Delta,NID,Spring
C3A.Mar.2022,Green Alga,106.11,,3/9/2022,C3A,Mar,2022,Northern Interior Delta,NID,Spring
C3A.Mar.2022,Pennate Diatom,495.18,,3/9/2022,C3A,Mar,2022,Northern Interior Delta,NID,Spring
C9.Mar.2022,Centric Diatom,282.38,,3/9/2022,C9,Mar,2022,Southern Interior Delta,SID,Spring
C9.Mar.2022,Cryptophyte,443.74,,3/9/2022,C9,Mar,2022,Southern Interior Delta,SID,Spring
C9.Mar.2022,Cyanobacterium,7483.07,,3/9/2022,C9,Mar,2022,Southern Interior Delta,SID,Spring
C9.Mar.2022,Green Alga,20.17,,3/9/2022,C9,Mar,2022,Southern Interior Delta,SID,Spring
C9.Mar.2022,Pennate Diatom,121.02,,3/9/2022,C9,Mar,2022,Southern Interior Delta,SID,Spring
D12.Mar.2022,Centric Diatom,76.66,,3/10/2022,D12,Mar,2022,Confluence,CON,Spring
D12.Mar.2022,Cyanobacterium,30280.7,,3/10/2022,D12,Mar,2022,Confluence,CON,Spring
D12.Mar.2022,Pennate Diatom,689.94,,3/10/2022,D12,Mar,2022,Confluence,CON,Spring
