SampleDate,StationCode,Month,Year,Region,RegionAbbv,Genus,Units.per.mL,BV.um3.per.mL
2022-01-06,D28A,Jan,2022,Central Delta,CED,Plagioselmis,86.25,6585.187499999999
2022-01-07,D26,Jan,2022,Central Delta,CED,Cocconeis,71.87,42171.1599
2022-01-07,D26,Jan,2022,Central Delta,CED,Cyclotella,71.87,11063.667800000001
2022-01-07,D26,Jan,2022,Central Delta,CED,Eucapsis,29826.050000000003,10737.378
2022-01-07,D26,Jan,2022,Central Delta,CED,Navicula,71.87,52630.401
2022-01-07,D26,Jan,2022,Central Delta,CED,Nitzschia,143.74,12613.185000000001
2022-01-07,D26,Jan,2022,Central Delta,CED,Plagioselmis,143.74,56379.14020000001
2022-01-07,MD10A,Jan,2022,Southern Interior Delta,SID,Cocconeis,60.12,18116.5608
2022-01-07,MD10A,Jan,2022,Southern Interior Delta,SID,Eucapsis,11933.82,4296.1752
2022-01-07,MD10A,Jan,2022,Southern Interior Delta,SID,Ochromonas,30.06,3018.024
2022-01-07,P8,Jan,2022,Southern Interior Delta,SID,Cocconeis,82.14,22140.837
2022-01-07,P8,Jan,2022,Southern Interior Delta,SID,Eucapsis,32773.86,11798.5896
2022-01-07,P8,Jan,2022,Southern Interior Delta,SID,Nitzschia,82.14,19146.834
2022-01-07,P8,Jan,2022,Southern Interior Delta,SID,Staurosira,82.14,2694.192
2022-01-10,D22,Jan,2022,Confluence,CON,Achnanthidium,131.43,7618.9971000000005
2022-01-10,D22,Jan,2022,Confluence,CON,Aulacoseira,87.62,97601.67040000002
2022-01-10,D22,Jan,2022,Confluence,CON,Cocconeis,43.81,26799.453200000004
2022-01-10,D22,Jan,2022,Confluence,CON,Cryptomonas,43.81,44044.3835
2022-01-10,D22,Jan,2022,Confluence,CON,Cyclotella,131.43,41067.932100000005
2022-01-10,D22,Jan,2022,Confluence,CON,Eucapsis,17173.52,6182.467200000001
2022-01-10,D22,Jan,2022,Confluence,CON,Melosira,43.81,181636.6981
2022-01-10,D22,Jan,2022,Confluence,CON,Nitzschia,306.67,33411.6965
2022-01-10,D22,Jan,2022,Confluence,CON,Plagioselmis,87.62,15741.8092
2022-01-10,D4,Jan,2022,Confluence,CON,Achnanthidium,153.32,10019.462
2022-01-10,D4,Jan,2022,Confluence,CON,Cocconeis,153.32,103900.36439999999
2022-01-10,D4,Jan,2022,Confluence,CON,Eucapsis,63474.479999999996,22850.812799999996
2022-01-10,D4,Jan,2022,Confluence,CON,Plagioselmis,153.32,25057.0876
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Achnanthidium,41.82,3074.1882
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Aulacoseira,334.56,105466.69440000001
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Cocconeis,41.82,12297.171
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Cyclotella,41.82,34999.994399999996
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Eucapsis,16644.36,5991.9696
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Nitzschia,125.46000000000001,11837.150999999998
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Plagioselmis,83.64,6385.914
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Ulnaria,41.82,316313.5158
2022-01-11,D10,Jan,2022,Confluence,CON,Achnanthidium,270.58,3953.1737999999996
2022-01-11,D10,Jan,2022,Confluence,CON,Cyclotella,541.16,182939.138
2022-01-11,D10,Jan,2022,Confluence,CON,Eucapsis,53845.42,19384.351199999997
2022-01-11,D10,Jan,2022,Confluence,CON,Nitzschia,135.29,4422.630099999999
2022-01-11,D10,Jan,2022,Confluence,CON,Plagioselmis,135.29,46562.7593
2022-01-11,D6,Jan,2022,San Pablo Bay,SPB,Cryptomonas,102.22,38101.4828
2022-01-11,D6,Jan,2022,San Pablo Bay,SPB,Cyclotella,204.44,130919.28719999999
2022-01-11,D6,Jan,2022,San Pablo Bay,SPB,Eucapsis,40376.9,14535.684
2022-01-11,D6,Jan,2022,San Pablo Bay,SPB,Plagioselmis,204.44,17105.4948
2022-01-11,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Cocconeis,153.32,17559.7396
2022-01-11,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Cyclotella,459.96,344385.8508
2022-01-11,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Eucapsis,62861.2,22630.032
2022-01-11,EZ2,Jan,2022,Entrapment Zone,EZ,Eucapsis,49063.04,17662.6944
2022-01-11,EZ2,Jan,2022,Entrapment Zone,EZ,Nitzschia,117.94,2653.65
2022-01-11,EZ2,Jan,2022,Entrapment Zone,EZ,Pseudanabaena,117.94,4453.4144
2022-01-11,EZ6,Jan,2022,Entrapment Zone,EZ,Aulacoseira,836.28,211077.07200000001
2022-01-11,EZ6,Jan,2022,Entrapment Zone,EZ,Cryptomonas,139.38,2342.9777999999997
2022-01-11,EZ6,Jan,2022,Entrapment Zone,EZ,Eucapsis,60909.06,21927.261599999998
2022-01-11,EZ6,Jan,2022,Entrapment Zone,EZ,Nitzschia,278.76,15440.5164
2022-01-11,EZ6,Jan,2022,Entrapment Zone,EZ,Planothidium,139.38,10509.252
2022-01-12,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Cyclotella,191.65,48167.3945
2022-01-12,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Eucapsis,78576.5,28287.54
2022-01-12,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Plagioselmis,383.3,29264.954999999998
2022-01-12,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Cyclotella,229.98,35403.1212
2022-01-12,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Entomoneis,229.98,433068.4386
2022-01-12,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Eucapsis,97281.54,35021.3544
2022-01-12,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Achnanthidium,143.74,7381.049000000001
2022-01-12,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Cyclotella,287.48,89828.87560000001
2022-01-12,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Eucapsis,58214.700000000004,20957.291999999998
2022-01-12,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Monoraphidium,143.74,835.1294
2022-01-12,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Nitzschia,143.74,4698.8606
2022-01-13,D41,Jan,2022,San Pablo Bay,SPB,Cryptomonas,181.56,77044.98600000002
2022-01-13,D41,Jan,2022,San Pablo Bay,SPB,Cyclotella,363.12,57783.2856
2022-01-13,D41,Jan,2022,San Pablo Bay,SPB,Eucapsis,23723.84,8540.582400000001
2022-01-13,D41,Jan,2022,San Pablo Bay,SPB,Plagioselmis,60.52,17814.667200000004
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Chrysochromulina,41.07,974.5911
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Cyclotella,41.07,7902.689399999999
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Eucapsis,16345.86,5884.5096
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Navicula,41.07,13992.9597
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Ochromonas,82.14,7552.773
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Plagioselmis,287.49,115891.73670000001
2022-01-13,D41A,Jan,2022,San Pablo Bay,SPB,Staurosira,41.07,1548.3390000000002
2022-01-13,NZ002,Jan,2022,San Pablo Bay,SPB,Cyclotella,176.92,35571.5352
2022-01-13,NZ002,Jan,2022,San Pablo Bay,SPB,Eucapsis,35118.619999999995,12642.703199999998
2022-01-13,NZ002,Jan,2022,San Pablo Bay,SPB,Plagioselmis,530.76,463921.3932
2022-01-13,NZ004,Jan,2022,San Pablo Bay,SPB,Cryptomonas,54.11,28702.1084
2022-01-13,NZ004,Jan,2022,San Pablo Bay,SPB,Cyclotella,432.88,191216.0824
2022-01-13,NZ004,Jan,2022,San Pablo Bay,SPB,Eucapsis,20832.35,7499.646
2022-01-13,NZ004,Jan,2022,San Pablo Bay,SPB,Plagioselmis,324.65999999999997,58646.58239999999
2022-01-13,NZ004,Jan,2022,San Pablo Bay,SPB,Thalassiosira,108.22,114954.5306
2022-01-13,NZ325,Jan,2022,San Pablo Bay,SPB,Crucigenia,95.83,8288.3367
2022-01-13,NZ325,Jan,2022,San Pablo Bay,SPB,Cyclotella,191.66,30481.606399999997
2022-01-13,NZ325,Jan,2022,San Pablo Bay,SPB,Encyonema,95.83,17873.2533
2022-01-13,NZ325,Jan,2022,San Pablo Bay,SPB,Eucapsis,38427.83,13834.018799999998
2022-01-13,NZ325,Jan,2022,San Pablo Bay,SPB,Plagioselmis,191.66,10035.3176
2022-01-16,D12,Jan,2022,Confluence,CON,Achnanthidium,102.22,1782.7168000000001
2022-01-16,D12,Jan,2022,Confluence,CON,Cocconeis,408.88,403433.71839999995
2022-01-16,D12,Jan,2022,Confluence,CON,Cyclotella,204.44,47583.409999999996
2022-01-16,D12,Jan,2022,Confluence,CON,Diatoma,102.22,30337.8738
2022-01-16,D12,Jan,2022,Confluence,CON,Eucapsis,40070.24,14425.2864
2022-01-16,D12,Jan,2022,Confluence,CON,Melosira,102.22,358739.0456
2022-01-16,D12,Jan,2022,Confluence,CON,Monoraphidium,102.22,3574.6333999999997
2022-01-16,D12,Jan,2022,Confluence,CON,Navicula,102.22,81331.343
2022-01-16,D12,Jan,2022,Confluence,CON,Nitzschia,306.65999999999997,46888.314000000006
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Achnanthidium,95.82,9672.0708
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Chlorella,431.18999999999994,9680.215499999998
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Chroococcus,47.91,275.9616
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Chrysochromulina,191.64,4681.7652
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Coccomyxa,479.09999999999997,5821.065
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Cyclotella,2012.2199999999998,184319.35199999998
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Eucapsis,15043.74,5415.746399999999
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Navicula,143.73,70258.0986
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Nitzschia,191.64,30691.146
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Plagioselmis,95.82,69821.15939999999
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Planktolyngbya,47.91,881.5439999999999
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Scenedesmus,47.91,13644.768
2022-02-07,C10A,Feb,2022,Southern Interior Delta,SID,Staurosira,479.09999999999997,55690.58399999999
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Cryptomonas,73.02,31499.367599999998
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Cyclotella,219.06,118710.80459999999
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Diatoma,36.51,8318.0733
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Encyonema,36.51,4943.454
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Eucapsis,14238.9,5126.004
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Navicula,36.51,6654.312599999999
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Nitzschia,292.08,29713.2984
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Plagioselmis,109.53,22953.1068
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Planktolyngbya,109.53,3152.6385
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Planktothrix,73.02,2278.224
2022-02-07,C3A,Feb,2022,Northern Interior Delta,NID,Scenedesmus,73.02,13219.540799999999
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Achnanthidium,28.04,5724.366
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Coccomyxa,182.26,2679.2219999999998
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Cyclotella,14.02,1109.9634
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Drepanochloris,14.02,117.62780000000001
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Eucapsis,4528.46,1630.2456
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Nitzschia,14.02,4960.4162
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Plagioselmis,869.24,262104.60100000002
2022-02-07,C9,Feb,2022,Southern Interior Delta,SID,Planothidium,14.02,1650.0138
2022-02-08,D12,Feb,2022,Confluence,CON,Cocconeis,204.44,105691.3912
2022-02-08,D12,Feb,2022,Confluence,CON,Cryptomonas,51.11,42819.446899999995
2022-02-08,D12,Feb,2022,Confluence,CON,Cyclotella,102.22,88191.3272
2022-02-08,D12,Feb,2022,Confluence,CON,Epithemia,51.11,9517.7042
2022-02-08,D12,Feb,2022,Confluence,CON,Eucapsis,20137.34,7249.4424
2022-02-08,D12,Feb,2022,Confluence,CON,Navicula,51.11,2624.4985
2022-02-08,D12,Feb,2022,Confluence,CON,Plagioselmis,255.55,62080.7615
2022-02-08,D16,Feb,2022,Central Delta,CED,Aulacoseira,34.58,4939.753
2022-02-08,D16,Feb,2022,Central Delta,CED,Carteria,69.16,2874.9811999999997
2022-02-08,D16,Feb,2022,Central Delta,CED,Chrysochromulina,103.74,6382.0848
2022-02-08,D16,Feb,2022,Central Delta,CED,Coccomyxa,34.58,383.83799999999997
2022-02-08,D16,Feb,2022,Central Delta,CED,Eucapsis,13174.98,4742.9928
2022-02-08,D16,Feb,2022,Central Delta,CED,Nitzschia,69.16,15727.675599999999
2022-02-08,D16,Feb,2022,Central Delta,CED,Plagioselmis,345.79999999999995,137447.89239999998
2022-02-08,D19,Feb,2022,Central Delta,CED,Cryptomonas,27.38,103553.3504
2022-02-08,D19,Feb,2022,Central Delta,CED,Cyclotella,109.52,19106.585399999996
2022-02-08,D19,Feb,2022,Central Delta,CED,Eucapsis,10404.4,3745.5839999999994
2022-02-08,D19,Feb,2022,Central Delta,CED,Monoraphidium,27.38,657.9414
2022-02-08,D19,Feb,2022,Central Delta,CED,Navicula,27.38,9152.3126
2022-02-08,D19,Feb,2022,Central Delta,CED,Plagioselmis,465.46,232990.6576
2022-02-08,D28A,Feb,2022,Central Delta,CED,Cocconeis,146.04,120960.5508
2022-02-08,D28A,Feb,2022,Central Delta,CED,Cyclotella,36.51,11408.279700000001
2022-02-08,D28A,Feb,2022,Central Delta,CED,Eucapsis,14238.9,5126.004
2022-02-08,D28A,Feb,2022,Central Delta,CED,Navicula,73.02,12499.5636
2022-02-08,D28A,Feb,2022,Central Delta,CED,Nitzschia,73.02,2774.7599999999998
2022-02-08,D28A,Feb,2022,Central Delta,CED,Plagioselmis,292.08,51084.792
2022-02-08,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Cocconeis,135.28,154735.96959999998
2022-02-08,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Cyclotella,135.28,245943.0984
2022-02-08,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Encyonema,67.64,4407.4223999999995
2022-02-08,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Eucapsis,27191.28,9788.8608
2022-02-08,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Nitzschia,202.92000000000002,4458.1524
2022-02-08,EZ2-SJR,Feb,2022,Entrapment Zone,EZ,Plagioselmis,135.28,32736.4072
2022-02-09,D26,Feb,2022,Central Delta,CED,Cocconeis,26.28,8018.816400000001
2022-02-09,D26,Feb,2022,Central Delta,CED,Crucigenia,26.28,3885.498
2022-02-09,D26,Feb,2022,Central Delta,CED,Cyclotella,26.28,1941.8292000000001
2022-02-09,D26,Feb,2022,Central Delta,CED,Eucapsis,10275.48,3699.1728
2022-02-09,D26,Feb,2022,Central Delta,CED,Monoraphidium,26.28,1239.3648
2022-02-09,D26,Feb,2022,Central Delta,CED,Navicula,26.28,6414.948
2022-02-09,D26,Feb,2022,Central Delta,CED,Ochromonas,26.28,25928.8992
2022-02-09,D26,Feb,2022,Central Delta,CED,Plagioselmis,131.4,34093.044
2022-02-09,D26,Feb,2022,Central Delta,CED,Staurosira,26.28,1374.7068000000002
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Chrysochromulina,41.06,1459.2724
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Coccomyxa,102.65,1204.0845000000002
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Cryptomonas,20.53,40478.38510000001
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Cyclotella,20.53,2030.8276
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Eucapsis,7041.79,2535.0443999999998
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Monoraphidium,41.06,278.79740000000004
2022-02-09,MD10A,Feb,2022,Southern Interior Delta,SID,Plagioselmis,1047.03,325427.39430000004
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Achnanthidium,34.58,1412.9388
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Cryptomonas,276.64,266520.50879999995
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Cyclotella,69.16,148065.3356
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Eucapsis,13451.619999999999,4842.583199999999
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Plagioselmis,311.21999999999997,62458.741799999996
2022-02-09,P8,Feb,2022,Southern Interior Delta,SID,Scenedesmus,34.58,7833.0616
2022-02-10,D22,Feb,2022,Confluence,CON,Cocconeis,65.7,18288.909
2022-02-10,D22,Feb,2022,Confluence,CON,Cyclotella,131.4,28735.209000000003
2022-02-10,D22,Feb,2022,Confluence,CON,Eucapsis,13238.550000000001,4765.878
2022-02-10,D22,Feb,2022,Confluence,CON,Fragilaria,32.85,11106.9135
2022-02-10,D22,Feb,2022,Confluence,CON,Nitzschia,98.55000000000001,13089.411
2022-02-10,D22,Feb,2022,Confluence,CON,Plagioselmis,164.25,31131.945
2022-02-10,D22,Feb,2022,Confluence,CON,Staurosira,32.85,1609.9785
2022-02-10,D4,Feb,2022,Confluence,CON,Aulacoseira,48.42,7675.5384
2022-02-10,D4,Feb,2022,Confluence,CON,Chlorella,48.42,556.3458
2022-02-10,D4,Feb,2022,Confluence,CON,Coccomyxa,242.10000000000002,2292.6870000000004
2022-02-10,D4,Feb,2022,Confluence,CON,Cocconeis,96.84,39425.5008
2022-02-10,D4,Feb,2022,Confluence,CON,Cyclotella,48.42,5476.302
2022-02-10,D4,Feb,2022,Confluence,CON,Eucapsis,19174.32,6902.7552000000005
2022-02-10,D4,Feb,2022,Confluence,CON,Navicula,48.42,42288.0912
2022-02-10,D4,Feb,2022,Confluence,CON,Plagioselmis,96.84,10264.0716
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Cocconeis,360.76,187602.4152
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Cyclotella,270.57,212386.62720000002
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Encyonema,90.19,890.1752999999999
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Eucapsis,35083.909999999996,12630.2076
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Gomphonema,270.57,50783.283299999996
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Navicula,90.19,9212.0066
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Nitzschia,180.38,6666.8448
2022-02-10,EZ2,Feb,2022,Entrapment Zone,EZ,Plagioselmis,90.19,14351.9347
2022-02-10,EZ6,Feb,2022,Entrapment Zone,EZ,Aulacoseira,127.76,35578.6048
2022-02-10,EZ6,Feb,2022,Entrapment Zone,EZ,Entomoneis,63.88,113607.38600000001
2022-02-10,EZ6,Feb,2022,Entrapment Zone,EZ,Eucapsis,25168.72,9060.7392
2022-02-10,EZ6,Feb,2022,Entrapment Zone,EZ,Nitzschia,63.88,2325.232
2022-02-10,EZ6,Feb,2022,Entrapment Zone,EZ,Plagioselmis,702.6800000000001,247201.54640000005
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Achnanthidium,77.3,3969.355
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Cocconeis,77.3,85949.09700000001
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Cryptomonas,38.65,101234.0125
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Cyclotella,154.6,15903.702
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Encyonema,38.65,2010.9595
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Eucapsis,14880.25,5356.889999999999
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Monoraphidium,77.3,1520.491
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Nitzschia,154.6,18256.714
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Plagioselmis,193.25,49017.862499999996
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Planktolyngbya,115.94999999999999,1881.0955
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Planktothrix,38.65,2629.7459999999996
2022-02-10,NZ068,Feb,2022,Northern Interior Delta,NID,Planothidium,38.65,1579.239
2022-02-11,D10,Feb,2022,Confluence,CON,Cocconeis,90.19,254297.9202
2022-02-11,D10,Feb,2022,Confluence,CON,Cyclotella,270.57,69163.10339999999
2022-02-11,D10,Feb,2022,Confluence,CON,Eucapsis,35534.86,12792.5496
2022-02-11,D10,Feb,2022,Confluence,CON,Plagioselmis,450.95,88345.6145
2022-02-11,D10,Feb,2022,Confluence,CON,Planktolyngbya,90.19,1699.1796
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Chlorella,58.97,286.00449999999995
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Coccomyxa,176.91,4284.7602
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Cyclotella,58.97,4357.2933
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Eucapsis,22998.3,8279.388
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Plagioselmis,235.88,104464.17559999999
2022-02-11,D6,Feb,2022,San Pablo Bay,SPB,Staurosira,58.97,13314.836299999999
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Coccomyxa,864.93,12679.8738
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Cocconeis,78.63,13584.118799999998
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Cryptomonas,157.26,90369.45899999999
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Cyclotella,235.89,391961.11439999996
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Eucapsis,29722.14,10699.970399999998
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Plagioselmis,550.41,80629.5609
2022-02-11,D8,Feb,2022,Grizzly and Suisun Bay,GSB,Surirella,78.63,71017.0434
2022-02-14,D7,Feb,2022,Grizzly and Suisun Bay,GSB,Cyclotella,357.77,35687.5575
2022-02-14,D7,Feb,2022,Grizzly and Suisun Bay,GSB,Eucapsis,20086.23,7231.042799999999
2022-02-14,D7,Feb,2022,Grizzly and Suisun Bay,GSB,Plagioselmis,306.66,68190.962
2022-02-14,NZ032,Feb,2022,Grizzly and Suisun Bay,GSB,Cyclotella,4312.35,501741.9225
2022-02-14,NZ032,Feb,2022,Grizzly and Suisun Bay,GSB,Diploneis,95.83,136009.6024
2022-02-14,NZ032,Feb,2022,Grizzly and Suisun Bay,GSB,Eucapsis,34690.46,12488.5656
