SampleDate,StationCode,Taxon,Algal Type,Genus,Organisms per mL
1/8/2025,D26,Epithemia sp.,Pennate Diatom,Epithemia,2.218637006
1/8/2025,D26,Gomphonema sp.,Pennate Diatom,Gomphonema,41.06868333
1/8/2025,D26,Melosira sp.,Centric Diatom,Melosira,2.218637006
1/8/2025,D26,Navicula sp.,Pennate Diatom,Navicula,2.218637006
1/8/2025,D26,Nitzschia sp.,Pennate Diatom,Nitzschia,15.53045904
1/8/2025,D26,Planothidium sp.,Pennate Diatom,Planothidium,41.06868333
1/8/2025,D26,Pseudostaurosira sp.,Pennate Diatom,Pseudostaurosira,2.218637006
1/8/2025,D26,Ulnaria sp.,Pennate Diatom,Ulnaria,2.218637006
1/8/2025,D26,cf. Chlamydomonas sp.,Green Alga,Chlamydomonas,13.31182203
1/8/2025,D26,Chlorella sp.,Green Alga,Chlorella,1478.4726
1/8/2025,D26,Drepanochloris nannoselene,Green Alga,Drepanochloris,2.218637006
1/8/2025,D26,cf. Koliella sp.,Green Alga,Koliella,2.218637006
1/8/2025,D26,Monoraphidium sp.,Green Alga,Monoraphidium,41.06868333
1/8/2025,D26,cf. Ochromonas sp.,Chrysophyte,Ochromonas,2.218637006
1/8/2025,D26,cf. Synura sp.,Synurophyte,Synura,2.218637006
1/8/2025,D26,Cryptomonas sp.,Cryptophyte,Cryptomonas,22.18637006
1/8/2025,D26,Plagioselmis lacustris,Cryptophyte,Plagioselmis,164.2747333
1/8/2025,D26,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,57.68456215
1/8/2025,D26,Plagioselmis sp.,Cryptophyte,Plagioselmis,41.06868333
1/8/2025,D26,Eucapsis microscopica,Cyanobacterium,Eucapsis,14168.69575
1/8/2025,D26,cf. Microcystis sp.,Cyanobacterium,Microcystis,164.2747333
1/8/2025,D26,Planktolyngbya limnetica,Cyanobacterium,Planktolyngbya,2.218637006
1/8/2025,D26,Heterocapsa sp.,Dinoflagellate,Heterocapsa,2.218637006
1/8/2025,D26,Tintinnidium sp.,Ciliate,Tintinnidium,2.218637006
1/8/2025,MD10A,Achnanthidium sp.,Pennate Diatom,Achnanthidium,17.74909605
1/8/2025,MD10A,Cocconeis placentula,Pennate Diatom,Cocconeis,61.32923377
1/8/2025,MD10A,Cyclotella sp.,Centric Diatom,Cyclotella,46.14764972
1/8/2025,MD10A,Encyonema sp.,Pennate Diatom,Encyonema,3.549819209
1/8/2025,MD10A,Gomphonema sp.,Pennate Diatom,Gomphonema,3.549819209
1/8/2025,MD10A,Navicula sp.,Pennate Diatom,Navicula,7.099638418
1/8/2025,MD10A,Nitzschia sp.,Pennate Diatom,Nitzschia,17.74909605
1/8/2025,MD10A,Nupela sp.,Pennate Diatom,Nupela,3.549819209
1/8/2025,MD10A,Planothidium sp.,Pennate Diatom,Planothidium,61.32923377
1/8/2025,MD10A,Chlamydomonas sp.,Green Alga,Chlamydomonas,42.59783051
1/8/2025,MD10A,Chlorella sp.,Green Alga,Chlorella,2207.852416
1/8/2025,MD10A,Chloromonas sp.,Green Alga,Chloromonas,31.94837288
1/8/2025,MD10A,Drepanochloris nannoselene,Green Alga,Drepanochloris,95.84511864
1/8/2025,MD10A,Monoraphidium contortum,Green Alga,Monoraphidium,17.74909605
1/8/2025,MD10A,Monoraphidium sp.,Green Alga,Monoraphidium,3.549819209
1/8/2025,MD10A,Chrysochromulina sp.,Haptophyte,Chrysochromulina,245.3169351
1/8/2025,MD10A,Chrysococcus sp.,Chrysophyte,Chrysococcus,245.3169351
1/8/2025,MD10A,Kephyrion sp.,Chrysophyte,Kephyrion,3.549819209
1/8/2025,MD10A,Cryptomonas sp.,Cryptophyte,Cryptomonas,7.099638418
1/8/2025,MD10A,Plagioselmis lacustris,Cryptophyte,Plagioselmis,3.549819209
1/8/2025,MD10A,Plagioselmis spp.,Cryptophyte,Plagioselmis,1042.596974
1/8/2025,MD10A,Aphanizomenon sp.,Cyanobacterium,Aphanizomenon,14.19927684
1/8/2025,MD10A,Aphanocapsa sp.,Cyanobacterium,Aphanocapsa,7.099638418
1/8/2025,MD10A,Eucapsis microscopica,Cyanobacterium,Eucapsis,21710.54876
1/8/2025,MD10A,Planktolyngbya microspira,Cyanobacterium,Planktolyngbya,10.64945763
1/8/2025,MD10A,Strobilidium sp.,Ciliate,Strobilidium,3.549819209
1/8/2025,P8,Achnanthidium sp.,Pennate Diatom,Achnanthidium,19.16538555
1/8/2025,P8,Cocconeis placentula,Pennate Diatom,Cocconeis,13.31182203
1/8/2025,P8,cf. Cyclotella sp.,Centric Diatom,Cyclotella,38.33077111
1/8/2025,P8,Cyclotella sp.,Centric Diatom,Cyclotella,53.24728814
1/8/2025,P8,Gomphonema sp.,Pennate Diatom,Gomphonema,3.327955508
1/8/2025,P8,Navicula sp.,Pennate Diatom,Navicula,3.327955508
1/8/2025,P8,Nitzschia inconspicua,Pennate Diatom,Nitzschia,1.663977754
1/8/2025,P8,Nitzschia sp.,Pennate Diatom,Nitzschia,6.655911017
1/8/2025,P8,Planothidium sp.,Pennate Diatom,Planothidium,1.663977754
1/8/2025,P8,Skeletonema sp.,Centric Diatom,Skeletonema,3.327955508
1/8/2025,P8,Staurosira venter,Pennate Diatom,Staurosira,3.327955508
1/8/2025,P8,cf. Carteria sp.,Green Alga,Carteria,1.663977754
1/8/2025,P8,cf. Chlamydomonas sp.,Green Alga,Chlamydomonas,11.64784428
1/8/2025,P8,Chlamydomonas sp.,Green Alga,Chlamydomonas,1.663977754
1/8/2025,P8,Chlorella sp.,Green Alga,Chlorella,939.1038921
1/8/2025,P8,Monoraphidium sp.,Green Alga,Monoraphidium,8.319888771
1/8/2025,P8,Cryptomonas sp.,Cryptophyte,Cryptomonas,4.991933263
1/8/2025,P8,Plagioselmis lacustris,Cryptophyte,Plagioselmis,536.6307955
1/8/2025,P8,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,440.8038677
1/8/2025,P8,Plagioselmis sp.,Cryptophyte,Plagioselmis,459.9692533
1/8/2025,P8,Eucapsis microscopica,Cyanobacterium,Eucapsis,5308.811798
1/8/2025,P8,cf. Microcystis sp.,Cyanobacterium,Microcystis,11.64784428
1/8/2025,P8,Planktolyngbya limnetica,Cyanobacterium,Planktolyngbya,3.327955508
1/8/2025,P8,Unidentified Ciliate sp. #1,Ciliate,Unidentified Ciliate,38.33077111
1/8/2025,P8,Trachelomonas sp.,Euglenoid,Trachelomonas,4.991933263
1/8/2025,P8,Strobilidium sp.,Ciliate,Strobilidium,3.327955508
1/9/2025,D4,Aulacoseira alpigena,Centric Diatom,Aulacoseira,46.59137712
1/9/2025,D4,Cocconeis placentula,Pennate Diatom,Cocconeis,53.24728814
1/9/2025,D4,Cyclotella sp.,Centric Diatom,Cyclotella,689.9538799
1/9/2025,D4,Diatoma sp.,Pennate Diatom,Diatoma,6.655911017
1/9/2025,D4,Encyonema sp.,Pennate Diatom,Encyonema,26.62364407
1/9/2025,D4,Epithemia sp.,Pennate Diatom,Epithemia,6.655911017
1/9/2025,D4,Fragilaria sp.,Pennate Diatom,Fragilaria,93.18275424
1/9/2025,D4,Gyrosigma sp.,Pennate Diatom,Gyrosigma,6.655911017
1/9/2025,D4,Humidophila sp.,Pennate Diatom,Humidophila,13.31182203
1/9/2025,D4,Mayamaea sp.,Pennate Diatom,Mayamaea,6.655911017
1/9/2025,D4,Melosira varians,Centric Diatom,Melosira,19.96773305
1/9/2025,D4,Navicula sp.,Pennate Diatom,Navicula,19.96773305
1/9/2025,D4,Nitzschia sp.,Pennate Diatom,Nitzschia,66.55911017
1/9/2025,D4,Planothidium sp.,Pennate Diatom,Planothidium,19.96773305
1/9/2025,D4,Pseudostaurosira sp.,Pennate Diatom,Pseudostaurosira,19.96773305
1/9/2025,D4,Reimeria sp.,Pennate Diatom,Reimeria,19.96773305
1/9/2025,D4,Chlamydomonas sp.,Green Alga,Chlamydomonas,93.18275424
1/9/2025,D4,Chlorella sp.,Green Alga,Chlorella,2529.830893
1/9/2025,D4,Chloromonas sp.,Green Alga,Chloromonas,19.96773305
1/9/2025,D4,Drepanochloris nannoselene,Green Alga,Drepanochloris,114.9923133
1/9/2025,D4,Koliella sp.,Green Alga,Koliella,13.31182203
1/9/2025,D4,Monoraphidium contortum,Green Alga,Monoraphidium,13.31182203
1/9/2025,D4,Chrysococcus sp.,Chrysophyte,Chrysococcus,229.9846266
1/9/2025,D4,Kephyrion sp.,Chrysophyte,Kephyrion,13.31182203
1/9/2025,D4,Synura sp.,Synurophyte,Synura,6.655911017
1/9/2025,D4,Cryptomonas sp.,Cryptophyte,Cryptomonas,13.31182203
1/9/2025,D4,Plagioselmis lacustris,Cryptophyte,Plagioselmis,26.62364407
1/9/2025,D4,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,114.9923133
1/9/2025,D4,Plagioselmis sp.,Cryptophyte,Plagioselmis,114.9923133
1/9/2025,D4,Eucapsis microscopica,Cyanobacterium,Eucapsis,44961.99451
1/9/2025,D4,cf. Pseudanabaena sp.,Cyanobacterium,Pseudanabaena,19.96773305
1/9/2025,D4,Trachelomonas sp.,Euglenoid,Trachelomonas,6.655911017
1/9/2025,D4,Strombidium sp.,Ciliate,Strombidium,13.31182203
1/6/2025,C10A,Achnanthidium sp.,Pennate Diatom,Achnanthidium,60.85404358
1/6/2025,C10A,Amphora sp.,Pennate Diatom,Amphora,3.803377724
1/6/2025,C10A,cf. Aulacoseira sp. ,Centric Diatom,Aulacoseira,65.70989333
1/6/2025,C10A,Aulacoseira sp. ,Centric Diatom,Aulacoseira,30.42702179
1/6/2025,C10A,Bacillaria paxillifer,Pennate Diatom,Bacillaria,11.41013317
1/6/2025,C10A,Cocconeis sp.,Pennate Diatom,Cocconeis,34.23039952
1/6/2025,C10A,Cyclotella spp.,Centric Diatom,Cyclotella,1642.747333
1/6/2025,C10A,Diploneis sp.,Pennate Diatom,Diploneis,7.606755448
1/6/2025,C10A,Encyonema sp.,Pennate Diatom,Encyonema,41.83715496
1/6/2025,C10A,Fragilaria sp.,Pennate Diatom,Fragilaria,131.4197867
1/6/2025,C10A,Gomphonema sp.,Pennate Diatom,Gomphonema,11.41013317
1/6/2025,C10A,Hippodonta sp.,Pennate Diatom,Hippodonta,7.606755448
1/6/2025,C10A,Humidophila sp.,Pennate Diatom,Humidophila,7.606755448
1/6/2025,C10A,Navicula spp.,Pennate Diatom,Navicula,459.9692533
1/6/2025,C10A,Nitzschia acicularis,Pennate Diatom,Nitzschia,3.803377724
1/6/2025,C10A,Nitzschia cf. sigma,Pennate Diatom,Nitzschia,38.03377724
1/6/2025,C10A,Nitzschia sp.,Pennate Diatom,Nitzschia,197.12968
1/6/2025,C10A,Planothidium sp.,Pennate Diatom,Planothidium,7.606755448
1/6/2025,C10A,Pseudostaurosira sp.,Pennate Diatom,Pseudostaurosira,3.803377724
1/6/2025,C10A,Reimeria sp.,Pennate Diatom,Reimeria,7.606755448
1/6/2025,C10A,Sellaphora sp.,Pennate Diatom,Sellaphora,19.01688862
1/6/2025,C10A,Skeletonema sp.,Centric Diatom,Skeletonema,19.01688862
1/6/2025,C10A,Stephanodiscus sp.,Centric Diatom,Stephanodiscus,3.803377724
1/6/2025,C10A,Surirella sp.,Pennate Diatom,Surirella,3.803377724
1/6/2025,C10A,Tryblionella sp.,Pennate Diatom,Tryblionella,19.01688862
1/6/2025,C10A,Chlamydomonas sp.,Green Alga,Chlamydomonas,34.23039952
1/6/2025,C10A,Chlorella sp.,Green Alga,Chlorella,3942.5936
1/6/2025,C10A,Chloromonas sp.,Green Alga,Chloromonas,197.12968
1/6/2025,C10A,Desmodesmus sp.,Green Alga,Desmodesmus,7.606755448
1/6/2025,C10A,Drepanochloris nannoselene,Green Alga,Drepanochloris,262.8395733
1/6/2025,C10A,Monoraphidium contortum,Green Alga,Monoraphidium,65.70989333
1/6/2025,C10A,Monoraphidium minutum,Green Alga,Monoraphidium,7.606755448
1/6/2025,C10A,cf. Sphaerocystis sp.,Green Alga,Sphaerocystis,3.803377724
1/6/2025,C10A,Chrysococcus sp.,Chrysophyte,Chrysococcus,98.88782082
1/6/2025,C10A,Kephyrion sp.,Chrysophyte,Kephyrion,34.23039952
1/6/2025,C10A,Synura sp.,Synurophyte,Synura,197.12968
1/6/2025,C10A,Cryptomonas sp.,Cryptophyte,Cryptomonas,34.23039952
1/6/2025,C10A,Plagioselmis lacustris,Cryptophyte,Plagioselmis,41.83715496
1/6/2025,C10A,Plagioselmis sp.,Cryptophyte,Plagioselmis,1379.90776
1/6/2025,C10A,Eucapsis microscopica,Cyanobacterium,Eucapsis,19384.41853
1/6/2025,C10A,Phormidium sp.,Cyanobacterium,Phormidium,11.41013317
1/6/2025,C10A,Planktolyngbya microspira,Cyanobacterium,Planktolyngbya,65.70989333
1/6/2025,C10A,Trachelomonas sp.,Euglenoid,Trachelomonas,7.606755448
1/6/2025,C10A,Strombidium sp.,Ciliate,Strombidium,11.41013317
1/10/2025,D8,Achnanthidium sp.,Pennate Diatom,Achnanthidium,3.549819209
1/10/2025,D8,Cocconeis placentula,Pennate Diatom,Cocconeis,70.76450051
1/10/2025,D8,Cocconeis sp.,Pennate Diatom,Cocconeis,3.549819209
1/10/2025,D8,cf. Cyclotella sp.,Centric Diatom,Cyclotella,7.099638418
1/10/2025,D8,Cyclotella sp.,Centric Diatom,Cyclotella,495.3515035
1/10/2025,D8,Encyonema sp.,Pennate Diatom,Encyonema,70.76450051
1/10/2025,D8,Epithemia sp.,Pennate Diatom,Epithemia,70.76450051
1/10/2025,D8,Gomphonema sp.,Pennate Diatom,Gomphonema,7.099638418
1/10/2025,D8,Gyrosigma sp.,Pennate Diatom,Gyrosigma,3.549819209
1/10/2025,D8,Navicula sp.,Pennate Diatom,Navicula,70.76450051
1/10/2025,D8,Nitzschia inconspicua,Pennate Diatom,Nitzschia,7.099638418
1/10/2025,D8,Nitzschia sp.,Pennate Diatom,Nitzschia,10.64945763
1/10/2025,D8,Sellaphora sp.,Pennate Diatom,Sellaphora,3.549819209
1/10/2025,D8,Staurosira sp.,Pennate Diatom,Staurosira,3.549819209
1/10/2025,D8,Thalassiosira sp.,Centric Diatom,Thalassiosira,3.549819209
1/10/2025,D8,Ulnaria sp.,Pennate Diatom,Ulnaria,3.549819209
1/10/2025,D8,Chlamydomonas sp.,Green Alga,Chlamydomonas,3.549819209
1/10/2025,D8,Chlorella sp.,Green Alga,Chlorella,2405.993017
1/10/2025,D8,cf. Koliella sp.,Green Alga,Koliella,3.549819209
1/10/2025,D8,Monoraphidium sp.,Green Alga,Monoraphidium,7.099638418
1/10/2025,D8,Kephyrion sp.,Chrysophyte,Kephyrion,3.549819209
1/10/2025,D8,Cryptomonas sp.,Cryptophyte,Cryptomonas,10.64945763
1/10/2025,D8,Plagioselmis lacustris,Cryptophyte,Plagioselmis,78.0960226
1/10/2025,D8,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,113.5942147
1/10/2025,D8,Teleaulax sp.,Cryptophyte,Teleaulax,7.099638418
1/10/2025,D8,Eucapsis microscopica,Cyanobacterium,Eucapsis,24767.57518
1/10/2025,D8,cf. Microcystis sp.,Cyanobacterium,Microcystis,424.587003
1/10/2025,D8,Unidentified Ciliate sp. #1,Ciliate,Unidentified Ciliate,3.549819209
1/10/2025,D8,Heterocapsa sp.,Dinoflagellate,Heterocapsa,3.549819209
1/10/2025,D8,Strobilidium sp.,Ciliate,Strobilidium,3.549819209
1/10/2025,D8,Tintinnidium sp.,Ciliate,Tintinnidium,10.64945763
1/6/2025,C3A,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,114.9923133
1/6/2025,C3A,Achnanthidium sp.,Pennate Diatom,Achnanthidium,38.33077111
1/6/2025,C3A,Aulacoseira alpigena,Centric Diatom,Aulacoseira,26.62364407
1/6/2025,C3A,Cocconeis placentula,Pennate Diatom,Cocconeis,29.95159958
1/6/2025,C3A,Cocconeis sp.,Pennate Diatom,Cocconeis,3.327955508
1/6/2025,C3A,cf. Cyclotella sp.,Centric Diatom,Cyclotella,114.9923133
1/6/2025,C3A,Cyclotella sp.,Centric Diatom,Cyclotella,13.31182203
1/6/2025,C3A,Encyonema sp.,Pennate Diatom,Encyonema,229.9846266
1/6/2025,C3A,Epithemia sp.,Pennate Diatom,Epithemia,13.31182203
1/6/2025,C3A,Gomphonema sp.,Pennate Diatom,Gomphonema,38.33077111
1/6/2025,C3A,Melosira varians,Centric Diatom,Melosira,33.27955508
1/6/2025,C3A,Navicula sp.,Pennate Diatom,Navicula,114.9923133
1/6/2025,C3A,Nitzschia sp.,Pennate Diatom,Nitzschia,344.97694
1/6/2025,C3A,Planothidium sp.,Pennate Diatom,Planothidium,38.33077111
1/6/2025,C3A,Pseudostaurosira sp.,Pennate Diatom,Pseudostaurosira,76.54297669
1/6/2025,C3A,Rhoicosphenia sp.,Pennate Diatom,Rhoicosphenia,3.327955508
1/6/2025,C3A,Staurosira sp.,Pennate Diatom,Staurosira,38.33077111
1/6/2025,C3A,Chlamydomonas sp.,Green Alga,Chlamydomonas,38.33077111
1/6/2025,C3A,Chlorella sp.,Green Alga,Chlorella,1571.561615
1/6/2025,C3A,Dictyosphaerium sp.,Green Alga,Dictyosphaerium,3.327955508
1/6/2025,C3A,Monoraphidium sp.,Green Alga,Monoraphidium,114.9923133
1/6/2025,C3A,Scenedesmus sp.,Green Alga,Scenedesmus,38.33077111
1/6/2025,C3A,Mallomonas sp.,Synurophyte,Mallomonas,3.327955508
1/6/2025,C3A,cf. Synura sp.,Synurophyte,Synura,3.327955508
1/6/2025,C3A,Cryptomonas sp.,Cryptophyte,Cryptomonas,26.62364407
1/6/2025,C3A,Plagioselmis lacustris,Cryptophyte,Plagioselmis,29.95159958
1/6/2025,C3A,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,23.29568856
1/6/2025,C3A,Plagioselmis sp.,Cryptophyte,Plagioselmis,38.33077111
1/6/2025,C3A,Eucapsis microscopica,Cyanobacterium,Eucapsis,12725.81601
1/6/2025,C3A,cf. Microcystis sp.,Cyanobacterium,Microcystis,6.655911017
1/6/2025,C3A,Planktolyngbya limnetica,Cyanobacterium,Planktolyngbya,3.327955508
1/6/2025,C3A,Trachelomonas sp.,Euglenoid,Trachelomonas,3.327955508
1/6/2025,C3A,Tintinnidium sp.,Ciliate,Tintinnidium,6.655911017
1/10/2025,D6,Achnanthidium sp.,Pennate Diatom,Achnanthidium,383.3077111
1/10/2025,D6,Cocconeis sp.,Pennate Diatom,Cocconeis,19.96773305
1/10/2025,D6,Cyclotella sp.,Centric Diatom,Cyclotella,2395.673194
1/10/2025,D6,Entomoneis sp.,Pennate Diatom,Entomoneis,6.655911017
1/10/2025,D6,Navicula sp.,Pennate Diatom,Navicula,6.655911017
1/10/2025,D6,Nitzschia inconspicua,Pennate Diatom,Nitzschia,86.52684322
1/10/2025,D6,Nupela sp.,Pennate Diatom,Nupela,6.655911017
1/10/2025,D6,Pseudostaurosira sp.,Pennate Diatom,Pseudostaurosira,6.655911017
1/10/2025,D6,Staurosira venter,Pennate Diatom,Staurosira,13.31182203
1/10/2025,D6,Surirella sp.,Pennate Diatom,Surirella,6.655911017
1/10/2025,D6,Thalassiosira sp.,Centric Diatom,Thalassiosira,66.55911017
1/10/2025,D6,Chlamydomonas spp.,Green Alga,Chlamydomonas,259.5805297
1/10/2025,D6,Chlorella sp.,Green Alga,Chlorella,383.3077111
1/10/2025,D6,Drepanochloris nannoselene,Green Alga,Drepanochloris,6.655911017
1/10/2025,D6,Chrysochromulina sp.,Haptophyte,Chrysochromulina,19.96773305
1/10/2025,D6,Chrysococcus sp.,Chrysophyte,Chrysococcus,39.9354661
1/10/2025,D6,Kephyrion sp.,Chrysophyte,Kephyrion,39.9354661
1/10/2025,D6,cf. Cryptomonas sp.,Cryptophyte,Cryptomonas,26.62364407
1/10/2025,D6,Cryptomonas sp.,Cryptophyte,Cryptomonas,6.655911017
1/10/2025,D6,Plagioselmis lacustris,Cryptophyte,Plagioselmis,19.96773305
1/10/2025,D6,Plagioselmis sp.,Cryptophyte,Plagioselmis,287.4807833
1/10/2025,D6,Eucapsis microscopica,Cyanobacterium,Eucapsis,38905.73267
1/10/2025,D6,Unidentified Ciliate sp. #2,Ciliate,Unidentified Ciliate,26.62364407
1/10/2025,D6,Heterocapsa rotundata,Dinoflagellate,Heterocapsa,139.7741314
1/10/2025,D6,Tintinnidium sp.,Ciliate,Tintinnidium,13.31182203
1/13/2025,D7,Achnanthidium sp.,Pennate Diatom,Achnanthidium,8.874548023
1/13/2025,D7,Aulacoseira alpigena,Centric Diatom,Aulacoseira,4.437274011
1/13/2025,D7,Cocconeis placentula,Pennate Diatom,Cocconeis,22.18637006
1/13/2025,D7,Cyclotella sp.,Centric Diatom,Cyclotella,84.30820621
1/13/2025,D7,Encyonema sp.,Pennate Diatom,Encyonema,4.437274011
1/13/2025,D7,Entomoneis sp.,Pennate Diatom,Entomoneis,4.437274011
1/13/2025,D7,Fragilaria sp.,Pennate Diatom,Fragilaria,13.31182203
1/13/2025,D7,Gomphonema sp.,Pennate Diatom,Gomphonema,69.69231111
1/13/2025,D7,Melosira sp.,Centric Diatom,Melosira,8.874548023
1/13/2025,D7,Navicula sp.,Pennate Diatom,Navicula,13.31182203
1/13/2025,D7,Nitzschia inconspicua,Pennate Diatom,Nitzschia,4.437274011
1/13/2025,D7,Nitzschia sp.,Pennate Diatom,Nitzschia,8.874548023
1/13/2025,D7,Pleurosigma sp.,Pennate Diatom,Pleurosigma,4.437274011
1/13/2025,D7,Pseudostaurosira sp.,Pennate Diatom,Pseudostaurosira,4.437274011
1/13/2025,D7,Rhoicosphenia sp.,Pennate Diatom,Rhoicosphenia,69.69231111
1/13/2025,D7,Thalassiosira sp.,Centric Diatom,Thalassiosira,17.74909605
1/13/2025,D7,Chlamydomonas sp.,Green Alga,Chlamydomonas,17.74909605
1/13/2025,D7,Chlorella sp.,Green Alga,Chlorella,2648.307822
1/13/2025,D7,Monoraphidium sp.,Green Alga,Monoraphidium,13.31182203
1/13/2025,D7,Cryptomonas sp.,Cryptophyte,Cryptomonas,39.9354661
1/13/2025,D7,Plagioselmis lacustris,Cryptophyte,Plagioselmis,75.43365819
1/13/2025,D7,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,209.0769333
1/13/2025,D7,Eucapsis microscopica,Cyanobacterium,Eucapsis,25158.92431
1/13/2025,D7,Heterocapsa sp.,Dinoflagellate,Heterocapsa,13.31182203
1/14/2025,D41A,Cocconeis sp.,Pennate Diatom,Cocconeis,3.549819209
