SpeciesCode,CommonName,SciName,a_cm_g,b,SD_log10_a,SD_b,SD_log10_W,n_Studies,n_Fish,LengthType,Gender,Country,Source
RBT,Rainbow Trout (Steel Head),Oncorhynchus mykiss,0.0107,3.03,0.2782,0.1749,0,4,>247,TL,unsexed mixed,Belgium Croatia Iran Turkey,DB
RBT,Rainbow Trout (Steel Head),Oncorhynchus mykiss,0.0117,3,0.05,0.0574,0,3,583,FL,unsexed,Australia Canada USA,DB
RES,Redear Sunfish,Lepomis microlophus,0.0301,3.03,0.0504,0.1,,1,69,SL,juvenile,USA,DB
RES,Redear Sunfish,Lepomis microlophus,0.05105,2.712,,,,1,,FL,unsexed,USA,DB
RES,Redear Sunfish,Lepomis microlophus,0.0151,3.08,0.1281,0.1,0.0245,8,>5971,TL,unsexed,USA,DB
RES,Redear Sunfish,Lepomis microlophus,0.0186,3.04,0.2066,0.1386,0.086,10,>6040,FL TL SL,unsexed juvenile,USA,DB
RFS,Riffle Sculpin,Cottus gulosus,3.25202,0.008974081,,,,1,,undefined,undefined,USA,Paper
RL,River Lamprey,Lampetra fluviatilis,0.0007,3.25,0.1732,0.1082,0.0346,2,185,TL,unsexed,Estonia NorthSea,DB
RSN,Red Shiner,Cyprinella lutrensis,0.00683,3.08217,,,,1,,undefined,undefined,USA,Paper (Golden Shiner)
SAPM,Sacramento Pikeminnow,Ptychocheilus grandis,0.0065,3,,,,1,2,TL,unsexed,USA,DB
SASU,Sacramento Sucker,Catostomus occidentalis occidentalis,0.0253,2.82,,,,1,6,FL,unsexed,USA,Calc
SHM,Shimofuri Goby,Tridentiger bifasciatus,0.005,3.47,,0.25,,1,45,FL,unsexed,USA,Paper
SMB,Smallmouth Bass,Micropterus dolomieu,0.01005,3.125,,,,1,,FL,unsexed,USA,DB
SMB,Smallmouth Bass,Micropterus dolomieu,0.0166,3.13,0.1584,0.1356,0,5,>620,SL,unsexed,USA,DB
SMB,Smallmouth Bass,Micropterus dolomieu,0.012,3.04,0.2098,0.1338,0,16,>10893,TL,unsexed juvenile,USA,DB
SMB,Smallmouth Bass,Micropterus dolomieu,0.0129,3.06,0.2,0.1338,0,23,>11606,FL TL SL undefined,unsexed,Canada USA,DB
SPB,Spotted Bass,Micropterus punctulatus,0.011,3.22,0.1217,0.01,0,3,1015,SL,unsexed,USA,DB
SPB,Spotted Bass,Micropterus punctulatus,0.0078,3.14,0.1245,0.0933,0.0141,3,14415,TL,unsexed,USA,DB
SPB,Spotted Bass,Micropterus punctulatus,0.0091,3.18,0.1439,0.0768,0.15,6,15430,TL SL,unsexed,USA,DB
SPLT,Sacramento Splittail,Pogonichthys macrolepidotus,0.0056,3.27,,0.02,,1,694,FL,unsexed,USA,Paper
STB,Striped Bass,Morone saxatilis,0.0065,3.09,0.1245,0.136,0,3,,TL,unsexed female male,USA,DB
STF,Starry Flounder,Platichthys stellatus,0.0079,3.17,0.255,0.1353,1.2524,4,971,TL,unsexed,Canada Russia SouthKorea undefined,DB
TFS,Threadfin Shad,Dorosoma petenense,0.036,2.63,,,,1,881,SL,unsexed,Mexico,DB
TFS,Threadfin Shad,Dorosoma petenense,0.0087,2.98,0.2352,0.18,0.01,2,308874,TL,unsexed,USA,DB
TFS,Threadfin Shad,Dorosoma petenense,0.0151,2.84,0.3545,0.2211,0.0742,3,309755,TL SL,unsexed,Mexico USA,DB
TP,Tule Perch,Hysterocarpus traskii traskii,0.0204,3.03,,,,1,243,FL,unsexed,USA,Paper
TSM,Top Smelt,Atherinops affinis,0.04,2.5,,,0,1,198,TL,unsexed,Mexico,DB
TSS,Threespine Stickleback,Gasterosteus aculeatus,0.0089,3.14,0.2621,0.3288,0,4,30097,TL,unsexed,Belgium Iran Turkey undefined,DB
W,Warmouth,Lepomis gulosus,0.0316,3.09,0.048,0.0447,0,2,942,SL,unsexed,USA,DB
W,Warmouth,Lepomis gulosus,0.0151,3.14,0.0648,0.0616,0,2,4063,TL,unsexed,USA,DB
W,Warmouth,Lepomis gulosus,0.0219,3.12,0.1732,0.0592,0,4,5005,TL SL,unsexed,USA,DB
WCK,White Croaker,Genyonemus lineatus,0.0272,2.943,,,,1,1357,SL,unsexed,USA,DB
WHC,White Catfish,Ameiurus catus,0.01403,3.006,,,,,,FL,unsexed,USA,DB
WHC,White Catfish,Ameiurus catus,0.0129,3.01,0.0332,0,0.0316,2,>137,FL TL,unsexed,USA,DB
WHC,White Catfish,Ameiurus catus,0.01202,3.01,,,,,137,TL,unsexed,USA,DB
WHS,White Crappie,Pomoxis annularis,0.0234,3,0.1418,0.1212,0,7,>5118,SL,unsexed,USA,DB
WHS,White Crappie,Pomoxis annularis,0.0076,3.18,0.3306,0.2352,0,30,>6783,TL,unsexed,USA,DB
WHS,White Crappie,Pomoxis annularis,0.0095,3.15,0.36,0.2298,0,37,>11901,TL SL,unsexed,USA,DB
WST,White Sturgeon,Acipenser transmontanus,0.0023,3.21,0.0775,0.02,0.1204,2,5346,FL,unsexed,USA,DB
YEB,Yellow Bullhead,Ameiurus natalis,0.0207,3,,,,1,32,SL,unsexed,USA,DB
YEB,Yellow Bullhead,Ameiurus natalis,0.0331,2.8,0.0245,0.1183,0,2,515,TL,unsexed,USA,DB
YEB,Yellow Bullhead,Ameiurus natalis,0.0282,2.87,0.101,0.1349,0.0574,3,547,TL SL,unsexed,USA,DB
YFG,Yellowfin Goby,Acanthogobius flavimanus,0.00878,2.869,0.0514,0.276,,1,122,TL,unsexed,SouthKorea,DB
