SampleDate,StationCode
5/7/1975,D24
5/7/1975,D26
5/7/1975,D4
5/8/1975,D10
5/8/1975,D12
5/8/1975,D14A
5/8/1975,D2
5/8/1975,D6
5/8/1975,D7
5/8/1975,D8
5/8/1975,D9
5/15/1975,C10
5/15/1975,C3
5/15/1975,C7
5/15/1975,C9
5/15/1975,D28A
5/15/1975,MD10
5/15/1975,MD6
5/15/1975,MD7
5/15/1975,P12
5/15/1975,P2
5/15/1975,P8
5/21/1975,D11
5/21/1975,D15
5/21/1975,D16
5/21/1975,D19
5/21/1975,D22
5/21/1975,D24
5/21/1975,D26
5/21/1975,D4
5/22/1975,D12
5/22/1975,D14A
5/22/1975,D2
5/22/1975,D6
5/22/1975,D7
5/22/1975,D8
5/22/1975,D9
6/3/1975,C10
6/3/1975,C3
6/3/1975,C7
6/3/1975,C9
6/3/1975,D28A
6/3/1975,MD10
6/3/1975,MD6
6/3/1975,MD7
6/3/1975,P12
6/3/1975,P2
6/3/1975,P8
6/4/1975,D11
6/4/1975,D15
6/4/1975,D16
6/4/1975,D19
6/4/1975,D22
6/4/1975,D24
6/4/1975,D26
6/4/1975,D4
6/5/1975,D10
6/5/1975,D12
6/5/1975,D14A
6/5/1975,D2
6/5/1975,D6
6/5/1975,D7
6/5/1975,D8
6/5/1975,D9
6/17/1975,C10
6/17/1975,C3
6/17/1975,C7
6/17/1975,C9
6/17/1975,D28A
6/17/1975,MD10
6/17/1975,MD6
6/17/1975,MD7
6/17/1975,P12
6/17/1975,P2
6/17/1975,P8
6/18/1975,D11
6/18/1975,D15
6/18/1975,D16
6/18/1975,D19
6/18/1975,D22
6/18/1975,D24
6/18/1975,D26
6/18/1975,D4
6/19/1975,D10
6/19/1975,D12
6/19/1975,D14A
6/19/1975,D2
6/19/1975,D6
6/19/1975,D7
6/19/1975,D8
6/19/1975,D9
7/1/1975,C10
7/1/1975,C3
7/1/1975,C7
7/1/1975,C9
7/1/1975,D28A
7/1/1975,MD10
7/1/1975,MD6
7/1/1975,MD7
7/1/1975,P12
7/1/1975,P2
7/1/1975,P8
7/2/1975,D11
7/2/1975,D15
7/2/1975,D16
7/2/1975,D19
7/2/1975,D22
7/2/1975,D24
7/2/1975,D26
7/2/1975,D4
7/3/1975,D10
7/3/1975,D12
7/3/1975,D14A
7/3/1975,D2
7/3/1975,D6
7/3/1975,D7
7/3/1975,D8
7/3/1975,D9
7/15/1975,C10
7/15/1975,C3
7/15/1975,C7
7/15/1975,C9
7/15/1975,D28A
7/15/1975,MD10
7/15/1975,MD6
7/15/1975,MD7
7/15/1975,P12
7/15/1975,P2
7/15/1975,P8
7/16/1975,D11
7/16/1975,D15
7/16/1975,D16
7/16/1975,D19
7/16/1975,D22
7/16/1975,D24
7/16/1975,D26
7/16/1975,D4
7/17/1975,D10
7/17/1975,D12
7/17/1975,D14A
7/17/1975,D2
7/17/1975,D6
7/17/1975,D7
7/17/1975,D8
7/17/1975,D9
8/12/1975,C10
8/12/1975,C3
8/12/1975,C7
8/12/1975,C9
8/12/1975,D28A
8/12/1975,MD10
8/12/1975,MD6
8/12/1975,MD7
8/12/1975,P12
8/12/1975,P2
8/12/1975,P8
8/13/1975,D11
8/13/1975,D15
8/13/1975,D16
8/13/1975,D19
8/13/1975,D22
8/13/1975,D24
8/13/1975,D26
8/13/1975,D4
8/14/1975,D10
8/14/1975,D12
8/14/1975,D14A
8/14/1975,D2
8/14/1975,D6
8/14/1975,D7
8/14/1975,D8
8/14/1975,D9
8/25/1975,C9
8/25/1975,D28A
8/25/1975,MD6
8/25/1975,MD7
8/25/1975,P8
8/26/1975,C10
8/26/1975,C3
8/26/1975,C7
8/26/1975,D11
8/26/1975,D15
8/26/1975,D16
8/26/1975,D19
8/26/1975,D22
8/26/1975,D24
8/26/1975,D26
8/26/1975,D4
8/26/1975,MD10
8/26/1975,P12
8/26/1975,P2
8/27/1975,D10
8/27/1975,D12
8/27/1975,D14A
8/27/1975,D2
8/27/1975,D6
8/27/1975,D7
8/27/1975,D8
8/27/1975,D9
9/2/1975,D11
9/2/1975,D15
9/2/1975,D16
9/2/1975,D19
9/2/1975,D22
9/2/1975,D24
9/2/1975,D26
9/2/1975,D4
9/3/1975,D10
9/3/1975,D12
9/3/1975,D14A
9/3/1975,D2
9/3/1975,D6
9/3/1975,D7
9/3/1975,D8
9/3/1975,D9
9/11/1975,C10
9/11/1975,C3
9/11/1975,C7
9/11/1975,C9
9/11/1975,D28A
9/11/1975,MD10
9/11/1975,MD6
9/11/1975,MD7
9/11/1975,P12
9/11/1975,P2
9/11/1975,P8
9/16/1975,D11
9/16/1975,D15
9/16/1975,D16
9/16/1975,D19
9/16/1975,D22
9/16/1975,D24
9/16/1975,D26
9/16/1975,D4
9/17/1975,D10
9/17/1975,D12
9/17/1975,D14A
9/17/1975,D2
9/17/1975,D6
9/17/1975,D7
9/17/1975,D8
9/17/1975,D9
9/25/1975,C10
9/25/1975,C3
9/25/1975,C7
9/25/1975,MD10
9/25/1975,P12
9/25/1975,P2
9/26/1975,C9
9/26/1975,D28A
9/26/1975,MD6
9/26/1975,MD7
9/26/1975,P8
10/9/1975,C9
10/9/1975,D28A
10/9/1975,MD6
10/9/1975,MD7
10/9/1975,P8
10/10/1975,C10
10/10/1975,C3
10/10/1975,C7
10/10/1975,MD10
10/10/1975,P12
10/10/1975,P2
10/15/1975,D11
10/15/1975,D15
10/15/1975,D16
10/15/1975,D19
10/15/1975,D22
10/15/1975,D24
10/15/1975,D26
10/15/1975,D4
10/16/1975,D10
10/16/1975,D12
10/16/1975,D14A
10/16/1975,D2
10/16/1975,D6
10/16/1975,D7
10/16/1975,D8
10/16/1975,D9
10/23/1975,C10
10/23/1975,C3
10/23/1975,C7
10/23/1975,C9
10/23/1975,D28A
10/23/1975,MD10
10/23/1975,MD6
10/23/1975,MD7
10/23/1975,P12
10/23/1975,P2
10/23/1975,P8
10/28/1975,D11
10/28/1975,D15
10/28/1975,D16
10/28/1975,D19
10/28/1975,D22
10/28/1975,D24
10/28/1975,D26
10/28/1975,D4
10/29/1975,D10
10/29/1975,D12
10/29/1975,D14A
10/29/1975,D2
10/29/1975,D6
10/29/1975,D7
10/29/1975,D8
10/29/1975,D9
11/12/1975,D11
11/12/1975,D15
11/12/1975,D16
11/12/1975,D19
11/12/1975,D22
11/12/1975,D24
11/12/1975,D26
11/12/1975,D4
11/13/1975,D10
11/13/1975,D12
11/13/1975,D14A
11/13/1975,D2
11/13/1975,D6
11/13/1975,D7
11/13/1975,D8
11/13/1975,D9
11/25/1975,C10
11/25/1975,C7
11/25/1975,MD10
11/25/1975,P12
11/25/1975,P2
11/26/1975,C9
11/26/1975,D28A
11/26/1975,MD6
11/26/1975,MD7
11/26/1975,P8
12/15/1975,D11
12/15/1975,D15
12/15/1975,D16
12/15/1975,D19
12/15/1975,D22
12/15/1975,D24
12/15/1975,D26
12/15/1975,D4
12/16/1975,D10
12/16/1975,D12
12/16/1975,D14A
12/16/1975,D2
12/16/1975,D6
12/16/1975,D7
12/16/1975,D8
12/16/1975,D9
12/22/1975,C10
12/22/1975,C7
12/22/1975,MD10
12/22/1975,P12
12/22/1975,P2
12/23/1975,C9
12/23/1975,D28A
12/23/1975,MD6
12/23/1975,MD7
12/23/1975,P8
1/13/1976,D11
1/13/1976,D15
1/13/1976,D16
1/13/1976,D19
1/13/1976,D22
1/13/1976,D24
1/13/1976,D26
1/13/1976,D4
1/14/1976,D10
1/14/1976,D12
1/14/1976,D14A
1/14/1976,D2
1/14/1976,D6
1/14/1976,D7
1/14/1976,D8
1/14/1976,D9
1/20/1976,C10
1/20/1976,C3
1/20/1976,C7
1/20/1976,MD10
1/20/1976,P12
1/20/1976,P2
1/22/1976,C9
1/22/1976,D28A
1/22/1976,MD6
1/22/1976,MD7
1/22/1976,P8
2/17/1976,C10
2/17/1976,C3
2/17/1976,C7
2/17/1976,MD10
2/17/1976,P12
2/17/1976,P2
2/19/1976,C9
2/19/1976,D28A
2/19/1976,MD6
2/19/1976,MD7
2/19/1976,P8
2/26/1976,D10
2/26/1976,D12
2/26/1976,D14A
2/26/1976,D2
2/26/1976,D6
2/26/1976,D7
2/26/1976,D8
2/26/1976,D9
3/9/1976,C10
3/9/1976,C3
3/9/1976,C7
3/9/1976,C9
3/9/1976,D28A
3/9/1976,MD10
3/9/1976,MD6
3/9/1976,MD7
3/9/1976,P12
3/9/1976,P2
3/9/1976,P8
3/10/1976,D11
3/10/1976,D15
3/10/1976,D16
3/10/1976,D19
3/10/1976,D22
3/10/1976,D24
3/10/1976,D26
3/10/1976,D4
3/11/1976,D10
3/11/1976,D12
3/11/1976,D14A
3/11/1976,D2
3/11/1976,D6
3/11/1976,D7
3/11/1976,D8
3/11/1976,D9
3/22/1976,C10
3/22/1976,C3
3/22/1976,C7
3/22/1976,D28A
3/22/1976,MD10
3/22/1976,MD6
3/22/1976,MD7
3/22/1976,P10
3/22/1976,P8
3/23/1976,C9
3/23/1976,P12
3/23/1976,P2
3/25/1976,D16
3/25/1976,D19
3/25/1976,D22
3/25/1976,D24
3/25/1976,D26
3/25/1976,D4
3/25/1976,D7
3/25/1976,D9
3/26/1976,D10
3/26/1976,D11
3/26/1976,D12
3/26/1976,D14A
3/26/1976,D15
3/26/1976,D2
3/26/1976,D42
3/26/1976,D6
4/5/1976,C10
4/5/1976,C3
4/5/1976,C7
4/5/1976,MD10
4/5/1976,P10
4/6/1976,C9
4/6/1976,D28A
4/6/1976,MD6
4/6/1976,MD7
4/6/1976,P12
4/6/1976,P2
4/6/1976,P8
4/7/1976,D16
4/7/1976,D19
4/7/1976,D22
4/7/1976,D24
4/7/1976,D26
4/7/1976,D4
4/7/1976,D7
4/7/1976,D9
4/8/1976,D10
4/8/1976,D11
4/8/1976,D12
4/8/1976,D14A
4/8/1976,D15
4/8/1976,D42
4/8/1976,D6
4/8/1976,D8
4/19/1976,C10
4/19/1976,C3
4/19/1976,C7
4/19/1976,MD10
4/19/1976,P10
4/20/1976,C9
4/20/1976,D28A
4/20/1976,MD6
4/20/1976,MD7
4/20/1976,P12
4/20/1976,P2
4/20/1976,P8
4/21/1976,D16
4/21/1976,D19
4/21/1976,D22
4/21/1976,D24
4/21/1976,D26
4/21/1976,D4
4/21/1976,D7
4/21/1976,D9
4/22/1976,D10
4/22/1976,D11
4/22/1976,D12
4/22/1976,D14A
4/22/1976,D15
4/22/1976,D42
4/22/1976,D6
4/22/1976,D8
5/6/1976,C10
5/6/1976,C3
5/6/1976,C7
5/6/1976,D28A
5/6/1976,MD10
5/6/1976,MD6
5/6/1976,MD7
5/6/1976,P10
5/6/1976,P8
5/7/1976,C9
5/7/1976,P12
5/7/1976,P2
5/11/1976,D10
5/11/1976,D11
5/11/1976,D12
5/11/1976,D14A
5/11/1976,D15
5/11/1976,D42
5/11/1976,D6
5/11/1976,D8
5/12/1976,D16
5/12/1976,D19
5/12/1976,D22
5/12/1976,D24
5/12/1976,D26
5/12/1976,D4
5/12/1976,D7
5/12/1976,D9
5/16/1976,P2
5/20/1976,C10
5/20/1976,C3
5/20/1976,C7
5/20/1976,D28A
5/20/1976,MD10
5/20/1976,MD6
5/20/1976,MD7
5/20/1976,P10
5/20/1976,P8
5/21/1976,C9
5/21/1976,P12
5/24/1976,D16
5/24/1976,D19
5/24/1976,D22
5/24/1976,D24
5/24/1976,D26
5/24/1976,D4
5/24/1976,D7
5/24/1976,D9
5/25/1976,D10
5/25/1976,D11
5/25/1976,D12
5/25/1976,D14A
5/25/1976,D15
5/25/1976,D42
5/25/1976,D6
5/25/1976,D8
6/3/1976,C10
6/3/1976,C3
6/3/1976,C7
6/3/1976,D28A
6/3/1976,MD10
6/3/1976,MD6
6/3/1976,MD7
6/3/1976,P10
6/3/1976,P8
6/4/1976,C9
6/4/1976,P12
6/4/1976,P2
6/7/1976,D16
6/7/1976,D19
6/7/1976,D22
6/7/1976,D24
6/7/1976,D26
6/7/1976,D4
6/7/1976,D7
6/7/1976,D9
6/8/1976,D10
6/8/1976,D11
6/8/1976,D12
6/8/1976,D14A
6/8/1976,D15
6/8/1976,D6
6/8/1976,D8
6/17/1976,C10
6/17/1976,C3
6/17/1976,C7
6/17/1976,MD10
6/17/1976,P10
6/18/1976,C9
6/18/1976,P12
6/18/1976,P2
6/23/1976,D16
6/23/1976,D19
6/23/1976,D22
6/23/1976,D24
6/23/1976,D26
6/23/1976,D4
6/23/1976,D7
6/23/1976,D9
6/24/1976,D10
6/24/1976,D11
6/24/1976,D12
6/24/1976,D14A
6/24/1976,D15
6/24/1976,D42
6/24/1976,D6
6/24/1976,D8
7/6/1976,C10
7/6/1976,C3
7/6/1976,C7
7/6/1976,MD10
7/6/1976,P10
7/7/1976,C9
7/7/1976,D28A
7/7/1976,MD6
7/7/1976,MD7
7/7/1976,P12
7/7/1976,P2
7/7/1976,P8
7/8/1976,D16
7/8/1976,D19
7/8/1976,D22
7/8/1976,D24
7/8/1976,D26
7/8/1976,D4
7/8/1976,D7
7/8/1976,D9
7/9/1976,D10
7/9/1976,D11
7/9/1976,D12
7/9/1976,D14A
7/9/1976,D15
7/9/1976,D42
7/9/1976,D6
7/9/1976,D8
7/19/1976,C10
7/19/1976,C7
7/19/1976,MD10
7/19/1976,P10
7/20/1976,C9
7/20/1976,D28A
7/20/1976,MD6
7/20/1976,MD7
7/20/1976,P12
7/20/1976,P2
7/20/1976,P8
7/22/1976,D10
7/22/1976,D11
7/22/1976,D12
7/22/1976,D14A
7/22/1976,D15
7/22/1976,D42
7/22/1976,D6
7/22/1976,D8
7/23/1976,D16
7/23/1976,D19
7/23/1976,D22
7/23/1976,D24
7/23/1976,D26
7/23/1976,D4
7/23/1976,D7
7/23/1976,D9
8/2/1976,C9
8/2/1976,P12
8/2/1976,P2
8/3/1976,C10
8/3/1976,C3
8/3/1976,C7
8/3/1976,MD10
8/3/1976,MD6
8/3/1976,MD7
8/3/1976,P10
8/3/1976,P8
8/4/1976,D10
8/4/1976,D11
8/4/1976,D12
8/4/1976,D14A
8/4/1976,D15
8/4/1976,D42
8/4/1976,D6
8/4/1976,D8
8/5/1976,D16
8/5/1976,D19
8/5/1976,D22
8/5/1976,D24
8/5/1976,D26
8/5/1976,D4
8/5/1976,D7
8/5/1976,D9
8/26/1976,C10
8/26/1976,C3
8/26/1976,C7
8/26/1976,MD10
8/26/1976,P10
8/27/1976,C9
8/27/1976,D28A
8/27/1976,MD6
8/27/1976,MD7
8/27/1976,P12
8/27/1976,P2
8/27/1976,P8
8/30/1976,D16
8/30/1976,D19
8/30/1976,D22
8/30/1976,D24
8/30/1976,D26
8/30/1976,D4
8/30/1976,D7
8/30/1976,D9
8/31/1976,D10
8/31/1976,D11
8/31/1976,D12
8/31/1976,D14A
8/31/1976,D15
8/31/1976,D42
8/31/1976,D6
8/31/1976,D8
9/13/1976,C9
9/13/1976,P12
9/13/1976,P2
9/14/1976,C10
9/14/1976,C3
9/14/1976,C7
9/14/1976,D28A
9/14/1976,MD10
9/14/1976,MD6
9/14/1976,MD7
9/14/1976,P10
9/14/1976,P8
9/15/1976,D16
9/15/1976,D19
9/15/1976,D22
9/15/1976,D24
9/15/1976,D26
9/15/1976,D4
9/15/1976,D7
9/15/1976,D9
9/16/1976,D10
9/16/1976,D11
9/16/1976,D12
9/16/1976,D14A
9/16/1976,D15
9/16/1976,D42
9/16/1976,D6
9/16/1976,D8
9/26/1976,D16
9/27/1976,C10
9/27/1976,C3
9/27/1976,C7
9/27/1976,D28A
9/27/1976,MD10
9/27/1976,MD6
9/27/1976,MD7
9/27/1976,P10
9/27/1976,P8
9/28/1976,C9
9/28/1976,P12
9/28/1976,P2
9/29/1976,D19
9/29/1976,D22
9/29/1976,D24
9/29/1976,D26
9/29/1976,D4
9/29/1976,D7
9/29/1976,D9
9/30/1976,D10
9/30/1976,D11
9/30/1976,D12
9/30/1976,D14A
9/30/1976,D15
9/30/1976,D42
9/30/1976,D6
9/30/1976,D8
10/12/1976,C10
10/12/1976,C3
10/12/1976,C7
10/12/1976,MD10
10/12/1976,P10
10/13/1976,C9
10/13/1976,MD7
10/13/1976,P12
10/13/1976,P2
10/14/1976,D16
10/14/1976,D19
10/14/1976,D24
10/14/1976,D4
10/14/1976,D9
10/15/1976,D10
10/15/1976,D15
10/15/1976,D6
10/15/1976,D8
10/18/1976,P8
10/28/1976,C10
10/28/1976,C3
10/28/1976,C7
10/28/1976,D28A
10/28/1976,MD10
10/28/1976,MD6
10/28/1976,MD7
10/28/1976,P10
10/29/1976,C9
10/29/1976,P12
10/29/1976,P2
11/1/1976,D16
11/1/1976,D19
11/1/1976,D22
11/1/1976,D24
11/1/1976,D26
11/1/1976,D4
11/1/1976,D7
11/1/1976,D9
11/2/1976,D10
11/2/1976,D11
11/2/1976,D12
11/2/1976,D14A
11/2/1976,D15
11/2/1976,D42
11/2/1976,D6
11/2/1976,D8
11/9/1976,C10
11/9/1976,C3
11/9/1976,C7
11/9/1976,MD10
11/9/1976,P10
11/10/1976,C9
11/10/1976,D28A
11/10/1976,MD6
11/10/1976,MD7
11/10/1976,P12
11/10/1976,P2
11/10/1976,P8
11/16/1976,D16
11/16/1976,D19
11/16/1976,D22
11/16/1976,D24
11/16/1976,D26
11/16/1976,D4
11/16/1976,D7
11/16/1976,D9
11/17/1976,D10
11/17/1976,D12
11/17/1976,D15
11/17/1976,D42
11/17/1976,D6
11/17/1976,D8
12/14/1976,C10
12/14/1976,C3
12/14/1976,C7
12/14/1976,D28A
12/14/1976,MD6
12/14/1976,MD7
12/14/1976,P10
12/14/1976,P8
12/15/1976,C9
12/15/1976,D16
12/15/1976,D19
12/15/1976,D22
12/15/1976,D24
12/15/1976,D26
12/15/1976,D4
12/15/1976,D7
12/15/1976,D9
12/15/1976,P12
12/15/1976,P2
12/16/1976,D10
12/16/1976,D11
12/16/1976,D12
12/16/1976,D14A
12/16/1976,D15
12/16/1976,D42
12/16/1976,D6
12/16/1976,D8
1/24/1977,C9
1/24/1977,P12
1/24/1977,P2
1/25/1977,C10
1/25/1977,C3
1/25/1977,C7
1/25/1977,D28A
1/25/1977,MD10
1/25/1977,MD6
1/25/1977,MD7
1/25/1977,P10
1/25/1977,P8
1/26/1977,D16
1/26/1977,D19
1/26/1977,D22
1/26/1977,D24
1/26/1977,D26
1/26/1977,D4
1/26/1977,D7
1/26/1977,D9
1/27/1977,D10
1/27/1977,D11
1/27/1977,D12
1/27/1977,D14A
1/27/1977,D15
1/27/1977,D42
1/27/1977,D6
1/27/1977,D8
2/15/1977,D16
2/15/1977,D22
2/15/1977,D24
2/15/1977,D26
2/15/1977,D4
2/15/1977,D7
2/15/1977,D9
2/16/1977,D11
2/16/1977,D14A
2/16/1977,D15
2/17/1977,D10
2/17/1977,D12
2/17/1977,D42
2/17/1977,D6
2/17/1977,D8
2/22/1977,C9
2/22/1977,P12
2/22/1977,P2
2/23/1977,C10
2/23/1977,C3
2/23/1977,C7
2/23/1977,D28A
2/23/1977,MD10
2/23/1977,MD6
2/23/1977,MD7
2/23/1977,P10
2/23/1977,P8
3/9/1977,C10
3/9/1977,C3
3/9/1977,C7
3/9/1977,MD10
3/9/1977,P10
3/10/1977,C9
3/10/1977,D28A
3/10/1977,MD6
3/10/1977,MD7
3/10/1977,P12
3/10/1977,P2
3/10/1977,P8
3/15/1977,D16
3/15/1977,D19
3/15/1977,D22
3/15/1977,D24
3/15/1977,D26
3/15/1977,D4
3/15/1977,D7
3/15/1977,D9
3/16/1977,D10
3/16/1977,D11
3/16/1977,D12
3/16/1977,D14A
3/16/1977,D15
3/16/1977,D42
3/16/1977,D8
3/28/1977,C10
3/28/1977,C3
3/28/1977,C7
3/28/1977,D28A
3/28/1977,MD10
3/28/1977,MD6
3/28/1977,MD7
3/28/1977,P10
3/28/1977,P8
3/29/1977,C9
3/29/1977,D16
3/29/1977,D19
3/29/1977,D22
3/29/1977,D24
3/29/1977,D26
3/29/1977,D4
3/29/1977,D7
3/29/1977,D9
3/29/1977,P12
3/29/1977,P2
3/30/1977,D10
3/30/1977,D12
3/30/1977,D15
3/30/1977,D42
3/30/1977,D6
3/30/1977,D8
3/31/1977,D11
3/31/1977,D14A
4/11/1977,C9
4/11/1977,P12
4/11/1977,P2
4/12/1977,C10
4/12/1977,C3
4/12/1977,C7
4/12/1977,D28A
4/12/1977,MD10
4/12/1977,MD6
4/12/1977,MD7
4/12/1977,P10
4/12/1977,P8
4/13/1977,D16
4/13/1977,D19
4/13/1977,D22
4/13/1977,D24
4/13/1977,D26
4/13/1977,D4
4/13/1977,D9
4/14/1977,D10
4/14/1977,D11
4/14/1977,D12
4/14/1977,D14A
4/14/1977,D15
4/14/1977,D42
4/14/1977,D6
4/14/1977,D8
4/25/1977,C10
4/25/1977,C3
4/25/1977,C7
4/25/1977,MD10
4/25/1977,P10
4/26/1977,C9
4/26/1977,D28A
4/26/1977,MD6
4/26/1977,MD7
4/26/1977,P12
4/26/1977,P2
4/26/1977,P8
4/27/1977,D16
4/27/1977,D19
4/27/1977,D22
4/27/1977,D24
4/27/1977,D26
4/27/1977,D4
4/27/1977,D7
4/27/1977,D9
4/28/1977,D10
4/28/1977,D11
4/28/1977,D12
4/28/1977,D14A
4/28/1977,D15
4/28/1977,D42
4/28/1977,D6
4/28/1977,D8
5/9/1977,C9
5/9/1977,P12
5/9/1977,P2
5/10/1977,C10
5/10/1977,C3
5/10/1977,C7
5/10/1977,D28A
5/10/1977,MD10
5/10/1977,MD6
5/10/1977,MD7
5/10/1977,P10
5/10/1977,P8
5/11/1977,D16
5/11/1977,D19
5/11/1977,D22
5/11/1977,D24
5/11/1977,D26
5/11/1977,D4
5/11/1977,D7
5/11/1977,D9
5/12/1977,D10
5/12/1977,D12
5/12/1977,D15
5/12/1977,D42
5/12/1977,D6
5/12/1977,D8
5/24/1977,C10
5/24/1977,C3
5/24/1977,C7
5/24/1977,MD10
5/24/1977,P10
5/25/1977,C9
5/25/1977,D28A
5/25/1977,MD6
5/25/1977,MD7
5/25/1977,P12
5/25/1977,P2
5/25/1977,P8
5/26/1977,D16
5/26/1977,D19
5/26/1977,D22
5/26/1977,D24
5/26/1977,D26
5/26/1977,D4
5/26/1977,D7
5/26/1977,D9
5/27/1977,D10
5/27/1977,D11
5/27/1977,D12
5/27/1977,D14A
5/27/1977,D15
5/27/1977,D42
5/27/1977,D6
5/27/1977,D8
6/6/1977,C10
6/6/1977,C3
6/6/1977,C7
6/6/1977,D28A
6/6/1977,MD10
6/6/1977,MD6
6/6/1977,MD7
6/6/1977,P10
6/6/1977,P8
6/7/1977,C9
6/7/1977,P12
6/7/1977,P2
6/9/1977,D16
6/9/1977,D19
6/9/1977,D22
6/9/1977,D24
6/9/1977,D26
6/9/1977,D4
6/9/1977,D7
6/9/1977,D9
6/10/1977,D10
6/10/1977,D11
6/10/1977,D12
6/10/1977,D14A
6/10/1977,D15
6/10/1977,D42
6/10/1977,D6
6/10/1977,D8
6/22/1977,C10
6/22/1977,C3
6/22/1977,C7
6/22/1977,MD10
6/22/1977,P10
6/23/1977,C9
6/23/1977,D28A
6/23/1977,MD6
6/23/1977,MD7
6/23/1977,P12
6/23/1977,P2
6/23/1977,P8
6/28/1977,D16
6/28/1977,D19
6/28/1977,D22
6/28/1977,D24
6/28/1977,D26
6/28/1977,D4
6/28/1977,D7
6/28/1977,D9
6/29/1977,D10
6/29/1977,D11
6/29/1977,D12
6/29/1977,D14A
6/29/1977,D15
6/29/1977,D42
6/29/1977,D6
6/29/1977,D8
7/6/1977,C10
7/6/1977,C3
7/6/1977,C7
7/6/1977,MD10
7/6/1977,P10
7/7/1977,C9
7/7/1977,P12
7/7/1977,P2
7/8/1977,D28A
7/8/1977,MD6
7/8/1977,MD7
7/8/1977,P8
7/12/1977,D4
7/12/1977,D7
7/13/1977,D16
7/13/1977,D19
7/13/1977,D22
7/13/1977,D24
7/13/1977,D26
7/13/1977,D9
7/14/1977,D10
7/14/1977,D11
7/14/1977,D12
7/14/1977,D42
7/14/1977,D6
7/14/1977,D8
7/21/1977,C10
7/21/1977,C3
7/21/1977,C7
7/21/1977,D28A
7/21/1977,MD10
7/21/1977,MD6
7/21/1977,MD7
7/21/1977,P10
7/21/1977,P8
7/22/1977,C9
7/22/1977,P12
7/22/1977,P2
7/25/1977,D10
7/25/1977,D11
7/25/1977,D12
7/25/1977,D14A
7/25/1977,D15
7/25/1977,D42
7/25/1977,D6
7/25/1977,D8
7/26/1977,D16
7/26/1977,D19
7/26/1977,D22
7/26/1977,D24
