station,month,year,species,number,intercept,slope
1418,October,2018,Corbicula fluminea,20,-5.39881098364086,3.47091137729277
1419,May,2018,Corbicula fluminea,19,-4.03799329467306,2.12618295689289
1419,October,2018,Corbicula fluminea,17,-4.03023311969711,2.06811693973369
1421,May,2018,Corbicula fluminea,9,-4.41621732124406,2.47195650607814
1421,October,2018,Corbicula fluminea,7,-3.81051854197293,1.91294477368763
1425,October,2018,Potamocorbula amurensis,8,-4.61140236450256,2.45701468789768
1426,May,2018,Corbicula fluminea,21,-4.44131130468941,2.75278474328811
1426,October,2018,Corbicula fluminea,17,-4.14162498604693,2.26538760137505
1434,May,2018,Potamocorbula amurensis,18,-4.4589471248172,2.51649722671088
1434,October,2018,Potamocorbula amurensis,15,-3.95237841562981,1.80602369146582
1442,May,2018,Corbicula fluminea,13,-3.9894571003713,2.07964272770634
1447,May,2018,Corbicula fluminea,10,-4.97263271011874,3.08909981047621
1447,October,2018,Corbicula fluminea,10,-4.05047503094993,2.36186355963416
1448,May,2018,Corbicula fluminea,6,-4.13781894156214,2.3499694439891
1448,October,2018,Corbicula fluminea,6,-4.00910036474635,2.13890414332783
16,May,2009,Potamocorbula amurensis,6,-6.21949626273019,3.94317208495843
16,May,2010,Potamocorbula amurensis,8,-4.43916321330833,2.35264867948026
16,May,2012,Potamocorbula amurensis,7,-3.70254363357672,1.61952439421988
16,May,2018,Potamocorbula amurensis,7,-4.63941945329273,2.49053518017224
16,October,2007,Potamocorbula amurensis,8,-3.87007604287951,1.7023757938502
16,October,2008,Potamocorbula amurensis,11,-4.35442432890122,2.25254285690129
16,October,2015,Potamocorbula amurensis,5,-4.33910608828929,2.23204224163676
17,May,2007,Corbicula fluminea,9,-4.51380029302442,2.57672929452809
17,May,2008,Corbicula fluminea,6,-3.86402225552507,1.87191275210476
17,May,2009,Corbicula fluminea,10,-3.65653926897229,1.96947523092725
17,May,2010,Corbicula fluminea,14,-4.10123055592475,2.26395236509553
17,May,2011,Corbicula fluminea,17,-4.70596502417839,2.79136342017856
17,May,2012,Corbicula fluminea,17,-4.16735031450156,2.31286166726245
17,May,2014,Corbicula fluminea,19,-5.2362708183993,3.24787643339699
17,May,2015,Corbicula fluminea,13,-4.18535290678668,2.34691252487882
17,May,2017,Corbicula fluminea,20,-4.69909133080223,2.80157081810313
17,May,2018,Corbicula fluminea,21,-4.23589375758658,2.3211524558629
17,May,2019,Corbicula fluminea,24,-4.1115242395213,2.21413163888204
17,October,2007,Corbicula fluminea,8,-4.26508086003657,2.43879636594101
17,October,2008,Corbicula fluminea,17,-4.08549653476999,2.15574400123333
17,October,2009,Corbicula fluminea,30,-4.54913091188128,2.66467688999187
17,October,2010,Corbicula fluminea,20,-4.04982543781534,2.22658576201845
17,October,2011,Corbicula fluminea,18,-4.11225543472379,2.26409131189727
17,October,2012,Corbicula fluminea,28,-4.48929221583701,2.58568669980968
17,October,2014,Corbicula fluminea,21,-4.27224054555926,2.39371897116821
17,October,2015,Corbicula fluminea,13,-4.11908700463851,2.34704013628167
17,October,2017,Corbicula fluminea,22,-4.27608407816584,2.3862806457124
17,October,2018,Corbicula fluminea,21,-4.2009249124231,2.35537267086815
17,October,2019,Corbicula fluminea,21,-4.22887759390955,2.35117101067736
2,May,2007,Corbicula fluminea,5,-3.79613205647744,1.75314850222247
2,May,2008,Corbicula fluminea,45,-4.07984175880792,2.34646827888402
2,May,2009,Corbicula fluminea,24,-4.23917073764775,2.39866474414982
2,May,2010,Corbicula fluminea,23,-4.13609281352809,2.23499991283384
2,May,2011,Corbicula fluminea,21,-4.20630279634868,2.36684418279819
2,May,2012,Corbicula fluminea,22,-4.24270140244116,2.40100572665024
2,May,2014,Corbicula fluminea,18,-4.6650549416976,2.8123072884379
2,May,2015,Corbicula fluminea,20,-4.25470115763541,2.37918635752198
2,May,2017,Corbicula fluminea,14,-4.96674203829682,3.10615441634282
2,May,2018,Corbicula fluminea,22,-4.20948959274019,2.3825412187323
2,May,2019,Corbicula fluminea,25,-4.42580623550124,2.55552422876058
2,October,2007,Corbicula fluminea,10,-4.76379429338076,2.86639001977586
2,October,2008,Corbicula fluminea,18,-4.11309840638819,2.27356139704184
2,October,2009,Corbicula fluminea,26,-4.2282714322511,2.33935562188007
2,October,2010,Corbicula fluminea,20,-4.15472383619827,2.1981086806017
2,October,2011,Corbicula fluminea,20,-4.18025247137556,2.24526808394605
2,October,2012,Corbicula fluminea,11,-4.0842789354239,2.13671568468435
2,October,2014,Corbicula fluminea,20,-4.73248669798651,2.82197486676273
2,October,2015,Corbicula fluminea,22,-4.23886797249993,2.36379132466959
2,October,2017,Corbicula fluminea,19,-4.24923485898953,2.44624808702133
2,October,2018,Corbicula fluminea,25,-4.30953498317713,2.47276162990562
2,October,2019,Corbicula fluminea,26,-4.11054203846194,2.24216415096447
20,October,2019,Potamocorbula amurensis,12,-4.30704420394153,2.17157443189872
22,May,2007,Corbicula fluminea,35,-4.19507348010671,2.39364797770965
22,May,2008,Corbicula fluminea,18,-4.08810762152625,2.387249049741
22,May,2009,Corbicula fluminea,21,-4.18103426105076,2.38494388343788
22,May,2010,Corbicula fluminea,22,-4.13598020833644,2.2918765982343
22,May,2011,Corbicula fluminea,9,-4.02411108220231,2.09148230949527
22,May,2012,Corbicula fluminea,19,-4.50046851266717,2.68381739421859
22,May,2014,Corbicula fluminea,22,-4.50479389658752,2.6446876955722
22,May,2015,Corbicula fluminea,19,-4.21712237783897,2.43744555719175
22,May,2017,Corbicula fluminea,18,-4.35657272468594,2.56359719819032
22,May,2018,Corbicula fluminea,18,-4.10935916370874,2.28170994864651
22,May,2019,Corbicula fluminea,21,-4.10134967923961,2.31225924891552
22,October,2007,Corbicula fluminea,31,-4.19488325503021,2.38844178442624
22,October,2008,Corbicula fluminea,10,-4.5463542570491,2.70886774833236
22,October,2009,Corbicula fluminea,33,-4.23035735630423,2.37529742911814
22,October,2010,Corbicula fluminea,19,-4.19400979795693,2.35612284841273
22,October,2011,Corbicula fluminea,12,-4.05567714986762,2.24114352362291
22,October,2012,Corbicula fluminea,14,-4.05381924122101,2.12819369081925
22,October,2014,Corbicula fluminea,22,-4.16381319852975,2.31331282550135
22,October,2015,Corbicula fluminea,12,-3.64926561037569,1.96418575371941
22,October,2017,Corbicula fluminea,20,-4.19133940872975,2.3247668968804
22,October,2019,Corbicula fluminea,14,-3.91443616594563,2.08051845078285
23,October,2018,Corbicula fluminea,16,-3.85573110711521,2.15245952863518
24,October,2015,Corbicula fluminea,8,-4.06299796481761,2.22077713227165
26,May,2007,Corbicula fluminea,15,-4.09246041968345,2.26946589337547
26,May,2008,Corbicula fluminea,37,-4.24975212881036,2.46779098102629
26,May,2009,Corbicula fluminea,25,-4.49782720322228,2.56020234482297
26,May,2010,Corbicula fluminea,24,-4.30932797030508,2.47457405895988
26,May,2011,Corbicula fluminea,23,-4.18918730165868,2.2299177829889
26,May,2012,Corbicula fluminea,11,-6.30605101381899,4.11295805228417
26,May,2014,Corbicula fluminea,15,-4.30275032670382,2.5453032371302
26,May,2017,Corbicula fluminea,13,-4.00092007732613,2.1544194919091
26,May,2019,Corbicula fluminea,6,-3.67168968699198,2.01267498188105
26,October,2007,Corbicula fluminea,19,-4.21756014380621,2.38473100709445
26,October,2008,Corbicula fluminea,21,-4.13329676422558,2.32875094600013
26,October,2009,Corbicula fluminea,19,-4.19018630052728,2.28089415507762
26,October,2010,Corbicula fluminea,23,-4.22165667804314,2.32717734149147
26,October,2011,Corbicula fluminea,13,-4.41976612480918,2.4397871885264
26,October,2012,Corbicula fluminea,6,-4.28382811700687,2.44264154849687
26,October,2014,Corbicula fluminea,20,-4.26167287564248,2.37004191872861
26,October,2015,Corbicula fluminea,14,-4.12660036752142,2.1929413683015
26,October,2017,Corbicula fluminea,15,-4.72687420004045,2.83806044181963
26,October,2019,Corbicula fluminea,8,-3.9065109481413,2.07637004340154
3,August,2011,Corbicula fluminea,7,-5.003841710168,3.07046197323935
3,May,2007,Corbicula fluminea,24,-4.54751632083836,2.64665824624014
3,May,2008,Corbicula fluminea,16,-4.99251092358683,3.11614197392283
3,May,2009,Corbicula fluminea,23,-4.03592381308324,2.22614197877905
3,May,2011,Corbicula fluminea,24,-4.2106393407762,2.4779306783148
3,May,2012,Corbicula fluminea,9,-4.04197680279751,2.26586159051729
3,May,2014,Corbicula fluminea,17,-3.9752948799797,2.03979221161304
3,May,2015,Corbicula fluminea,10,-4.08745851825385,2.21520783303405
3,May,2017,Corbicula fluminea,16,-4.04692868703634,2.45087026576379
3,May,2018,Corbicula fluminea,18,-4.20213936189757,2.407847146185
3,May,2019,Corbicula fluminea,8,-3.94998283387153,2.26905718073817
3,October,2007,Corbicula fluminea,24,-4.77396657398062,2.78671231703335
3,October,2008,Corbicula fluminea,15,-4.06480552858068,2.13844176956093
3,October,2009,Corbicula fluminea,12,-4.03379453072337,2.11072524945034
3,October,2010,Corbicula fluminea,8,-4.44759262787437,2.53059583787042
3,October,2011,Corbicula fluminea,19,-4.22926861670312,2.3957997271717
3,October,2012,Corbicula fluminea,20,-4.13609923649929,2.3067514011695
3,October,2014,Corbicula fluminea,16,-4.04499830549432,2.07288359489474
3,October,2015,Corbicula fluminea,18,-4.08229070411234,2.13254935430208
3,October,2017,Corbicula fluminea,17,-4.22732511240905,2.39604333776364
3,October,2018,Corbicula fluminea,9,-4.89851297075099,3.03773487677962
3,October,2019,Corbicula fluminea,10,-3.92444662808012,2.06505998799001
34,May,2007,Corbicula fluminea,6,-3.83305048687627,2.0948239567092
34,May,2008,Corbicula fluminea,9,-4.0600745893935,2.15641396976869
34,May,2009,Corbicula fluminea,7,-3.74615770032869,1.52000912943671
34,May,2010,Corbicula fluminea,8,-4.04773992971907,2.15930714032297
34,May,2011,Corbicula fluminea,8,-4.03194987957962,2.22372078770853
34,May,2012,Corbicula fluminea,6,-3.99582622243886,2.14892522937648
34,May,2014,Corbicula fluminea,8,-4.45101651547623,2.62069132382158
34,May,2017,Corbicula fluminea,9,-3.91424454564293,2.1187364164053
34,May,2018,Corbicula fluminea,7,-3.9992126136073,2.13051103619059
34,October,2007,Corbicula fluminea,5,-3.71993756667863,1.54253819000217
34,October,2008,Corbicula fluminea,10,-4.03016611795261,2.05799346977499
34,October,2009,Corbicula fluminea,7,-3.9319050415391,1.96416355013807
34,October,2011,Corbicula fluminea,7,-3.72463537906566,1.94252713180736
34,October,2012,Corbicula fluminea,6,-3.88844483698105,2.01040430242913
34,October,2014,Corbicula fluminea,12,-4.05168569577336,1.97598289167144
34,October,2015,Corbicula fluminea,8,-4.34232257293242,2.49482141731393
34,October,2018,Corbicula fluminea,7,-4.34796456509181,2.46402389060093
35,May,2007,Corbicula fluminea,14,-4.16943843842728,2.37747927387872
35,May,2008,Corbicula fluminea,12,-4.98400400012417,3.01350059849531
35,May,2009,Corbicula fluminea,11,-4.05170633852663,2.09237307417009
35,May,2011,Corbicula fluminea,21,-4.18653149247858,2.50132239979626
35,May,2012,Corbicula fluminea,21,-4.27735518786858,2.50821511420621
35,May,2014,Corbicula fluminea,20,-4.12623398509613,2.3758723988361
35,May,2015,Corbicula fluminea,13,-4.44997217025503,2.54992941918458
35,May,2017,Corbicula fluminea,5,-4.38387586800042,2.76496891514861
35,May,2019,Corbicula fluminea,12,-3.8056176578157,2.08906196786127
35,October,2007,Corbicula fluminea,8,-4.84663175235529,2.97363290230306
35,October,2008,Corbicula fluminea,26,-4.40399657807706,2.5817889759398
35,October,2009,Corbicula fluminea,15,-3.97662385485922,2.11339102077811
35,October,2010,Corbicula fluminea,17,-4.12278418603512,2.24358660320922
35,October,2011,Corbicula fluminea,9,-4.92513945196136,3.04358346971782
35,October,2012,Corbicula fluminea,15,-4.12235378348628,2.26332843954642
35,October,2014,Corbicula fluminea,6,-4.8316790495461,3.3531543798863
35,October,2015,Corbicula fluminea,5,-3.76454868860947,1.54229962452535
35,October,2017,Corbicula fluminea,18,-4.20123970214118,2.41305657229124
35,October,2019,Corbicula fluminea,14,-4.39487466451789,2.4936376302878
37,May,2011,Corbicula fluminea,5,-4.06008142561445,2.61263839323113
37,May,2014,Corbicula fluminea,12,-4.42574213057355,2.66358209749405
37,May,2015,Corbicula fluminea,7,-3.90930451008741,2.30840888380596
39,May,2007,Corbicula fluminea,11,-3.9359732616024,1.95834598526733
39,May,2008,Corbicula fluminea,13,-3.97766665611854,2.07256465938832
39,May,2009,Corbicula fluminea,22,-4.10881796930413,2.23537748110567
39,May,2010,Corbicula fluminea,17,-4.08718083274097,2.1864769109622
39,May,2011,Corbicula fluminea,16,-4.22609841985686,2.39896613358646
39,May,2012,Corbicula fluminea,15,-4.01684886553361,2.05149617465998
39,May,2015,Corbicula fluminea,15,-4.06156728463526,2.17914517857801
39,May,2017,Corbicula fluminea,16,-4.05724963692991,2.24840945110085
39,May,2018,Corbicula fluminea,15,-4.00818250287862,2.09672872154806
39,May,2019,Corbicula fluminea,8,-3.83636149591575,1.79704616436922
39,October,2007,Corbicula fluminea,17,-3.99139202026184,2.03278649757377
39,October,2008,Corbicula fluminea,19,-4.09989446775954,2.12564687345982
39,October,2009,Corbicula fluminea,16,-4.01043953970351,1.97811159657194
39,October,2010,Corbicula fluminea,14,-4.26872595805427,2.40157598317263
39,October,2011,Corbicula fluminea,16,-4.02573399494647,2.0353226598262
39,October,2012,Corbicula fluminea,16,-4.41087247641478,2.44100221713308
39,October,2014,Corbicula fluminea,16,-4.03154422530599,2.08537724596623
39,October,2015,Corbicula fluminea,16,-4.0191826276264,2.06625590446553
39,October,2017,Corbicula fluminea,13,-3.94956214778678,1.98154319017315
39,October,2018,Corbicula fluminea,12,-3.93817375974559,1.9296249804916
39,October,2019,Corbicula fluminea,12,-3.90785281311058,1.91971796689931
4,October,2015,Corbicula fluminea,6,-4.33665600317807,2.2196682193946
40,August,2011,Corbicula fluminea,8,-3.98141109773031,2.08101339893573
40,May,2007,Corbicula fluminea,18,-3.82695086727752,2.08060810260488
40,May,2011,Corbicula fluminea,11,-4.28693069801285,2.45534519125911
40,May,2015,Corbicula fluminea,5,-4.42573878170462,2.63467057112302
40,May,2017,Corbicula fluminea,14,-4.1235128345465,2.33191889942121
40,May,2018,Corbicula fluminea,5,-4.79103092075331,2.88575891398591
40,May,2019,Corbicula fluminea,12,-4.39140813371971,2.51107302138222
40,October,2007,Corbicula fluminea,5,-4.86995934946064,2.85212751010178
40,October,2010,Corbicula fluminea,8,-5.00574524278482,3.06377804031134
40,October,2011,Corbicula fluminea,13,-4.73515086635761,2.78531223415061
40,October,2015,Potamocorbula amurensis,6,-4.91217124045143,2.74196826970748
40,October,2017,Corbicula fluminea,5,-3.7583100971467,1.75433899429711
40,October,2019,Corbicula fluminea,7,-3.65401092369679,1.70435300728339
41,May,2012,Corbicula fluminea,5,-10.0715788506656,7.18392027777596
41,May,2017,Corbicula fluminea,10,-3.9606667577021,2.12098020539786
41,May,2019,Corbicula fluminea,5,-4.4434207442354,2.4724955764191
41,October,2007,Corbicula fluminea,9,-3.7235505932329,1.57706662357767
41,October,2014,Corbicula fluminea,8,-4.06391634433163,2.21766904959877
41,October,2018,Corbicula fluminea,18,-4.06752861294261,2.16932190929307
46,May,2019,Corbicula fluminea,15,-4.02452790776116,2.22952182809689
46,October,2019,Corbicula fluminea,19,-3.99902929920125,2.22606582352911
47,August,2011,Potamocorbula amurensis,6,-4.97710143442308,2.83248815419673
47,May,2007,Potamocorbula amurensis,8,-4.1347907404533,1.86555857183317
47,May,2008,Potamocorbula amurensis,10,-4.22322131530225,2.07051576138938
47,May,2009,Potamocorbula amurensis,10,-4.02597861616857,1.87089757148044
47,May,2010,Potamocorbula amurensis,9,-4.48207396353748,2.49009349563611
47,May,2011,Potamocorbula amurensis,11,-4.3163453432826,2.22708968126218
47,May,2012,Potamocorbula amurensis,5,-4.32913145504762,2.20292470943759
47,May,2014,Potamocorbula amurensis,11,-3.72903781564406,1.40080762545792
47,May,2015,Potamocorbula amurensis,11,-4.26054420950276,2.02836442324195
47,May,2018,Potamocorbula amurensis,7,-4.60866271698966,2.44218163709889
47,May,2019,Potamocorbula amurensis,8,-4.56685175091016,2.35693023226804
47,October,2007,Potamocorbula amurensis,12,-4.64083363595468,2.45132104647757
47,October,2008,Potamocorbula amurensis,16,-4.50360766520193,2.34454732643995
47,October,2009,Potamocorbula amurensis,16,-3.88431672175467,1.67734522824694
47,October,2010,Potamocorbula amurensis,14,-4.3763389756058,2.2570788167538
47,October,2011,Potamocorbula amurensis,6,-4.23070853377548,2.18090842167093
47,October,2012,Potamocorbula amurensis,17,-4.00188646084253,1.95505341798025
47,October,2014,Potamocorbula amurensis,13,-3.83215325256448,1.59282001076253
47,October,2015,Potamocorbula amurensis,12,-3.7874179380558,1.50115623953928
47,October,2017,Potamocorbula amurensis,11,-3.8208148890072,1.54192028545507
47,October,2018,Potamocorbula amurensis,14,-4.42149457815007,2.20687016586959
47,October,2019,Potamocorbula amurensis,17,-4.02127460152983,1.86836497212062
48,May,2007,Potamocorbula amurensis,8,-4.38923185093365,2.28020877558714
48,May,2010,Potamocorbula amurensis,5,-3.45525845717721,0.773218272707937
48,May,2011,Potamocorbula amurensis,7,-4.01557337787776,1.90874932185878
48,May,2012,Potamocorbula amurensis,9,-3.65518107930484,1.36806756770695
48,May,2017,Potamocorbula amurensis,9,-3.71877327675578,1.48523248953827
48,May,2018,Potamocorbula amurensis,11,-4.30297052261171,2.12823388204463
48,May,2019,Potamocorbula amurensis,10,-3.71748512491504,1.39180201481644
48,October,2010,Potamocorbula amurensis,13,-3.87109047170326,1.7086015797383
48,October,2011,Potamocorbula amurensis,15,-3.85804600734217,1.71097478102347
48,October,2012,Potamocorbula amurensis,12,-3.76685859688614,1.63021654428634
48,October,2018,Potamocorbula amurensis,13,-4.13060847168551,2.05597463105348
48,October,2019,Potamocorbula amurensis,13,-4.06741872597803,1.90712431256884
5,May,2014,Corbicula fluminea,5,-4.04894933423344,2.48938429777256
6,May,2007,Corbicula fluminea,8,-4.16539799649066,2.40441351364286
6,May,2009,Corbicula fluminea,15,-4.25538602894957,2.44366154564476
6,May,2010,Corbicula fluminea,16,-4.07894801777809,2.24698694498288
6,May,2011,Corbicula fluminea,17,-4.11186748796084,2.4018597351249
6,May,2012,Corbicula fluminea,19,-4.51943252443477,2.69061661481524
6,May,2014,Corbicula fluminea,11,-3.87886836687007,2.19622987781161
6,May,2015,Corbicula fluminea,10,-5.15587985859228,3.24696808746995
6,May,2017,Corbicula fluminea,9,-3.65485134066474,2.09427748374462
6,May,2018,Corbicula fluminea,12,-4.03458762626494,2.23173832405204
6,May,2019,Corbicula fluminea,6,-4.02334982523381,2.17062732160509
6,October,2007,Corbicula fluminea,6,-3.80754004356542,2.15057538620247
6,October,2009,Corbicula fluminea,5,-3.9191696151126,1.90815493174283
6,October,2010,Corbicula fluminea,20,-4.24278890032585,2.36276056396387
6,October,2011,Corbicula fluminea,20,-4.06710611785993,2.32230696306876
6,October,2014,Corbicula fluminea,9,-3.81420417023226,2.11145406602707
6,October,2015,Corbicula fluminea,12,-3.90503615408249,2.2135454615505
6,October,2017,Corbicula fluminea,8,-4.74463563972041,2.80612011786946
6,October,2018,Corbicula fluminea,23,-4.05217943918156,2.22990823059932
6,October,2019,Corbicula fluminea,9,-3.91073999258868,2.08121518112257
684,May,2012,Corbicula fluminea,21,-4.44751977205966,2.66423876444319
684,May,2019,Corbicula fluminea,18,-4.26648075426414,2.5492226289481
684,October,2007,Corbicula fluminea,14,-4.3458398755107,2.61744755203766
684,October,2019,Corbicula fluminea,9,-4.84877163648018,2.90669385894321
696,August,2011,Corbicula fluminea,12,-4.06008820195908,2.21620533393355
696,May,2007,Corbicula fluminea,5,-4.25453690548238,2.38267019896433
696,May,2008,Corbicula fluminea,5,-4.04189478504423,2.30499682733395
696,May,2009,Corbicula fluminea,7,-3.93605282659107,2.13074991501108
696,May,2010,Corbicula fluminea,9,-3.88776909884121,2.07266453162861
696,May,2011,Corbicula fluminea,10,-3.89337628439691,2.00181695622768
696,May,2012,Corbicula fluminea,9,-3.90532504630242,1.95363173241522
696,May,2014,Corbicula fluminea,7,-4.27324751205348,2.35250797610969
696,May,2015,Corbicula fluminea,8,-4.27373031823145,2.50681752379555
696,May,2017,Corbicula fluminea,11,-4.10072979362971,2.26912328270978
696,May,2018,Corbicula fluminea,18,-4.17719895311647,2.3064867886707
696,May,2019,Corbicula fluminea,12,-4.10952969495028,2.30806640363379
696,October,2009,Corbicula fluminea,7,-4.98975425693224,2.94320793165909
696,October,2010,Corbicula fluminea,12,-4.00445288570321,2.07416794427392
696,October,2011,Corbicula fluminea,10,-3.89982550516686,1.95051718511896
696,October,2012,Corbicula fluminea,7,-3.80536658118098,1.89082014407025
696,October,2014,Corbicula fluminea,9,-4.42590502697664,2.51642780484247
696,October,2015,Corbicula fluminea,8,-3.76282499168824,2.01034235319488
696,October,2017,Corbicula fluminea,17,-4.12986978363574,2.28797247676423
696,October,2018,Corbicula fluminea,12,-4.09204456006659,2.31621671040347
696,October,2019,Corbicula fluminea,12,-3.91128491952128,2.01064665783767
7,May,2007,Corbicula fluminea,26,-4.39741647553118,2.64596440086732
7,May,2009,Corbicula fluminea,9,-4.5511747785026,2.6584769455084
7,May,2011,Corbicula fluminea,21,-4.4620257779973,2.69879059128569
7,May,2012,Corbicula fluminea,7,-4.52885385890651,2.76644290805153
7,May,2015,Corbicula fluminea,7,-3.99400417135688,2.25828681651785
7,October,2007,Corbicula fluminea,29,-4.10489994658477,2.40422412055768
7,October,2008,Corbicula fluminea,5,-3.32339098617963,0.710462076845543
7,October,2010,Corbicula fluminea,26,-4.31282167537339,2.52760387894995
7,October,2011,Corbicula fluminea,8,-4.0290309292186,2.13648119164661
7,October,2014,Corbicula fluminea,11,-4.16515351077737,2.38188275404165
7,October,2018,Corbicula fluminea,7,-4.61925628093132,2.80405801350575
C9,April,2008,Corbicula fluminea,8,-3.99981140109917,2.28963073663433
C9,April,2011,Corbicula fluminea,8,-4.64732202580693,2.93435330920384
