Station,Station_alias,North_decimal_degrees,West_decimal_degrees,Habitat,Habitat_type,Corbicula_AFDM_g_per_m2_mean,Corbicula_density_per_m2_mean,Corbicula_filtration_rate_m3_per_m2_per_day_mean,Corbicula_grazing_rate_m3_per_m2_per_day_mean,Potamocorbula_AFDM_g_per_m2_mean,Potamocorbula_density_per_m2_mean,Potamocorbula_filtration_rate_m3_per_m2_per_day_mean,Potamocorbula_grazing_rate_m3_per_m2_per_day_mean,Total_AFDM_g_per_m2_mean,Total_density_per_m2_mean,Total_filtration_rate_m3_per_m2_per_day_mean,Total_grazing_rate_m3_per_m2_per_day_mean,Corbicula_grazing_turnover_per_day_mean,Potamocorbula_grazing_turnover_per_day_mean,Total_grazing_turnover_per_day_mean,Depth_ft_mean,Depth_m_mean,Percent_Organic_Matter_mean,Percent_Clay_mean,Percent_Silt_mean,Percent_Mica_mean,Percent_Fine_Sand_mean,Percent_Coarse_Sand_mean,Percent_Gravel_mean,Percent_Fines_mean,Water_temperature_C_mean,Specific_conductivity_uS_per_cm_mean,pH_mean,Chlorophyll_a_ug_per_L_mean,Turbidity_NTU_mean,Dissolved_oxygen_mg_per_L_mean
SM18,Hunter Cut at Montezuma Slough (HUN),38.156,-122.0527,Channel,Marsh,0.268038151900719,12.0192307692308,0.0257326659352179,2.43762302532116e-05,3.11417278883655,1944.71153846154,1.24566911553462,0.000924603371231709,3.38221094073727,1956.73076923077,1.27140178146983,0.000948979601484921,5.01837010040962e-06,0.000227631002732683,0.000232649372833092,13.0857142857143,3.98852571428571,18.75,71.875,6.875,0,2.5,0,0,78.75,21.21,14709,7.8375,3.705,16.83375,8.0775
SM21,Suisun Slough 4,38.217057190573,-122.031742097789,Channel,Marsh,14.0678856210848,137.019230769231,1.56084417394596,0.00131937724936589,0.507073131032472,3112.98076923077,0.202829252412989,0.000156534439408027,14.5749587521172,3250.00000000001,1.76367342635895,0.00147591168877391,0.000431158147870358,4.41036874158254e-05,0.000475261835286184,10.6,3.23088,21.25,60,13.75,0,5,0,0,73.75,21.014,10833.75,7.82125,6.305,35.105,7.14
SM24,Cutoff Slough,38.1889054647535,-122.020592467777,Slough,Marsh,2.56602054142567,50.4807692307692,0.336413998900276,0.00030106110626501,0.0187106048325575,146.634615384616,0.007484241933023,7.12153725715281e-06,2.58473114625822,197.115384615385,0.3438982408333,0.000308182643522162,0.000208371263721936,4.13386879253003e-06,0.000212505132514467,5.11428571428571,1.55883428571429,49.375,43.125,5,0,2.5,0,0,48.125,21.658875,10911.375,7.71,9.1525,35.77125,7.28625
SM25,Second Mallard,38.1935039415805,-122.009725684177,Slough,Marsh,1.07550037520129,16.8269230769231,0.12997039747598,0.000122845155485338,0.00100969677852355,7.21153846153846,0.000403878711409423,3.95987107106586e-07,1.07651007197982,24.0384615384615,0.13037427618739,0.000123241142592444,8.26033758424778e-05,3.71191513973178e-07,8.2974567356451e-05,3.74285714285714,1.14082285714286,41.25,46.25,11.25,0,1.25,0,0,57.5,21.828625,11150.75,7.6425,11.295,27.38875,7.12
SM27,Montezuma Slough  at Tree Slough,38.1805262499112,-121.996098928069,Channel,Marsh,1.25494402318921,43.2692307692308,0.140927034793777,0.000132666253071863,6.48110210243181,1742.78846153846,2.59244084097272,0.00203935028326438,7.73604612562102,1786.05769230769,2.7333678757665,0.00217201653633624,1.73758287489979e-05,0.000286212864891385,0.000303588693640383,24.5285714285714,7.47630857142857,10,75,8.125,0,6.875,0,0,83.125,21.74925,12479.375,7.7475,3.98,23.81875,7.695
SM30,Nurse Slough 3,38.1997646521842,-121.916640421929,Slough,Marsh,1.94762899024347,36.0576923076923,0.219844077892623,0.000204989812300951,0.00757643351058441,31.2500000000001,0.00303057340423376,2.96260776584437e-06,1.95520542375406,67.3076923076923,0.222874651296856,0.000207952420066795,7.99200990284084e-05,1.04635055618932e-06,8.09664495845978e-05,6.75714285714286,2.05957714285714,39.2857142857143,40.7142857142857,18.5714285714286,0,1.42857142857143,0,0,59.2857142857143,21.588125,10232,7.70625,11.92375,28.89,7.75625
SM31,Montezuma Slough 1,38.1448606343454,-121.909522207615,Channel,Marsh,11.8138898855544,423.076923076923,1.33047219276147,0.00106495294746852,1.9017443552291,336.538461538462,0.760697742091641,0.000639452170385009,13.7156342407835,759.615384615384,2.09116993485311,0.00170440511785353,0.000189783971288533,0.000122211664295204,0.000311995635583737,15.7285714285714,4.79406857142857,6.875,24.375,8.75,0,31.25,9.375,19.375,33.125,21.582,9587.875,7.82125,4.88125,19.16125,8.03625
SM38,Cygnus - Cordelia Slough (CYG),38.1527,-122.0908,Slough,Marsh,0.50200761764093,12.0192307692308,0.0537245656929003,5.01223444177291e-05,48.6531718496242,6312.5,19.4612687398496,0.00912250930076345,49.155179467265,6324.51923076923,19.5149933055425,0.00917263164518116,6.58822570097139e-06,0.00120576289490801,0.00121235112060898,24.4428571428572,7.45018285714286,7.85714285714286,78.5714285714286,0.714285714285714,0,0,1.42857142857143,11.4285714285714,79.2857142857143,21.354125,15568.75,7.585,7.47375,25.69625,6.85125
SM40,Wells Slough,38.1793948874646,-122.07119546814,Slough,Marsh,11.8676520218457,153.846153846154,1.34745700229056,0.00115755026632065,0.508058559785198,1639.42307692308,0.203223423914079,0.000187748310558887,12.3757105816309,1793.26923076923,1.55068042620464,0.00134529857687954,0.000545088259942178,9.8521587578457e-05,0.000643609847520636,9.12857142857143,2.78238857142857,20.625,52.5,10,0,16.25,0.625,0,62.5,21.45775,14044.375,7.77125,3.8875,50.875,7.7325
SM42,Sheldrake Slough,38.1979155845847,-122.051230243737,Slough,Marsh,0.0274498781037693,45.6730769230769,0.00300742362384457,2.91709109545722e-06,0.0280093378234989,206.730769230769,0.0112037351293996,1.07217002362322e-05,0.0554592159272683,252.403846153846,0.0142111587532441,1.36387913316894e-05,2.06143029249827e-06,1.04315996444404e-05,1.24930299369387e-05,3.9,1.18872,18.125,60.625,17.5,0,3.75,0,0,78.125,21.447625,10993.375,7.7325,7.7,54.6975,6.87
SM43,Peytonia Slough,38.2200821367451,-122.044979299816,Slough,Marsh,8.28355634111879,134.615384615385,0.815826436692652,0.000699327352382487,0.0235463136629155,139.423076923077,0.0094185254651662,9.06809107804455e-06,8.3071026547817,274.038461538461,0.825244962157819,0.000708395443460532,0.000257954003408553,3.8282827633144e-06,0.000261782286171867,8.1,2.46888,37.5,41.25,16.25,0,5,0,0,57.5,20.729625,10446.25,7.8225,9.37125,39.33,6.78625
SM44,Tree Slough,38.168936794479,-122.003891586064,Slough,Marsh,0.34534947171018,60.0961538461539,0.0514931567964424,4.82081954375785e-05,0.0350869535146384,247.596153846154,0.0140347814058554,1.3418390858426e-05,0.380436425224818,307.692307692308,0.0655279382022977,6.16265862960045e-05,2.87779765303368e-05,7.83790021175673e-06,3.66158767420936e-05,5.51428571428571,1.68075428571429,47.5,39.375,10.625,0,2.5,0,0,50,22.14675,11219,7.7175,5.63125,30.05125,7.72
SM45,Nurse Slough 4,38.2177164472501,-121.904700836715,Slough,Marsh,1.08011073283825,7.21153846153845,0.129202971179266,0.000118083855771004,0,0,0,0,1.08011073283825,7.21153846153845,0.129202971179266,0.000118083855771004,0.000148975937569624,0,0.000148975937569624,4.3,1.31064,32.8571428571429,42.1428571428571,23.5714285714286,0,1.42857142857143,0,0,65.7142857142857,21.61575,10728.375,7.655,18.5275,45.87125,7.26375
SM49,Luco Slough 2,38.210133,-121.924333,Slough,Marsh,0.0167792735885623,206.73076923077,0.00178729505353458,1.72371401182127e-06,0.000350192000761234,9.61538461538461,0.000140076800304494,1.38104603762724e-07,0.0171294655893235,216.346153846154,0.00192737185383907,1.861818615584e-06,1.17938559180852e-06,7.54597187982921e-08,1.25484531060682e-06,4.6,1.40208,55,35,7.5,0,2.5,0,0,42.5,21.617125,10353.875,7.665,14.5025,52.96,7.44625
SM50,Goodyear Slough 2,38.123083,-122.099383,Slough,Marsh,0.00972433773913521,24.0384615384616,0.00104027711594562,1.01418493055412e-06,0.300729639878365,3120.19230769231,0.120291855951346,0.000102083191306441,0.3104539776175,3144.23076923077,0.121332133067292,0.000103097376236995,4.1729207480762e-07,5.55034206094192e-05,5.59207126842268e-05,6.75714285714286,2.05957714285714,55,30.7142857142857,12.8571428571429,0,1.42857142857143,0,0,43.5714285714286,21.126875,15975.375,7.5125,8.485,37.28125,6.85375
SM51,First Mallard 2,38.2029,-122.02935,Slough,Marsh,1.43852638356684,28.8461538461539,0.163907651414,0.000152921023131952,0.177965036470446,108.173076923077,0.0711860145881784,6.37531886968502e-05,1.61649142003728,137.019230769231,0.235093666002178,0.000216674211828802,0.000157899310976856,5.81463925080414e-05,0.000216045703484898,3.28571428571429,1.00148571428571,46.875,36.875,13.75,0,2.5,0,0,50.625,21.629,11260.25,7.775,9.38875,57.185,6.97375
SM52,Benthic D4,38.0581151,-121.8193499,River,River,13.8984883316807,1422.47596153846,1.64540583119613,0.00132556390218656,1.75736926411715,831.129807692308,0.702947705646859,0.000496578297886639,15.6558575957978,2253.60576923077,2.34835353684299,0.00182214220007319,0.000234789216746609,6.26114583909348e-05,0.000297400675137543,21.3625,6.51129,55.625,14.375,5,0,11.25,12.5,1.25,19.375,21.6775,3752.125,7.84125,2.0725,12.5875,8.36375
