Stations,Analyte,Pvalue,Result
D6_NZ004,DissCalcium,6.696666593215036e-4,Different
D6_NZ004,DissChloride,0.0026942808334427513,Different
D6_NZ004,DissNitrateNitrite,0.2389850119038433,Same
D6_NZ004,DissOrthophos,0.04972124609008422,Different
D6_NZ004,DissSilica,0.019557634177166362,Different
D6_NZ004,DOBottom,3.065680968453484e-4,Different
D6_NZ004,DOC,0.0011097682558898123,Different
D6_NZ004,DON,0.13420670770965765,Same
D6_NZ004,DOpercentBottom,0.5575778295827709,Same
D6_NZ004,DOpercentSurface,0.43670796116184146,Same
D6_NZ004,DOSurface,1.8922117857764e-4,Different
D6_NZ004,Microcystis,0.16028657480362954,Same
D6_NZ004,pHBottom,4.070622609495756e-5,Different
D6_NZ004,Pheophytin,0.44055418488882925,Same
D6_NZ004,pHSurface,6.250205317201167e-7,Different
D6_NZ004,Secchi,0.24619817313589845,Same
D6_NZ004,SpCndBottom,4.114424954442249e-5,Different
D6_NZ004,SpCndSurface,2.0839935436803552e-4,Different
D6_NZ004,TDS,0.0016843029775590955,Different
D6_NZ004,TKN,0.18975757589944525,Same
D6_NZ004,TOC,1.0966880696558021e-4,Different
D6_NZ004,TotAlkalinity,0.10793008421069124,Same
D6_NZ004,TotPhos,0.30538873807024464,Same
D6_NZ004,TSS,0.7298025991980395,Same
D6_NZ004,TurbidityBottom,0.08840467784152879,Same
D6_NZ004,TurbiditySurface,0.6538828407365882,Same
D6_NZ004,VSS,0.6994560352974202,Same
D6_NZ004,WTBottom,0.608327229876096,Same
D6_NZ004,WTSurface,0.8567665101491451,Same
D6_NZ325,Chla,0.2847459625065947,Same
D6_NZ325,Depth,0.1332150907280353,Same
D6_NZ325,DissAmmonia,0.33026703635683086,Same
D6_NZ325,DissBromide,0.09192939687721416,Same
D6_NZ325,DissCalcium,2.2171294451289853e-10,Different
D6_NZ325,DissChloride,2.9957873651220335e-11,Different
D6_NZ325,DissNitrateNitrite,0.24244740602237802,Same
D6_NZ325,DissOrthophos,3.659865596746813e-4,Different
D6_NZ325,DissSilica,3.9424795398780837e-8,Different
D6_NZ325,DOBottom,6.953424788580773e-10,Different
D6_NZ325,DOC,1.0877300628646839e-5,Different
D6_NZ325,DON,0.7532635607854263,Same
D6_NZ325,DOpercentBottom,0.1452589620506538,Same
D6_NZ325,DOpercentSurface,0.5505303466953988,Same
D6_NZ325,DOSurface,1.5070176520019686e-7,Different
D6_NZ325,Microcystis,0.16028657480362954,Same
D6_NZ325,pHBottom,6.077455899029648e-7,Different
D6_NZ325,Pheophytin,0.9136316325541342,Same
D6_NZ325,pHSurface,1.9418441879598354e-9,Different
D6_NZ325,Secchi,0.020469995140361685,Different
D6_NZ325,SpCndBottom,2.4320788205845166e-18,Different
D6_NZ325,SpCndSurface,2.0054924878586458e-12,Different
D6_NZ325,TDS,2.097009128487253e-11,Different
D6_NZ325,TKN,0.10179254720303368,Same
D6_NZ325,TOC,8.364560973773162e-7,Different
D6_NZ325,TotAlkalinity,0.03747349438880317,Different
D6_NZ325,TotPhos,0.03668475798329703,Different
D6_NZ325,TSS,0.09551362063822048,Same
D6_NZ325,TurbidityBottom,0.14199361285275977,Same
D6_NZ325,TurbiditySurface,0.46429840637743414,Same
D6_NZ325,VSS,0.019374958161290017,Different
D6_NZ325,WTBottom,0.013893907481720827,Different
D6_NZ325,WTSurface,0.853060196531171,Same
NZ002_NZ004,Chla,0.23258304765919818,Same
NZ002_NZ004,Depth,0.020099777599210913,Different
NZ002_NZ004,DissAmmonia,0.037350312262196456,Different
NZ002_NZ004,DissBromide,0.06436160068797167,Same
NZ002_NZ004,DissCalcium,6.164273063799792e-10,Different
NZ002_NZ004,DissChloride,3.6651463640017274e-10,Different
NZ002_NZ004,DissNitrateNitrite,0.6623761303527751,Same
NZ002_NZ004,DissOrthophos,0.003196403259811037,Different
NZ002_NZ004,DissSilica,3.3141090135651236e-6,Different
NZ002_NZ004,DOBottom,1.3911913947759822e-7,Different
NZ002_NZ004,DOC,4.785288739360294e-6,Different
NZ002_NZ004,DON,0.5918783318609757,Same
NZ002_NZ004,DOpercentBottom,0.8118446206236873,Same
NZ002_NZ004,DOpercentSurface,0.5148716971309384,Same
NZ002_NZ004,DOSurface,1.5357045778569607e-7,Different
NZ002_NZ004,Microcystis,NA,NA
NZ002_NZ004,pHBottom,0.23180718080905005,Same
NZ002_NZ004,Pheophytin,0.0010848934466820938,Different
NZ002_NZ004,pHSurface,0.7617536801314851,Same
NZ002_NZ004,Secchi,6.060114135470019e-4,Different
NZ002_NZ004,SpCndBottom,3.8665445937256737e-14,Different
NZ002_NZ004,SpCndSurface,1.3293558745588471e-12,Different
NZ002_NZ004,TDS,6.367173972999374e-10,Different
NZ002_NZ004,TKN,0.5186629963465058,Same
NZ002_NZ004,TOC,2.2962739445792935e-7,Different
NZ002_NZ004,TotAlkalinity,0.024925677442135124,Different
NZ002_NZ004,TotPhos,0.1507332808014246,Same
NZ002_NZ004,TSS,6.445757817261192e-6,Different
NZ002_NZ004,TurbidityBottom,0.5015660464635426,Same
NZ002_NZ004,TurbiditySurface,0.01620837904526435,Different
NZ002_NZ004,VSS,4.9005291719063466e-5,Different
NZ002_NZ004,WTBottom,0.0695847072549479,Same
NZ002_NZ004,WTSurface,0.3604142982738442,Same
NZ002_NZ325,Chla,0.7946982181038156,Same
NZ002_NZ325,Depth,2.5130024444547764e-13,Different
NZ002_NZ325,DissAmmonia,0.28832497809741897,Same
NZ002_NZ325,DissBromide,0.49502534605971193,Same
NZ002_NZ325,DissCalcium,0.04612498947023662,Different
NZ002_NZ325,DissChloride,0.014825322973887452,Different
NZ002_NZ325,DissNitrateNitrite,0.28252252192886135,Same
NZ002_NZ325,DissOrthophos,0.10064880792501998,Same
NZ002_NZ325,DissSilica,0.06034906356199691,Same
NZ002_NZ325,DOBottom,2.0931482135235924e-6,Different
NZ002_NZ325,DOC,0.4322001903951068,Same
NZ002_NZ325,DON,0.10560672136720016,Same
NZ002_NZ325,DOpercentBottom,0.11248775092590892,Same
NZ002_NZ325,DOpercentSurface,0.5921494089402055,Same
NZ002_NZ325,DOSurface,0.6305966764801143,Same
NZ002_NZ325,Microcystis,NA,NA
NZ002_NZ325,pHBottom,0.013373010463553436,Different
NZ002_NZ325,Pheophytin,0.10445650720700969,Same
NZ002_NZ325,pHSurface,0.02912717081797773,Different
NZ002_NZ325,Secchi,6.935239694370268e-5,Different
NZ002_NZ325,SpCndBottom,6.728906911329665e-14,Different
NZ002_NZ325,SpCndSurface,7.591047475589291e-4,Different
NZ002_NZ325,TDS,0.01240009391003683,Different
NZ002_NZ325,TKN,0.050304872252703366,Same
NZ002_NZ325,TOC,0.3949278284044657,Same
NZ002_NZ325,TotAlkalinity,0.8240010058981637,Same
NZ002_NZ325,TotPhos,0.2333019576796858,Same
NZ002_NZ325,TSS,0.30021327845309237,Same
NZ002_NZ325,TurbidityBottom,0.9608624740820221,Same
NZ002_NZ325,TurbiditySurface,0.1793997859390281,Same
NZ002_NZ325,VSS,0.4862781366298413,Same
NZ002_NZ325,WTBottom,0.0018279910308088613,Different
NZ002_NZ325,WTSurface,0.89863081814675,Same
NZ004_NZ325,Chla,0.06636849692076535,Same
NZ004_NZ325,Depth,6.8952587497739105e-9,Different
NZ004_NZ325,DissAmmonia,0.027383300564903866,Different
NZ004_NZ325,DissBromide,0.12253713629911088,Same
NZ004_NZ325,DissCalcium,3.4355913367561205e-10,Different
NZ004_NZ325,DissChloride,1.0206373000273371e-11,Different
NZ004_NZ325,DissNitrateNitrite,0.026948168749081465,Different
NZ004_NZ325,DissOrthophos,0.0051222310599048386,Different
NZ004_NZ325,DissSilica,3.193853796450558e-6,Different
NZ004_NZ325,DOBottom,3.037127884613979e-8,Different
NZ004_NZ325,DOC,3.2980874644889805e-5,Different
NZ004_NZ325,DON,0.07009832397113577,Same
NZ004_NZ325,DOpercentBottom,0.18626284297577733,Same
NZ004_NZ325,DOpercentSurface,0.8861297269945035,Same
NZ004_NZ325,DOSurface,1.1017138243718127e-5,Different
NZ004_NZ325,Microcystis,NA,NA
NZ004_NZ325,pHBottom,0.030886095054808705,Different
NZ004_NZ325,Pheophytin,0.5071252018101877,Same
NZ004_NZ325,pHSurface,0.07801319519522579,Same
NZ004_NZ325,Secchi,0.08666090438826948,Same
NZ004_NZ325,SpCndBottom,4.129376091094478e-18,Different
NZ004_NZ325,SpCndSurface,3.5277522617935024e-13,Different
NZ004_NZ325,TDS,1.0763451518636761e-11,Different
NZ004_NZ325,TKN,0.018754395170906574,Different
NZ004_NZ325,TOC,1.186185576125519e-4,Different
NZ004_NZ325,TotAlkalinity,0.08738438830131515,Same
NZ004_NZ325,TotPhos,0.08447035351821186,Same
NZ004_NZ325,TSS,0.04942284293681643,Different
NZ004_NZ325,TurbidityBottom,0.6138009540930223,Same
NZ004_NZ325,TurbiditySurface,0.6705843904553118,Same
NZ004_NZ325,VSS,0.015570155095853978,Different
NZ004_NZ325,WTBottom,0.004771819919945322,Different
NZ004_NZ325,WTSurface,0.5431461804535972,Same
