Lab,SampleDate,StationCode,Cells_per_mL
EcoAnalysts,1/18/2008,D6,25
EcoAnalysts,1/18/2008,D6,32.2
EcoAnalysts,1/18/2008,D6,2.2
EcoAnalysts,1/18/2008,D6,2.6
EcoAnalysts,1/18/2008,D6,4
EcoAnalysts,1/18/2008,D6,150
EcoAnalysts,1/18/2008,D6,2.8
EcoAnalysts,1/18/2008,D6,1.4
EcoAnalysts,1/18/2008,D6,19.8
EcoAnalysts,1/18/2008,D6,0.4
EcoAnalysts,1/17/2008,D7,0.13
EcoAnalysts,1/17/2008,D7,2.75
EcoAnalysts,1/17/2008,D7,1.75
EcoAnalysts,1/17/2008,D7,1.63
EcoAnalysts,1/17/2008,D7,6.75
EcoAnalysts,1/17/2008,D7,0.13
EcoAnalysts,1/17/2008,D7,12.25
EcoAnalysts,1/17/2008,D7,0.25
EcoAnalysts,1/17/2008,D7,22.5
EcoAnalysts,1/17/2008,D7,1.5
EcoAnalysts,1/17/2008,D7,22.63
EcoAnalysts,1/17/2008,D7,0.25
EcoAnalysts,1/17/2008,D7,0.13
EcoAnalysts,1/16/2008,D8,1.56
EcoAnalysts,1/16/2008,D8,0.44
EcoAnalysts,1/16/2008,D8,0.11
EcoAnalysts,1/16/2008,D8,2.78
EcoAnalysts,1/16/2008,D8,1.22
EcoAnalysts,1/16/2008,D8,3
EcoAnalysts,1/16/2008,D8,0.11
EcoAnalysts,1/16/2008,D8,4.89
EcoAnalysts,1/16/2008,D8,11.22
EcoAnalysts,1/16/2008,D8,1.22
EcoAnalysts,1/16/2008,D8,1.67
EcoAnalysts,1/16/2008,D8,0.22
EcoAnalysts,1/16/2008,D8,0.11
EcoAnalysts,1/16/2008,D8,1.33
EcoAnalysts,1/16/2008,D8,0.11
EcoAnalysts,1/16/2008,D8,1.44
EcoAnalysts,1/16/2008,D8,13
EcoAnalysts,1/16/2008,D8,1.44
EcoAnalysts,1/14/2008,D19,0.27
EcoAnalysts,1/14/2008,D19,1.6
EcoAnalysts,1/14/2008,D19,6.53
EcoAnalysts,1/14/2008,D19,5.4
EcoAnalysts,1/14/2008,D19,0.53
EcoAnalysts,1/14/2008,D19,0.13
EcoAnalysts,1/14/2008,D19,2
EcoAnalysts,1/14/2008,D19,0.27
EcoAnalysts,1/14/2008,D19,20.53
EcoAnalysts,1/14/2008,D19,1.73
EcoAnalysts,1/14/2008,D19,2
EcoAnalysts,1/14/2008,D19,4
EcoAnalysts,1/14/2008,D19,6
EcoAnalysts,1/14/2008,D19,1.07
EcoAnalysts,1/14/2008,D19,0.53
EcoAnalysts,1/14/2008,D19,9.6
EcoAnalysts,1/14/2008,D19,2
EcoAnalysts,1/14/2008,D19,0.27
EcoAnalysts,1/14/2008,D19,1.87
EcoAnalysts,1/15/2008,D26,2
EcoAnalysts,1/15/2008,D26,5.09
EcoAnalysts,1/15/2008,D26,2.36
EcoAnalysts,1/15/2008,D26,8.91
EcoAnalysts,1/15/2008,D26,7.2
EcoAnalysts,1/15/2008,D26,2.55
EcoAnalysts,1/15/2008,D26,0.18
EcoAnalysts,1/15/2008,D26,1.64
EcoAnalysts,1/15/2008,D26,2.18
EcoAnalysts,1/15/2008,D26,0.55
EcoAnalysts,1/15/2008,D26,20.18
EcoAnalysts,1/15/2008,D26,0.36
EcoAnalysts,1/15/2008,D26,0.55
EcoAnalysts,1/15/2008,D26,5.45
EcoAnalysts,1/15/2008,D26,0.72
EcoAnalysts,1/15/2008,D26,8.25
EcoAnalysts,1/15/2008,D26,4.73
EcoAnalysts,1/15/2008,D26,2.18
EcoAnalysts,1/15/2008,D26,12
EcoAnalysts,1/15/2008,D26,2.36
EcoAnalysts,1/15/2008,D26,0.18
EcoAnalysts,1/15/2008,D26,0.36
EcoAnalysts,1/15/2008,D26,1.45
EcoAnalysts,1/14/2008,D28A,2
EcoAnalysts,1/14/2008,D28A,0.46
EcoAnalysts,1/14/2008,D28A,10.62
EcoAnalysts,1/14/2008,D28A,0.31
EcoAnalysts,1/14/2008,D28A,17.08
EcoAnalysts,1/14/2008,D28A,2
EcoAnalysts,1/14/2008,D28A,0.62
EcoAnalysts,1/14/2008,D28A,0.15
EcoAnalysts,1/14/2008,D28A,0.31
EcoAnalysts,1/14/2008,D28A,4.77
EcoAnalysts,1/14/2008,D28A,0.15
EcoAnalysts,1/14/2008,D28A,4
EcoAnalysts,1/14/2008,D28A,6.77
EcoAnalysts,1/14/2008,D28A,101.55
EcoAnalysts,1/14/2008,D28A,1.23
EcoAnalysts,1/14/2008,D28A,2.15
EcoAnalysts,1/14/2008,D28A,3.38
EcoAnalysts,1/14/2008,D28A,0.31
EcoAnalysts,1/18/2008,D41,0.13
EcoAnalysts,1/18/2008,D41,0.2
EcoAnalysts,1/18/2008,D41,0.2
EcoAnalysts,1/18/2008,D41,0.2
EcoAnalysts,1/18/2008,D41,1.47
EcoAnalysts,1/18/2008,D41,0.27
EcoAnalysts,1/18/2008,D41,0.2
EcoAnalysts,1/18/2008,D41,10.2
EcoAnalysts,1/18/2008,D41,0.6
EcoAnalysts,1/18/2008,D41,0.47
EcoAnalysts,1/18/2008,D41,0.47
EcoAnalysts,1/18/2008,D41,0.93
EcoAnalysts,1/18/2008,D41,31.05
EcoAnalysts,1/18/2008,D41,0.13
EcoAnalysts,1/18/2008,D41,2.2
EcoAnalysts,1/18/2008,D41,5.73
EcoAnalysts,1/18/2008,D41,0.2
EcoAnalysts,1/18/2008,D41,0.33
EcoAnalysts,1/18/2008,D41,0.73
EcoAnalysts,1/18/2008,D41,3.5
EcoAnalysts,1/18/2008,D41A,0
EcoAnalysts,1/18/2008,D41A,0.73
EcoAnalysts,1/18/2008,D41A,1.47
EcoAnalysts,1/18/2008,D41A,0.8
EcoAnalysts,1/18/2008,D41A,0.27
EcoAnalysts,1/18/2008,D41A,11.6
EcoAnalysts,1/18/2008,D41A,0.2
EcoAnalysts,1/18/2008,D41A,0.2
EcoAnalysts,1/18/2008,D41A,0.33
EcoAnalysts,1/18/2008,D41A,0.87
EcoAnalysts,1/18/2008,D41A,0.07
EcoAnalysts,1/18/2008,D41A,1.6
EcoAnalysts,1/18/2008,D41A,8.8
EcoAnalysts,1/18/2008,D41A,0.07
EcoAnalysts,1/18/2008,D41A,0.73
EcoAnalysts,1/18/2008,D41A,0.4
EcoAnalysts,1/15/2008,MD10A,0.57
EcoAnalysts,1/15/2008,MD10A,1.14
EcoAnalysts,1/15/2008,MD10A,7.43
EcoAnalysts,1/15/2008,MD10A,4
EcoAnalysts,1/15/2008,MD10A,4.57
EcoAnalysts,1/15/2008,MD10A,4
EcoAnalysts,1/15/2008,MD10A,8.86
EcoAnalysts,1/15/2008,MD10A,0.29
EcoAnalysts,1/15/2008,MD10A,0.57
EcoAnalysts,1/15/2008,MD10A,37.71
EcoAnalysts,1/15/2008,MD10A,0.29
EcoAnalysts,1/15/2008,MD10A,4.29
EcoAnalysts,1/15/2008,MD10A,162.9
EcoAnalysts,1/15/2008,MD10A,14.86
EcoAnalysts,1/15/2008,MD10A,14.57
EcoAnalysts,1/15/2008,MD10A,0.29
EcoAnalysts,1/15/2008,MD10A,11.44
EcoAnalysts,1/15/2008,MD10A,0.86
EcoAnalysts,1/15/2008,MD10A,0.57
EcoAnalysts,1/15/2008,MD10A,0.29
EcoAnalysts,1/15/2008,P8,2.5
EcoAnalysts,1/15/2008,P8,1
EcoAnalysts,1/15/2008,P8,1.1
EcoAnalysts,1/15/2008,P8,2.3
EcoAnalysts,1/15/2008,P8,2
EcoAnalysts,1/15/2008,P8,1.3
EcoAnalysts,1/15/2008,P8,1.2
EcoAnalysts,1/15/2008,P8,15.2
EcoAnalysts,1/15/2008,P8,1.2
EcoAnalysts,1/15/2008,P8,1.3
EcoAnalysts,1/15/2008,P8,1.1
EcoAnalysts,1/15/2008,P8,22.5
EcoAnalysts,1/15/2008,P8,2
EcoAnalysts,1/15/2008,P8,8.1
EcoAnalysts,1/15/2008,P8,0.1
EcoAnalysts,1/15/2008,P8,0.5
EcoAnalysts,1/15/2008,P8,0.4
EcoAnalysts,1/15/2008,P8,0.7
EcoAnalysts,1/16/2008,EZ2,6
EcoAnalysts,1/16/2008,EZ2,13.5
EcoAnalysts,1/16/2008,EZ2,5.5
EcoAnalysts,1/16/2008,EZ2,1
EcoAnalysts,1/16/2008,EZ2,0.5
EcoAnalysts,1/16/2008,EZ2,2
EcoAnalysts,1/16/2008,EZ2,2
EcoAnalysts,1/16/2008,EZ2,0.5
EcoAnalysts,1/16/2008,EZ2,0.5
EcoAnalysts,1/16/2008,EZ2,60
EcoAnalysts,1/16/2008,EZ2,0.5
EcoAnalysts,1/16/2008,EZ2,38.5
EcoAnalysts,1/16/2008,EZ2,0.5
EcoAnalysts,1/16/2008,EZ2,3.5
EcoAnalysts,1/16/2008,EZ2,6
EcoAnalysts,1/16/2008,EZ2,8
EcoAnalysts,1/16/2008,EZ2,2
EcoAnalysts,1/16/2008,EZ2,30
EcoAnalysts,1/16/2008,EZ2,5
EcoAnalysts,1/16/2008,EZ2,0.5
EcoAnalysts,1/16/2008,EZ2,0.5
EcoAnalysts,1/16/2008,EZ2,44.5
EcoAnalysts,1/16/2008,EZ2,0.5
EcoAnalysts,1/16/2008,EZ2,1.5
EcoAnalysts,1/16/2008,EZ2,1
EcoAnalysts,1/16/2008,EZ2,1
EcoAnalysts,1/16/2008,EZ6,6.18
EcoAnalysts,1/16/2008,EZ6,1.64
EcoAnalysts,1/16/2008,EZ6,0.36
EcoAnalysts,1/16/2008,EZ6,2.55
EcoAnalysts,1/16/2008,EZ6,0.73
EcoAnalysts,1/16/2008,EZ6,0.18
EcoAnalysts,1/16/2008,EZ6,21.27
EcoAnalysts,1/16/2008,EZ6,0.36
EcoAnalysts,1/16/2008,EZ6,4.18
EcoAnalysts,1/16/2008,EZ6,8.91
EcoAnalysts,1/16/2008,EZ6,38.25
EcoAnalysts,1/16/2008,EZ6,0.55
EcoAnalysts,1/16/2008,EZ6,2.91
EcoAnalysts,1/16/2008,EZ6,0.36
EcoAnalysts,1/16/2008,EZ6,18.36
EcoAnalysts,1/16/2008,EZ6,0.18
EcoAnalysts,1/16/2008,EZ6,0.18
EcoAnalysts,1/16/2008,EZ6,0.18
EcoAnalysts,1/16/2008,EZ6,2.91
EcoAnalysts,2/13/2008,C3A,1.75
EcoAnalysts,2/13/2008,C3A,1.75
EcoAnalysts,2/13/2008,C3A,0.5
EcoAnalysts,2/13/2008,C3A,2.6
EcoAnalysts,2/13/2008,C3A,2
EcoAnalysts,2/13/2008,C3A,0.5
EcoAnalysts,2/13/2008,C3A,2.88
EcoAnalysts,2/13/2008,C3A,0.13
EcoAnalysts,2/13/2008,C3A,0.5
EcoAnalysts,2/13/2008,C3A,0.13
EcoAnalysts,2/13/2008,C3A,0.13
EcoAnalysts,2/13/2008,C3A,20.75
EcoAnalysts,2/13/2008,C3A,0.13
EcoAnalysts,2/13/2008,C3A,0.25
EcoAnalysts,2/13/2008,C3A,43.2
EcoAnalysts,2/13/2008,C3A,16.38
EcoAnalysts,2/13/2008,C3A,3.75
EcoAnalysts,2/13/2008,C3A,0.13
EcoAnalysts,2/13/2008,C3A,0.13
EcoAnalysts,2/13/2008,C3A,0.25
EcoAnalysts,2/13/2008,C10A,1.4
EcoAnalysts,2/13/2008,C10A,0.8
EcoAnalysts,2/13/2008,C10A,4.8
EcoAnalysts,2/13/2008,C10A,4
EcoAnalysts,2/13/2008,C10A,1.2
EcoAnalysts,2/13/2008,C10A,5.2
EcoAnalysts,2/13/2008,C10A,0.2
EcoAnalysts,2/13/2008,C10A,0.8
EcoAnalysts,2/13/2008,C10A,6.6
EcoAnalysts,2/13/2008,C10A,0.2
EcoAnalysts,2/13/2008,C10A,10.2
EcoAnalysts,2/13/2008,C10A,1.8
EcoAnalysts,2/13/2008,C10A,3.4
EcoAnalysts,2/13/2008,C10A,0.4
EcoAnalysts,2/13/2008,C10A,48
EcoAnalysts,2/13/2008,C10A,2
EcoAnalysts,2/13/2008,C10A,2.6
EcoAnalysts,2/13/2008,C10A,26.6
EcoAnalysts,2/13/2008,C10A,10
EcoAnalysts,2/13/2008,C10A,0.2
EcoAnalysts,2/13/2008,C10A,0.2
EcoAnalysts,2/13/2008,C10A,0.2
EcoAnalysts,2/13/2008,C10A,0.4
EcoAnalysts,2/20/2008,D41A,0.61
EcoAnalysts,2/20/2008,D41A,2.06
EcoAnalysts,2/20/2008,D41A,0.11
EcoAnalysts,2/20/2008,D41A,0.72
EcoAnalysts,2/20/2008,D41A,0.39
EcoAnalysts,2/20/2008,D41A,0.28
EcoAnalysts,2/20/2008,D41A,7.33
EcoAnalysts,2/20/2008,D41A,3.72
EcoAnalysts,2/20/2008,D41A,0.72
EcoAnalysts,2/20/2008,D41A,1.78
EcoAnalysts,2/20/2008,D41A,0.56
EcoAnalysts,2/20/2008,D41A,19.2
EcoAnalysts,2/20/2008,D41A,0.83
EcoAnalysts,2/20/2008,D41A,0.83
EcoAnalysts,2/20/2008,D41A,0.28
EcoAnalysts,2/20/2008,D41A,1.89
EcoAnalysts,2/20/2008,D41A,0.78
EcoAnalysts,2/20/2008,D41A,0.06
EcoAnalysts,2/20/2008,D6,2.67
EcoAnalysts,2/20/2008,D6,1.56
EcoAnalysts,2/20/2008,D6,0.22
EcoAnalysts,2/20/2008,D6,2.2
EcoAnalysts,2/20/2008,D6,0.44
EcoAnalysts,2/20/2008,D6,1.56
EcoAnalysts,2/20/2008,D6,1.44
EcoAnalysts,2/20/2008,D6,0.11
EcoAnalysts,2/20/2008,D6,0.11
EcoAnalysts,2/20/2008,D6,0.11
EcoAnalysts,2/20/2008,D6,0.11
EcoAnalysts,2/20/2008,D6,0.11
EcoAnalysts,2/20/2008,D6,2.2
EcoAnalysts,2/20/2008,D6,5
EcoAnalysts,2/20/2008,D6,1.22
EcoAnalysts,2/20/2008,D6,1.33
EcoAnalysts,2/20/2008,D6,38.4
EcoAnalysts,2/20/2008,D6,2.22
EcoAnalysts,2/20/2008,D6,11.89
EcoAnalysts,2/20/2008,D6,0.11
EcoAnalysts,2/20/2008,D6,0.22
EcoAnalysts,2/20/2008,D6,0.11
EcoAnalysts,2/20/2008,D6,13.56
EcoAnalysts,2/19/2008,D7,0.18
EcoAnalysts,2/19/2008,D7,9.09
EcoAnalysts,2/19/2008,D7,0.36
EcoAnalysts,2/19/2008,D7,4.55
EcoAnalysts,2/19/2008,D7,3.6
EcoAnalysts,2/19/2008,D7,3.09
EcoAnalysts,2/19/2008,D7,0.36
EcoAnalysts,2/19/2008,D7,0.18
EcoAnalysts,2/19/2008,D7,0.18
EcoAnalysts,2/19/2008,D7,0.36
EcoAnalysts,2/19/2008,D7,7.64
EcoAnalysts,2/19/2008,D7,11.64
EcoAnalysts,2/19/2008,D7,3.82
EcoAnalysts,2/19/2008,D7,4.55
EcoAnalysts,2/19/2008,D7,4.18
EcoAnalysts,2/19/2008,D7,60
EcoAnalysts,2/19/2008,D7,0.18
EcoAnalysts,2/19/2008,D7,1.27
EcoAnalysts,2/19/2008,D7,0.36
EcoAnalysts,2/19/2008,D7,0.18
EcoAnalysts,2/19/2008,D7,0.18
EcoAnalysts,2/19/2008,D7,20.73
EcoAnalysts,2/19/2008,D7,0.18
EcoAnalysts,2/19/2008,D7,0.36
EcoAnalysts,2/15/2008,D8,3.38
EcoAnalysts,2/15/2008,D8,3
EcoAnalysts,2/15/2008,D8,1.63
EcoAnalysts,2/15/2008,D8,3
EcoAnalysts,2/15/2008,D8,0.5
EcoAnalysts,2/15/2008,D8,1.5
EcoAnalysts,2/15/2008,D8,0.13
EcoAnalysts,2/15/2008,D8,0.38
EcoAnalysts,2/15/2008,D8,0.25
EcoAnalysts,2/15/2008,D8,0.13
EcoAnalysts,2/15/2008,D8,15.88
EcoAnalysts,2/15/2008,D8,0.5
EcoAnalysts,2/15/2008,D8,1.5
EcoAnalysts,2/15/2008,D8,4.25
EcoAnalysts,2/15/2008,D8,35.7
EcoAnalysts,2/15/2008,D8,0.75
EcoAnalysts,2/15/2008,D8,0.25
EcoAnalysts,2/15/2008,D8,0.25
EcoAnalysts,2/15/2008,D8,11.75
EcoAnalysts,2/15/2008,D8,0.13
EcoAnalysts,2/15/2008,D8,0.13
EcoAnalysts,2/15/2008,D8,0.5
EcoAnalysts,2/13/2008,D19,0.06
EcoAnalysts,2/13/2008,D19,1.83
EcoAnalysts,2/13/2008,D19,0.28
EcoAnalysts,2/13/2008,D19,0.5
EcoAnalysts,2/13/2008,D19,0.06
EcoAnalysts,2/13/2008,D19,0.11
EcoAnalysts,2/13/2008,D19,0.11
EcoAnalysts,2/13/2008,D19,0.06
EcoAnalysts,2/13/2008,D19,1.39
EcoAnalysts,2/13/2008,D19,0.06
EcoAnalysts,2/13/2008,D19,5.72
EcoAnalysts,2/13/2008,D19,0.06
EcoAnalysts,2/13/2008,D19,0.61
EcoAnalysts,2/13/2008,D19,0.72
EcoAnalysts,2/13/2008,D19,0.24
EcoAnalysts,2/13/2008,D19,9.15
EcoAnalysts,2/13/2008,D19,0.06
EcoAnalysts,2/13/2008,D19,0.06
EcoAnalysts,2/13/2008,D19,1.44
EcoAnalysts,2/13/2008,D19,0.11
EcoAnalysts,2/13/2008,D19,8.72
EcoAnalysts,2/13/2008,D19,0.33
EcoAnalysts,2/14/2008,D26,0.91
EcoAnalysts,2/14/2008,D26,0.18
EcoAnalysts,2/14/2008,D26,1.64
EcoAnalysts,2/14/2008,D26,4.36
EcoAnalysts,2/14/2008,D26,6.18
EcoAnalysts,2/14/2008,D26,3.6
EcoAnalysts,2/14/2008,D26,1.82
EcoAnalysts,2/14/2008,D26,2.36
EcoAnalysts,2/14/2008,D26,1.64
EcoAnalysts,2/14/2008,D26,0.18
EcoAnalysts,2/14/2008,D26,2.73
EcoAnalysts,2/14/2008,D26,0.18
EcoAnalysts,2/14/2008,D26,0.55
EcoAnalysts,2/14/2008,D26,6.73
EcoAnalysts,2/14/2008,D26,0.18
EcoAnalysts,2/14/2008,D26,3.09
EcoAnalysts,2/14/2008,D26,2.18
EcoAnalysts,2/14/2008,D26,6.73
EcoAnalysts,2/14/2008,D26,188.25
EcoAnalysts,2/14/2008,D26,0.18
EcoAnalysts,2/14/2008,D26,1.27
EcoAnalysts,2/14/2008,D26,0.18
EcoAnalysts,2/14/2008,D26,0.36
EcoAnalysts,2/14/2008,D26,20.18
EcoAnalysts,2/14/2008,D26,0.36
EcoAnalysts,2/14/2008,D26,0.36
EcoAnalysts,2/13/2008,D28A,4.4
EcoAnalysts,2/13/2008,D28A,0.2
EcoAnalysts,2/13/2008,D28A,2.6
EcoAnalysts,2/13/2008,D28A,0.2
EcoAnalysts,2/13/2008,D28A,7.2
EcoAnalysts,2/13/2008,D28A,2.8
EcoAnalysts,2/13/2008,D28A,1
EcoAnalysts,2/13/2008,D28A,0.2
EcoAnalysts,2/13/2008,D28A,4.8
EcoAnalysts,2/13/2008,D28A,12.2
EcoAnalysts,2/13/2008,D28A,0.2
EcoAnalysts,2/13/2008,D28A,4.8
EcoAnalysts,2/13/2008,D28A,21
EcoAnalysts,2/13/2008,D28A,0.2
EcoAnalysts,2/13/2008,D28A,214
EcoAnalysts,2/13/2008,D28A,4.6
EcoAnalysts,2/13/2008,D28A,0.2
EcoAnalysts,2/13/2008,D28A,0.8
EcoAnalysts,2/13/2008,D28A,7.6
EcoAnalysts,2/13/2008,D28A,4.4
EcoAnalysts,2/15/2008,EZ2,2.17
EcoAnalysts,2/15/2008,EZ2,2.5
EcoAnalysts,2/15/2008,EZ2,2.5
EcoAnalysts,2/15/2008,EZ2,2.33
EcoAnalysts,2/15/2008,EZ2,1.67
EcoAnalysts,2/15/2008,EZ2,0.17
EcoAnalysts,2/15/2008,EZ2,0.17
EcoAnalysts,2/15/2008,EZ2,1.33
EcoAnalysts,2/15/2008,EZ2,0.17
EcoAnalysts,2/15/2008,EZ2,16.17
EcoAnalysts,2/15/2008,EZ2,0.17
EcoAnalysts,2/15/2008,EZ2,4.17
EcoAnalysts,2/15/2008,EZ2,2
EcoAnalysts,2/15/2008,EZ2,2
EcoAnalysts,2/15/2008,EZ2,1.17
EcoAnalysts,2/15/2008,EZ2,0.17
EcoAnalysts,2/15/2008,EZ2,3.33
EcoAnalysts,2/15/2008,EZ2,1.17
EcoAnalysts,2/15/2008,EZ2,1.17
EcoAnalysts,2/15/2008,EZ2,21.83
EcoAnalysts,2/15/2008,EZ2,1.5
EcoAnalysts,2/15/2008,EZ2,0.17
EcoAnalysts,2/15/2008,EZ2,0.17
EcoAnalysts,2/15/2008,EZ6,1.09
EcoAnalysts,2/15/2008,EZ6,5.4
EcoAnalysts,2/15/2008,EZ6,1.64
EcoAnalysts,2/15/2008,EZ6,0.45
EcoAnalysts,2/15/2008,EZ6,1.09
EcoAnalysts,2/15/2008,EZ6,0.27
EcoAnalysts,2/15/2008,EZ6,13.18
EcoAnalysts,2/15/2008,EZ6,0.64
EcoAnalysts,2/15/2008,EZ6,1.09
EcoAnalysts,2/15/2008,EZ6,8.36
EcoAnalysts,2/15/2008,EZ6,16.35
EcoAnalysts,2/15/2008,EZ6,2.09
EcoAnalysts,2/15/2008,EZ6,1.09
EcoAnalysts,2/15/2008,EZ6,10.09
EcoAnalysts,2/15/2008,EZ6,0.27
EcoAnalysts,2/15/2008,EZ6,0.27
EcoAnalysts,2/15/2008,EZ6,0.09
EcoAnalysts,2/15/2008,EZ6,0.18
EcoAnalysts,2/15/2008,EZ6,0.18
EcoAnalysts,3/11/2008,C3A,4.33
EcoAnalysts,3/11/2008,C3A,1.83
EcoAnalysts,3/11/2008,C3A,0.5
EcoAnalysts,3/11/2008,C3A,10
EcoAnalysts,3/11/2008,C3A,2.83
EcoAnalysts,3/11/2008,C3A,1.67
EcoAnalysts,3/11/2008,C3A,0.33
EcoAnalysts,3/11/2008,C3A,1.17
EcoAnalysts,3/11/2008,C3A,0.33
EcoAnalysts,3/11/2008,C3A,7
EcoAnalysts,3/11/2008,C3A,22
EcoAnalysts,3/11/2008,C3A,0.33
EcoAnalysts,3/11/2008,C3A,4
EcoAnalysts,3/11/2008,C3A,2.33
EcoAnalysts,3/11/2008,C3A,3.83
EcoAnalysts,3/11/2008,C3A,17.55
EcoAnalysts,3/11/2008,C3A,2.67
EcoAnalysts,3/11/2008,C3A,0.5
EcoAnalysts,3/11/2008,C3A,11.17
EcoAnalysts,3/11/2008,C3A,0.5
EcoAnalysts,3/11/2008,C3A,0.17
EcoAnalysts,3/11/2008,C10A,0.75
EcoAnalysts,3/11/2008,C10A,0.75
EcoAnalysts,3/11/2008,C10A,1.25
EcoAnalysts,3/11/2008,C10A,0.25
EcoAnalysts,3/11/2008,C10A,1.5
EcoAnalysts,3/11/2008,C10A,0.5
EcoAnalysts,3/11/2008,C10A,1
EcoAnalysts,3/11/2008,C10A,4.5
EcoAnalysts,3/11/2008,C10A,33.5
EcoAnalysts,3/11/2008,C10A,0.25
EcoAnalysts,3/11/2008,C10A,0.25
EcoAnalysts,3/11/2008,C10A,4.5
EcoAnalysts,3/11/2008,C10A,1
EcoAnalysts,3/11/2008,C10A,0.25
EcoAnalysts,3/11/2008,C10A,3.25
EcoAnalysts,3/11/2008,C10A,3
EcoAnalysts,3/11/2008,C10A,30
EcoAnalysts,3/11/2008,C10A,3.25
EcoAnalysts,3/11/2008,C10A,3
EcoAnalysts,3/11/2008,C10A,6
EcoAnalysts,3/11/2008,C10A,26.25
EcoAnalysts,3/11/2008,C10A,0.25
EcoAnalysts,3/11/2008,C10A,192.5
EcoAnalysts,3/11/2008,C10A,2.75
EcoAnalysts,3/11/2008,C10A,0.5
EcoAnalysts,3/11/2008,C10A,6
EcoAnalysts,3/11/2008,C10A,0.75
EcoAnalysts,3/11/2008,C10A,5.5
EcoAnalysts,3/11/2008,C10A,1.5
EcoAnalysts,3/11/2008,C10A,0.5
EcoAnalysts,3/11/2008,C10A,3.25
EcoAnalysts,3/18/2008,D41A,1.23
EcoAnalysts,3/18/2008,D41A,1.85
EcoAnalysts,3/18/2008,D41A,2.31
EcoAnalysts,3/18/2008,D41A,2.31
EcoAnalysts,3/18/2008,D41A,0.92
EcoAnalysts,3/18/2008,D41A,2.31
