MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,9/30/2022,8:25,E0922B2102,EZ6,3,66,4,6.06%,0.0683,314.159,1.2294,18,63.88,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,24.1,,,i,BSA.09-03,AB,Low detritus.,elliptic prism,564.44,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,8:25,E0922B2102,EZ6,3,66,4,6.06%,0.0683,314.159,1.2294,18,63.88,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,12.7,,,i,BSA.09-03,AB,Low detritus.,cylinder,398.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,8:25,E0922B2102,EZ6,3,66,4,6.06%,0.0683,314.159,1.2294,18,63.88,535,Mayamaea sp.,Diatom,Mayamaea,sp.,,1,1,11.7,,,i,BSA.09-03,AB,Low detritus.,elliptic prism,111.74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,8:25,E0922B2102,EZ6,3,66,4,6.06%,0.0683,314.159,1.2294,18,63.88,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,5,5,2.3,,,i,BSA.09-03,AB,Low detritus.,sphere,4.85,,,,,,,,,
Phyto,9/30/2022,8:25,E0922B2102,EZ6,3,66,4,6.06%,0.0683,314.159,1.2294,18,63.88,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,2,2,16.7,,,i,BSA.09-03,AB,Low detritus.,cone + half sphere,1421.82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,8:25,E0922B2102,EZ6,3,66,4,6.06%,0.0683,314.159,1.2294,18,63.88,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,10,10,9.5,,,i,BSA.09-03,AB,Low detritus.,cone + half sphere,271.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,8:25,E0922B2102,EZ6,3,66,4,6.06%,0.0683,314.159,1.2294,18,63.88,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,389,778,0.8,0.8,0.8,c,BSA.09-03,AB,Low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,9/30/2022,8:25,E0922B2102,EZ6,3,66,4,6.06%,0.0683,314.159,1.2294,18,63.88,1555,Lepocinclis sp.,Soft Body,Lepocinclis,sp.,,1,1,30.1,,,i,BSA.09-03,AB,Low detritus.,2 cones,1976.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,8:25,E0922B2077,D22,3,61,3,4.92%,0.0683,314.159,1.2294,18,85.18,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,18.5,,,i,BSA.09-04,CB,,elliptic prism,418.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,8:25,E0922B2077,D22,3,61,3,4.92%,0.0683,314.159,1.2294,18,85.18,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,35.2,,,i,BSA.09-04,CB,,prism on parallelogram,551.94,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,8:25,E0922B2077,D22,3,61,3,4.92%,0.0683,314.159,1.2294,18,85.18,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,11.1,,,i,BSA.09-04,CB,,cone + half sphere,384.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,8:25,E0922B2077,D22,3,61,3,4.92%,0.0683,314.159,1.2294,18,85.18,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,398,796,0.8,0.8,0.8,c,BSA.09-04,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,9/19/2022,12:20,E0922B2131,D8,3,64,3,4.69%,0.0683,314.159,1.4343,21,73.01,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,9.5,,,i,BSA.09-05,AB,Low sediment and detritus.,cylinder,232.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,12:20,E0922B2131,D8,3,64,3,4.69%,0.0683,314.159,1.4343,21,73.01,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,16,16,2.3,,,i,BSA.09-05,AB,Low sediment and detritus.,sphere,4.85,,,,,,,,,
Phyto,9/19/2022,12:20,E0922B2131,D8,3,64,3,4.69%,0.0683,314.159,1.4343,21,73.01,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,1,1,3.5,,,i,BSA.09-05,AB,Low sediment and detritus.,cylinder + 2 cones,4.58,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,12:20,E0922B2131,D8,3,64,3,4.69%,0.0683,314.159,1.4343,21,73.01,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,8,8,10.6,,,i,BSA.09-05,AB,Low sediment and detritus.,cone + half sphere,178.19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,12:20,E0922B2131,D8,3,64,3,4.69%,0.0683,314.159,1.4343,21,73.01,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,389,778,0.8,0.8,0.8,c,BSA.09-05,AB,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,9/19/2022,12:20,E0922B2131,D8,3,64,3,4.69%,0.0683,314.159,1.4343,21,73.01,1629,cf. Peridinium sp.,Soft Body,Peridinium,sp.,,1,1,26.7,,,i,BSA.09-05,AB,Low sediment and detritus.,ellipsoid,4138.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,10:05,E0922B2078,NZ068,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,7.6,,,i,BSA.09-06,AB,,cylinder,171.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,10:05,E0922B2078,NZ068,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,1,1,31.5,,,i,BSA.09-06,AB,,elliptic prism,2412.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,10:05,E0922B2078,NZ068,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,35.2,,,i,BSA.09-06,AB,,prism on parallelogram,161.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,10:05,E0922B2078,NZ068,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,2.7,,,i,BSA.09-06,AB,,sphere,9.2,,,,,,,,,
Phyto,9/30/2022,10:05,E0922B2078,NZ068,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,5,5,9.5,,,i,BSA.09-06,AB,,cone + half sphere,200.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,10:05,E0922B2078,NZ068,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,403,806,0.8,0.8,0.8,c,BSA.09-06,AB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,9/30/2022,10:05,E0922B2078,NZ068,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1477,Microcystis sp.,Soft Body,Microcystis,sp.,,2,3,5.8,,,c,BSA.09-06,AB,,sphere,96.97,,,,,,,,,
Phyto,9/30/2022,9:20,E0922B2103,EZ2,3,64,3,4.69%,0.0683,314.159,1.1611,17,90.19,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,,,i,BSA.09-07,CB,,cylinder,68.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,9:20,E0922B2103,EZ2,3,64,3,4.69%,0.0683,314.159,1.1611,17,90.19,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,11.1,,,i,BSA.09-07,CB,,prism on parallelogram,22.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,9:20,E0922B2103,EZ2,3,64,3,4.69%,0.0683,314.159,1.1611,17,90.19,1031,cf. Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,2,2,9.3,,,i,BSA.09-07,CB,,sphere,310.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,9:20,E0922B2103,EZ2,3,64,3,4.69%,0.0683,314.159,1.1611,17,90.19,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,14.8,,,i,BSA.09-07,CB,,prolate spheroid,424.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,9:20,E0922B2103,EZ2,3,64,3,4.69%,0.0683,314.159,1.1611,17,90.19,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,5,5,9.3,,,i,BSA.09-07,CB,,cone + half sphere,319.27,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,9:20,E0922B2103,EZ2,3,64,3,4.69%,0.0683,314.159,1.1611,17,90.19,1733,Teleaulax amphioxeia,Soft Body,Teleaulax,amphioxeia,Plagioselmis prolonga,2,2,5.6,,,i,BSA.09-07,CB,,cone + half sphere,71.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,9:20,E0922B2103,EZ2,3,64,3,4.69%,0.0683,314.159,1.1611,17,90.19,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,393,786,0.8,0.8,0.8,c,BSA.09-07,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,9/30/2022,7:25,E0922B2076,D4,3,63,4,6.35%,0.0683,314.159,1.2294,18,63.88,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,40.7,,,i,BSA.09-08,CB,,cylinder,26410.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,7:25,E0922B2076,D4,3,63,4,6.35%,0.0683,314.159,1.2294,18,63.88,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,1,1,35.2,,,i,BSA.09-08,CB,,elliptic prism,3027.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,7:25,E0922B2076,D4,3,63,4,6.35%,0.0683,314.159,1.2294,18,63.88,1811,Gyrosigma fasciola,Diatom,Gyrosigma,fasciola,,1,1,135.2,,,i,BSA.09-08,CB,,prism on parallelogram,1438.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,7:25,E0922B2076,D4,3,63,4,6.35%,0.0683,314.159,1.2294,18,63.88,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,16.7,,,i,BSA.09-08,CB,,prism on parallelogram,108.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,7:25,E0922B2076,D4,3,63,4,6.35%,0.0683,314.159,1.2294,18,63.88,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,9.3,,,i,BSA.09-08,CB,,sphere,421.16,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,7:25,E0922B2076,D4,3,63,4,6.35%,0.0683,314.159,1.2294,18,63.88,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,,,i,BSA.09-08,CB,,cone + half sphere,298.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,7:25,E0922B2076,D4,3,63,4,6.35%,0.0683,314.159,1.2294,18,63.88,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,399,798,0.8,0.8,0.8,c,BSA.09-08,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,9/30/2022,7:25,E0922B2076,D4,3,63,4,6.35%,0.0683,314.159,1.2294,18,63.88,1448,cf. Komvophoron sp.,Soft Body,Komvophoron,sp.,,1,24,1.9,,,f,BSA.09-08,CB,,cylinder,5.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2022,7:25,E0922B2076,D4,3,63,4,6.35%,0.0683,314.159,1.2294,18,63.88,1468,Merismopedia sp.,Soft Body,Merismopedia,sp.,,4,72,1.9,,,c,BSA.09-08,CB,,cube,6.86,,,,,,,,,
Phyto,9/19/2022,13:00,E0922B2132,D10,3,61,3,4.92%,0.0683,314.159,1.0928,16,95.83,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,11.4,,,i,BSA.09-09,AB,Moderate sediment.,cylinder,153.31,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,13:00,E0922B2132,D10,3,61,3,4.92%,0.0683,314.159,1.0928,16,95.83,1811,Gyrosigma fasciola,Diatom,Gyrosigma,fasciola,,1,1,124.1,,,i,BSA.09-09,AB,Moderate sediment.,prism on parallelogram,4718.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,13:00,E0922B2132,D10,3,61,3,4.92%,0.0683,314.159,1.0928,16,95.83,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,15.1,,,i,BSA.09-09,AB,Moderate sediment.,prism on parallelogram,79.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,13:00,E0922B2132,D10,3,61,3,4.92%,0.0683,314.159,1.0928,16,95.83,870,Pseudostaurosira sp.,Diatom,Pseudostaurosira,sp.,,2,2,13,,,i,BSA.09-09,AB,Moderate sediment.,box,107.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,13:00,E0922B2132,D10,3,61,3,4.92%,0.0683,314.159,1.0928,16,95.83,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,3.8,,,i,BSA.09-09,AB,Moderate sediment.,sphere,9.2,,,,,,,,,
Phyto,9/19/2022,13:00,E0922B2132,D10,3,61,3,4.92%,0.0683,314.159,1.0928,16,95.83,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,16.5,,,i,BSA.09-09,AB,Moderate sediment.,prolate spheroid,499.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,13:00,E0922B2132,D10,3,61,3,4.92%,0.0683,314.159,1.0928,16,95.83,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.09-09,AB,Moderate sediment.,cone + half sphere,330.59,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,13:00,E0922B2132,D10,3,61,3,4.92%,0.0683,314.159,1.0928,16,95.83,1733,Teleaulax amphioxeia,Soft Body,Teleaulax,amphioxeia,Plagioselmis prolonga,1,1,4.6,,,i,BSA.09-09,AB,Moderate sediment.,cone + half sphere,43.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,13:00,E0922B2132,D10,3,61,3,4.92%,0.0683,314.159,1.0928,16,95.83,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,1,2,3.9,,,c,BSA.09-09,AB,Moderate sediment.,sphere,31.06,,,,,,,,,
Phyto,9/19/2022,13:00,E0922B2132,D10,3,61,3,4.92%,0.0683,314.159,1.0928,16,95.83,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,383,766,0.8,0.8,0.8,c,BSA.09-09,AB,Moderate sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,9/14/2022,10:30,D19-Microcystis Tow,D19,,59,0.5,0.85%,0.0683,314.159,1.0245,15,613.29,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,18,18,10.7,,,i,BSA.09-10,AB,,sphere,264.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/14/2022,10:30,D19-Microcystis Tow,D19,,59,0.5,0.85%,0.0683,314.159,1.0245,15,613.29,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,10,10,2.6,,,i,BSA.09-10,AB,,sphere,5.58,,,,,,,,,
Phyto,9/14/2022,10:30,D19-Microcystis Tow,D19,,59,0.5,0.85%,0.0683,314.159,1.0245,15,613.29,1774,Desmodesmus sp.,Soft Body,Desmodesmus,sp.,,1,2,7.4,,,c,BSA.09-10,AB,,prolate spheroid,34.87,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/14/2022,10:30,D19-Microcystis Tow,D19,,59,0.5,0.85%,0.0683,314.159,1.0245,15,613.29,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,9.3,,,i,BSA.09-10,AB,,cone + half sphere,199.33,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/14/2022,10:30,D19-Microcystis Tow,D19,,59,0.5,0.85%,0.0683,314.159,1.0245,15,613.29,1393,Aphanizomenon sp.,Soft Body,Aphanizomenon,sp.,,2,37,5.6,,,f,BSA.09-10,AB,,cylinder,55.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/14/2022,10:30,D19-Microcystis Tow,D19,,59,0.5,0.85%,0.0683,314.159,1.0245,15,613.29,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,12,32,3.9,,,c,BSA.09-10,AB,,sphere,24.43,,,,,,,,,
Phyto,9/14/2022,10:30,D19-Microcystis Tow,D19,,59,0.5,0.85%,0.0683,314.159,1.0245,15,613.29,1766,Dolichospermum sp.,Soft Body,Dolichospermum,sp.,,1,28,7.4,,,c,BSA.09-10,AB,,sphere,153.46,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
