MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,1/16/2022,8:05,E0122B0013,D12,3,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,37,,,i,BSA.01-01,CB,,elliptic prism,795.65,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/16/2022,8:05,E0122B0013,D12,3,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,37,,,i,BSA.01-01,CB,,prism on parallelogram,152.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/16/2022,8:05,E0122B0013,D12,3,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,18.5,,,i,BSA.01-01,CB,,2 cones,34.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/16/2022,8:05,E0122B0013,D12,3,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,392,784,0.8,0.8,0.8,c,BSA.01-01,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/7/2022,8:15,E0122B0050,D26,3,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,24.1,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,elliptic prism,586.77,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/7/2022,8:15,E0122B0050,D26,3,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,cylinder,153.94,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/7/2022,8:15,E0122B0050,D26,3,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,31.5,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,elliptic prism,732.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/7/2022,8:15,E0122B0050,D26,3,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,13.5,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,prism on parallelogram,40.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/7/2022,8:15,E0122B0050,D26,3,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,18,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,prism on parallelogram,135,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/7/2022,8:15,E0122B0050,D26,3,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,10.1,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,cone + half sphere,392.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/7/2022,8:15,E0122B0050,D26,3,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,415,830,0.8,0.8,0.8,c,BSA.01-02,AB,Moderate sediment and low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/6/2022,9:15,E0122B0014,D16,3,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.01-03,CB,,elliptic prism,61.29,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,9:15,E0122B0014,D16,3,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,4,4,38.9,,,i,BSA.01-03,CB,,elliptic prism,1351.28,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,9:15,E0122B0014,D16,3,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,9.3,,,i,BSA.01-03,CB,,cylinder,134.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,9:15,E0122B0014,D16,3,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,464,Gomphonema sp.,Diatom,Gomphonema,sp.,,1,1,7.4,,,i,BSA.01-03,CB,,gomphonemoid,71.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,9:15,E0122B0014,D16,3,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,13,,,i,BSA.01-03,CB,,prism on parallelogram,13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,9:15,E0122B0014,D16,3,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,3,3,20.4,,,i,BSA.01-03,CB,,prolate spheroid,455.74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,9:15,E0122B0014,D16,3,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,404,808,0.8,0.8,0.8,c,BSA.01-03,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/6/2022,9:15,E0122B0014,D16,3,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,2,32,2,,,f.,BSA.01-03,CB,,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,12:10,E0122B0079,NZ068,3,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,12,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,elliptic prism,73.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,12:10,E0122B0079,NZ068,3,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,2071,Aulacoseira pusilla,Diatom,Aulacoseira,pusilla,,8,8,9.5,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,cylinder,315.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,12:10,E0122B0079,NZ068,3,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,elliptic prism,294.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,12:10,E0122B0079,NZ068,3,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,12,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,cylinder,836.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,12:10,E0122B0079,NZ068,3,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,3,3,35.6,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,prism on parallelogram,94.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,12:10,E0122B0079,NZ068,3,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,1005,Ulnaria sp.,Diatom,Ulnaria,sp.,,1,1,185.2,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,elliptic prism,7563.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,12:10,E0122B0079,NZ068,3,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,2,2,5.6,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,cone + half sphere,76.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/10/2022,12:10,E0122B0079,NZ068,3,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,398,796,0.8,0.8,0.8,c,BSA.01-04,AB,Moderate sediment and high detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/5/2022,11:45,E0122B0004,C10A,3,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,11,11,11.1,,,i,BSA.01-05,CB,High sediment.,cylinder,154.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,11:45,E0122B0004,C10A,3,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,631,Navicula sp.,Diatom,Navicula,sp.,,5,5,25.9,,,i,BSA.01-05,CB,High sediment.,elliptic prism,282.74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,11:45,E0122B0004,C10A,3,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,4,4,51.9,,,i,BSA.01-05,CB,High sediment.,prism on parallelogram,61.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,11:45,E0122B0004,C10A,3,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,893,Sellaphora sp.,Diatom,Sellaphora,sp.,,1,1,19.8,,,i,BSA.01-05,CB,High sediment.,box,310.46,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,11:45,E0122B0004,C10A,3,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,9.3,,,i,BSA.01-05,CB,High sediment.,cone + half sphere,310.19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,11:45,E0122B0004,C10A,3,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,380,760,0.8,0.8,0.8,c,BSA.01-05,CB,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/5/2022,11:45,E0122B0004,C10A,3,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,14,2,,,f,BSA.01-05,CB,High sediment.,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,8:30,E0122B0002,C3A,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,30.5,,,i,BSA.01-06,AB,Moderate sediment and detritus.,elliptic prism,431.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,8:30,E0122B0002,C3A,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,,,i,BSA.01-06,AB,Moderate sediment and detritus.,elliptic prism,163.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,8:30,E0122B0002,C3A,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,8,,,i,BSA.01-06,AB,Moderate sediment and detritus.,cylinder,251.33,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,8:30,E0122B0002,C3A,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,18.5,,,i,BSA.01-06,AB,Moderate sediment and detritus.,elliptic prism,104.61,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,8:30,E0122B0002,C3A,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,18,,,i,BSA.01-06,AB,Moderate sediment and detritus.,prism on parallelogram,87.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,8:30,E0122B0002,C3A,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,29.6,,,i,BSA.01-06,AB,Moderate sediment and detritus.,prism on parallelogram,222,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,8:30,E0122B0002,C3A,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1001,Ulnaria cf. acus,Diatom,Ulnaria,acus,,1,1,163,,,i,BSA.01-06,AB,Moderate sediment and detritus.,elliptic prism,2867.64,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,8:30,E0122B0002,C3A,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,19,,,i,BSA.01-06,AB,Moderate sediment and detritus.,2 cones,22.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,8:30,E0122B0002,C3A,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,10,,,i,BSA.01-06,AB,Moderate sediment and detritus.,cone + half sphere,392.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/5/2022,8:30,E0122B0002,C3A,3,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,391,792,0.8,0.8,0.8,c,BSA.01-06,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/6/2022,10:35,E0122B0015,D19,3,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,19,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,elliptic prism,250.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,10:35,E0122B0015,D19,3,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,30.7,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,prism on parallelogram,268.63,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,10:35,E0122B0015,D19,3,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,846,cf. Planothidium sp.,Diatom,Planothidium,sp.,,1,1,15,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,elliptic prism,87.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,10:35,E0122B0015,D19,3,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,16.8,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,2 cones,19.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,10:35,E0122B0015,D19,3,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,12,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,cone + half sphere,588.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,10:35,E0122B0015,D19,3,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,2,2,6,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,cone + half sphere,85.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,10:35,E0122B0015,D19,3,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,405,810,0.8,0.8,0.8,c,BSA.01-07,AB,Moderate sediment and high detritus. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/6/2022,10:35,E0122B0015,D19,3,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,1,2,4.5,,,c,BSA.01-07,AB,Moderate sediment and high detritus. ,sphere,47.71,,,,,,,,,
Phyto,1/7/2022,9:35,E0122B0051,MD10A,3,52,9,17.31%,0.0683,314.159,1.1611,17,30.06,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,18.5,,,i,BSA.01-08,AB,Low sediment and moderate detritus.,elliptic prism,301.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/7/2022,9:35,E0122B0051,MD10A,3,52,9,17.31%,0.0683,314.159,1.1611,17,30.06,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,1,1,5.8,,,i,BSA.01-08,AB,Low sediment and moderate detritus.,cone + half sphere,100.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/7/2022,9:35,E0122B0051,MD10A,3,52,9,17.31%,0.0683,314.159,1.1611,17,30.06,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,397,794,0.8,0.8,0.8,c,BSA.01-08,AB,Low sediment and moderate detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/6/2022,11:25,E0122B0016,D28A,3,63,8,12.70%,0.0683,314.159,1.366,20,28.75,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,2,2,14,,,i,BSA.01-09,AB,Moderate sediment.,elliptic prism,62.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,11:25,E0122B0016,D28A,3,63,8,12.70%,0.0683,314.159,1.366,20,28.75,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18,,,i,BSA.01-09,AB,Moderate sediment.,elliptic prism,325.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,11:25,E0122B0016,D28A,3,63,8,12.70%,0.0683,314.159,1.366,20,28.75,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7.4,,,i,BSA.01-09,AB,Moderate sediment.,cylinder,215.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,11:25,E0122B0016,D28A,3,63,8,12.70%,0.0683,314.159,1.366,20,28.75,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,19,,,i,BSA.01-09,AB,Moderate sediment.,elliptic prism,250.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,11:25,E0122B0016,D28A,3,63,8,12.70%,0.0683,314.159,1.366,20,28.75,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,20.4,,,i,BSA.01-09,AB,Moderate sediment.,prism on parallelogram,71.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,11:25,E0122B0016,D28A,3,63,8,12.70%,0.0683,314.159,1.366,20,28.75,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,3,3,5.6,,,i,BSA.01-09,AB,Moderate sediment.,cone + half sphere,76.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/6/2022,11:25,E0122B0016,D28A,3,63,8,12.70%,0.0683,314.159,1.366,20,28.75,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,395,790,0.8,0.8,0.8,c,BSA.01-09,AB,Moderate sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
