MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (ft.),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,10:45,E0422B0668,C9,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,9.3,,,i,BSA.04-02,CB,,2 cones,17.58,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,10:45,E0422B0668,C9,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,9,9,9.3,,,i,BSA.04-02,CB,,cone + half sphere,216.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,10:45,E0422B0668,C9,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,375,750,0.8,0.8,0.8,c,BSA.04-02,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/6/2022,10:45,E0422B0668,C9,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,22,2,,,f,BSA.04-02,CB,,cylinder,3.14,,,,,,,,,
Phyto,4/6/2022,6:55,E0422B0678,D12,3,59,4,6.78%,0.0683,314.159,1.366,20,57.5,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,,,i,BSA.04-03,CB,High sediment.  ,cylinder,68.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,6:55,E0422B0678,D12,3,59,4,6.78%,0.0683,314.159,1.366,20,57.5,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,8,8,46.3,,,i,BSA.04-03,CB,High sediment.  ,elliptic prism,4018.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,6:55,E0422B0678,D12,3,59,4,6.78%,0.0683,314.159,1.366,20,57.5,664,Nitzschia acicularis,Diatom,Nitzschia,acicularis,,1,1,66.7,,,i,BSA.04-03,CB,High sediment.  ,prism on parallelogram,431.88,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,6:55,E0422B0678,D12,3,59,4,6.78%,0.0683,314.159,1.366,20,57.5,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,24.1,,,i,BSA.04-03,CB,High sediment.  ,cylinder,5474,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,6:55,E0422B0678,D12,3,59,4,6.78%,0.0683,314.159,1.366,20,57.5,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,2,2,7.4,,,i,BSA.04-03,CB,High sediment.  ,2 cones,12.29,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,6:55,E0422B0678,D12,3,59,4,6.78%,0.0683,314.159,1.366,20,57.5,1352,cf. Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,16.7,,,i,BSA.04-03,CB,High sediment.  ,prolate spheroid,438.84,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,6:55,E0422B0678,D12,3,59,4,6.78%,0.0683,314.159,1.366,20,57.5,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,395,790,0.8,0.8,0.8,c,BSA.04-03,CB,High sediment.  ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/6/2022,6:55,E0422B0678,D12,3,59,4,6.78%,0.0683,314.159,1.366,20,57.5,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,10,2,,,f,BSA.04-03,CB,High sediment.  ,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,3,3,13,,,i,BSA.04-04,AB,,elliptic prism,75.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,22.2,,,i,BSA.04-04,AB,,elliptic prism,417.71,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,10.7,,,i,BSA.04-04,AB,,cylinder,175.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,310,Encyonema sp.,Diatom,Encyonema,sp.,,1,1,22.2,,,i,BSA.04-04,AB,,cymbelloid,165.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,540,Melosira cf. varians,Diatom,Melosira,varians,,1,1,25.9,,,i,BSA.04-04,AB,,cylinder,5078.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,631,Navicula sp.,Diatom,Navicula,sp.,,7,7,33.1,,,i,BSA.04-04,AB,,elliptic prism,577.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,37.2,,,i,BSA.04-04,AB,,prism on parallelogram,92.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,870,Pseudostaurosira sp.,Diatom,Pseudostaurosira,sp.,,6,6,21.9,,,i,BSA.04-04,AB,,box,657.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,923,Staurosira cf. venter,Diatom,Staurosira,venter,,3,3,12.1,,,i,BSA.04-04,AB,,elliptic prism,108.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,1005,cf. Ulnaria sp.,Diatom,Ulnaria,sp.,,1,1,105.9,,,i,BSA.04-04,AB,,elliptic prism,1010.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,14,14,2.4,,,i,BSA.04-04,AB,,sphere,5.58,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,14,14,5.6,,,i,BSA.04-04,AB,,2 cones,10.26,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,16.7,,,i,BSA.04-04,AB,,2 cones,12.59,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,4,13.5,,,c,BSA.04-04,AB,,prolate spheroid,37.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,7.4,,,i,BSA.04-04,AB,,cone + half sphere,110.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,1368,Rhodomonas sp.,Soft Body,Rhodomonas,sp.,,2,2,13,,,i,BSA.04-04,AB,,cone + half sphere,880.03,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,350,700,0.8,0.8,0.8,c,BSA.04-04,AB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/6/2022,12:15,E0422B0669,C10A,3,60,4,6.67%,0.0683,314.159,1.7758,26,44.23,1448,cf. Komvophoron sp.,Soft Body,Komvophoron,sp.,,1,24,2,,,f,BSA.04-04,AB,,cylinder,5.65,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,10:50,E0422B0680,D19,3,60,6,10.00%,0.0683,314.159,0.8879,13,58.97,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,58,58,7.4,,,i,BSA.04-05,CB,,cylinder,99.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,10:50,E0422B0680,D19,3,60,6,10.00%,0.0683,314.159,0.8879,13,58.97,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,2,2,11.1,,,i,BSA.04-05,CB,,cylinder + 2 half spheres,99.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,10:50,E0422B0680,D19,3,60,6,10.00%,0.0683,314.159,0.8879,13,58.97,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,3,3,16.7,,,i,BSA.04-05,CB,,2 cones,14.98,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,10:50,E0422B0680,D19,3,60,6,10.00%,0.0683,314.159,0.8879,13,58.97,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,8,8,16.7,,,i,BSA.04-05,CB,,prolate spheroid,522.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,10:50,E0422B0680,D19,3,60,6,10.00%,0.0683,314.159,0.8879,13,58.97,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,16,16,9.3,,,i,BSA.04-05,CB,,cone + half sphere,288.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,10:50,E0422B0680,D19,3,60,6,10.00%,0.0683,314.159,0.8879,13,58.97,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,228,456,0.8,0.8,0.8,c,BSA.04-05,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,16,16,10.4,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,cylinder,181.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,273,Diatoma sp.,Diatom,Diatoma,sp.,,1,1,15.2,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,elliptic prism,167.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,27.8,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,elliptic prism,662.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,19.2,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,prism on parallelogram,110.11,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,923,Staurosira venter,Diatom,Staurosira,venter,,1,1,9,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,elliptic prism,159.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,5.2,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,sphere,73.62,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,19.1,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,2 cones,14.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,1704,Monoraphidium cf. minutum,Soft Body,Monoraphidium,minutum,,3,3,6.1,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,2 cones,15.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,19.1,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,prolate spheroid,940.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,28,28,9.3,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,cone + half sphere,147.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,1368,Rhodomonas sp.,Soft Body,Rhodomonas,sp.,,4,4,16.9,,,i,BSA.04-06,AB,Cannot meet tally in 50 fields.,cone + half sphere,1503.59,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/21/2022,11:35,E0422B0681,D28A,3,58,4,6.90%,0.0683,314.159,3.415,50,23,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,293,586,0.8,0.8,0.8,c,BSA.04-06,AB,Cannot meet tally in 50 fields.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/22/2022,7:30,E0422B0715,D26,3,62,5,8.06%,0.0683,314.159,3.2784,48,19.17,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,,,i,BSA.04-07,AB,Low sediment and detritus.,elliptic prism,355.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,7:30,E0422B0715,D26,3,62,5,8.06%,0.0683,314.159,3.2784,48,19.17,182,Cyclotella cf. meneghiniana,Diatom,Cyclotella,meneghiniana,,1,1,29.6,,,i,BSA.04-07,AB,Low sediment and detritus.,cylinder,14037.93,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,7:30,E0422B0715,D26,3,62,5,8.06%,0.0683,314.159,3.2784,48,19.17,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,47,47,6.5,,,i,BSA.04-07,AB,Low sediment and detritus.,cylinder,88.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,7:30,E0422B0715,D26,3,62,5,8.06%,0.0683,314.159,3.2784,48,19.17,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,16.7,,,i,BSA.04-07,AB,Low sediment and detritus.,prism on parallelogram,50.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,7:30,E0422B0715,D26,3,62,5,8.06%,0.0683,314.159,3.2784,48,19.17,271,Odontidium mesodon,Diatom,Odontidium,mesodon,Diatoma mesodon,1,1,16.7,,,i,BSA.04-07,AB,Low sediment and detritus.,elliptic prism,426.27,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,7:30,E0422B0715,D26,3,62,5,8.06%,0.0683,314.159,3.2784,48,19.17,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,2,2,6.2,,,i,BSA.04-07,AB,Low sediment and detritus.,2 cones,22.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,7:30,E0422B0715,D26,3,62,5,8.06%,0.0683,314.159,3.2784,48,19.17,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,14,14,9.1,,,i,BSA.04-07,AB,Low sediment and detritus.,cone + half sphere,135.58,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,7:30,E0422B0715,D26,3,62,5,8.06%,0.0683,314.159,3.2784,48,19.17,1368,Rhodomonas sp.,Soft Body,Rhodomonas,sp.,,7,7,14.6,,,i,BSA.04-07,AB,Low sediment and detritus.,cone + half sphere,1026.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2022,7:30,E0422B0715,D26,3,62,5,8.06%,0.0683,314.159,3.2784,48,19.17,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,326,652,0.8,0.8,0.8,c,BSA.04-07,AB,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
