MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth ft),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,4,4,20.4,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,2 cones,11.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,22.2,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,prolate spheroid,1510.64,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,7,7,11.1,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,cone + half sphere,328.42,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,298,596,0.8,0.8,0.8,c,BSA.03-01,AB,Low detritus. Many broken diatoms.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,7,189,3.5,,,f,BSA.03-01,AB,Low detritus. Many broken diatoms.,cylinder,7.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,40.7,,,i,BSA.03-02,CB,,elliptic prism,906.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,18.5,,,i,BSA.03-02,CB,,elliptic prism,698.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,17,17,11.1,,,i,BSA.03-02,CB,,cylinder,211.27,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,289,Diploneis sp.,Diatom,Diploneis,sp.,,1,1,37,,,i,BSA.03-02,CB,,elliptic prism,6046.74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,540,Melosira varians,Diatom,Melosira,varians,,11,11,27.8,,,i,BSA.03-02,CB,,cylinder,4146.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,37,,,i,BSA.03-02,CB,,prism on parallelogram,323.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,27.8,,,i,BSA.03-02,CB,,cylinder,8437.11,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,4,4,16.7,,,i,BSA.03-02,CB,,prolate spheroid,562.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,20,20,11.1,,,i,BSA.03-02,CB,,cone + half sphere,323.86,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,349,698,0.8,0.8,0.8,c,BSA.03-02,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/10/2022,13:00,E0322B0474,D28A,3,61,10,16.39%,0.0683,314.159,1.1611,17,27.06,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,2,28,2.2,,,f,BSA.03-02,CB,,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,12:30,E0322B0461,C9,3,58,12,20.69%,0.0683,314.159,1.2977,19,20.17,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,3,3,20.4,,,i,BSA.03-03,CB,,elliptic prism,548.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,12:30,E0322B0461,C9,3,58,12,20.69%,0.0683,314.159,1.2977,19,20.17,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,13,,,i,BSA.03-03,CB,,cylinder,312.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,12:30,E0322B0461,C9,3,58,12,20.69%,0.0683,314.159,1.2977,19,20.17,481,Gyrosigma sp.,Diatom,Gyrosigma,sp.,,1,1,133.3,,,i,BSA.03-03,CB,,prism on parallelogram,7299.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,12:30,E0322B0461,C9,3,58,12,20.69%,0.0683,314.159,1.2977,19,20.17,540,Melosira varians,Diatom,Melosira,varians,,12,12,18.5,,,i,BSA.03-03,CB,,cylinder,2493.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,12:30,E0322B0461,C9,3,58,12,20.69%,0.0683,314.159,1.2977,19,20.17,631,Navicula sp.,Diatom,Navicula,sp.,,2,2,16.7,,,i,BSA.03-03,CB,,elliptic prism,92.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,12:30,E0322B0461,C9,3,58,12,20.69%,0.0683,314.159,1.2977,19,20.17,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,2,7.4,,,i,BSA.03-03,CB,,prolate spheroid,13.61,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,12:30,E0322B0461,C9,3,58,12,20.69%,0.0683,314.159,1.2977,19,20.17,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,22,22,11.1,,,i,BSA.03-03,CB,,cone + half sphere,408.41,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,12:30,E0322B0461,C9,3,58,12,20.69%,0.0683,314.159,1.2977,19,20.17,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,368,736,0.8,0.8,0.8,c,BSA.03-03,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/9/2022,12:30,E0322B0461,C9,3,58,12,20.69%,0.0683,314.159,1.2977,19,20.17,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,3,26,2,,,f,BSA.03-03,CB,,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,12.6,,,i,BSA.03-04,AB,Moderate sediment.,elliptic prism,74.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,95,cf. Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,15.6,,,i,BSA.03-04,AB,Moderate sediment.,cylinder,167.73,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,6,6,22.22,,,i,BSA.03-04,AB,Moderate sediment.,elliptic prism,319.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,28,28,26.9,,,i,BSA.03-04,AB,Moderate sediment.,cylinder,1499.55,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,923,Staurosira cf. venter,Diatom,Staurosira,venter,,3,3,9.5,,,i,BSA.03-04,AB,Moderate sediment.,elliptic prism,66.16,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,3.2,,,i,BSA.03-04,AB,Moderate sediment.,sphere,11.49,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,4,4,4.1,,,i,BSA.03-04,AB,Moderate sediment.,cylinder + 2 cones,5.03,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,1,1,9,,,i,BSA.03-04,AB,Moderate sediment.,2 cones,7.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,22.2,,,i,BSA.03-04,AB,Moderate sediment.,prolate spheroid,859.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,18,18,11.1,,,i,BSA.03-04,AB,Moderate sediment.,cone + half sphere,464.77,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,1733,Teleaulax amphioxeia,Soft Body,Teleaulax,amphioxeia,Plagioselmis prolonga,14,14,6,,,i,BSA.03-04,AB,Moderate sediment.,cone + half sphere,78.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/10/2022,11:00,E0322B0472,D16,3,61,8,13.11%,0.0683,314.159,2.049,30,19.17,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,326,652,0.8,0.8,0.8,c,BSA.03-04,AB,Moderate sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/11/2022,13:50,E0322B0510,P8,3,53,7,13.21%,0.0683,314.159,1.1611,17,38.65,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,2,2,9.3,,,i,BSA.03-05,CB,High sediment.,elliptic prism,59.31,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,13:50,E0322B0510,P8,3,53,7,13.21%,0.0683,314.159,1.1611,17,38.65,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,29.6,,,i,BSA.03-05,CB,High sediment.,elliptic prism,2623.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,13:50,E0322B0510,P8,3,53,7,13.21%,0.0683,314.159,1.1611,17,38.65,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,7.4,,,i,BSA.03-05,CB,High sediment.,cylinder,84.82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,13:50,E0322B0510,P8,3,53,7,13.21%,0.0683,314.159,1.1611,17,38.65,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,20.4,,,i,BSA.03-05,CB,High sediment.,prolate spheroid,1062.27,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,13:50,E0322B0510,P8,3,53,7,13.21%,0.0683,314.159,1.1611,17,38.65,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,9,9,9.3,,,i,BSA.03-05,CB,High sediment.,cone + half sphere,315.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,13:50,E0322B0510,P8,3,53,7,13.21%,0.0683,314.159,1.1611,17,38.65,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,386,772,0.8,0.8,0.8,c,BSA.03-05,CB,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/11/2022,13:50,E0322B0510,P8,3,53,7,13.21%,0.0683,314.159,1.1611,17,38.65,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,8,2,,,f,BSA.03-05,CB,High sediment.,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,12:10,E0322B0509,MD10A,3,64,10,15.63%,0.0683,314.159,3.415,50,9.2,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.03-06,AB,Cannot meet tally in 50 fields. Low sediment.,elliptic prism,70.62,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,12:10,E0322B0509,MD10A,3,64,10,15.63%,0.0683,314.159,3.415,50,9.2,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,4,4,24.2,,,i,BSA.03-06,AB,Cannot meet tally in 50 fields. Low sediment.,elliptic prism,419.26,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,12:10,E0322B0509,MD10A,3,64,10,15.63%,0.0683,314.159,3.415,50,9.2,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,38.9,,,i,BSA.03-06,AB,Cannot meet tally in 50 fields. Low sediment.,prism on parallelogram,185.93,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,12:10,E0322B0509,MD10A,3,64,10,15.63%,0.0683,314.159,3.415,50,9.2,973,cf. Synedra sp.,Diatom,Synedra,sp.,,2,2,98.2,,,i,BSA.03-06,AB,Cannot meet tally in 50 fields. Low sediment.,box,786.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,12:10,E0322B0509,MD10A,3,64,10,15.63%,0.0683,314.159,3.415,50,9.2,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,9,9,2.6,,,i,BSA.03-06,AB,Cannot meet tally in 50 fields. Low sediment.,sphere,7.24,,,,,,,,,
Phyto,3/11/2022,12:10,E0322B0509,MD10A,3,64,10,15.63%,0.0683,314.159,3.415,50,9.2,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,12,12,4.2,,,i,BSA.03-06,AB,Cannot meet tally in 50 fields. Low sediment.,cylinder + 2 cones,5.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,12:10,E0322B0509,MD10A,3,64,10,15.63%,0.0683,314.159,3.415,50,9.2,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,85,85,10.4,,,i,BSA.03-06,AB,Cannot meet tally in 50 fields. Low sediment.,cone + half sphere,328.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/11/2022,12:10,E0322B0509,MD10A,3,64,10,15.63%,0.0683,314.159,3.415,50,9.2,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,261,522,0.8,0.8,0.8,c,BSA.03-06,AB,Cannot meet tally in 50 fields. Low sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,3,3,11.1,,,i,BSA.03-07,CB,,elliptic prism,131.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,74,Amphora sp.,Diatom,Amphora,sp.,,1,1,27.8,,,i,BSA.03-07,CB,,cymbelloid,1015.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,8,8,27.8,,,i,BSA.03-07,CB,,cylinder,1684.64,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,16.7,,,i,BSA.03-07,CB,,cylinder,347.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,14:15,E0322B0462,C10A,3,59,4,6.78%,0.0683,314.159,1.2977,19,60.52,631,Navicula sp.,Diatom,Navicula,sp.,,9,9,37,,,i,BSA.03-07,CB,,elliptic prism,350.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
