MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,GALD,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Organisms per mL,Total Cells Counted,Number of cells per unit
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,2,26.2,NA,i,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",elliptic prism,1210.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.61,2,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,7,15,NA,i,BSA.09-14,KS,"Fragment. Moderate sediment, diatom fragments.",elliptic prism,326.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,394.13,7,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,326,Epithemia sp.,Diatom,Epithemia,sp.,NA,1,15,NA,i,BSA.09-14,KS,"Fragment. Moderate sediment, diatom fragments.",cymbelloid,313.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,1,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,749,Nitzschia sp.,Diatom,Nitzschia,sp.,NA,3,15,NA,i,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",prism on parallelogram,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.91,3,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,846,Planothidium sp.,Diatom,Planothidium,sp.,NA,1,7.5,NA,i,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",elliptic prism,80.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,1,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,976,Synedra ulna,Diatom,Synedra,ulna,NA,1,50.5,NA,i,BSA.09-14,KS,"Fragment. Moderate sediment, diatom fragments.",box,821.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,1,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,NA,1,5.6,NA,i,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",sphere,91.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,1,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,1328,Pseudokephyrion sp.,Soft Body,Pseudokephyrion,sp.,NA,1,6.5,NA,i,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",ellipsoid,46.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,1,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,1341,Chroomonas rosenbergii,Soft Body,Chroomonas,rosenbergii,NA,1,7.5,NA,i,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",cone + half sphere,192.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,1,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,7,8.4,NA,i,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",cone + half sphere,258.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,394.13,7,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,NA,1,13.1,NA,i,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",cone + half sphere,925.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,1,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,367,0.85,NA,c,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",sphere,0.27,0.38,0.27,0.38,0.27,0.38,0.38,0.27,0.38,0.27,20663.47,742,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,1659,cf. Tryblionella coarctata,Diatom,Tryblionella,coarctata,NA,1,65.4,NA,i,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",elliptic prism,8600.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,NA,1,13.1,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",elliptic prism,54.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,68,Amphora holsatica,Diatom,Amphora,holsatica,NA,2,39.2,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",cymbelloid,548.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.17,2,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,2,13.1,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",elliptic prism,146.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.17,2,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,191,Cyclotella spp.,Diatom,Cyclotella,spp.,NA,21,5.6,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",cylinder,91.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1891.81,21,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,496,Hippodonta capitata,Diatom,Hippodonta,capitata,NA,1,18.7,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",elliptic prism,304.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,595,Navicula lanceolata,Diatom,Navicula,lanceolata,NA,1,29.9,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",elliptic prism,651.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,632,Navicula spp.,Diatom,Navicula,spp.,NA,7,28,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",elliptic prism,923.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,630.6,7,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,684,Nitzschia capitellata,Diatom,Nitzschia,capitellata,NA,1,18.7,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",prism on parallelogram,141.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,713,Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,NA,1,7.5,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",prism on parallelogram,19.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,730,Nitzschia palea,Diatom,Nitzschia,palea,NA,2,41.1,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",prism on parallelogram,357.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.17,2,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,749,Nitzschia sp.,Diatom,Nitzschia,sp.,NA,1,11.2,NA,i,BSA.09-10,KS,"Fragment. High sediment, poor preservation, moderate detritus.",prism on parallelogram,155.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,NA,16,11.2,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",box,182.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1441.38,16,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,890,Sellaphora pupula,Diatom,Sellaphora,pupula,NA,1,26.2,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",box,1232.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,931,Stephanocyclus meneghiniana,Diatom,Stephanocyclus,meneghiniana,NA,12,19.6,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",cylinder,2262.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,1081.03,12,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,956,Surirella sp.,Diatom,Surirella,sp.,NA,1,67.3,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",elliptic prism,12606.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,976,Synedra ulna,Diatom,Synedra,ulna,NA,2,275,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",box,5993.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.17,2,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1229,Scenedesmus opoliensis var. mononensis,Soft Body,Scenedesmus,opoliensis var. mononensis,NA,1,5.9,NA,c,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",prolate spheroid,11.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,2,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1237,Scenedesmus subspicatus,Soft Body,Scenedesmus,subspicatus,NA,1,7.9,NA,c,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",prolate spheroid,20.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,4,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1269,Tetraedron caudatum,Soft Body,Tetraedron,caudatum,NA,1,9.3,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",box,320.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1328,Pseudokephyrion sp.,Soft Body,Pseudokephyrion,sp.,NA,1,5.6,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",ellipsoid,40.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1365,Rhodomonas cf. lacustris,Soft Body,Rhodomonas,lacustris,NA,1,11.2,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",cone + half sphere,614.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,474,0.86,NA,c,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",sphere,0.27,0.27,0.38,0.27,0.38,0.38,0.38,0.27,0.38,0.38,42700.74,962,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1488,Oscillatoria tenuis,Soft Body,Oscillatoria,tenuis,NA,1,7.5,NA,f,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",cylinder,97.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,67,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1654,Plagiotropis lepidoptera,Diatom,Plagiotropis,lepidaptera,NA,1,76.6,NA,i,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",elliptic prism,6768.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,1,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1655,Crucigenia fenestrata,Soft Body,Crucigenia,fenestrata,NA,1,3.7,NA,c,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",cube,19.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,4,NA
Phyto,2013-09-24T00:00:00Z,9:52:00,C10A,62,10,16.13%,0.0697,314.159,0.348732495,5,90.09,1656,Gloeocapsa sp.,Soft Body,Gloeocapsa,sp.,NA,1,3.7,NA,c,BSA.09-10,KS,"High sediment, poor preservation, moderate detritus.",sphere,26.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.09,4,NA
Phyto,2013-09-24T00:00:00Z,8:00:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,95,Aulacoseira sp.,Diatom,Aulacoseira,sp.,NA,21,16.8,NA,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",cylinder,742.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1576.5,21,NA
Phyto,2013-09-24T00:00:00Z,8:00:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,190,Cyclotella sp.,Diatom,Cyclotella,sp.,NA,2,5.6,NA,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",cylinder,91.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.14,2,NA
Phyto,2013-09-24T00:00:00Z,8:00:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,397,Fragilaria sp.,Diatom,Fragilaria,sp.,NA,1,16.8,NA,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",elliptic prism,229.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.07,1,NA
Phyto,2013-09-24T00:00:00Z,8:00:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,1,9.3,NA,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",cone + half sphere,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.07,1,NA
Phyto,2013-09-24T00:00:00Z,8:00:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,420,0.87,NA,c,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",sphere,0.27,0.27,0.38,0.38,0.38,0.38,0.38,0.27,0.38,0.38,31530.08,846,NA
Phyto,2013-09-24T00:00:00Z,8:00:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,NA,2,1.9,NA,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",sphere,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.14,4,NA
Phyto,2013-09-24T00:00:00Z,8:00:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1642,Komma caudata,Soft Body,Komma,caudata,NA,1,7.5,NA,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",cone + half sphere,164.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.07,1,NA
Phyto,2013-09-24T00:00:00Z,10:45:00,MD10A,59,10,16.95%,0.0697,314.159,0.767211489,11,40.95,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,NA,1,26.2,NA,i,BSA.09-07,KS,"Light sediment and detritus, poor preservation, diatom fragments.",elliptic prism,161.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.95,1,NA
Phyto,2013-09-24T00:00:00Z,10:45:00,MD10A,59,10,16.95%,0.0697,314.159,0.767211489,11,40.95,91,Aulacoseira cf. granulata,Diatom,Aulacoseira,granulata,NA,71,28,NA,i,BSA.09-07,KS,"Light sediment and detritus, poor preservation, diatom fragments.",cylinder,6206.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,2907.32,71,NA
Phyto,2013-09-24T00:00:00Z,10:45:00,MD10A,59,10,16.95%,0.0697,314.159,0.767211489,11,40.95,91,Aulacoseira cf. granulata,Diatom,Aulacoseira,granulata,NA,18,9.3,NA,i,BSA.09-07,KS,"Fragment. Light sediment and detritus, poor preservation, diatom fragments.",cylinder,509.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,737.07,18,NA
Phyto,2013-09-24T00:00:00Z,10:45:00,MD10A,59,10,16.95%,0.0697,314.159,0.767211489,11,40.95,749,Nitzschia sp.,Diatom,Nitzschia,sp.,NA,1,15,NA,i,BSA.09-07,KS,"Light sediment and detritus, poor preservation, diatom fragments.",prism on parallelogram,52.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.95,1,NA
Phyto,2013-09-24T00:00:00Z,10:45:00,MD10A,59,10,16.95%,0.0697,314.159,0.767211489,11,40.95,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,330,0.84,NA,c,BSA.09-07,KS,"Light sediment and detritus, poor preservation, diatom fragments.",sphere,0.27,0.38,0.38,0.27,0.38,0.27,0.27,0.27,0.38,0.27,13512.89,662,NA
