Cyanobacterium,Raphidiopsis
Pennate Diatom,Asterionella
Cryptophyte,Chroomonas
Green Alga,Protoderma
Green Alga,Cosmarium
Silico-flagellate,Pedinella
Cyanobacterium,Leptolyngbya
Cyanobacterium,Limnococcus
Green Alga,Microglena
Green Alga,Oedogonium
Ciliate,Salpingella
Silico-flagellate,Dictyocha
Silico-flagellate,Octactis
Dinoflagellate,Gymnodinium
Dinoflagellate,Prorocentrum
Green Alga,Haematococcus
Pennate Diatom,Amphipleura
Cyanobacterium,Hapalosiphon
Green Alga,Monoraphidium
Green Alga,Pseudostaurastrum
Cyanobacterium,Limnothrix
Cyanobacterium,Lyngbya
Green Alga,Lemmermannia
Centric Diatom,Odontella
Dinoflagellate,Tovellia
Green Alga,Desmodesmus
Green Alga,Chloromonas
Dinoflagellate,Alexandrium
Dinoflagellate,Dinophysis
Green Alga,Chlorolobion
Centric Diatom,Eucampia
Green Alga,Elakatothrix
Dinoflagellate,Parvodinium
Green Alga,Desmatractum
Cyanobacterium,Nostoc
Xanthophyte,Pseudocharaciopsis
Haptophyte,Chrysochromulina
Cyanobacterium,Dolichospermum
Green Alga,Tetraselmis
Dinoflagellate,Crypthecodinium
Xanthophyte,Characiopsis
Green Alga,Tetradesmus
Green Alga,Pyramimonas
Dinoflagellate,Phalacroma
Dinoflagellate,Protoperidinium
Cyanobacterium,Aphanizomenon
Green Alga,Lacunastrum
Green Alga,Stauridium
Green Alga,Monactinus
Green Alga,Sphaerellocystis
Centric Diatom,Terpsinoe
Centric Diatom,Hydrosera
Green Alga,Willea
Dinoflagellate,Tripos
Green Alga,Staurastrum
NA,Merismopedia
Chrysophyte,Dinobryon
Green Alga,Radiococcus
Green Alga,Acutodesmus
Green Alga,Pseudoschroederia
Chrysophyte,Chromulina
Centric Diatom,Leptocylindrus
Dinoflagellate,Peridiniopsis
Dinoflagellate,Ornithocercus
Cyanobacterium,Sprirulina
Red Alga,Bangia
Pennate Diatom,Campylodiscus
Pennate Diatom,Stauroneis
Green Alga,Keratococcus
NA,Pediastrum
Dinoflagellate,Scrippsiella
Dinoflagellate,Warnowia
Green Alga,Spirogyra
Centric Diatom,Rhizosolenia
Centric Diatom,Triceratium
Green Alga,Pseudopediastrum
Green Alga,Mougeotia
Dinoflagellate,Pyrocystis
Dinoflagellate,Pyrophacus
Kathablepharid,Leucocryptos
Haptophyte,Prymnesium
Green Alga,Palmella
Green Alga,Dunaliella
Haptophyte,Phaeocystis
Cryptophyte,Teleaulax
Green Alga,Chlorella
Dinoflagellate,Lebouridinium
Euglenoid,Monomorphina
Cryptophyte,Plagioselmis
Green Alga,Micractinium
Green Alga,Teilingia
Centric Diatom,Stephanodiscus
Dinoflagellate,Mesoporos
Cyanobacterium,Cyanothece
Euglenoid,Strombomonas
Pennate Diatom,Staurosira
Chrysophyte,Chrysocapsa
Euglenoid,Eutreptiella
Centric Diatom,Skeletonema
Centric Diatom,Paralia
Cryptophyte,Hemiselmis
Green Alga,Tetrabaena
Euglenoid,Lepocinclis
Centric Diatom,Actinoptychus
Chrysophyte,Chrysococcus
Dinoflagellate,Akashiwo
Pennate Diatom,Didymosphenia
Centric Diatom,Ditylum
Pennate Diatom,Amphicampa
Pennate Diatom,Cylindrotheca
Pennate Diatom,Pseudostaurosira
Pennate Diatom,Thalassionema
Green Alga,Treubaria
Xanthophyte,Goniochloris
Chrysophyte,Pseudokephyrion
Cyanobacterium,Tapinothrix
Cyanobacterium,Woronichinia
Dinoflagellate,Gyrodinium
Dinoflagellate,Heterocapsa
Dinoflagellate,Katodinium
Dinoflagellate,Kryptoperidinium
Pennate Diatom,Pseudo-nitzschia
Raphidophyte,Heterosigma
Cyanobacterium,Spirulina
Centric Diatom,Asteromphalus
Centric Diatom,Guinardia
Euglenoid,Eutreptia
Pennate Diatom,Tryblionella
NA,Gomphonema
Pennate Diatom,Encyonema
Pennate Diatom,Achnanthidium
Euglenoid,Unknown
Green Alga,Quadrigula
Unknown,Unknown
Dinoflagellate,Woloszynskia
Cryptophyte,Hillea
Dinoflagellate,Amphidinium
Pennate Diatom,Licmophora
Centric Diatom,Zygoceros
Coccolithophore,Calyptrosphaera
Centric Diatom,Eupyxidicula
NA,Hemidiscus
Pennate Diatom,Iconella
Pennate Diatom,Striatella
Pennate Diatom,Ulnaria
Pennate Diatom,Planothidium
Pennate Diatom,Halamphora
Pennate Diatom,Hippodonta
Pennate Diatom,Plagiotropis
Pennate Diatom,Sellaphora
Pennate Diatom,Belonastrum
Pennate Diatom,Adlafia
Pennate Diatom,Craticula
Cyanobacterium,Geitlerinema
Ciliate,Strombidium
Chrysophyte,Kephyrion
Chrysophyte,Epipyxis
Pennate Diatom,Lemnicola
Pennate Diatom,Staurosirella
Xanthophyte,Ophiocytium
Cyanobacterium,Rhabdoderma
Cyanobacterium,Planktothrix
Pennate Diatom,Navigeia
Cyanobacterium,Komvophoron
Pennate Diatom,Luticola
Green Alga,Korshikoviella
Cyanobacterium,Synechocystis
Green Alga,Chlamydonephris
Pennate Diatom,Fragilariopsis
Green Alga,Chloroidium
Centric Diatom,Chaetoceros
Pennate Diatom,Encyonopsis
Centric Diatom,Eunotogramma
Cyanobacterium,Anathece
Green Alga,Nephroselmis
Green Alga,Pseudoscourfieldia
Pennate Diatom,Asterionellopsis
Green Alga,Klebsormidium
Pennate Diatom,Psammothidium
Pennate Diatom,Cymbopleura
Pennate Diatom,Geissleria
Centric Diatom,Pleurosira
Pennate Diatom,Membraneis
Dinoflagellate,Karlodinium
Dinoflagellate,Oblea
Pennate Diatom,Astartiella
Cyanobacterium,Anabaenopsis
Pennate Diatom,Fallacia
Cyanobacterium,Stigonema
Green Alga,Westella
Cyanobacterium,Snowella
Cyanobacterium,Heteroleibleinia
Pennate Diatom,Humidophila
Centric Diatom,Corethron
Green Alga,Coenochloris
Pennate Diatom,Hantzschia
Green Alga,Drepanochloris
Centric Diatom,Stephanocyclus
Green Alga,Coenococcus
Cyanobacterium,Glaucospira
Centric Diatom,Hemiaulus
Cyanobacterium,Xenococcus
Cyanobacterium,Cyanophanon
Green Alga,Myochloris
Centric Diatom,Cyclostephanos
Centric Diatom,Cerataulina
Pennate Diatom,Seminavis
Centric Diatom,Actinocyclus
Eustigmatophyte,Nannochloropsis
Cyanobacterium,Myxobaktron
Green Alga,Coccomyxa
NA,Staurosirella
NA,Cymbella
NA,Thalassiosira
Pennate Diatom,Aneumastus
Pennate Diatom,Nupela
Chrysophyte,Chrysosaccus
Cyanobacterium,Cyanodictyon
NA,Capartogramma
NA,Surirella
NA,Cyclotella
Green Alga,Planktosphaeria
NA,Navicula
NA,Nautococcus
NA,Iconella
NA,Phacus
NA,Sphaerospermopsis
NA,Encyonema
NA,Selenastrum
NA,Microcostatus
Cyanobacterium,Cylindrospermum
NA,Nitzschia
Cyanobacterium,Cuspidothrix
Green Alga,Dictyochloris
Green Alga,Rusalka
Pennate Diatom,Anomoeoneis
Green Alga,Didymosphenia
Pennate Diatom,Stauroforma
Pennate Diatom,Psammodictyon
Pennate Diatom,Fragilariforma
Pennate Diatom,Gomphosinica
NA,Chlamydonephris
Centric Diatom,Lindavia
Pennate Diatom,Mayamaea
Centric Diatom,Acanthoceras
Centric Diatom,Urosolenia
