SampleDate,SampleTime,Full Code,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Algal Type,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
1/7/2022,8:15,E0122B0050,D26,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,631,Navicula sp.,Pennate Diatom,Navicula,sp.,,1,1,31.5,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,elliptic prism,732.30,,,,,,,,,
1/7/2022,8:15,E0122B0050,D26,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,749,cf. Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,13.5,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,prism on parallelogram,40.50,,,,,,,,,
1/7/2022,8:15,E0122B0050,D26,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,18,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,prism on parallelogram,135.00,,,,,,,,,
1/7/2022,8:15,E0122B0050,D26,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,1364,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,,2,2,10.1,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,cone + half sphere,392.23,,,,,,,,,
1/7/2022,8:15,E0122B0050,D26,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,415,830,0.8,0.8,0.8,c,BSA.01-02,AB,Moderate sediment and low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/6/2022,9:15,E0122B0014,D16,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.01-03,CB,,elliptic prism,61.29,,,,,,,,,
1/6/2022,9:15,E0122B0014,D16,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,145,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,,4,4,38.9,,,i,BSA.01-03,CB,,elliptic prism,1351.28,,,,,,,,,
1/6/2022,9:15,E0122B0014,D16,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,190,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,4,4,9.3,,,i,BSA.01-03,CB,,cylinder,134.70,,,,,,,,,
1/6/2022,9:15,E0122B0014,D16,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,464,Gomphonema sp.,Pennate Diatom,Gomphonema,sp.,,1,1,7.4,,,i,BSA.01-03,CB,,gomphonemoid,71.79,,,,,,,,,
1/6/2022,9:15,E0122B0014,D16,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,13,,,i,BSA.01-03,CB,,prism on parallelogram,13.00,,,,,,,,,
1/6/2022,9:15,E0122B0014,D16,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,1352,Cryptomonas sp.,Cryptophyte,Cryptomonas,sp.,,3,3,20.4,,,i,BSA.01-03,CB,,prolate spheroid,455.74,,,,,,,,,
1/6/2022,9:15,E0122B0014,D16,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,404,808,0.8,0.8,0.8,c,BSA.01-03,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/6/2022,9:15,E0122B0014,D16,59,6,10.17%,0.0683,314.159,1.0245,15,51.11,1709,Planktolyngbya sp.,Cyanobacterium,Planktolyngbya,sp.,,2,32,2,,,f,BSA.01-03,CB,,cylinder,1.57,,,,,,,,,
1/10/2022,12:10,E0122B0079,NZ068,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,12,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,elliptic prism,73.51,,,,,,,,,
1/10/2022,12:10,E0122B0079,NZ068,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,2071,Aulacoseira pusilla,Centric Diatom,Aulacoseira,pusilla,,8,8,9.5,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,cylinder,315.24,,,,,,,,,
1/10/2022,12:10,E0122B0079,NZ068,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,145,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,,1,1,18,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,elliptic prism,294.05,,,,,,,,,
1/10/2022,12:10,E0122B0079,NZ068,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,1,1,12,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,cylinder,836.92,,,,,,,,,
1/10/2022,12:10,E0122B0079,NZ068,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,750,Nitzschia spp.,Pennate Diatom,Nitzschia,spp.,,3,3,35.6,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,prism on parallelogram,94.35,,,,,,,,,
1/10/2022,12:10,E0122B0079,NZ068,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,1005,Ulnaria sp.,Pennate Diatom,Ulnaria,sp.,,1,1,185.2,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,elliptic prism,7563.69,,,,,,,,,
1/10/2022,12:10,E0122B0079,NZ068,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,1733,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,,2,2,5.6,,,i,BSA.01-04,AB,Moderate sediment and high detritus.,cone + half sphere,76.35,,,,,,,,,
1/10/2022,12:10,E0122B0079,NZ068,54,10,18.52%,0.0683,314.159,0.7513,11,41.82,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,398,796,0.8,0.8,0.8,c,BSA.01-04,AB,Moderate sediment and high detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/5/2022,11:45,E0122B0004,C10A,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,11,11,11.1,,,i,BSA.01-05,CB,High sediment.,cylinder,154.83,,,,,,,,,
1/5/2022,11:45,E0122B0004,C10A,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,631,Navicula sp.,Pennate Diatom,Navicula,sp.,,5,5,25.9,,,i,BSA.01-05,CB,High sediment.,elliptic prism,282.74,,,,,,,,,
1/5/2022,11:45,E0122B0004,C10A,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,4,4,51.9,,,i,BSA.01-05,CB,High sediment.,prism on parallelogram,61.32,,,,,,,,,
1/5/2022,11:45,E0122B0004,C10A,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,893,Sellaphora sp.,Pennate Diatom,Sellaphora,sp.,,1,1,19.8,,,i,BSA.01-05,CB,High sediment.,box,310.46,,,,,,,,,
1/5/2022,11:45,E0122B0004,C10A,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,1364,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,,4,4,9.3,,,i,BSA.01-05,CB,High sediment.,cone + half sphere,310.19,,,,,,,,,
1/5/2022,11:45,E0122B0004,C10A,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,380,760,0.8,0.8,0.8,c,BSA.01-05,CB,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/5/2022,11:45,E0122B0004,C10A,61,7,11.48%,0.0683,314.159,1.0928,16,41.07,1709,Planktolyngbya sp.,Cyanobacterium,Planktolyngbya,sp.,,1,14,2,,,f,BSA.01-05,CB,High sediment.,cylinder,1.57,,,,,,,,,
1/5/2022,8:30,E0122B0002,C3A,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,30.5,,,i,BSA.01-06,AB,Moderate sediment and detritus.,elliptic prism,431.18,,,,,,,,,
1/5/2022,8:30,E0122B0002,C3A,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,145,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,,1,1,20.4,,,i,BSA.01-06,AB,Moderate sediment and detritus.,elliptic prism,163.43,,,,,,,,,
1/5/2022,8:30,E0122B0002,C3A,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,1,1,8,,,i,BSA.01-06,AB,Moderate sediment and detritus.,cylinder,251.33,,,,,,,,,
1/5/2022,8:30,E0122B0002,C3A,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,631,Navicula sp.,Pennate Diatom,Navicula,sp.,,1,1,18.5,,,i,BSA.01-06,AB,Moderate sediment and detritus.,elliptic prism,104.61,,,,,,,,,
1/5/2022,8:30,E0122B0002,C3A,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,749,cf. Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,18,,,i,BSA.01-06,AB,Moderate sediment and detritus.,prism on parallelogram,87.75,,,,,,,,,
1/5/2022,8:30,E0122B0002,C3A,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,29.6,,,i,BSA.01-06,AB,Moderate sediment and detritus.,prism on parallelogram,222.00,,,,,,,,,
1/5/2022,8:30,E0122B0002,C3A,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1001,Ulnaria cf. acus,Pennate Diatom,Ulnaria,acus,,1,1,163,,,i,BSA.01-06,AB,Moderate sediment and detritus.,elliptic prism,2867.64,,,,,,,,,
1/5/2022,8:30,E0122B0002,C3A,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1134,Monoraphidium contortum,Green Alga,Monoraphidium,contortum,,1,1,19,,,i,BSA.01-06,AB,Moderate sediment and detritus.,2 cones,22.38,,,,,,,,,
1/5/2022,8:30,E0122B0002,C3A,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1364,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,,2,2,10,,,i,BSA.01-06,AB,Moderate sediment and detritus.,cone + half sphere,392.23,,,,,,,,,
1/5/2022,8:30,E0122B0002,C3A,61,4,6.56%,0.0683,314.159,0.8879,13,88.46,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,391,792,0.8,0.8,0.8,c,BSA.01-06,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/6/2022,10:35,E0122B0015,D19,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,631,Navicula sp.,Pennate Diatom,Navicula,sp.,,1,1,19,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,elliptic prism,250.70,,,,,,,,,
1/6/2022,10:35,E0122B0015,D19,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,30.7,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,prism on parallelogram,268.63,,,,,,,,,
1/6/2022,10:35,E0122B0015,D19,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,846,cf. Planothidium sp.,Pennate Diatom,Planothidium,sp.,,1,1,15,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,elliptic prism,87.18,,,,,,,,,
1/6/2022,10:35,E0122B0015,D19,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,1134,Monoraphidium contortum,Green Alga,Monoraphidium,contortum,,1,1,16.8,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,2 cones,19.79,,,,,,,,,
1/6/2022,10:35,E0122B0015,D19,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,1364,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,,3,3,12,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,cone + half sphere,588.35,,,,,,,,,
1/6/2022,10:35,E0122B0015,D19,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,1733,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,,2,2,6,,,i,BSA.01-07,AB,Moderate sediment and high detritus. ,cone + half sphere,85.43,,,,,,,,,
1/6/2022,10:35,E0122B0015,D19,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,405,810,0.8,0.8,0.8,c,BSA.01-07,AB,Moderate sediment and high detritus. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/6/2022,10:35,E0122B0015,D19,62,6,9.68%,0.0683,314.159,1.0928,16,47.91,1477,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,,1,2,4.5,,,c,BSA.01-07,AB,Moderate sediment and high detritus. ,sphere,47.71,,,,,,,,,
1/7/2022,9:35,E0122B0051,MD10A,52,9,17.31%,0.0683,314.159,1.1611,17,30.06,145,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,,2,2,18.5,,,i,BSA.01-08,AB,Low sediment and moderate detritus.,elliptic prism,301.34,,,,,,,,,
1/7/2022,9:35,E0122B0051,MD10A,52,9,17.31%,0.0683,314.159,1.1611,17,30.06,1324,cf. Ochromonas sp.,Chrysophyte,Ochromonas,sp.,,1,1,5.8,,,i,BSA.01-08,AB,Low sediment and moderate detritus.,cone + half sphere,100.40,,,,,,,,,
1/7/2022,9:35,E0122B0051,MD10A,52,9,17.31%,0.0683,314.159,1.1611,17,30.06,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,397,794,0.8,0.8,0.8,c,BSA.01-08,AB,Low sediment and moderate detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/6/2022,11:25,E0122B0016,D28A,63,8,12.70%,0.0683,314.159,1.366,20,28.75,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,14,,,i,BSA.01-09,AB,Moderate sediment.,elliptic prism,62.67,,,,,,,,,
1/6/2022,11:25,E0122B0016,D28A,63,8,12.70%,0.0683,314.159,1.366,20,28.75,145,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,,1,1,18,,,i,BSA.01-09,AB,Moderate sediment.,elliptic prism,325.15,,,,,,,,,
1/6/2022,11:25,E0122B0016,D28A,63,8,12.70%,0.0683,314.159,1.366,20,28.75,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,1,1,7.4,,,i,BSA.01-09,AB,Moderate sediment.,cylinder,215.04,,,,,,,,,
1/6/2022,11:25,E0122B0016,D28A,63,8,12.70%,0.0683,314.159,1.366,20,28.75,631,Navicula sp.,Pennate Diatom,Navicula,sp.,,1,1,19,,,i,BSA.01-09,AB,Moderate sediment.,elliptic prism,250.70,,,,,,,,,
1/6/2022,11:25,E0122B0016,D28A,63,8,12.70%,0.0683,314.159,1.366,20,28.75,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,20.4,,,i,BSA.01-09,AB,Moderate sediment.,prism on parallelogram,71.40,,,,,,,,,
1/6/2022,11:25,E0122B0016,D28A,63,8,12.70%,0.0683,314.159,1.366,20,28.75,1733,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,,3,3,5.6,,,i,BSA.01-09,AB,Moderate sediment.,cone + half sphere,76.35,,,,,,,,,
1/6/2022,11:25,E0122B0016,D28A,63,8,12.70%,0.0683,314.159,1.366,20,28.75,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,395,790,0.8,0.8,0.8,c,BSA.01-09,AB,Moderate sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/11/2022,10:55,E0122B0144,D8,62,2,3.23%,0.0683,314.159,1.0245,15,153.32,147,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,,1,1,9.3,,,i,BSA.01-10,CB,High sediment.,elliptic prism,114.53,,,,,,,,,
1/11/2022,10:55,E0122B0144,D8,62,2,3.23%,0.0683,314.159,1.0245,15,153.32,190,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,3,3,18.5,,,i,BSA.01-10,CB,High sediment.,cylinder,748.73,,,,,,,,,
1/11/2022,10:55,E0122B0144,D8,62,2,3.23%,0.0683,314.159,1.0245,15,153.32,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,410,820,0.8,0.8,0.8,c,BSA.01-10,CB,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/11/2022,9:55,E0122B0143,D6,61,3,4.92%,0.0683,314.159,1.0245,15,102.22,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,2,2,12,,,i,BSA.01-11,AB,Low sediment and moderate detritus.,cylinder,640.38,,,,,,,,,
1/11/2022,9:55,E0122B0143,D6,61,3,4.92%,0.0683,314.159,1.0245,15,102.22,1352,cf. Cryptomonas sp.,Cryptophyte,Cryptomonas,sp.,,1,1,13,,,i,BSA.01-11,AB,Low sediment and moderate detritus.,prolate spheroid,372.74,,,,,,,,,
1/11/2022,9:55,E0122B0143,D6,61,3,4.92%,0.0683,314.159,1.0245,15,102.22,1733,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,,2,2,6,,,i,BSA.01-11,AB,Low sediment and moderate detritus.,cone + half sphere,83.67,,,,,,,,,
1/11/2022,9:55,E0122B0143,D6,61,3,4.92%,0.0683,314.159,1.0245,15,102.22,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,395,790,0.8,0.8,0.8,c,BSA.01-11,AB,Low sediment and moderate detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/10/2022,10:25,E0122B0077,D4,58,2,3.45%,0.0683,314.159,1.0245,15,153.32,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,10.4,,,i,BSA.01-12,AB,Moderate sediment and low detritus.,elliptic prism,65.35,,,,,,,,,
1/10/2022,10:25,E0122B0077,D4,58,2,3.45%,0.0683,314.159,1.0245,15,153.32,145,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,,1,1,26.5,,,i,BSA.01-12,AB,Moderate sediment and low detritus.,elliptic prism,677.67,,,,,,,,,
1/10/2022,10:25,E0122B0077,D4,58,2,3.45%,0.0683,314.159,1.0245,15,153.32,1364,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,,1,1,7.4,,,i,BSA.01-12,AB,Moderate sediment and low detritus.,cone + half sphere,163.43,,,,,,,,,
1/10/2022,10:25,E0122B0077,D4,58,2,3.45%,0.0683,314.159,1.0245,15,153.32,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,414,828,0.8,0.8,0.8,c,BSA.01-12,AB,Moderate sediment and low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/5/2022,10:15,E0122B0003,C9,61,4,6.56%,0.0683,314.159,1.2977,19,60.52,145,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,,2,2,22.2,,,i,BSA.01-13,CB,,elliptic prism,1111.89,,,,,,,,,
1/5/2022,10:15,E0122B0003,C9,61,4,6.56%,0.0683,314.159,1.2977,19,60.52,310,Encyonema sp.,Pennate Diatom,Encyonema,sp.,,1,1,14.8,,,i,BSA.01-13,CB,,cymbelloid,34.69,,,,,,,,,
1/5/2022,10:15,E0122B0003,C9,61,4,6.56%,0.0683,314.159,1.2977,19,60.52,1364,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,,5,5,9.3,,,i,BSA.01-13,CB,,cone + half sphere,153.09,,,,,,,,,
1/5/2022,10:15,E0122B0003,C9,61,4,6.56%,0.0683,314.159,1.2977,19,60.52,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,417,734,0.8,0.8,0.8,c,BSA.01-13,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/7/2022,11:00,E0122B0052,P8,58,8,13.79%,0.0683,314.159,0.4781,7,82.14,145,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,,1,1,16.5,,,i,BSA.01-14,AB,Moderate sediment and detritus.,elliptic prism,269.55,,,,,,,,,
1/7/2022,11:00,E0122B0052,P8,58,8,13.79%,0.0683,314.159,0.4781,7,82.14,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,25.9,,,i,BSA.01-14,AB,Moderate sediment and detritus.,prism on parallelogram,233.10,,,,,,,,,
1/7/2022,11:00,E0122B0052,P8,58,8,13.79%,0.0683,314.159,0.4781,7,82.14,923,Staurosira venter,Pennate Diatom,Staurosira,venter,,1,1,5.8,,,i,BSA.01-14,AB,Moderate sediment and detritus.,elliptic prism,32.80,,,,,,,,,
1/7/2022,11:00,E0122B0052,P8,58,8,13.79%,0.0683,314.159,0.4781,7,82.14,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,399,798,0.8,0.8,0.8,c,BSA.01-14,AB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/12/2022,10:50,E0122B0186,NZS42,61,2,3.28%,0.0683,314.159,1.0928,16,143.74,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.01-15,CB,High sediment.,elliptic prism,51.35,,,,,,,,,
1/12/2022,10:50,E0122B0186,NZS42,61,2,3.28%,0.0683,314.159,1.0928,16,143.74,190,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,2,2,9.3,,,i,BSA.01-15,CB,High sediment.,cylinder,312.47,,,,,,,,,
1/12/2022,10:50,E0122B0186,NZS42,61,2,3.28%,0.0683,314.159,1.0928,16,143.74,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,9.3,,,i,BSA.01-15,CB,High sediment.,prism on parallelogram,32.69,,,,,,,,,
1/12/2022,10:50,E0122B0186,NZS42,61,2,3.28%,0.0683,314.159,1.0928,16,143.74,1138,Monoraphidium sp.,Green Alga,Monoraphidium,sp.,,1,1,11.1,,,i,BSA.01-15,CB,High sediment.,2 cones,5.81,,,,,,,,,
1/12/2022,10:50,E0122B0186,NZS42,61,2,3.28%,0.0683,314.159,1.0928,16,143.74,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,405,810,0.8,0.8,0.8,c,BSA.01-15,CB,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/11/2022,11:50,E0122B0145,D10,61,2,3.28%,0.0683,314.159,1.1611,17,135.29,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,9.3,,,i,BSA.01-16,CB,High sediment.,elliptic prism,14.61,,,,,,,,,
1/11/2022,11:50,E0122B0145,D10,61,2,3.28%,0.0683,314.159,1.1611,17,135.29,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,4,4,11.1,,,i,BSA.01-16,CB,High sediment.,cylinder,338.05,,,,,,,,,
1/11/2022,11:50,E0122B0145,D10,61,2,3.28%,0.0683,314.159,1.1611,17,135.29,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,9.3,,,i,BSA.01-16,CB,High sediment.,prism on parallelogram,32.69,,,,,,,,,
