MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Count Method,Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Algal Type,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,895,Skeletonema sp.,Centric Diatom,Skeletonema,sp.,,2,2,3.7,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,cylinder + 2 half spheres,39.78
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,1031,Chlamydomonas sp.,Green Alga,Chlamydomonas,sp.,,1,1,7.4,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,sphere,212.17
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,1037,cf. Chlorella sp.,Green Alga,Chlorella,sp.,,3,3,3.5,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,sphere,15.60
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,1352,Cryptomonas sp.,Cryptophyte,Cryptomonas,sp.,,2,2,16.7,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,prolate spheroid,616.98
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,1364,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,,15,15,9.3,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,cone + half sphere,131.62
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,1368,Rhodomonas sp.,Cryptophyte,Rhodomonas,sp.,,2,2,13,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,cone + half sphere,291.87
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,1657,Teleaulax sp.,Cryptophyte,Teleaulax,sp.,,3,3,5.6,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,cone + half sphere,29.74
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,5.9000,Transect,314.159,11.8,2,2.66,1393,Aphanizomenon sp.,Cyanobacterium,Aphanizomenon,sp.,,2,38,5.6,,,f,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,cylinder,44.08
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,Chroococcus microscopicus,377,754,0.8,0.8,0.8,c,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,sphere,0.18
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,5.9000,Transect,314.159,11.8,2,2.66,1555,Lepocinclis sp.,Euglenoid,Lepocinclis,sp.,,1,1,20.4,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,2 cones,292.46
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,5.9000,Transect,314.159,11.8,2,2.66,1824,cf. Strombidium sp.,Ciliate,Strombidium,sp.,,1,1,14.8,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,prolate spheroid,1697.40
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,0.0683,Field,314.159,2.8686,42,10.95,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,16.7,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,elliptic prism,91.81
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,0.0683,Field,314.159,2.8686,42,10.95,147,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,,1,1,14.8,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,elliptic prism,241.78
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,0.0683,Field,314.159,2.8686,42,10.95,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,1,1,13,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,cylinder,862.76
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,5.9000,Transect,314.159,11.8,2,2.66,464,Gomphonema sp.,Pennate Diatom,Gomphonema,sp.,,1,1,18.5,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,gomphonemoid,158.03
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,5.9000,Transect,314.159,11.8,2,2.66,481,Gyrosigma sp.,Pennate Diatom,Gyrosigma,sp.,,1,1,146.3,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,prism on parallelogram,10261.48
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,0.0683,Field,314.159,2.8686,42,10.95,631,Navicula sp.,Pennate Diatom,Navicula,sp.,,2,2,37,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,elliptic prism,530.67
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,0.0683,Field,314.159,2.8686,42,10.95,713,Nitzschia inconspicua,Pennate Diatom,Nitzschia,inconspicua,,1,1,7.4,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,prism on parallelogram,50.65
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,5.9000,Transect,314.159,11.8,2,2.66,1005,Ulnaria sp.,Pennate Diatom,Ulnaria,sp.,,1,1,273.8,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,elliptic prism,18598.97
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,0.0683,Field,314.159,2.8686,42,10.95,1037,Chlorella sp.,Green Alga,Chlorella,sp.,,1,1,3.7,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,sphere,26.52
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,0.0683,Field,314.159,2.8686,42,10.95,1692,Kephyrion sp.,Chrysophyte,Kephyrion,sp.,,4,4,7.4,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,prolate spheroid,85.59
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,5.9000,Transect,314.159,11.8,2,2.66,1353,Cryptomonas spp.,Cryptophyte,Cryptomonas,spp.,,7,7,35.2,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,prolate spheroid,4024.08
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,0.0683,Field,314.159,2.8686,42,10.95,1365,Plagioselmis lacustris,Cryptophyte,Plagioselmis,lacustris,Rhodomonas lacustris,3,3,13,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,cone + half sphere,357.76
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,0.0683,Field,314.159,2.8686,42,10.95,1364,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,,29,29,11.1,,,i,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,cone + half sphere,121.57
Phyto,1/4/2024,13:20,E0124B0054,MD10A,3,52,10,19.23%,0.0683,Field,314.159,2.8686,42,10.95,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,Chroococcus microscopicus,389,778,0.8,0.8,0.8,c,BSA.01-02,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,sphere,0.18
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,5.9000,Transect,314.159,11.8,2,6.66,95,Aulacoseira sp. ,Centric Diatom,Aulacoseira,sp.,,6,6,31.5,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,cylinder,738.90
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,1764,Bacillaria sp.,Pennate Diatom,Bacillaria,sp.,,1,1,92.6,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,box,4796.68
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,147,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,,2,2,20.4,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,elliptic prism,459.58
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,5.9000,Transect,314.159,11.8,2,6.66,169,Cyclostephanos sp.,Centric Diatom,Cyclostephanos,sp.,,1,1,24.1,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,cylinder,5474.00
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,190,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,1,1,7.4,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,cylinder,159.13
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,2,2,22.2,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,cylinder,3812.70
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,319,Entomoneis sp.,Pennate Diatom,Entomoneis,sp.,,2,2,40.7,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,elliptic prism,6782.84
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,5.9000,Transect,314.159,11.8,2,6.66,366,Eunotia sp.,Pennate Diatom,Eunotia,sp.,,1,1,11.1,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,sickle-shaped prism (elliptic prism),119.35
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,5.9000,Transect,314.159,11.8,2,6.66,464,Gomphonema sp.,Pennate Diatom,Gomphonema,sp.,,1,1,29.6,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,gomphonemoid,410.51
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,5.9000,Transect,314.159,11.8,2,6.66,481,Gyrosigma sp.,Pennate Diatom,Gyrosigma,sp.,,1,1,75.9,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,prism on parallelogram,2246.64
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,5.9000,Transect,314.159,11.8,2,6.66,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,22.2,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,prism on parallelogram,127.32
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,921,Staurosira sp.,Pennate Diatom,Staurosira,sp.,,2,2,7.4,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,elliptic prism,24.29
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,1037,cf. Chlorella sp.,Green Alga,Chlorella,sp.,,2,2,3.7,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,sphere,26.52
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,5.9000,Transect,314.159,11.8,2,6.66,1138,Monoraphidium sp.,Green Alga,Monoraphidium,sp.,,1,1,9.3,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,2 cones,2.41
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,5.9000,Transect,314.159,11.8,2,6.66,1352,Cryptomonas sp.,Cryptophyte,Cryptomonas,sp.,,1,1,16.7,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,prolate spheroid,478.83
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,1364,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,,2,2,9.3,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,cone + half sphere,105.21
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,1368,Rhodomonas sp.,Cryptophyte,Rhodomonas,sp.,,2,2,13,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,cone + half sphere,310.19
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,1657,Teleaulax sp.,Cryptophyte,Teleaulax,sp.,,1,1,5.6,,,i,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,cone + half sphere,26.52
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,0.0683,Field,314.159,1.0928,16,71.87,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,Chroococcus microscopicus,389,778,0.8,0.8,0.8,c,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,sphere,0.18
Phyto,1/3/2024,10:05,E0124B0035,D12,3,64,4,6.25%,5.9000,Transect,314.159,11.8,2,6.66,1709,Planktolyngbya sp.,Cyanobacterium,Planktolyngbya,sp.,,1,12,2,,,f,BSA.01-03,CB,Cannot meet tally in 2 transects. High sediment and detritus.,cylinder,1.57
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,4,4,18.5,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,163.02
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,95,Aulacoseira sp. ,Centric Diatom,Aulacoseira,sp.,,8,8,29.6,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,cylinder,1963.15
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,147,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,,3,3,20.4,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,315.90
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,8,8,12.6,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,cylinder,264.05
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,241,Cymbella sp.,Pennate Diatom,Cymbella,sp.,,1,1,87,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,cymbelloid,8960.11
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,289,Diploneis sp.,Pennate Diatom,Diploneis,sp.,,1,1,13,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,377.78
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,310,Encyonema sp.,Pennate Diatom,Encyonema,sp.,,2,2,20.4,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,cymbelloid,140.91
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,319,Entomoneis sp.,Pennate Diatom,Entomoneis,sp.,,1,1,40.7,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,10703.71
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,397,Fragilaria sp.,Pennate Diatom,Fragilaria,sp.,,2,2,27.8,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,136.24
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,464,Gomphonema sp.,Pennate Diatom,Gomphonema,sp.,,3,3,40.2,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,gomphonemoid,373.37
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,481,Gyrosigma sp.,Pennate Diatom,Gyrosigma,sp.,,1,1,92.9,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,prism on parallelogram,44684.90
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,538,Melosira sp.,Centric Diatom,Melosira,sp.,,3,3,27.8,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,cylinder,2641.92
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,631,Navicula sp.,Pennate Diatom,Navicula,sp.,,4,4,25.9,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,500.30
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,685,Nitzschia clausii,Pennate Diatom,Nitzschia,clausii,,2,2,42.6,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,prism on parallelogram,696.86
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,750,Nitzschia spp.,Pennate Diatom,Nitzschia,spp.,,11,11,27.8,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,prism on parallelogram,149.47
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,895,Skeletonema sp.,Centric Diatom,Skeletonema,sp.,,2,2,9.3,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,cylinder + 2 half spheres,82.74
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,1031,Chlamydomonas sp.,Green Alga,Chlamydomonas,sp.,,1,1,9.3,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,sphere,407.57
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,1037,Chlorella sp.,Green Alga,Chlorella,sp.,,3,3,3.4,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,sphere,8.18
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,2126,Chloromonas sp.,Green Alga,Chloromonas,sp.,,2,2,5.6,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,sphere,40.14
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,1138,Monoraphidium sp.,Green Alga,Monoraphidium,sp.,,1,1,18.5,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,2 cones,9.54
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,1692,Kephyrion sp.,Chrysophyte,Kephyrion,sp.,,2,2,7.4,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,prolate spheroid,84.23
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,1352,Cryptomonas sp.,Cryptophyte,Cryptomonas,sp.,,2,2,18.5,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,prolate spheroid,797.03
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,1364,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,,23,23,13,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,cone + half sphere,234.14
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,1733,Teleaulax amphioxeia,Cryptophyte,Teleaulax,amphioxeia,Plagioselmis prolonga,39,39,6,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,cone + half sphere,30.26
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,0.0683,Field,314.159,1.2977,19,34.58,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,Chroococcus microscopicus,315,630,0.8,0.8,0.8,c,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,sphere,0.18
Phyto,1/3/2024,12:30,E0124B0036,D19,3,61,7,11.48%,5.9000,Transect,314.159,11.8,2,3.80,1886,Mesodinium sp.,Ciliate,Mesodinium,sp.,,1,1,20.4,,,i,BSA.01-04,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,prolate spheroid,4445.17
Phyto,1/4/2024,11:35,E0124B0053,D26,3,56,5,8.93%,0.0697,Field,314.159,0.8364,12,75.12,147,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,,2,2,16.7,,,i,BSA.01-05,BS,Cannot meet tally in 2 transects. Moderate sediment and detritus. Many broken diatoms.,elliptic prism,272.82
Phyto,1/4/2024,11:35,E0124B0053,D26,3,56,5,8.93%,0.0697,Field,314.159,0.8364,12,75.12,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,2,2,11.1,,,i,BSA.01-05,BS,Cannot meet tally in 2 transects. Moderate sediment and detritus. Many broken diatoms.,cylinder,312.47
