MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Algal Type,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,5/16/2023,12:55,E0523B1096,EZ6,3,62,5,8.06%,0.0683,314.159,0.4098,6,153.32,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.05-25,AB,Moderate detritus.,elliptic prism,80.9,,,,,,,,,
Phyto,6/7/2023,7:30,E0623B1227,C3A,3,62,4,6.45%,0.0697,314.159,2.091,30,37.56,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,13,,,i,BSA.06-03,BB,Cannot meet tally in 2 transects.,elliptic prism,109.67,,,,,,,,,
Phyto,6/12/2023,12:35,E0623B1282,NZ068,3,61,5,8.20%,0.0683,314.159,0.9562,14,65.71,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,4,4,13,,,i,BSA.06-07,CB,Cannot meet tally in 2 transects.,elliptic prism,85.63,,,,,,,,,
Phyto,6/12/2023,11:00,E0623B1280,D4,3,61,3,4.92%,0.0683,314.159,0.8879,13,117.94,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,7.4,,,i,BSA.06-08,CB,Cannot meet tally in 2 transects. High sediment. Poorly Preserved.,elliptic prism,37.08,,,,,,,,,
Phyto,6/9/2023,6:55,E0623B1255,D16,3,60,4,6.67%,5.9,314.159,11.8,2,6.66,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,13,,,i,BSA.06-09,AB,Cannot meet tally in 2 transects. Moderate sediment and detritus. ,elliptic prism,71.27,,,,,,,,,
Phyto,6/8/2023,8:15,E0623B1239,D19,3,63,4,6.35%,0.0697,314.159,1.1152,16,70.43,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.06-11,BB,Cannot meet tally in 2 transects. ,elliptic prism,99.99,,,,,,,,,
Phyto,6/13/2023,12:30,E0623B1341,D8,3,60,5,8.33%,0.0683,314.159,1.1611,17,54.11,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,13,,,i,BSA.06-13,AB,Cannot meet tally in 2 transects. Moderate sediment and detritus.,elliptic prism,103.11,,,,,,,,,
Phyto,6/13/2023,13:10,E0623B1342,D10,3,59,5,8.47%,0.0683,314.159,3.415,50,18.4,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.06-26,AS,Cannot meet tally in 50 fields. Cannot meet tally in 2 transects. High sediment and detritus. Many broken diatoms. ,elliptic prism,139.78,,,,,,,,,
Phyto,7/10/2023,11:45,E0723B1552,D19,3,59,4,6.78%,0.0683,314.159,2.4588,36,31.94,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.07-02,AB,Cannot meet tally in 2 transects. Moderate sediment and detritus.,elliptic prism,75.67,,,,,,,,,
Phyto,7/10/2023,10:25,E0723B1551,D12,3,58,3,5.17%,5.9,314.159,11.8,2,8.87,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.07-04,CB,Cannot meet tally in 2 transects. Moderate sediment.,elliptic prism,132.22,,,,,,,,,
Phyto,7/7/2023,8:15,E0723B1540,C3A,3,60,3,5.00%,5.96,314.159,11.92,2,8.79,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,9.3,,,i,BSA.07-05,BB,Cannot meet tally in 50 fields. Cannot meet tally in 2 transects.,elliptic prism,90.32,,,,,,,,,
Phyto,7/11/2023,12:55,E0723B1570,MD10A,3,59,3,5.08%,0.0683,314.159,1.366,20,76.66,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.07-07,CB,Cannot meet tally in 2 transects.,elliptic prism,94.59,,,,,,,,,
Phyto,7/14/2023,15:10,E0723B1693,D8,3,63,1,1.59%,5.9,314.159,11.8,2,26.62,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.2,,,i,BSA.07-22,AB,Cannot meet tally in 2 transects.,elliptic prism,40.11,,,,,,,,,
Phyto,7/14/2023,17:10,E0723B1623,EZ2,3,57,1,1.75%,0.0683,314.159,1.0928,16,287.48,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.07-24,CB,Cannot meet tally in 2 transects. Poorly preserved.,elliptic prism,94.59,,,,,,,,,
Phyto,8/8/2023,11:30,E0823B1765,D19,3,61,8,13.11%,5.9,314.159,11.8,2,3.33,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.08-01,CB,Cannot meet tally in 2 transects. Poorly preserved. High sediment.,elliptic prism,132.22,,,,,,,,,
Phyto,8/4/2023,7:15,E0823B1753,C3A ,3,61,4,6.56%,0.0697,314.159,2.9971,43,26.21,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,14.8,,,i,BSA.08-02,BB,Cannot meet tally in 2 transects.,elliptic prism,59.59,,,,,,,,,
Phyto,8/8/2023,12:30,E0823B1766,D28A,3,62,8,12.90%,0.0683,314.159,1.0928,16,35.94,46,cf. Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13.2,,,i,BSA.08-04,AB,Cannot meet tally in 2 transects. Poorly preserved. Low sediment and detritus.,elliptic prism,161.11,,,,,,,,,
Phyto,8/9/2023,11:15,E0823B1867,D26,3,60,8,13.33%,5.9,314.159,11.8,2,3.33,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.08-05,ZW,Cannot meet tally in 2 transects.,elliptic prism,40.9,,,,,,,,,
Phyto,8/4/2023,10:15,E0823B1755,C10A,3,63,3,4.76%,0.0683,314.159,0.9562,14,109.52,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,13,,,i,BSA.08-07,CB,Cannot meet tally in 2 transects.,elliptic prism,73.63,,,,,,,,,
Phyto,8/11/2023,14:10,E0823B2001,D10,3,61,2,3.28%,0.0683,314.159,1.0245,15,153.32,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.08-15,CB,Cannot meet tally in 2 transects.,elliptic prism,119.35,,,,,,,,,
Phyto,8/15/2023,12:00,E0823B2115,D41A,3,62,2,3.23%,5.9,314.159,11.8,2,13.31,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.08-18,CB,Cannot meet tally in 2 transects.,elliptic prism,105.4,,,,,,,,,
Phyto,8/11/2023,13:30,E0823B2000,D8,3,61,1,1.64%,0.0683,314.159,3.415,50,91.99,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,14.8,,,i,BSA.08-19,AS,Cannot meet tally in 50 fields. Cannot meet tally in 2 transects. Moderate sediment and detritus. Many broken diatoms.,elliptic prism,191.21,,,,,,,,,
Phyto,9/6/2023,11:20,E0923B2201,MD10A,3,62,3,4.84%,0.0683,314.159,3.2101,47,32.62,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,14.8,,,i,BSA.09-09,AB,Poorly preserved. Cannot meet tally in 2 transects.,elliptic prism,122.52,,,,,,,,,
Phyto,9/7/2023,14:00,E0923B2236,NZ068,3,62,7,11.29%,0.0683,314.159,1.0245,15,43.81,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.09-11,CB,Cannot meet tally in 2 transects.,elliptic prism,24.85,,,,,,,,,
Phyto,9/6/2023,13:10,E0923B2202,P8,3,60,4,6.67%,0.0683,314.159,0.8879,13,88.46,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.09-14,CB,Cannot meet tally in 2 transects. ,elliptic prism,38.86,,,,,,,,,
Phyto,9/7/2023,11:25,E0923B2234,D4,3,62,3,4.84%,0.0683,314.159,3.415,50,30.66,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.09-18,AS,Cannot meet tally in 50 fields. Cannot meet tally in 2 transects. High sediment and detritus. Many broken diatoms. ,elliptic prism,119.35,,,,,,,,,
Phyto,9/5/2023,9:30,E0923B2175,EZ2-SJR,3,62,2,3.23%,0.0683,314.159,3.415,50,46,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,8.4,,,i,BSA.09-24,AS,Cannot meet tally in 50 fields. Cannot meet tallly in 2 transects. Moderate sediment and detritus. Many broken diatoms.,elliptic prism,46.18,,,,,,,,,
Phyto,10/2/2023,12:15,E1023B2488,C10A,3,61,1,1.64%,0.0683,314.159,1.0928,16,287.48,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,3,3,13,,,i,BSA.10-01,CB,Cannot meet tally in 2 transects.,elliptic prism,122.4,,,,,,,,,
Phyto,10/2/2023,8:30,E1023B2486,C3A,3,58,4,6.90%,5.9,314.159,11.8,2,6.66,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,7,7,11.1,,,i,BSA.10-02,CB,Cannot meet tally in 2 transects.,elliptic prism,92.79,,,,,,,,,
Phyto,10/5/2023,11:55,E1023B2561,NZ068,3,60,5,8.33%,0.0683,314.159,1.2294,18,51.11,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.10-16,CB,Cannot meet tally in 2 transects.,elliptic prism,33.13,,,,,,,,,
Phyto,10/6/2023,12:35,E1023B2591,EZ6,3,60,4,6.67%,5.9,314.159,11.8,2,6.66,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,14.8,,,i,BSA.10-24,CB,Poorly preserved. Cannot meet tally in 2 transects. High sediment and detritus.,elliptic prism,48.59,,,,,,,,,
Phyto,11/6/2023,12:55,E1123B2837,D26,3,57,7,12.28%,0.0683,314.159,1.2294,18,36.51,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.11-01,CB,Cannot meet tally in 2 transects. High sediment and moderate detritus.,elliptic prism,89.18,,,,,,,,,
Phyto,11/7/2023,12:20,E1123B2877,D4,3,54,4,7.41%,5.9,314.159,11.8,2,6.66,46,cf. Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,14.8,,,i,BSA.11-06,AB,Cannot meet tally in 2 transects. High sediment and moderate detritus. Many broken diatoms.,elliptic prism,73.36,,,,,,,,,
Phyto,11/29/2023,8:15,E1123B3085,C3A,3,62,5,8.06%,0.0683,314.159,1.4343,21,43.81,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,13,,,i,BSA.11-09,CB,Cannot meet tally in 2 transects. Moderate sediment and detritus.,elliptic prism,62.73,,,,,,,,,
Phyto,11/6/2023,16:00,E1123B2839,P8,3,59,4,6.78%,0.0683,314.159,1.0245,15,76.66,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.11-12,CB,Cannot meet tally in 2 transects. High sediment and low detritus.,elliptic prism,34.78,,,,,,,,,
Phyto,11/7/2023,14:55,E1123B2879,NZ068,3,55,7,12.73%,5.9,314.159,11.8,2,3.8,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,22.2,,,i,BSA.11-14,AB,Cannot meet tally in 2 transects. Low sediment and detritus. Many broken diatoms.,elliptic prism,390.56,,,,,,,,,
Phyto,11/9/2023,13:55,E1123B3026,NZ032,3,62,2,3.23%,5.9,314.159,11.8,2,13.31,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.11-18,CB,Cannot meet tally in 2 transects. High sediment and moderate detritus. Many broken diatoms.,elliptic prism,33.13,,,,,,,,,
Phyto,11/13/2023,13:15,E1123B3153,D41,3,62,3,4.84%,0.0683,314.159,3.415,50,30.66,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,10.4,,,i,BSA.11-25,AS,Cannot meet tally in 50 fields. Cannot meet tally in 2 transects. Moderate sediment and detritus.,elliptic prism,84.62,,,,,,,,,
Phyto,12/4/2023,10:55,E1223B3211,EZ6-SJR,3,63,4,6.35%,0.0683,314.159,1.7758,26,44.23,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11,,,i,BSA.12-03,AB,Cannot meet tally in 2 transects. Moderate sediment and low detritus. Many broken diatoms.,elliptic prism,67.39,,,,,,,,,
Phyto,12/4/2023,13:15,E1223B3171,D19,3,62,8,12.90%,5.9,314.159,11.8,2,3.33,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,14.8,,,i,BSA.12-05,AS,Cannot meet tally in 2 transects. High sediment and detritus.,elliptic prism,305.94,,,,,,,,,
Phyto,12/6/2023,14:20,E1223B3273,NZ068,3,62,8,12.90%,5.9,314.159,11.8,2,3.33,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,14.8,,,i,BSA.12-13,AB,Poorly preserved. Cannot meet tally in 2 transects. Moderate sediment and low detritus. Many broken diatoms.,elliptic prism,132.75,,,,,,,,,
Phyto,12/6/2023,12:45,E1223B3272,D22,3,63,3,4.76%,0.0683,314.159,1.2294,18,85.18,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.12-16,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,88.22,,,,,,,,,
Phyto,12/7/2023,11:25,E1223B3313,D10,3,56,2,3.57%,5.9,314.159,11.8,2,13.31,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,7.4,,,i,BSA.12-19,CB,Cannot meet tally in 2 transects.,elliptic prism,25.4,,,,,,,,,
Phyto,12/12/2023,12:40,E1223B3461,NZ002,3,60,6,10.00%,0.0683,314.159,1.5709,23,33.33,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13.6,,,i,BSA.12-20,AB,Cannot meet tally in 2 transects. Low sediment and moderate detritus.,elliptic prism,83.31,,,,,,,,,
Phyto,12/14/2023,9:25,E1223B3524,C9,3,62,8,12.90%,5.9,314.159,11.8,2,3.33,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,25.9,,,i,BSA.12-21,BS,Cannot meet tally in 2 transects. Low sediment and detritus. Many broken diatoms.,elliptic prism,823.84,,,,,,,,,
Phyto,12/4/2023,7:30,E1223B3523,C3A,3,61,10,16.39%,0.0683,314.159,0.9562,14,32.85,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,3,3,13,,,i,BSA.12-22,CB,Cannot meet tally in 2 transects. High sediment and moderate detritus.,elliptic prism,76.2,,,,,,,,,
Phyto,12/14/2023,11:00,E1223B3525,C10A,3,63,6,9.52%,0.0683,314.159,1.1611,17,45.1,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,7.4,,,i,BSA.12-23,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,elliptic prism,24.29,,,,,,,,,
Phyto,12/6/2023,12:15,E1223B3356,EZ6,3,61,3,4.92%,5.9,314.159,11.8,2,8.87,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,15.8,,,i,BSA.12-24,AS,Cannot meet tally in 2 transects. Moderate sediment and detritus.,elliptic prism,215.8,,,,,,,,,
Phyto,12/12/2023,11:40,E1223B3459,D41,3,60,6,10.00%,0.0683,314.159,1.9124,28,27.38,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11,,,i,BSA.12-25,AB,Cannot meet tally in 2 transects. Moderate detritus. Many broken diatoms.,elliptic prism,127.86,,,,,,,,,
Phyto,6/12/2023,11:50,E0623B1281,D22,3,60,2,3.33%,0.0683,314.159,3.415,50,46,47,Achnanthidium spp.,Pennate Diatom,Achnanthidium,spp.,,3,3,13,,,i,BSA.06-10,AS,Cannot meet tally in 50 fields. Cannot meet tally in 2 transects. Moderate sediment and low detritus. Many broken diatoms.,elliptic prism,147.03,,,,,,,,,
Phyto,12/6/2023,13:40,E1223B3357,EZ2,3,62,8,12.90%,0.0683,314.159,1.9807,29,19.83,47,Achnanthidium spp.,Pennate Diatom,Achnanthidium,spp.,,3,3,18.5,,,i,BSA.12-10,AS,Cannot meet tally in 2 transects. High sediment and detritus.,elliptic prism,187.03,,,,,,,,,
Phyto,3/10/2023,10:45,E0323B0452,C10A,3,61,2,3.28%,0.0697,314.159,0.6273,9,250.41,74,Amphora sp.,Pennate Diatom,Amphora,sp.,,1,1,27.8,,,i,BSA.03-09,BB,High sediment.,cymbelloid,1014.9,,,,,,,,,
Phyto,3/10/2023,7:30,E0323B0450,C3A,3,60,2,3.33%,0.0683,314.159,0.9562,14,164.27,74,Amphora sp.,Pennate Diatom,Amphora,sp.,,1,1,18.5,,,i,BSA.03-10,CB,High sediment and detritus. ,cymbelloid,84.43,,,,,,,,,
Phyto,6/9/2023,10:50,E0623B1258,P8,3,61,3,4.92%,5.9,314.159,11.8,2,8.87,74,Amphora sp.,Pennate Diatom,Amphora,sp.,,1,1,27.8,,,i,BSA.06-16,AB,Cannot meet tally in 2 transects. Poorly preserved. High sediment.,cymbelloid,801.51,,,,,,,,,
Phyto,9/1/2023,9:45,E0923B2124,C10A,3,62,3,4.84%,0.0683,314.159,2.3905,35,43.81,74,Amphora sp.,Pennate Diatom,Amphora,sp.,,1,1,18.5,,,i,BSA.09-07,CB,Cannot meet tally in 2 transects.,cymbelloid,533.38,,,,,,,,,
Phyto,10/5/2023,11:55,E1023B2561,NZ068,3,60,5,8.33%,0.0683,314.159,1.2294,18,51.11,74,Amphora sp.,Pennate Diatom,Amphora,sp.,,1,1,24.1,,,i,BSA.10-16,CB,Cannot meet tally in 2 transects.,cymbelloid,989.84,,,,,,,,,
Phyto,3/20/2023,13:10,E0323B0748,NZ325,3,63,1,1.59%,0.0683,314.159,1.2294,18,255.54,86,Asterionella formosa,Pennate Diatom,Asterionella,formosa,,2,2,57.6,,,i,BSA.03-24,AB,,box + 2 cylinders,315.67,,,,,,,,,
Phyto,5/15/2023,13:10,E0523B1065,D22,3,60,6,10.00%,0.0683,314.159,0.7513,11,69.69,86,Asterionella formosa,Pennate Diatom,Asterionella,formosa,,2,2,63,,,i,BSA.05-15,AB,Low sediment.,box + 2 cylinders,314.66,,,,,,,,,
Phyto,6/9/2023,10:50,E0623B1258,P8,3,61,3,4.92%,5.9,314.159,11.8,2,8.87,86,Asterionella formosa,Pennate Diatom,Asterionella,formosa,,2,2,61.1,,,i,BSA.06-16,AB,Cannot meet tally in 2 transects. Poorly preserved. High sediment.,box + 2 cylinders,611.14,,,,,,,,,
