SampleID,Genus,Units.per.mL,,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType
2018-07-09-D26-Surface,Nitzschia,153.32,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-MD10A-Regular,Chlorella,4599.68,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Cocconeis,287.48,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Cyclotella,862.44,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Eucapsis,110967.28,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Surface,Chlorella,12770.74,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Chroococcus,751.22,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Cyclotella,1126.83,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Eucapsis,146487.9,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Monoraphidium,375.61,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Plagioselmis,1878.05,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-P8-Regular,Chlorella,6899.55,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Chroococcus,1379.91,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Cryptomonas,919.94,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Cyclotella,459.97,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Eucapsis,189967.61,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Plagioselmis,459.97,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Pseudanabaena,919.94,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Surface,Chlorella,7887.81,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-09-P8-Surface,Chroococcus,2253.66,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-09-P8-Surface,Drepanochloris,1126.83,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-09-P8-Surface,Eucapsis,146487.9,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-10-D10-Regular,Cyclotella,574.96,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Regular,Eucapsis,259306.96,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Regular,Plagioselmis,574.96,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Surface,Chlorella,1437.4,,7/10/2018,Summer,Jul,D10,Confluence,CON,Surface
2018-07-10-D10-Surface,Eucapsis,113554.6,,7/10/2018,Summer,Jul,D10,Confluence,CON,Surface
2018-07-10-D8-Regular,Cryptomonas,919.94,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Regular,Cyclotella,919.94,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Regular,Eucapsis,378095.34,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Surface,Chlorella,255.54,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-D8-Surface,Cyclotella,255.54,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-D8-Surface,Eucapsis,107582.34,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-EZ2-Regular,Chlorella,2759.82,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Cyclotella,919.94,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Eucapsis,600720.82,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Navicula,919.94,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Surface,Chlorella,2704.38,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ2-Surface,Eucapsis,412868.68,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ2-Surface,Nitzschia,901.46,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ6-Regular,Chroococcus,766.62,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ6-Regular,Eucapsis,316614.06,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ6-Surface,Chlorella,1502.44,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ6-Surface,Eucapsis,359083.16,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface
2018-07-11-D6-Regular,Chlorella,438.06,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Cocconeis,219.03,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Cyclotella,219.03,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Eucapsis,87612,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Surface,Chlorella,459.96,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Cyclotella,229.98,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Eucapsis,96361.62,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Plagioselmis,229.98,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Thalassiosira,229.98,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D7-Regular,Chlorella,985.65,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-D7-Regular,Eucapsis,135362.6,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-D7-Surface,Chlorella,4245.9,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Cyclotella,707.65,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Eucapsis,285890.6,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Plagioselmis,1415.3,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZ032-Regular,Chlorella,1971.3,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZ032-Regular,Eucapsis,261525.8,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZ032-Surface,Eucapsis,230558.96,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZ032-Surface,Thalassiosira,574.96,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZS42-Regular,Chlorella,3603.44,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZS42-Regular,Eucapsis,417098.18,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZS42-Surface,Eucapsis,499408.84,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Surface
2018-07-12-D41-Regular,Chlorella,500.48,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Cyclotella,250.24,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Eucapsis,100096,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Mucidosphaerium,500.48,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Nitzschia,250.24,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Surface,Chlorella,638.85,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Eucapsis,51108,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Fragilaria,127.77,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Plagioselmis,511.08,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Teleaulax,638.85,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Regular,Chlorella,136.49,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Regular
2018-07-12-D41A-Regular,Chroococcus,136.49,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Regular
2018-07-12-D41A-Regular,Eucapsis,55005.47,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Regular
2018-07-12-D41A-Surface,Chlorella,1254.45,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Surface,Cyclotella,418.15,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Surface,Eucapsis,166841.85,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Regular,Chlorella,1999.9,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Regular,Eucapsis,78596.07,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Regular,Thalassiosira,199.99,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Surface,Chlorella,287.48,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Surface,Coscinodiscus,287.48,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Surface,Cyclotella,287.48,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Surface,Eucapsis,115854.44,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Regular,Chlorella,1082.28,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular
2018-07-12-NZ004-Regular,Eucapsis,110663.13,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular
2018-07-12-NZ004-Regular,Oocystis,270.57,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular
2018-07-12-NZ004-Surface,Chlorella,418.15,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Surface,Cyclotella,418.15,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Surface,Eucapsis,170187.05,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Surface,Thalassiosira,418.15,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Regular,Eucapsis,106513.92,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular
2018-07-12-NZ325-Regular,Plagioselmis,264.96,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular
2018-07-12-NZ325-Surface,Chlorella,2575.6,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Surface,Eucapsis,127492.2,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Surface,Synedra,321.95,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-16-C10A-Regular,Chlamydomonas,1839.88,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Chlorella,3219.79,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Chroococcus,2759.82,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Cyclotella,8739.43,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Eucapsis,160069.56,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Navicula,459.97,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Nitzschia,1839.88,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Oocystis,459.97,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Skeletonema,4139.73,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Surface,Chlorella,8816.13,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Chroococcus,1916.55,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Chrysococcus,383.31,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Closteriopsis,383.31,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Cyclotella,11882.61,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Drepanochloris,383.31,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Encyonema,383.31,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Eucapsis,140291.46,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Geissleria,383.31,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Lagerheimia,383.31,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Microcystis,766.62,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Monoraphidium,383.31,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Navicula,766.62,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Nitzschia,1533.24,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Pseudanabaena,383.31,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Skeletonema,4599.72,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C9-Regular,Chlorella,3942.6,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Chroococcus,6571,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Cyclotella,328.55,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Eucapsis,132077.1,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Monoraphidium,328.55,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Nitzschia,328.55,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Pseudanabaena,985.65,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Surface,Anabaena,766.6,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Chlorella,2491.45,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Chroococcus,191.65,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Cyclotella,191.65,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Eucapsis,76660,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Nitzschia,191.65,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Pseudanabaena,191.65,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-17-C3A-Regular,Chlorella,418.16,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Cyclotella,627.24,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Dolichospermum,418.16,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Encyonema,209.08,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Eucapsis,82377.52,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Gomphonema,209.08,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Staurosira,209.08,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Surface,Achnanthidium,135.29,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Asterionella,135.29,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Cyclotella,135.29,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Encyonema,135.29,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Eucapsis,54116,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Nitzschia,135.29,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-18-D22-Regular,Cyclotella,900.86,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Regular,Eucapsis,237376.61,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Regular,Nitzschia,1351.29,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Surface,Achnanthidium,901.46,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Chlorella,1802.92,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Cyclotella,1802.92,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Eucapsis,385824.88,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Plagioselmis,901.46,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D4-Regular,Cyclotella,1533.24,,7/18/2018,Summer,Jul,D4,Confluence,CON,Regular
2018-07-18-D4-Regular,Dolichospermum,766.62,,7/18/2018,Summer,Jul,D4,Confluence,CON,Regular
2018-07-18-D4-Regular,Eucapsis,325046.88,,7/18/2018,Summer,Jul,D4,Confluence,CON,Regular
2018-07-18-D4-Surface,Chlorella,574.96,,7/18/2018,Summer,Jul,D4,Confluence,CON,Surface
2018-07-18-D4-Surface,Eucapsis,241483.2,,7/18/2018,Summer,Jul,D4,Confluence,CON,Surface
2018-07-18-NZ068-Regular,Chlorella,900.87,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Cocconeis,300.29,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Eucapsis,122218.03,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Nitzschia,600.58,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Plagioselmis,300.29,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Ulnaria,600.58,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Surface,Chlorella,1341.55,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Cocconeis,191.65,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Cyclotella,191.65,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Eucapsis,74551.85,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Merismopedia,191.65,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Nitzschia,191.65,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Plagioselmis,766.6,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-19-D12-Regular,Chlorella,4954.73,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Cyclotella,450.43,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Drepanochloris,450.43,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Eucapsis,175217.27,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Ulnaria,450.43,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Surface,Anabaena,751.22,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D12-Surface,Chlorella,3756.1,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D12-Surface,Chroococcus,20282.94,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D12-Surface,Eucapsis,335044.12,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D19-Regular,Aphanizomenon,321.74,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Regular,Chlorella,4826.1,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Regular,Eucapsis,134165.58,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Regular,Merismopedia,321.74,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Regular,Microcystis,1608.7,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Surface,Anabaena,845.13,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Chlorella,2253.68,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Chroococcus,281.71,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Cocconeis,845.13,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Cryptomonas,281.71,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Cyclotella,281.71,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Drepanochloris,845.13,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Eucapsis,119445.04,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Plagioselmis,281.71,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
