SampleID,AlgalType,BV.um3.per.mL,,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType
2018-07-09-P8-Surface,Green Alga,31077.9714,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-10-D10-Regular,Centric Diatom,52396.1048,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Regular,Cryptophyte,326410.5416,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Regular,Cyanobacterium,94281.9408,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Surface,Cyanobacterium,42587.2872,,7/10/2018,Summer,Jul,D10,Confluence,CON,Surface
2018-07-10-D10-Surface,Green Alga,13224.08,,7/10/2018,Summer,Jul,D10,Confluence,CON,Surface
2018-07-10-D8-Regular,Centric Diatom,83834.1322,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Regular,Cryptophyte,379898.4224,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Regular,Cyanobacterium,138101.3928,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Surface,Centric Diatom,47486.9982,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-D8-Surface,Cyanobacterium,39281.6088,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-D8-Surface,Green Alga,917.3886,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-EZ2-Regular,Centric Diatom,112950.2332,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Cyanobacterium,218080.9764,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Green Alga,22575.3276,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Pennate Diatom,1566299.043,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Surface,Cyanobacterium,152851.5576,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ2-Surface,Green Alga,9708.7242,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ2-Surface,Pennate Diatom,86855.671,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ6-Regular,Cyanobacterium,153875.9664,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ6-Surface,Cyanobacterium,131703.8904,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ6-Surface,Green Alga,5393.7596,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface
2018-07-11-D6-Regular,Centric Diatom,19960.2039,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Cyanobacterium,32013.4248,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Green Alga,5033.3094,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Pennate Diatom,26846.5071,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Surface,Centric Diatom,2152610.5,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Cryptophyte,77590.6524,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Cyanobacterium,35932.0752,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Green Alga,3330.1104,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D7-Regular,Cyanobacterium,49735.899,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-D7-Regular,Green Alga,8062.617,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-D7-Surface,Centric Diatom,695067.983,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Cryptophyte,292776.0345,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Cyanobacterium,105595.533,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Green Alga,15242.781,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZ032-Regular,Cyanobacterium,95332.068,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZ032-Regular,Green Alga,10999.854,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZ032-Surface,Centric Diatom,3881710.199,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZ032-Surface,Cyanobacterium,84657.1104,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZS42-Regular,Cyanobacterium,144966.3912,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZS42-Regular,Green Alga,15098.4136,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZS42-Surface,Cyanobacterium,181085.2848,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Surface
2018-07-12-D41-Regular,Centric Diatom,12061.568,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Cyanobacterium,37566.0288,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Green Alga,6286.0288,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Pennate Diatom,5555.328,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Surface,Cryptophyte,298836.1422,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Cyanobacterium,18812.8548,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Green Alga,2293.4715,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Pennate Diatom,14744.658,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Regular,Cyanobacterium,24101.4042,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Regular
2018-07-12-D41A-Regular,Green Alga,761.6142,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Regular
2018-07-12-D41A-Surface,Centric Diatom,100711.4275,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Surface,Cyanobacterium,62546.877,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Surface,Green Alga,19569.42,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Regular,Centric Diatom,196434.1778,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Regular,Cyanobacterium,28474.5762,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Regular,Green Alga,9699.515,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Surface,Centric Diatom,10959643.16,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Surface,Cyanobacterium,42173.316,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Surface,Green Alga,1032.0532,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Regular,Cyanobacterium,40179.645,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular
2018-07-12-NZ004-Regular,Green Alga,36719.0547,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular
2018-07-12-NZ004-Surface,Centric Diatom,325145.077,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Surface,Cyanobacterium,62998.479,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Surface,Green Alga,4804.5435,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Regular,Cryptophyte,114025.536,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular
2018-07-12-NZ325-Regular,Cyanobacterium,40348.1088,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular
2018-07-12-NZ325-Surface,Cyanobacterium,46013.094,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Surface,Green Alga,9246.404,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Surface,Pennate Diatom,73066.5525,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-16-C10A-Regular,Centric Diatom,12029057.25,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Cyanobacterium,244579.8481,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Green Alga,240463.1166,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Pennate Diatom,1787526.215,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Surface,Centric Diatom,13166131.2,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Chrysophyte,19533.4776,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Cyanobacterium,294765.39,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Green Alga,188040.3867,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Pennate Diatom,1653994.149,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C9-Regular,Centric Diatom,322708.381,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Cyanobacterium,1371118.002,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Green Alga,37303.567,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Pennate Diatom,29237.6645,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Surface,Centric Diatom,201577.47,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Cyanobacterium,1203780.481,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Green Alga,42753.282,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Pennate Diatom,15326.2505,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-17-C3A-Regular,Centric Diatom,66430.9884,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Cyanobacterium,46378.1256,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Green Alga,4804.6584,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Pennate Diatom,314889.1156,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Surface,Centric Diatom,121754.2355,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Cyanobacterium,20261.0304,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Pennate Diatom,109626.8399,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-18-D22-Regular,Centric Diatom,82095.3718,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Regular,Cyanobacterium,85455.5796,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Regular,Pennate Diatom,35133.54,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Surface,Centric Diatom,639513.7532,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Cryptophyte,107688.4116,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Cyanobacterium,155447.7624,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Green Alga,6472.4828,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Pennate Diatom,218856.4588,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D4-Regular,Centric Diatom,188251.2072,,7/18/2018,Summer,Jul,D4,Confluence,CON,Regular
2018-07-18-D4-Regular,Cyanobacterium,229311.3744,,7/18/2018,Summer,Jul,D4,Confluence,CON,Regular
2018-07-18-D4-Surface,Cyanobacterium,89210.7936,,7/18/2018,Summer,Jul,D4,Confluence,CON,Surface
2018-07-18-D4-Surface,Green Alga,2064.1064,,7/18/2018,Summer,Jul,D4,Confluence,CON,Surface
2018-07-18-NZ068-Regular,Cryptophyte,47785.1477,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Cyanobacterium,48592.9278,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Green Alga,3774.6453,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Pennate Diatom,190482.9557,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Surface,Centric Diatom,306622.7515,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Cryptophyte,112107.584,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Cyanobacterium,37666.891,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Green Alga,9712.822,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Pennate Diatom,81989.7865,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-19-D12-Regular,Centric Diatom,55303.7954,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Cyanobacterium,64618.6878,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Green Alga,32647.1664,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Pennate Diatom,23246.6923,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Surface,Cyanobacterium,3801946.957,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D12-Surface,Green Alga,13484.399,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D19-Regular,Cyanobacterium,805694.8732,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Regular,Green Alga,20221.359,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Surface,Centric Diatom,44828.5123,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Cryptophyte,278594.2874,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Cyanobacterium,321166.3026,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Green Alga,18547.7864,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Pennate Diatom,584804.6061,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D28A-Regular,Cyanobacterium,648216.6912,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Regular
2018-07-19-D28A-Regular,Green Alga,6283.5264,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Regular
2018-07-19-D28A-Regular,Pennate Diatom,106042.9536,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Regular
2018-07-19-D28A-Surface,Centric Diatom,215121.144,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Surface
2018-07-19-D28A-Surface,Cryptophyte,64614.468,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Surface
2018-07-19-D28A-Surface,Cyanobacterium,1280044.8,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Surface
2018-07-19-D28A-Surface,Green Alga,38429.514,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Surface
2018-07-19-D28A-Surface,Pennate Diatom,183369.798,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Surface
2018-07-19-EZ2-SJR-Regular,Centric Diatom,182985.2654,,7/19/2018,Summer,Jul,EZ2-SJR,NA,NA,Regular
2018-07-19-EZ2-SJR-Regular,Cyanobacterium,230306.979,,7/19/2018,Summer,Jul,EZ2-SJR,NA,NA,Regular
2018-07-19-EZ2-SJR-Regular,Green Alga,10570.1106,,7/19/2018,Summer,Jul,EZ2-SJR,NA,NA,Regular
2018-07-19-EZ2-SJR-Regular,Pennate Diatom,40026.5894,,7/19/2018,Summer,Jul,EZ2-SJR,NA,NA,Regular
2018-08-01-C10A-Regular,Centric Diatom,600363.9447,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Regular
2018-08-01-C10A-Regular,Cyanobacterium,1108788.896,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Regular
2018-08-01-C10A-Regular,Green Alga,612506.2236,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Regular
2018-08-01-C10A-Regular,Pennate Diatom,306523.3692,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Regular
2018-08-01-C10A-Surface,Centric Diatom,5246110.67,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Surface
2018-08-01-C10A-Surface,Cyanobacterium,2412654.587,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Surface
2018-08-01-C10A-Surface,Green Alga,153867.1849,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Surface
2018-08-01-C10A-Surface,Pennate Diatom,413347.4488,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Surface
2018-08-01-C9-Regular,Cyanobacterium,589757.0076,,8/1/2018,Summer,Aug,C9,Southern Interior Delta,SID,Regular
2018-08-01-C9-Regular,Green Alga,36462.3085,,8/1/2018,Summer,Aug,C9,Southern Interior Delta,SID,Regular
2018-08-01-C9-Surface,Cyanobacterium,717607.4493,,8/1/2018,Summer,Aug,C9,Southern Interior Delta,SID,Surface
2018-08-01-C9-Surface,Green Alga,19777.3818,,8/1/2018,Summer,Aug,C9,Southern Interior Delta,SID,Surface
2018-08-01-C9-Surface,Pennate Diatom,99462.852,,8/1/2018,Summer,Aug,C9,Southern Interior Delta,SID,Surface
2018-08-02-C3A-Regular,Centric Diatom,19546.4737,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Regular
2018-08-02-C3A-Regular,Cyanobacterium,38063.3954,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Regular
2018-08-02-C3A-Regular,Green Alga,6290.9917,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Regular
2018-08-02-C3A-Regular,Pennate Diatom,236211.4023,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Regular
2018-08-02-C3A-Surface,Cyanobacterium,44617.2298,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Surface
2018-08-02-C3A-Surface,Green Alga,16395.522,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Surface
2018-08-02-C3A-Surface,Pennate Diatom,984156.7021,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Surface
2018-08-02-D22-Regular,Centric Diatom,30496.1436,,8/2/2018,Summer,Aug,D22,Confluence,CON,Regular
2018-08-02-D22-Regular,Cryptophyte,58531.437,,8/2/2018,Summer,Aug,D22,Confluence,CON,Regular
2018-08-02-D22-Regular,Cyanobacterium,122674.5324,,8/2/2018,Summer,Aug,D22,Confluence,CON,Regular
2018-08-02-D22-Regular,Green Alga,38285.0028,,8/2/2018,Summer,Aug,D22,Confluence,CON,Regular
2018-08-02-D22-Surface,Centric Diatom,1575798.622,,8/2/2018,Summer,Aug,D22,Confluence,CON,Surface
2018-08-02-D22-Surface,Cyanobacterium,94592.4192,,8/2/2018,Summer,Aug,D22,Confluence,CON,Surface
2018-08-02-D4-Regular,Centric Diatom,164190.7436,,8/2/2018,Summer,Aug,D4,Confluence,CON,Regular
2018-08-02-D4-Regular,Cyanobacterium,146750.094,,8/2/2018,Summer,Aug,D4,Confluence,CON,Regular
2018-08-02-D4-Surface,Cyanobacterium,73558.9728,,8/2/2018,Summer,Aug,D4,Confluence,CON,Surface
2018-08-02-D4-Surface,Green Alga,7191.6316,,8/2/2018,Summer,Aug,D4,Confluence,CON,Surface
2018-08-02-NZ068-Regular,Centric Diatom,174354.1234,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Regular
2018-08-02-NZ068-Regular,Cryptophyte,55348.9322,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Regular
2018-08-02-NZ068-Regular,Cyanobacterium,53338.0572,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Regular
2018-08-02-NZ068-Regular,Green Alga,10784.7248,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Regular
2018-08-02-NZ068-Surface,Centric Diatom,56640.6126,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Surface
2018-08-02-NZ068-Surface,Cyanobacterium,40870.4868,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Surface
2018-08-02-NZ068-Surface,Green Alga,2022.6778,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Surface
2018-08-02-NZ068-Surface,Pennate Diatom,187044.1716,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Surface
2018-08-03-D12-Regular,Centric Diatom,56567.1106,,8/3/2018,Summer,Aug,D12,Confluence,CON,Regular
2018-08-03-D12-Regular,Cyanobacterium,288180.4044,,8/3/2018,Summer,Aug,D12,Confluence,CON,Regular
2018-08-03-D12-Regular,Green Alga,13320.7312,,8/3/2018,Summer,Aug,D12,Confluence,CON,Regular
2018-08-03-D12-Surface,Centric Diatom,156222.3816,,8/3/2018,Summer,Aug,D12,Confluence,CON,Surface
2018-08-03-D12-Surface,Chrysophyte,567278.5344,,8/3/2018,Summer,Aug,D12,Confluence,CON,Surface
2018-08-03-D12-Surface,Cyanobacterium,804760.0128,,8/3/2018,Summer,Aug,D12,Confluence,CON,Surface
2018-08-03-D12-Surface,Green Alga,2064.1064,,8/3/2018,Summer,Aug,D12,Confluence,CON,Surface
2018-08-03-D19-Regular,Centric Diatom,28745.1252,,8/3/2018,Summer,Aug,D19,Central Delta,CED,Regular
2018-08-03-D19-Regular,Cryptophyte,129423.496,,8/3/2018,Summer,Aug,D19,Central Delta,CED,Regular
