SampleID,Genus,BV.um3.per.mL,,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType
2018-07-12-D41-Regular,Mucidosphaerium,4189.0176,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Nitzschia,5555.328,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Surface,Chlorella,2293.4715,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Eucapsis,18812.8548,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Fragilaria,14744.658,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Plagioselmis,27490.9932,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Teleaulax,271345.149,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Regular,Chlorella,761.6142,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Regular
2018-07-12-D41A-Regular,Chroococcus,1523.2284,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Regular
2018-07-12-D41A-Regular,Eucapsis,22578.1758,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Regular
2018-07-12-D41A-Surface,Chlorella,19569.42,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Surface,Cyclotella,100711.4275,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Surface,Eucapsis,62546.877,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Regular,Chlorella,9699.515,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Regular,Eucapsis,28474.5762,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Regular,Thalassiosira,196434.1778,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Surface,Chlorella,1032.0532,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Surface,Coscinodiscus,10700925.54,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Surface,Cyclotella,258717.626,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Surface,Eucapsis,42173.316,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Regular,Chlorella,9956.976,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular
2018-07-12-NZ004-Regular,Eucapsis,40179.645,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular
2018-07-12-NZ004-Regular,Oocystis,26762.0787,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular
2018-07-12-NZ004-Surface,Chlorella,4804.5435,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Surface,Cyclotella,25712.0435,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Surface,Eucapsis,62998.479,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Surface,Thalassiosira,299433.0335,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Regular,Eucapsis,40348.1088,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular
2018-07-12-NZ325-Regular,Plagioselmis,114025.536,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular
2018-07-12-NZ325-Surface,Chlorella,9246.404,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Surface,Eucapsis,46013.094,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Surface,Synedra,73066.5525,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-16-C10A-Regular,Chlamydomonas,131073.0512,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Chlorella,60596.4478,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Chroococcus,186458.0389,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Cyclotella,11383631.94,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Eucapsis,58121.8092,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Navicula,1517818.205,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Nitzschia,269708.0092,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Oocystis,48793.6176,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Skeletonema,645425.3043,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Surface,Chlorella,124660.0782,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Chroococcus,85899.771,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Chrysococcus,19533.4776,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Closteriopsis,46966.9743,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Cyclotella,12918298.29,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Drepanochloris,7118.0667,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Encyonema,325372.6935,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Eucapsis,51401.871,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Geissleria,321466.7646,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Lagerheimia,2679.3369,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Microcystis,39066.9552,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Monoraphidium,6615.9306,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Navicula,875786.688,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Nitzschia,131368.0032,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Pseudanabaena,118396.7928,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Skeletonema,247832.9136,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C9-Regular,Chlorella,36271.92,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Chroococcus,570789.915,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Cyclotella,322708.381,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Eucapsis,48612.258,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Monoraphidium,1031.647,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Nitzschia,29237.6645,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Pseudanabaena,751715.829,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Surface,Anabaena,1112719.9,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Chlorella,42753.282,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Chroococcus,19532.968,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Cyclotella,201577.47,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Eucapsis,28046.061,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Nitzschia,15326.2505,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Pseudanabaena,43481.552,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-17-C3A-Regular,Chlorella,4804.6584,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Cyclotella,66430.9884,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Dolichospermum,16421.1432,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Encyonema,58922.9256,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Eucapsis,29956.9824,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Gomphonema,214378.0872,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Staurosira,41588.1028,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Surface,Achnanthidium,26765.7736,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Asterionella,21856.0995,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Cyclotella,121754.2355,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Encyonema,35445.98,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Eucapsis,20261.0304,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Nitzschia,25558.9868,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-18-D22-Regular,Cyclotella,82095.3718,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Regular,Eucapsis,85455.5796,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Regular,Nitzschia,35133.54,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Surface,Achnanthidium,218856.4588,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Chlorella,6472.4828,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Cyclotella,639513.7532,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Eucapsis,155447.7624,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Plagioselmis,107688.4116,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D4-Regular,Cyclotella,188251.2072,,7/18/2018,Summer,Jul,D4,Confluence,CON,Regular
2018-07-18-D4-Regular,Dolichospermum,110086.632,,7/18/2018,Summer,Jul,D4,Confluence,CON,Regular
2018-07-18-D4-Regular,Eucapsis,119224.7424,,7/18/2018,Summer,Jul,D4,Confluence,CON,Regular
2018-07-18-D4-Surface,Chlorella,2064.1064,,7/18/2018,Summer,Jul,D4,Confluence,CON,Surface
2018-07-18-D4-Surface,Eucapsis,89210.7936,,7/18/2018,Summer,Jul,D4,Confluence,CON,Surface
2018-07-18-NZ068-Regular,Chlorella,3774.6453,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Cocconeis,110371.5895,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Eucapsis,48592.9278,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Nitzschia,20059.372,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Plagioselmis,47785.1477,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Ulnaria,60051.9942,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Surface,Chlorella,9712.822,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Cocconeis,63623.967,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Cyclotella,306622.7515,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Eucapsis,27149.139,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Merismopedia,10517.752,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Nitzschia,18365.8195,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Plagioselmis,112107.584,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-19-D12-Regular,Chlorella,20760.3187,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Cyclotella,55303.7954,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Drepanochloris,11886.8477,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Eucapsis,64618.6878,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Ulnaria,23246.6923,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Surface,Anabaena,1399973.592,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D12-Surface,Chlorella,13484.399,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D12-Surface,Chroococcus,2279464.407,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D12-Surface,Eucapsis,122508.9576,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D19-Regular,Aphanizomenon,77487.8616,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Regular,Chlorella,20221.359,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Regular,Eucapsis,49399.9596,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Regular,Merismopedia,1286.96,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Regular,Microcystis,677520.092,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Surface,Anabaena,226156.788,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Chlorella,16316.6432,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Chroococcus,51806.469,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Cocconeis,584804.6061,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
