SampleID,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType,Genus,Units.per.mL,BV.um3.per.mL
2018-07-12-NZ002-Surface,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface,Eucapsis,115854.44,42173.316
2018-07-12-NZ004-Regular,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular,Chlorella,1082.28,9956.975999999999
2018-07-12-NZ004-Regular,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular,Eucapsis,110663.12999999999,40179.645
2018-07-12-NZ004-Regular,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular,Oocystis,270.57,26762.0787
2018-07-12-NZ004-Surface,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface,Chlorella,418.15,4804.5435
2018-07-12-NZ004-Surface,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface,Cyclotella,418.15,25712.0435
2018-07-12-NZ004-Surface,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface,Eucapsis,170187.05,62998.47899999999
2018-07-12-NZ004-Surface,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface,Thalassiosira,418.15,299433.0335
2018-07-12-NZ325-Regular,2018-07-12,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular,Eucapsis,106513.92,40348.108799999995
2018-07-12-NZ325-Regular,2018-07-12,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular,Plagioselmis,264.96,114025.536
2018-07-12-NZ325-Surface,2018-07-12,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface,Chlorella,2575.6,9246.403999999999
2018-07-12-NZ325-Surface,2018-07-12,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface,Eucapsis,127492.2,46013.094
2018-07-12-NZ325-Surface,2018-07-12,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface,Synedra,321.95,73066.55249999999
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Chlamydomonas,1839.88,131073.0512
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Chlorella,3219.79,60596.44780000001
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Chroococcus,2759.82,186458.0389
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Cyclotella,8739.43,11383631.9408
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Eucapsis,160069.56,58121.8092
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Navicula,459.97,1517818.2054
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Nitzschia,1839.88,269708.00920000003
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Oocystis,459.97,48793.617600000005
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Skeletonema,4139.7300000000005,645425.3043000001
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Chlorella,8816.13,124660.07820000002
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Chroococcus,1916.5500000000002,85899.77100000001
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Chrysococcus,383.31,19533.477600000002
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Closteriopsis,383.31,46966.9743
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Cyclotella,11882.61,12918298.2876
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Drepanochloris,383.31,7118.0667
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Encyonema,383.31,325372.6935
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Eucapsis,140291.46,51401.871
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Geissleria,383.31,321466.7646
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Lagerheimia,383.31,2679.3369000000002
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Microcystis,766.62,39066.955200000004
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Monoraphidium,383.31,6615.930600000001
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Navicula,766.62,875786.6880000001
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Nitzschia,1533.24,131368.0032
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Pseudanabaena,383.31,118396.7928
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Skeletonema,4599.72,247832.91360000003
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Chlorella,3942.6000000000004,36271.92
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Chroococcus,6571,570789.915
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Cyclotella,328.55,322708.381
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Eucapsis,132077.1,48612.258
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Monoraphidium,328.55,1031.6470000000002
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Nitzschia,328.55,29237.6645
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Pseudanabaena,985.6500000000001,751715.829
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Anabaena,766.6,1112719.9000000001
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Chlorella,2491.4500000000003,42753.28200000001
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Chroococcus,191.65,19532.968
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Cyclotella,191.65,201577.47
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Eucapsis,76660,28046.061
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Nitzschia,191.65,15326.2505
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Pseudanabaena,191.65,43481.552
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Chlorella,418.16,4804.6584
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Cyclotella,627.24,66430.9884
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Dolichospermum,418.16,16421.143200000002
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Encyonema,209.08,58922.9256
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Eucapsis,82377.52,29956.9824
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Gomphonema,209.08,214378.0872
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Staurosira,209.08,41588.1028
2018-07-17-C3A-Surface,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Surface,Achnanthidium,135.29,26765.7736
2018-07-17-C3A-Surface,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Surface,Asterionella,135.29,21856.0995
2018-07-17-C3A-Surface,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Surface,Cyclotella,135.29,121754.2355
2018-07-17-C3A-Surface,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Surface,Encyonema,135.29,35445.979999999996
2018-07-17-C3A-Surface,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Surface,Eucapsis,54116,20261.030399999996
2018-07-17-C3A-Surface,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Surface,Nitzschia,135.29,25558.986799999995
2018-07-18-D22-Regular,2018-07-18,Summer,Jul,D22,Confluence,CON,Regular,Cyclotella,900.86,82095.3718
2018-07-18-D22-Regular,2018-07-18,Summer,Jul,D22,Confluence,CON,Regular,Eucapsis,237376.61000000002,85455.5796
2018-07-18-D22-Regular,2018-07-18,Summer,Jul,D22,Confluence,CON,Regular,Nitzschia,1351.29,35133.54
2018-07-18-D22-Surface,2018-07-18,Summer,Jul,D22,Confluence,CON,Surface,Achnanthidium,901.46,218856.45880000002
2018-07-18-D22-Surface,2018-07-18,Summer,Jul,D22,Confluence,CON,Surface,Chlorella,1802.92,6472.4828
2018-07-18-D22-Surface,2018-07-18,Summer,Jul,D22,Confluence,CON,Surface,Cyclotella,1802.92,639513.7532
2018-07-18-D22-Surface,2018-07-18,Summer,Jul,D22,Confluence,CON,Surface,Eucapsis,385824.88,155447.7624
2018-07-18-D22-Surface,2018-07-18,Summer,Jul,D22,Confluence,CON,Surface,Plagioselmis,901.46,107688.41159999999
2018-07-18-D4-Regular,2018-07-18,Summer,Jul,D4,Confluence,CON,Regular,Cyclotella,1533.24,188251.2072
2018-07-18-D4-Regular,2018-07-18,Summer,Jul,D4,Confluence,CON,Regular,Dolichospermum,766.62,110086.632
2018-07-18-D4-Regular,2018-07-18,Summer,Jul,D4,Confluence,CON,Regular,Eucapsis,325046.88,119224.74239999999
2018-07-18-D4-Surface,2018-07-18,Summer,Jul,D4,Confluence,CON,Surface,Chlorella,574.96,2064.1064
2018-07-18-D4-Surface,2018-07-18,Summer,Jul,D4,Confluence,CON,Surface,Eucapsis,241483.2,89210.7936
2018-07-18-NZ068-Regular,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular,Chlorella,900.8700000000001,3774.6453
2018-07-18-NZ068-Regular,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular,Cocconeis,300.29,110371.58950000002
2018-07-18-NZ068-Regular,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular,Eucapsis,122218.03000000001,48592.9278
2018-07-18-NZ068-Regular,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular,Nitzschia,600.58,20059.372
2018-07-18-NZ068-Regular,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular,Plagioselmis,300.29,47785.1477
2018-07-18-NZ068-Regular,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular,Ulnaria,600.58,60051.9942
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Chlorella,1341.55,9712.822
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Cocconeis,191.65,63623.967000000004
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Cyclotella,191.65,306622.7515
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Eucapsis,74551.85,27149.139
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Merismopedia,191.65,10517.752
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Nitzschia,191.65,18365.8195
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Plagioselmis,766.6,112107.58400000002
2018-07-19-D12-Regular,2018-07-19,Summer,Jul,D12,Confluence,CON,Regular,Chlorella,4954.7300000000005,20760.318700000003
