SampleID,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType,AlgalType,Units.per.mL,BV.um3.per.mL
2018-07-18-D4-Surface,2018-07-18,Summer,Jul,D4,Confluence,CON,Surface,Green Alga,574.96,2064.1064
2018-07-18-NZ068-Regular,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular,Cryptophyte,300.29,47785.1477
2018-07-18-NZ068-Regular,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular,Cyanobacterium,122218.03000000001,48592.9278
2018-07-18-NZ068-Regular,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular,Green Alga,900.8700000000001,3774.6453
2018-07-18-NZ068-Regular,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular,Pennate Diatom,1501.45,190482.95570000002
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Centric Diatom,191.65,306622.7515
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Cryptophyte,766.6,112107.58400000002
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Cyanobacterium,74743.5,37666.891
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Green Alga,1341.55,9712.822
2018-07-18-NZ068-Surface,2018-07-18,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface,Pennate Diatom,383.3,81989.7865
2018-07-19-D12-Regular,2018-07-19,Summer,Jul,D12,Confluence,CON,Regular,Centric Diatom,450.43,55303.7954
2018-07-19-D12-Regular,2018-07-19,Summer,Jul,D12,Confluence,CON,Regular,Cyanobacterium,175217.27,64618.68780000001
2018-07-19-D12-Regular,2018-07-19,Summer,Jul,D12,Confluence,CON,Regular,Green Alga,5405.160000000001,32647.166400000002
2018-07-19-D12-Regular,2018-07-19,Summer,Jul,D12,Confluence,CON,Regular,Pennate Diatom,450.43,23246.6923
2018-07-19-D12-Surface,2018-07-19,Summer,Jul,D12,Confluence,CON,Surface,Cyanobacterium,356078.27999999997,3801946.9566
2018-07-19-D12-Surface,2018-07-19,Summer,Jul,D12,Confluence,CON,Surface,Green Alga,3756.1000000000004,13484.399
2018-07-19-D19-Regular,2018-07-19,Summer,Jul,D19,Central Delta,CED,Regular,Cyanobacterium,136417.76,805694.8732
2018-07-19-D19-Regular,2018-07-19,Summer,Jul,D19,Central Delta,CED,Regular,Green Alga,4826.1,20221.359000000004
2018-07-19-D19-Surface,2018-07-19,Summer,Jul,D19,Central Delta,CED,Surface,Centric Diatom,281.71,44828.512299999995
2018-07-19-D19-Surface,2018-07-19,Summer,Jul,D19,Central Delta,CED,Surface,Cryptophyte,563.42,278594.2874
2018-07-19-D19-Surface,2018-07-19,Summer,Jul,D19,Central Delta,CED,Surface,Cyanobacterium,120571.87999999999,321166.30259999994
2018-07-19-D19-Surface,2018-07-19,Summer,Jul,D19,Central Delta,CED,Surface,Green Alga,3098.8099999999995,18547.786399999997
2018-07-19-D19-Surface,2018-07-19,Summer,Jul,D19,Central Delta,CED,Surface,Pennate Diatom,845.1299999999999,584804.6060999999
2018-07-19-D28A-Regular,2018-07-19,Summer,Jul,D28A,Central Delta,CED,Regular,Cyanobacterium,112608,648216.6912
2018-07-19-D28A-Regular,2018-07-19,Summer,Jul,D28A,Central Delta,CED,Regular,Green Alga,1126.08,6283.5264
2018-07-19-D28A-Regular,2018-07-19,Summer,Jul,D28A,Central Delta,CED,Regular,Pennate Diatom,563.04,106042.95360000001
2018-07-19-D28A-Surface,2018-07-19,Summer,Jul,D28A,Central Delta,CED,Surface,Centric Diatom,375.6,215121.14400000003
2018-07-19-D28A-Surface,2018-07-19,Summer,Jul,D28A,Central Delta,CED,Surface,Cryptophyte,375.6,64614.468
2018-07-19-D28A-Surface,2018-07-19,Summer,Jul,D28A,Central Delta,CED,Surface,Cyanobacterium,68171.40000000001,1280044.8
2018-07-19-D28A-Surface,2018-07-19,Summer,Jul,D28A,Central Delta,CED,Surface,Green Alga,10704.6,38429.514
2018-07-19-D28A-Surface,2018-07-19,Summer,Jul,D28A,Central Delta,CED,Surface,Pennate Diatom,187.8,183369.798
2018-07-19-EZ2-SJR-Regular,2018-07-19,Summer,Jul,EZ2-SJR,NA,NA,Regular,Centric Diatom,919.94,182985.2654
2018-07-19-EZ2-SJR-Regular,2018-07-19,Summer,Jul,EZ2-SJR,NA,NA,Regular,Cyanobacterium,399253.96,230306.97900000002
2018-07-19-EZ2-SJR-Regular,2018-07-19,Summer,Jul,EZ2-SJR,NA,NA,Regular,Green Alga,919.94,10570.1106
2018-07-19-EZ2-SJR-Regular,2018-07-19,Summer,Jul,EZ2-SJR,NA,NA,Regular,Pennate Diatom,919.94,40026.5894
2018-08-01-C10A-Regular,2018-08-01,Summer,Aug,C10A,Southern Interior Delta,SID,Regular,Centric Diatom,3217.3500000000004,600363.9447
2018-08-01-C10A-Regular,2018-08-01,Summer,Aug,C10A,Southern Interior Delta,SID,Regular,Cyanobacterium,257388.00000000003,1108788.8958
2018-08-01-C10A-Regular,2018-08-01,Summer,Aug,C10A,Southern Interior Delta,SID,Regular,Green Alga,3860.82,612506.2236
2018-08-01-C10A-Regular,2018-08-01,Summer,Aug,C10A,Southern Interior Delta,SID,Regular,Pennate Diatom,1930.41,306523.3692
2018-08-01-C10A-Surface,2018-08-01,Summer,Aug,C10A,Southern Interior Delta,SID,Surface,Centric Diatom,3943.9399999999996,5246110.669799999
2018-08-01-C10A-Surface,2018-08-01,Summer,Aug,C10A,Southern Interior Delta,SID,Surface,Cyanobacterium,125642.65999999999,2412654.5872
2018-08-01-C10A-Surface,2018-08-01,Summer,Aug,C10A,Southern Interior Delta,SID,Surface,Green Alga,7042.75,153867.1849
2018-08-01-C10A-Surface,2018-08-01,Summer,Aug,C10A,Southern Interior Delta,SID,Surface,Pennate Diatom,1126.84,413347.44879999995
2018-08-01-C9-Regular,2018-08-01,Summer,Aug,C9,Southern Interior Delta,SID,Regular,Cyanobacterium,173865.98,589757.0076000001
2018-08-01-C9-Regular,2018-08-01,Summer,Aug,C9,Southern Interior Delta,SID,Regular,Green Alga,3153.01,36462.3085
2018-08-01-C9-Surface,2018-08-01,Summer,Aug,C9,Southern Interior Delta,SID,Surface,Cyanobacterium,103419.33,717607.4493
2018-08-01-C9-Surface,2018-08-01,Summer,Aug,C9,Southern Interior Delta,SID,Surface,Green Alga,5509.0199999999995,19777.381799999996
2018-08-01-C9-Surface,2018-08-01,Summer,Aug,C9,Southern Interior Delta,SID,Surface,Pennate Diatom,500.82,99462.852
2018-08-02-C3A-Regular,2018-08-02,Summer,Aug,C3A,Northern Interior Delta,NID,Regular,Centric Diatom,214.49,19546.4737
2018-08-02-C3A-Regular,2018-08-02,Summer,Aug,C3A,Northern Interior Delta,NID,Regular,Cyanobacterium,86224.98000000001,38063.395399999994
2018-08-02-C3A-Regular,2018-08-02,Summer,Aug,C3A,Northern Interior Delta,NID,Regular,Green Alga,1501.43,6290.9917000000005
2018-08-02-C3A-Regular,2018-08-02,Summer,Aug,C3A,Northern Interior Delta,NID,Regular,Pennate Diatom,1501.43,236211.40230000002
2018-08-02-C3A-Surface,2018-08-02,Summer,Aug,C3A,Northern Interior Delta,NID,Surface,Cyanobacterium,116064.52,44617.229799999994
2018-08-02-C3A-Surface,2018-08-02,Summer,Aug,C3A,Northern Interior Delta,NID,Surface,Green Alga,3380.5199999999995,16395.521999999997
2018-08-02-C3A-Surface,2018-08-02,Summer,Aug,C3A,Northern Interior Delta,NID,Surface,Pennate Diatom,281.71,984156.7021
2018-08-02-D22-Regular,2018-08-02,Summer,Aug,D22,Confluence,CON,Regular,Centric Diatom,766.62,30496.1436
2018-08-02-D22-Regular,2018-08-02,Summer,Aug,D22,Confluence,CON,Regular,Cryptophyte,766.62,58531.437
2018-08-02-D22-Regular,2018-08-02,Summer,Aug,D22,Confluence,CON,Regular,Cyanobacterium,338846.04,122674.53239999998
2018-08-02-D22-Regular,2018-08-02,Summer,Aug,D22,Confluence,CON,Regular,Green Alga,3833.1,38285.0028
2018-08-02-D22-Surface,2018-08-02,Summer,Aug,D22,Confluence,CON,Surface,Centric Diatom,1149.92,1575798.6216000002
2018-08-02-D22-Surface,2018-08-02,Summer,Aug,D22,Confluence,CON,Surface,Cyanobacterium,258157.04,94592.41919999999
2018-08-02-D4-Regular,2018-08-02,Summer,Aug,D4,Confluence,CON,Regular,Centric Diatom,1801.72,164190.7436
2018-08-02-D4-Regular,2018-08-02,Summer,Aug,D4,Confluence,CON,Regular,Cyanobacterium,422503.34,146750.094
2018-08-02-D4-Surface,2018-08-02,Summer,Aug,D4,Confluence,CON,Surface,Cyanobacterium,204330.48,73558.9728
2018-08-02-D4-Surface,2018-08-02,Summer,Aug,D4,Confluence,CON,Surface,Green Alga,2003.24,7191.6316
2018-08-02-NZ068-Regular,2018-08-02,Summer,Aug,NZ068,Northern Interior Delta,NID,Regular,Centric Diatom,321.74,174354.12339999998
