SampleID,AlgalType,Units.per.mL,,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType
2018-07-10-D8-Surface,Cyanobacterium,107582.34,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-D8-Surface,Green Alga,255.54,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-EZ2-Regular,Centric Diatom,919.94,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Cyanobacterium,600720.82,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Green Alga,2759.82,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Pennate Diatom,919.94,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Surface,Cyanobacterium,412868.68,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ2-Surface,Green Alga,2704.38,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ2-Surface,Pennate Diatom,901.46,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ6-Regular,Cyanobacterium,317380.68,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ6-Surface,Cyanobacterium,359083.16,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ6-Surface,Green Alga,1502.44,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface
2018-07-11-D6-Regular,Centric Diatom,219.03,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Cyanobacterium,87612,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Green Alga,438.06,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Pennate Diatom,219.03,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Surface,Centric Diatom,459.96,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Cryptophyte,229.98,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Cyanobacterium,96361.62,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Green Alga,459.96,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D7-Regular,Cyanobacterium,135362.6,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-D7-Regular,Green Alga,985.65,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-D7-Surface,Centric Diatom,707.65,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Cryptophyte,1415.3,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Cyanobacterium,285890.6,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Green Alga,4245.9,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZ032-Regular,Cyanobacterium,261525.8,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZ032-Regular,Green Alga,1971.3,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZ032-Surface,Centric Diatom,574.96,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZ032-Surface,Cyanobacterium,230558.96,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZS42-Regular,Cyanobacterium,417098.18,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZS42-Regular,Green Alga,3603.44,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZS42-Surface,Cyanobacterium,499408.84,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Surface
2018-07-12-D41-Regular,Centric Diatom,250.24,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Cyanobacterium,100096,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Green Alga,1000.96,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Pennate Diatom,250.24,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Surface,Cryptophyte,1149.93,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Cyanobacterium,51108,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Green Alga,638.85,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41-Surface,Pennate Diatom,127.77,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Regular,Cyanobacterium,55141.96,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Regular
2018-07-12-D41A-Regular,Green Alga,136.49,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Regular
2018-07-12-D41A-Surface,Centric Diatom,418.15,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Surface,Cyanobacterium,166841.85,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-D41A-Surface,Green Alga,1254.45,,7/12/2018,Summer,Jul,D41A,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Regular,Centric Diatom,199.99,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Regular,Cyanobacterium,78596.07,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Regular,Green Alga,1999.9,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular
2018-07-12-NZ002-Surface,Centric Diatom,574.96,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Surface,Cyanobacterium,115854.44,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ002-Surface,Green Alga,287.48,,7/12/2018,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Regular,Cyanobacterium,110663.13,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular
2018-07-12-NZ004-Regular,Green Alga,1352.85,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular
2018-07-12-NZ004-Surface,Centric Diatom,836.3,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Surface,Cyanobacterium,170187.05,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ004-Surface,Green Alga,418.15,,7/12/2018,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Regular,Cryptophyte,264.96,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular
2018-07-12-NZ325-Regular,Cyanobacterium,106513.92,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular
2018-07-12-NZ325-Surface,Cyanobacterium,127492.2,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Surface,Green Alga,2575.6,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-12-NZ325-Surface,Pennate Diatom,321.95,,7/12/2018,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface
2018-07-16-C10A-Regular,Centric Diatom,12879.16,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Cyanobacterium,162829.38,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Green Alga,5519.64,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Regular,Pennate Diatom,2299.85,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Regular
2018-07-16-C10A-Surface,Centric Diatom,16482.33,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Chrysophyte,383.31,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Cyanobacterium,143357.94,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Green Alga,10349.37,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C10A-Surface,Pennate Diatom,3066.48,,7/16/2018,Summer,Jul,C10A,Southern Interior Delta,SID,Surface
2018-07-16-C9-Regular,Centric Diatom,328.55,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Cyanobacterium,139633.75,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Green Alga,4271.15,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Regular,Pennate Diatom,328.55,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Regular
2018-07-16-C9-Surface,Centric Diatom,191.65,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Cyanobacterium,77809.9,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Green Alga,2491.45,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-16-C9-Surface,Pennate Diatom,191.65,,7/16/2018,Summer,Jul,C9,Southern Interior Delta,SID,Surface
2018-07-17-C3A-Regular,Centric Diatom,627.24,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Cyanobacterium,82795.68,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Green Alga,418.16,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Regular,Pennate Diatom,627.24,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Regular
2018-07-17-C3A-Surface,Centric Diatom,135.29,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Cyanobacterium,54116,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-17-C3A-Surface,Pennate Diatom,541.16,,7/17/2018,Summer,Jul,C3A,Northern Interior Delta,NID,Surface
2018-07-18-D22-Regular,Centric Diatom,900.86,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Regular,Cyanobacterium,237376.61,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Regular,Pennate Diatom,1351.29,,7/18/2018,Summer,Jul,D22,Confluence,CON,Regular
2018-07-18-D22-Surface,Centric Diatom,1802.92,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Cryptophyte,901.46,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Cyanobacterium,385824.88,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Green Alga,1802.92,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D22-Surface,Pennate Diatom,901.46,,7/18/2018,Summer,Jul,D22,Confluence,CON,Surface
2018-07-18-D4-Regular,Centric Diatom,1533.24,,7/18/2018,Summer,Jul,D4,Confluence,CON,Regular
2018-07-18-D4-Regular,Cyanobacterium,325813.5,,7/18/2018,Summer,Jul,D4,Confluence,CON,Regular
2018-07-18-D4-Surface,Cyanobacterium,241483.2,,7/18/2018,Summer,Jul,D4,Confluence,CON,Surface
2018-07-18-D4-Surface,Green Alga,574.96,,7/18/2018,Summer,Jul,D4,Confluence,CON,Surface
2018-07-18-NZ068-Regular,Cryptophyte,300.29,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Cyanobacterium,122218.03,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Green Alga,900.87,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Regular,Pennate Diatom,1501.45,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Regular
2018-07-18-NZ068-Surface,Centric Diatom,191.65,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Cryptophyte,766.6,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Cyanobacterium,74743.5,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Green Alga,1341.55,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-18-NZ068-Surface,Pennate Diatom,383.3,,7/18/2018,Summer,Jul,NZ068,Northern Interior Delta,NID,Surface
2018-07-19-D12-Regular,Centric Diatom,450.43,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Cyanobacterium,175217.27,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Green Alga,5405.16,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Regular,Pennate Diatom,450.43,,7/19/2018,Summer,Jul,D12,Confluence,CON,Regular
2018-07-19-D12-Surface,Cyanobacterium,356078.28,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D12-Surface,Green Alga,3756.1,,7/19/2018,Summer,Jul,D12,Confluence,CON,Surface
2018-07-19-D19-Regular,Cyanobacterium,136417.76,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Regular,Green Alga,4826.1,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Regular
2018-07-19-D19-Surface,Centric Diatom,281.71,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Cryptophyte,563.42,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Cyanobacterium,120571.88,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Green Alga,3098.81,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D19-Surface,Pennate Diatom,845.13,,7/19/2018,Summer,Jul,D19,Central Delta,CED,Surface
2018-07-19-D28A-Regular,Cyanobacterium,112608,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Regular
2018-07-19-D28A-Regular,Green Alga,1126.08,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Regular
2018-07-19-D28A-Regular,Pennate Diatom,563.04,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Regular
2018-07-19-D28A-Surface,Centric Diatom,375.6,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Surface
2018-07-19-D28A-Surface,Cryptophyte,375.6,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Surface
2018-07-19-D28A-Surface,Cyanobacterium,68171.4,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Surface
2018-07-19-D28A-Surface,Green Alga,10704.6,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Surface
2018-07-19-D28A-Surface,Pennate Diatom,187.8,,7/19/2018,Summer,Jul,D28A,Central Delta,CED,Surface
2018-07-19-EZ2-SJR-Regular,Centric Diatom,919.94,,7/19/2018,Summer,Jul,EZ2-SJR,NA,NA,Regular
2018-07-19-EZ2-SJR-Regular,Cyanobacterium,399253.96,,7/19/2018,Summer,Jul,EZ2-SJR,NA,NA,Regular
2018-07-19-EZ2-SJR-Regular,Green Alga,919.94,,7/19/2018,Summer,Jul,EZ2-SJR,NA,NA,Regular
2018-07-19-EZ2-SJR-Regular,Pennate Diatom,919.94,,7/19/2018,Summer,Jul,EZ2-SJR,NA,NA,Regular
2018-08-01-C10A-Regular,Centric Diatom,3217.35,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Regular
2018-08-01-C10A-Regular,Cyanobacterium,257388,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Regular
2018-08-01-C10A-Regular,Green Alga,3860.82,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Regular
2018-08-01-C10A-Regular,Pennate Diatom,1930.41,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Regular
2018-08-01-C10A-Surface,Centric Diatom,3943.94,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Surface
2018-08-01-C10A-Surface,Cyanobacterium,125642.66,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Surface
2018-08-01-C10A-Surface,Green Alga,7042.75,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Surface
2018-08-01-C10A-Surface,Pennate Diatom,1126.84,,8/1/2018,Summer,Aug,C10A,Southern Interior Delta,SID,Surface
2018-08-01-C9-Regular,Cyanobacterium,173865.98,,8/1/2018,Summer,Aug,C9,Southern Interior Delta,SID,Regular
2018-08-01-C9-Regular,Green Alga,3153.01,,8/1/2018,Summer,Aug,C9,Southern Interior Delta,SID,Regular
2018-08-01-C9-Surface,Cyanobacterium,103419.33,,8/1/2018,Summer,Aug,C9,Southern Interior Delta,SID,Surface
2018-08-01-C9-Surface,Green Alga,5509.02,,8/1/2018,Summer,Aug,C9,Southern Interior Delta,SID,Surface
2018-08-01-C9-Surface,Pennate Diatom,500.82,,8/1/2018,Summer,Aug,C9,Southern Interior Delta,SID,Surface
2018-08-02-C3A-Regular,Centric Diatom,214.49,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Regular
2018-08-02-C3A-Regular,Cyanobacterium,86224.98,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Regular
2018-08-02-C3A-Regular,Green Alga,1501.43,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Regular
2018-08-02-C3A-Regular,Pennate Diatom,1501.43,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Regular
2018-08-02-C3A-Surface,Cyanobacterium,116064.52,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Surface
2018-08-02-C3A-Surface,Green Alga,3380.52,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Surface
2018-08-02-C3A-Surface,Pennate Diatom,281.71,,8/2/2018,Summer,Aug,C3A,Northern Interior Delta,NID,Surface
2018-08-02-D22-Regular,Centric Diatom,766.62,,8/2/2018,Summer,Aug,D22,Confluence,CON,Regular
2018-08-02-D22-Regular,Cryptophyte,766.62,,8/2/2018,Summer,Aug,D22,Confluence,CON,Regular
2018-08-02-D22-Regular,Cyanobacterium,338846.04,,8/2/2018,Summer,Aug,D22,Confluence,CON,Regular
2018-08-02-D22-Regular,Green Alga,3833.1,,8/2/2018,Summer,Aug,D22,Confluence,CON,Regular
2018-08-02-D22-Surface,Centric Diatom,1149.92,,8/2/2018,Summer,Aug,D22,Confluence,CON,Surface
2018-08-02-D22-Surface,Cyanobacterium,258157.04,,8/2/2018,Summer,Aug,D22,Confluence,CON,Surface
2018-08-02-D4-Regular,Centric Diatom,1801.72,,8/2/2018,Summer,Aug,D4,Confluence,CON,Regular
2018-08-02-D4-Regular,Cyanobacterium,422503.34,,8/2/2018,Summer,Aug,D4,Confluence,CON,Regular
2018-08-02-D4-Surface,Cyanobacterium,204330.48,,8/2/2018,Summer,Aug,D4,Confluence,CON,Surface
2018-08-02-D4-Surface,Green Alga,2003.24,,8/2/2018,Summer,Aug,D4,Confluence,CON,Surface
2018-08-02-NZ068-Regular,Centric Diatom,321.74,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Regular
2018-08-02-NZ068-Regular,Cryptophyte,321.74,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Regular
2018-08-02-NZ068-Regular,Cyanobacterium,137704.72,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Regular
2018-08-02-NZ068-Regular,Green Alga,2573.92,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Regular
2018-08-02-NZ068-Surface,Centric Diatom,281.71,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Surface
2018-08-02-NZ068-Surface,Cyanobacterium,113247.42,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Surface
2018-08-02-NZ068-Surface,Green Alga,563.42,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Surface
2018-08-02-NZ068-Surface,Pennate Diatom,281.71,,8/2/2018,Summer,Aug,NZ068,Northern Interior Delta,NID,Surface
2018-08-03-D12-Regular,Centric Diatom,919.94,,8/3/2018,Summer,Aug,D12,Confluence,CON,Regular
2018-08-03-D12-Regular,Cyanobacterium,401093.84,,8/3/2018,Summer,Aug,D12,Confluence,CON,Regular
2018-08-03-D12-Regular,Green Alga,1839.88,,8/3/2018,Summer,Aug,D12,Confluence,CON,Regular
2018-08-03-D12-Surface,Centric Diatom,574.96,,8/3/2018,Summer,Aug,D12,Confluence,CON,Surface
2018-08-03-D12-Surface,Chrysophyte,574.96,,8/3/2018,Summer,Aug,D12,Confluence,CON,Surface
2018-08-03-D12-Surface,Cyanobacterium,257007.12,,8/3/2018,Summer,Aug,D12,Confluence,CON,Surface
2018-08-03-D12-Surface,Green Alga,574.96,,8/3/2018,Summer,Aug,D12,Confluence,CON,Surface
2018-08-03-D19-Regular,Centric Diatom,287.48,,8/3/2018,Summer,Aug,D19,Central Delta,CED,Regular
2018-08-03-D19-Regular,Cryptophyte,574.96,,8/3/2018,Summer,Aug,D19,Central Delta,CED,Regular
2018-08-03-D19-Regular,Cyanobacterium,116429.4,,8/3/2018,Summer,Aug,D19,Central Delta,CED,Regular
2018-08-03-D19-Regular,Green Alga,2874.8,,8/3/2018,Summer,Aug,D19,Central Delta,CED,Regular
2018-08-03-D19-Regular,Pennate Diatom,574.96,,8/3/2018,Summer,Aug,D19,Central Delta,CED,Regular
2018-08-03-D19-Surface,Cryptophyte,153.32,,8/3/2018,Summer,Aug,D19,Central Delta,CED,Surface
2018-08-03-D19-Surface,Cyanobacterium,63321.16,,8/3/2018,Summer,Aug,D19,Central Delta,CED,Surface
