Station,Date,Time,SampleDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla,Pheophytin,TotAlkalinity,TotAmmonia,DissAmmonia,DissBromide,DissCalcium,TotChloride,DissChloride,DissNitrateNitrite,DOC,TOC,DON,TON,DissOrthophos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom,pHBottom
C10,12/22/1975,13:00,,,,57.2,7,,,,2.59,2.18,,0.11,,,,48,,0.44,,,0.2,0.3,0.05,0.16,10,,,,0.4,,76,,1.97,314,10.3,,11,6,7.6,,,,,,
C10,1/20/1976,12:00,,,,59,4,,,,4.14,2.9,,0.25,,,,114,,1.02,,,0.3,0.4,0.1,0.2,15,,,,0.6,,38,,1.51,738,9.6,,11,15,7.5,,,,,,
C10,2/17/1976,11:00,,,,62.6,,,,,7.1,6.56,,0.19,,,,129,,1.64,,,0.3,0.5,0.12,0.12,16,,,,0.7,,56,,1.44,875,9.2,,12,15,7.4,,,,,,
C10,3/9/1976,15:00,,,,69.8,7,,,,12.66,4.94,,0.13,,,,119,,1.53,,,0.2,0.5,0.1,0.16,15,,,,0.6,,48,,1.38,814,9.8,,15,12,7.8,,,,,,
C10,3/22/1976,14:00,,,,71.6,14,,,,14.67,7.33,,0.14,,,,124,,1.4,,,0.3,0.6,0.11,0.23,15,,,,0.7,,36,,1.12,790,9.8,,16,24,7.6,,,,,,
C10,4/5/1976,12:00,,,,62.6,8,,,,23.93,10.81,,,,,,146,,1.9,,,0.2,0.8,0.14,0.33,20,,,,0.8,,36,,0.79,935,9.5,,15,33,,,,,,,
C10,4/19/1976,14:00,,,,82.4,4,,,,56.35,16.6,,0.13,,,,148,,1.5,,,0.3,0.9,0.06,0.28,15,,,,1,,36,,0.75,939,10.8,,19,31,8.2,,,,,,
C10,5/6/1976,15:00,,,,73.4,,,,,81.82,25.86,,0.1,,,,178,,1.6,,,0.4,1.2,0.14,0.2,19,,,,1.3,,20,,0.66,1100,9.3,,20,50,8.1,,,,,,
C10,5/20/1976,16:00,,,,84.2,6,,,,142.03,31.65,,0.06,,,,177,,1.2,,,0.4,1.6,0.11,0.52,14,,,,1.7,,25,,0.56,1070,14.5,,22,34,8.5,,,,,,
C10,6/3/1976,13:00,,,,73.4,6,,,,142.03,40.91,,0.02,,,,165,,0.98,,,0.2,1.4,0.08,0.47,15,,,,1.4,,20,,0.56,1030,12.3,,20,50,8.5,,,,,,
C10,6/17/1976,14:00,,,,95,4,,,,101.89,30.1,,0.04,,,,171,,1.4,,,0.5,1.5,0.13,0.58,15,,,,1.5,,28,,0.79,1050,9.1,,26,37,8.2,,,,,,
C10,7/6/1976,18:00,,,,89.6,7,,,,253.18,40.91,,,,,,176,,1.2,,,0.4,1.8,0.06,0.79,13,,,,1.8,,15,,0.43,1010,14.3,,26,70,8.7,,,,,,
C10,7/19/1976,17:00,,,,82.4,18,,,,209.95,165.18,,0.01,,,,207,,1.2,,,0.4,2,0.1,0.11,12,,,,2,,23,,0.43,1060,12.6,,26,76,8.7,,,,,,
C10,8/3/1976,17:00,,,,77,4,,,,142.03,73.33,,,,,,90,,1.3,,,0.4,1.3,0.14,0.55,15,,,,1.3,,13,,0.49,915,10.8,,24,90,8.4,,,,,,
C10,8/26/1976,11:00,,,,84.2,9,,,,34.73,20.26,,,,,,139,,1.6,,,0.4,0.8,0.15,0.24,21,,,,0.8,,41,,1.02,905,7.5,,24,25,7.7,,,,,,
C10,9/14/1976,15:00,,,,87.8,6,,,,34.73,18.53,,0.08,,,,123,,2,,,0.4,1.2,0.15,0.2,23,,,,1.3,,25,,0.69,853,7.1,,23,33,8.1,,,,,,
C10,9/27/1976,14:00,,,,82.4,6,,,,14.67,18.91,,0.48,,,,148,,1.7,,,0.6,1.3,0.16,0.38,22,,,,1.8,,51,,0.82,936,5.7,,22,25,7.8,,,,,,
C10,10/12/1976,14:00,,,,84.2,3,,,,6.95,16.79,,0.54,,,,173,,1.5,,,0.5,1.3,0.14,0.42,23,,,,1.8,,41,,1.05,1060,6,,21,21,7.8,,,,,,
C10,10/28/1976,15:00,,,,77,2,,,,15.44,10.61,,0.51,,,,173,,1.6,,,0.6,1,0.14,0.77,23,,,,1.5,,51,,1.15,1060,8,,17,16,8,,,,,,
C10,11/9/1976,13:00,,,,80.6,,,,,20.84,8.1,,0.2,,,,198,,1.6,,,0.5,0.8,0.13,0.25,22,,,,1,,46,,1.28,1130,8.5,,16,17,7.9,,,,,,
C10,12/14/1976,16:00,,,,59,4,,,,2.35,2.01,,0.31,,,,161,,1.6,,,0.2,0.4,0.1,0.21,21,,,,0.7,,76,,,1100,10,,10,7,7.9,,,,,,
C10,1/25/1977,14:00,,,,46.4,3,,,,17.6,9.96,,0.4,,,,253,,2.4,,,0.4,0.8,0.16,0.29,19,,,,1.2,,53,,,1730,8.8,,8,12,,,,,,,
C10,2/23/1977,13:00,,,,59,5,,,,12.04,5.79,,0.29,,,,254,,2.2,,,0.3,0.5,0.09,0.1,20,,,,0.8,,61,,,1490,8.8,,14,11,7.9,,,,,,
C10,3/9/1977,13:00,,,,55.4,14,,,,11.89,3.98,,0.11,,,,190,,1.3,,,0.2,0.4,0.04,0.13,19,,,,0.5,,60,,1.44,992,9.9,,14,11,8,,,,,,
C10,3/28/1977,16:00,,,,62.6,20,,,,20.07,6.56,,0.18,,,,189,,2,,,0.3,0.6,0.08,0.21,21,,,,0.8,,40,,1.54,1190,10.3,,14,11,8.1,,,,,,
C10,4/12/1977,17:00,,,,82.4,6,,,,82.59,23.35,,0.03,,,,280,,2.2,,,0.3,1,0.05,0.14,20,,,,1,,36,,1.21,1610,13,,22,17,8.5,,,,,,
C10,4/25/1977,14:00,,,,73.4,8,,,,61.75,16.98,,0.07,,,,324,,1.9,,,0.2,0.8,0.02,0.16,22,,,,0.9,,38,,0.98,1680,9.8,,22,22,8.2,,,,,,
C10,5/10/1977,15:00,,,,59,5,,,,132.76,33.96,,0.31,,,,244,,2.7,,,0.3,1.2,0.19,0.4,22,,,,1.5,,28,,0.69,1560,10.6,,18,38,8.2,,,,,,
C10,5/24/1977,13:00,,,,73.4,4,,,,172.9,30.88,,0.03,,,,270,,1.4,,,0.3,1.1,0.05,0.3,18,,,,1.1,,38,,0.98,1630,16.4,,20,13,8.8,,,,,,
C10,6/6/1977,12:00,,,,86,5,,,,213.04,53.26,,0.02,,,,292,,0.74,,,0.2,1.2,0.01,0.17,20,,,,1.2,,32,,0.75,1530,17.8,,26,23,8.8,,,,,,
C10,6/22/1977,13:00,,,,100.4,3,,,,142.03,31.65,,,,,,383,,0.78,,,0.4,1.6,0.01,0.44,20,,,,1.6,,40,,0.79,1700,17.8,,28,35,8.6,,,,,,
C10,7/6/1977,15:00,,,,87.8,5,,,,111.15,41.68,,,,,,325,,1.2,,,0.2,1.1,0.04,0.29,21,,,,1.1,,28,,0.79,1640,15.9,,26,26,8.6,,,,,,
C10,7/21/1977,12:00,,,,93.2,14,,,,314.93,55.57,,0.08,,,,382,,0.82,,,0.4,1.6,0.01,0.27,15,,,,1.7,,20,,0.46,1850,19.3,,25,54,8.8,,,,,,
C10,8/8/1977,17:00,,,,87.8,10,,,,302.58,60.98,,0.04,,,,311,,1.3,,,0.5,1.8,0.04,0.23,10,,,,1.8,,16,,,1680,21.1,,27,52,9.1,,,,,,
C10,8/22/1977,16:00,,,,95,,,,,370.5,74.1,,0.02,,,,295,,1.2,,,0.5,1.6,0.09,0.44,16,,,,1.6,,32,,,1690,22.3,,28,27,8.4,,,,,,
C10,9/1/1977,12:00,,,,77,,,,,209.95,100.34,,0.2,,,,357,,0.73,,,0.3,1.8,0.01,0.35,16,,,,2,,15,,0.59,1750,16.8,,24,35,8.7,,,,,,
C10,9/20/1977,15:00,,,,77,7,,,,111.15,16.21,,0.37,,,,274,,1.3,,,0.3,1.6,0.1,0.26,24,,,,2,,30,,,1660,11.6,,23,21,8.2,,,,,,
C10,10/5/1977,15:00,,,,78.8,8,,,,237.74,40.14,,0.04,,,,295,,1.4,,,0.5,2,0.01,0.46,22,,,,2,,25,,,1740,17.9,,22,24,8.5,,,,,,
C10,10/17/1977,14:00,,,,77,,,,,200.69,44.77,,0.61,,,,277,,1.3,,,0.6,1.6,0.03,0.32,28,,,,2.2,,36,,0.89,1670,10.8,,21,17,8.2,,,,,,
C10,11/15/1977,13:00,,,,73.4,5,,,,8.65,11.5,,0.47,,,,155,,4.6,,,0.4,0.7,0.05,0.25,26,,,,1.2,,44,,,1080,6.7,,15,9,7.9,,,,,,
C10,12/14/1977,14:00,,,,57.2,9,,,,6.95,16.21,,0.77,,,,163,,2,,,0.4,0.7,0.12,0.5,23,,,,1.5,,50,,,1010,7.4,,11,15,7.8,,,,,,
C10,1/11/1978,13:00,,,,60.8,8,,,,16.06,20.53,,0.74,,,,78,,1.7,,,1.1,1.3,0.17,0.79,19,,,,2,,22,,,624,6.4,,13,54,,,,,,,
C10,2/14/1978,17:00,,,,60.8,,,,,6.18,7.72,,0.38,,,,40,,1.8,,,,1,0.17,0.27,14,,,,1.4,,16,,,384,9,,10,58,7.2,,,,,,
C10,3/14/1978,14:00,,,,68,6,,,,13.59,1.23,,0.07,,,,30,,0.64,,,0.6,0.7,0.13,0.25,15,,,,0.8,,21,,0.69,325,8.2,,15,33,7.4,,,,,,
C10,4/3/1978,19:00,,,,59,2,,,,12.97,5.09,,0.1,,,,28,,0.34,,,0.3,0.4,0.08,0.15,12,,,,0.5,,,,,286,8.7,,15,17,7.5,,,,,,
C10,4/17/1978,18:00,,,,62.6,3,,,,10.65,5.21,,0.06,,,,,,0.32,,,0.4,0.4,,,13,,,,0.5,,33,,,252,7.8,,15,21,7.3,,,,,,
C10,5/1/1978,17:00,,,,80.6,9,,,,2.16,2.12,,0.08,,,,19,,0.27,,,0.4,0.5,0.12,0.2,14,,,,0.6,,40,,1.05,219,7,,18,20,7.1,,,,,,
C10,5/16/1978,10:00,,,,71.6,16,,,,14.36,15.17,,0.05,,,,,,0.2,,,0.3,0.6,,,13,,,,0.6,,28,,,223,8.5,,18,26,6.9,,,,,,
C10,6/12/1978,13:00,,,,91.4,5,,,,14.2,7.56,,0.03,,,,24,,0.31,,,0.2,0.6,0.06,0.17,12,,,,0.6,,20,,0.59,219,7.7,,21,27,7.5,,,,,,
C10,6/26/1978,14:00,,,,86,3,,,,7.1,2.51,,0.03,,,,,,0.44,,,0.3,0.6,,,14,,,,0.6,,25,,0.75,355,8,,22,23,7.8,,,,,,
C10,7/10/1978,13:00,,,,87.8,5,,,,28.41,18.83,,,,,,79,,0.81,,,0.4,0.8,0.09,0.22,17,,,,0.8,,25,,0.89,589,7.2,,25,23,7.8,,,,,,
C10,7/24/1978,13:00,,,,98.6,8,,,,36.43,20.07,,0.04,,,,,,1.2,,,0.5,1.1,,,18,,,,1.1,,24,,0.69,814,7.5,,27,32,7.7,,,,,,
C10,8/8/1978,13:00,,,,102.2,6,,,,51.87,26.86,,0.06,,,,127,,1.8,,,0.4,1.3,0.23,0.4,25,,,,1.4,,22,,0.66,917,6.9,,28,31,7.5,,,,,,
C10,8/21/1978,13:00,,,,84.2,7,,,,58.66,21.46,,,,,,,,1.7,,,0.4,1.2,,,17,,,,1.2,,22,,0.75,828,8.2,,24,36,7.8,,,,,,
C10,9/11/1978,18:00,,,,77,6,,,,27.79,15.28,,0.12,,,,49,,0.92,,,0.5,1.1,0.08,0.33,16,,,,1.2,,30,,0.75,405,7.8,,21,24,7.6,,,,,,
C10,9/25/1978,18:00,,,,84.2,1,,,,54.34,17.44,,0.04,,,,,,0.48,,,0.5,1,,,13,,,,1,,,,,351,8.9,,21,21,7.3,,,,,,
C10,10/10/1978,18:00,,,,78.8,,,,,11.73,10.96,,0.15,,,,43,,0.63,,,0.3,0.6,0.12,0.24,14,,,,0.8,,41,,,322,7.7,,19,20,7.4,,,,,,
C10,10/23/1978,16:00,,,,77,,,,,7.9,5.8,,0.2,,,,,,0.49,,,0.3,0.6,,,11,,,,0.8,,36,,,252,8,,16,17,7.3,,,,,,
C10,11/20/1978,14:00,,,,53.6,10,,,,8.27,3.3,,0.3,,,,62,,0.68,,,0.2,0.5,0.09,0.61,12,,,,0.8,,56,,1.51,442,9.5,,12,9,7.6,,,,,,
C10,12/4/1978,14:00,,,,55.4,,,,,12.04,5.09,,0.24,,,,61,,0.64,,,0.3,0.5,0.09,0.19,11,,,,0.7,,64,,1.74,460,10.3,,10,9,7.5,,,,,,
C10,1/16/1979,14:00,,,,55.4,12,,,,9.27,10.43,,,0.24,,,26,,0.91,,,1.1,1.1,0.16,0.32,12,,,,1.3,,22,,,264,9.1,,10,40,7.1,,,,,,
C10,2/15/1979,13:00,,,,60.8,,,,,4.02,5.16,,,,,,41,,0.59,,,,,0.06,0.15,11,,,,0.5,,50,,,338,10.1,,11,15,7.4,,,,,,
C10,3/5/1979,15:00,,,,68,5,,,,7.72,3.63,,,0.12,,,26,,0.45,,,0.6,,0.1,0.18,10,,,,0.7,,46,,,274,9.4,,13,23,7.3,,,,,,
C10,3/19/1979,13:00,,,,64.4,2,,,,6.18,6.1,,,0.07,,,,,0.62,,,0.3,,,,13,,,,0.4,,52,,,341,10.3,,12,13,7.3,,,,,,
C10,4/2/1979,14:00,,,,69.8,12,,,,10.81,3.79,,,0.02,,,44,,0.57,,,0.6,,0.07,0.16,15,,,,0.6,,33,,0.95,375,9.7,,14,21,7.6,,,,,,
C10,4/17/1979,12:00,,,,62.6,11,,,,28.1,10.35,,,0.3,,,,,1.3,,,0.5,,,,17,,,,1.3,,40,,0.89,913,8.2,,17,17,7.6,,,,,,
C10,5/1/1979,13:00,,,,68,,,,,31.13,11.81,,,0.13,,,105,,1.6,,,0.7,,0.16,0.44,20,,,,1.4,,30,,0.85,784,8.3,,18,31,7.7,,,,,,
C10,5/21/1979,18:00,,,,69.8,12,,,,45.08,15.6,,,0.05,,,,,0.82,,,0.4,,,,21,,,,1,,28,,,547,9.6,,21,17,7.8,,,,,,
C10,6/4/1979,19:00,,,,84.2,,,,,33.97,13.28,,,0.22,,,53,,0.79,,,0.1,,0.12,0.29,16,,,,0.7,,28,,,430,7.5,,24,31,7.7,,,,,,
C10,6/18/1979,17:00,,,,78.8,3,,,,40.14,9.88,,,0.12,,,,,1.1,,,0.2,,,,18,,,,1.1,,28,,,632,9.2,,22,27,7.8,,,,,,
C10,7/2/1979,16:00,,,,84.2,6,,,,79.86,19.04,,,,,,119,,1.4,,,0.5,,0.16,0.38,20,,,,1.2,,32,,0.69,814,10,,25,29,,,,,,,
C10,7/16/1979,16:00,,,,96.8,,,,,,,,,0.06,,,,,1.3,,,0.4,,,,22,,,,1.6,,22,,,796,9.2,,27,42,7.9,,,,,,
C10,8/13/1979,14:00,,,,77,7,,,,47.43,11.21,,,0.05,,,116,,1.3,,,0.6,,0.15,0.39,19,,,,1.5,,21,,,772,7.6,,25,28,7.9,,,,,,
C10,8/27/1979,14:00,,,,93.2,4,,,,,,,,0.19,,,,,1.4,,,0.5,,,,19,,,,1.2,,30,,0.79,697,7.4,,24,27,7.7,,,,,,
C10,9/11/1979,15:00,,,,93.2,,,,,29.49,13.94,,,0.16,,,90,,1.3,,,0.5,,0.17,0.34,20,,,,1.3,,28,,,670,6.7,,25,22,7.4,,,,,,
C10,9/24/1979,13:00,,,,84.2,5,,,,13.44,10.54,,,0.12,,,,,0.97,,,0.4,,,,18,,,,0.9,,36,,0.89,420,6.6,,22,20,,,,,,,
C10,10/9/1979,13:00,,,,77,5,,,,9.64,7.88,,,0.1,,,50,,0.83,,,0.3,,0.12,0.24,16,,,,0.8,,36,,1.61,406,8.1,,20,,7.6,,,,,,
C10,10/22/1979,12:00,,,,68,5,,,,,,,,0.1,,,,,0.71,,,0.3,,,,14,,,,0.6,,40,,1.71,439,7.7,,15,11,7.5,,,,,,
C10,11/26/1979,16:00,,,,55.4,10,,,,5.72,7.61,,,0.22,,,61,,0.87,,,0.4,,0.11,0.23,16,,,,0.8,,60,,,510,9,,12,11,7.6,,,,,,
C10,12/5/1979,11:00,,,,62.6,13,,,,8.65,5.49,,,0.28,,,68,,0.92,,,0.2,,0.14,0.22,15,,,,0.7,,64,,,542,10.6,,11,9,7.6,,,,,,
C10,2/6/1980,14:00,,,,59,16,,,,2.78,1.39,,,0.06,,,27,,0.36,,,0.1,,0.06,0.11,11,,,,0.4,,,,,257,8.9,,11,19,,,,,,,
C10,3/10/1980,16:00,,,,62.6,,,,,13.13,2.98,,,0.03,,,22,,0.3,,,0.3,,0.07,0.13,11,,,,0.5,,,,,231,8.8,,14,21,7.4,,,,,,
C10,3/24/1980,16:00,,,,66.2,18,,,,12.97,4.75,,,0.01,,,,,0.19,,,0.3,,,,10,,,,0.4,,,,,264,10.2,,13,16,7.8,,,,,,
C10,4/7/1980,13:00,,,,60.8,5,,,,9.42,5.87,,,0.07,,,,33,0.46,,,0.2,,0.06,0.14,12,,,,0.5,,,,,306,9.5,,13,17,7.5,,,,,,
C10,4/21/1980,14:00,,,,53.6,6,,,,17.6,8.23,,,0.02,,,,,0.27,,,0.3,,,,11,,,,0.4,,,,,275,9.4,,15,13,7.8,,,,,,
C10,5/5/1980,14:00,,,,75.2,10,,,,14.21,5.72,,,0.01,,,,22,0.32,,,0.2,,0.05,0.13,13,,,,0.4,,,,,217,9,,18,17,7.5,,,,,,
C10,5/19/1980,14:00,,,,89.6,6,,,,23.01,7.45,,,0.07,,,,,0.16,,,0.2,,,,9.9,,,,0.5,,,,,237,8.9,,21,17,7.8,,,,,,
C10,6/3/1980,12:00,,,,68,8,,,,14.36,6.03,,,0.02,,,,29,0.32,,,0.2,,0.04,0.14,13,,,,0.4,,,,,257,8.6,,17,16,7.7,,,,,,
C10,6/17/1980,14:00,,,,91.4,5,,,,29.18,9.73,,,0.01,,,,,0.71,,,0.2,,,,14,,,,0.5,,,,,413,8.7,,22,18,7.9,,,,,,
C10,7/1/1980,12:00,,,,86,2,,,,,,,,0.1,,,,44,0.74,,,0.2,,0.1,0.21,13,,,,0.6,,,,,367,8.2,,21,19,7.6,,,,,,
C10,7/15/1980,12:00,,,,87.8,2,,,,5.07,2.54,,,0.1,,,,,1,,,0.3,,,,19,,,,0.7,,,,,488,7.2,,23,28,7.8,,,,,,
C10,8/4/1980,18:00,,,,80.6,6,,,,39.28,20.57,,,0.21,,,,103,1.7,,,0.4,,0.18,0.34,19,,,,1.2,,,,,752,7.6,,26,35,8.1,,,,,,
C10,8/18/1980,16:00,,,,78.8,10,,,,42,16.09,,,0.03,,,,,1.6,,,0.5,,,,19,,,,0.9,,,,,718,7.5,,24,30,8,,,,,,
C10,9/2/1980,17:00,,,,86,,,,,25.08,10.6,,,0.07,,,,64,1.3,,,0.3,,0.12,0.24,16,,,,0.8,,,,,565,7.4,,24,27,7.9,,,,,,
C10,9/15/1980,15:00,,,,77,,,,,8.53,4.45,,,0.03,,,,,0.62,,,0.2,,,,13,,,,0.5,,,,,284,8.3,,21,17,7.7,,,,,,
C10,10/14/1980,16:00,,,,64.4,5,,,,,,,,0.1,,,,30,0.65,,,0.2,,0.07,0.16,13,,,,0.5,,,,,263,8.4,,16,14,7.4,,,,,,
C10,10/27/1980,14:00,,,,75.2,7,,,,1.61,5.44,,,0.08,,,,,0.75,,,0.1,,,,12,,,,0.4,,,,,315,8.8,,15,10,7.7,,,,,,
C10,11/12/1980,15:00,,,,60.8,4,,,,6.06,4.7,,,0.18,,,,63,0.98,,,0.2,,0.1,0.22,15,,,,0.8,,,,,458,8.7,,14,14,7.6,,,,,,
C10,12/10/1980,13:00,,,,53.6,,,,,3.34,2.32,,,0.19,,,,68,0.89,,,0.2,,0.09,0.16,14,,,,0.6,,,,,522,10.2,,9,7,7.5,,,,,,
C10,1/8/1981,12:00,,,,44.6,,,,,,,,,0.13,,,,45,0.66,,,0.2,,0.06,0.12,10,,,,0.4,,,,,345,9.2,,9,8,7.4,,,,,,
C10,2/24/1981,14:00,,,,59,6,,,,6.3,4.91,,,0.2,,,,173,2.1,,,0.4,,0.11,0.24,18,,,,0.9,,,,,1210,8.4,,14,13,7.6,,,,,,
C10,3/11/1981,11:00,,,,64.4,3,,,,10.26,7.82,,,0.15,,,,116,1.8,,,0.6,,0.16,0.31,16,,,,1.2,,,,,917,8,,16,23,7.6,,,,,,
C10,3/24/1981,14:00,,,,69.8,1,,,,10.38,11.58,,,0.15,,,,,1.3,,,0.8,,0.19,0.35,14,,,,1.3,,,,,680,8,,16,39,7.6,,,,,,
C10,4/9/1981,13:00,,,,71.6,12,,,,38.29,11.85,,,0.04,,,,167,1.8,,,0.4,,0.18,0.38,18,,,,1,,,,,1120,9,,18,22,7.9,,,,,,
C10,4/27/1981,16:00,,,,78.8,10,,,,17.91,10,,,0.06,,,,,1.2,,,0.3,,,,16,,,,0.7,,,,,610,9.1,,18,21,7.9,,,,,,
C10,5/11/1981,17:00,,,,,,,,,30.11,11.35,,,0.02,,,,84,1.3,,,0.3,,0.14,0.26,16,,,,0.7,,,,,638,8.7,,22,23,7.9,,,,,,
C10,5/26/1981,14:00,,,,78.8,5,,,,40.14,21.46,,,0.02,,,,,1.5,,,0.4,,0.13,0.29,18,,,,0.9,,,,,795,8.3,,22,34,7.9,,,,,,
C10,6/8/1981,14:00,,,,86,7,,,,52.03,15.94,,,0.01,,,,115,1.3,,,0.4,,0.18,0.35,20,,,,1.1,,,,,819,9.3,,25,22,8,,,,,,
C10,6/23/1981,13:00,,,,96.8,10,,,,36.28,13.4,,,0.01,,,,,1,,,0.4,,,,19,,,,0.8,,,,,635,8.8,,25,27,7.9,,,,,,
C10,7/6/1981,13:00,,,,89.6,10,,,,22.08,12.78,,,0.01,,,,80,1.3,,,0.3,,0.12,0.3,16,,,,0.8,,,,,602,7.7,,26,36,7.8,,,,,,
C10,7/21/1981,12:00,,,,93.2,5,,,,49.87,21.69,,,0.1,,,,,1.7,,,0.4,,,,19,,,,1.2,,,,,872,7.8,,26,35,7.8,,,,,,
C10,8/5/1981,11:00,,,,82.4,,,,,18.38,6.76,,,0.12,,,,126,1.8,,,0.5,,0.19,0.4,19,,,,1.3,,,,,909,7.3,,24,37,7.8,,,,,,
C10,8/18/1981,11:00,,,,80.6,9,,,,,,,,0.06,,,,,1.5,,,0.4,,,,20,,,,0.9,,,,,775,7.2,,23,29,7.8,,,,,,
C10,9/1/1981,12:00,,,,86,,,,,28.87,12.7,,,0.04,,,,108,1.4,,,0.5,,0.13,0.29,18,,,,0.8,,,,,778,7.7,,24,26,7.7,,,,,,
C10,9/15/1981,11:00,,,,80.6,,,,,20.85,12.16,,,0.1,,,,,1.5,,,0.4,,,,17,,,,1,,,,,826,7.1,,22,20,7.6,,,,,,
C10,10/5/1981,16:00,,,,75.2,,,,,17.45,9.77,,,0.07,,,,76,1.4,,,0.3,,0.1,0.29,23,,,,0.9,,,,,585,8,,20,17,7.7,,,,,,
C10,10/19/1981,16:00,,,,68,,,,,9.58,7.8,,,0.25,,,,,1.6,,,0.4,,,,19,,,,0.9,,,,,698,7.7,,18,15,7.5,,,,,,
C10,11/16/1981,14:00,,,,71.6,2,,,,16.68,16.79,,,0.75,,,,104,1.4,,,0.8,,0.29,0.58,19,,,,2,,,,,785,6.6,,16,25,,,,,,,
