Project,SubProject,Station,Depth,Date,ConstituentName,UnitName,ReportingLimit,LabAnalysisRemarks,Group,ResultPrefix,Result
EMP Monitoring,Discrete WQ,C3,3,1982-09-07,Pheophytin a,µg/L,NA,NA,Biological,=,0.62
EMP Monitoring,Discrete WQ,C7,3,1982-09-07,Pheophytin a,µg/L,NA,NA,Biological,=,4.29
EMP Monitoring,Discrete WQ,C7,3,1982-09-07,Pheophytin a,µg/L,NA,NA,Biological,=,4.28
EMP Monitoring,Discrete WQ,C7,3,1982-09-07,Chlorophyll a,µg/L,NA,NA,Biological,=,13.43
EMP Monitoring,Discrete WQ,C7,3,1982-09-07,Chlorophyll a,µg/L,NA,NA,Biological,=,13.44
EMP Monitoring,Discrete WQ,D4,3,1982-09-13,Chlorophyll a,µg/L,NA,NA,Biological,=,15.75
EMP Monitoring,Discrete WQ,D4,3,1982-09-13,Chlorophyll a,µg/L,NA,NA,Biological,=,15.75
EMP Monitoring,Discrete WQ,D4,3,1982-09-13,Pheophytin a,µg/L,NA,NA,Biological,=,4.98
EMP Monitoring,Discrete WQ,D4,3,1982-09-13,Pheophytin a,µg/L,NA,NA,Biological,=,4.98
EMP Monitoring,Discrete WQ,D9,3,1982-09-13,Pheophytin a,µg/L,NA,NA,Biological,=,5.64
EMP Monitoring,Discrete WQ,D9,3,1982-09-13,Pheophytin a,µg/L,NA,NA,Biological,=,5.63
EMP Monitoring,Discrete WQ,D9,3,1982-09-13,Chlorophyll a,µg/L,NA,NA,Biological,=,19.61
EMP Monitoring,Discrete WQ,D9,3,1982-09-13,Chlorophyll a,µg/L,NA,NA,Biological,=,19.61
EMP Monitoring,Discrete WQ,D19,3,1982-09-13,Pheophytin a,µg/L,NA,NA,Biological,=,4.4
EMP Monitoring,Discrete WQ,D19,3,1982-09-13,Pheophytin a,µg/L,NA,NA,Biological,=,4.4
EMP Monitoring,Discrete WQ,D19,3,1982-09-13,Chlorophyll a,µg/L,NA,NA,Biological,=,17.6
EMP Monitoring,Discrete WQ,D19,3,1982-09-13,Chlorophyll a,µg/L,NA,NA,Biological,=,17.6
EMP Monitoring,Discrete WQ,D12,3,1982-09-14,Pheophytin a,µg/L,NA,NA,Biological,=,5.67
EMP Monitoring,Discrete WQ,D12,3,1982-09-14,Pheophytin a,µg/L,NA,NA,Biological,=,5.68
EMP Monitoring,Discrete WQ,D12,3,1982-09-14,Chlorophyll a,µg/L,NA,NA,Biological,=,24.55
EMP Monitoring,Discrete WQ,D12,3,1982-09-14,Chlorophyll a,µg/L,NA,NA,Biological,=,24.55
EMP Monitoring,Discrete WQ,D14A,3,1982-09-14,Chlorophyll a,µg/L,NA,NA,Biological,=,24.08
EMP Monitoring,Discrete WQ,D14A,3,1982-09-14,Chlorophyll a,µg/L,NA,NA,Biological,=,24.09
EMP Monitoring,Discrete WQ,D14A,3,1982-09-14,Pheophytin a,µg/L,NA,NA,Biological,=,6.72
EMP Monitoring,Discrete WQ,D14A,3,1982-09-14,Pheophytin a,µg/L,NA,NA,Biological,=,6.72
EMP Monitoring,Discrete WQ,D11,3,1982-09-14,Chlorophyll a,µg/L,NA,NA,Biological,=,25.01
EMP Monitoring,Discrete WQ,D11,3,1982-09-14,Chlorophyll a,µg/L,NA,NA,Biological,=,25.01
EMP Monitoring,Discrete WQ,D11,3,1982-09-14,Pheophytin a,µg/L,NA,NA,Biological,=,5.22
EMP Monitoring,Discrete WQ,D11,3,1982-09-14,Pheophytin a,µg/L,NA,NA,Biological,=,5.21
EMP Monitoring,Discrete WQ,D6,3,1982-09-14,Pheophytin a,µg/L,NA,NA,Biological,=,1.82
EMP Monitoring,Discrete WQ,D6,3,1982-09-14,Pheophytin a,µg/L,NA,NA,Biological,=,1.81
EMP Monitoring,Discrete WQ,D6,3,1982-09-14,Chlorophyll a,µg/L,NA,NA,Biological,=,4.33
EMP Monitoring,Discrete WQ,D6,3,1982-09-14,Chlorophyll a,µg/L,NA,NA,Biological,=,4.32
EMP Monitoring,Discrete WQ,D16,3,1985-12-04,TSS,mg/L,NA,NA,Other,=,12
EMP Monitoring,Discrete WQ,D16,3,1985-12-04,TSS,mg/L,NA,NA,Other,=,12
EMP Monitoring,Discrete WQ,D10,3,1993-10-12,Chloride (Dissolved),mg/L,NA,NA,Other,=,3520
EMP Monitoring,Discrete WQ,D10,3,1993-10-12,Chloride (Dissolved),mg/L,NA,NA,Other,=,233
