region,analyte,date,n,n.cen,median,mean,sd,RL
Southern Interior Delta,dissNitrateNitrite,10/1/2018,4,0,0.248,1.17225,1.144544269,
Southern Interior Delta,dissNitrateNitrite,11/1/2018,4,0,0.441,1.2095,0.896241969,
Southern Interior Delta,dissNitrateNitrite,12/1/2018,4,0,0.636,1.33525,0.899713056,
Southern Interior Delta,dissNitrateNitrite,1/1/2019,4,0,0.96,2.0475,1.338590677,
Southern Interior Delta,dissNitrateNitrite,2/1/2019,4,0,0.94,1.035,0.151107026,
Southern Interior Delta,dissNitrateNitrite,3/1/2019,4,0,0.438,0.527,0.147679834,
Southern Interior Delta,dissNitrateNitrite,4/1/2019,4,0,0.28,0.275,0.142711831,
Southern Interior Delta,dissNitrateNitrite,5/1/2019,4,1,0.308,0.3265,0.026117523,0.05
Southern Interior Delta,dissNitrateNitrite,6/1/2019,4,1,0.11,0.162,0.070164093,0.05
Southern Interior Delta,dissNitrateNitrite,7/1/2019,4,0,0.131,0.40475,0.362078606,
Southern Interior Delta,dissNitrateNitrite,8/1/2019,4,0,0.146,0.33775,0.267458875,
Southern Interior Delta,dissNitrateNitrite,9/1/2019,4,0,0.118,0.48225,0.467291754,
Southern Interior Delta,dissNitrateNitrite,10/1/2019,2,0,NA,0.385,0.318198052,
Southern Interior Delta,dissNitrateNitrite,11/1/2019,4,0,0.45,0.8025,0.524110357,
Southern Interior Delta,dissNitrateNitrite,12/1/2019,4,0,0.64,1.3225,1.112965259,
Suisun & Grizzly Bays,dissNitrateNitrite,1/1/2018,4,0,0.47,0.5975,0.229836899,
Suisun & Grizzly Bays,dissNitrateNitrite,2/1/2018,4,0,0.58,0.6325,0.082613558,
Suisun & Grizzly Bays,dissNitrateNitrite,3/1/2018,4,0,0.54,0.645,0.186458217,
Suisun & Grizzly Bays,dissNitrateNitrite,4/1/2018,4,0,0.23,0.56,0.547783412,
Suisun & Grizzly Bays,dissNitrateNitrite,5/1/2018,4,0,0.39,0.4975,0.175,
Suisun & Grizzly Bays,dissNitrateNitrite,6/1/2018,4,0,0.45,0.5575,0.18025445,
Suisun & Grizzly Bays,dissNitrateNitrite,7/1/2018,4,0,0.46,0.4925,0.06946222,
Suisun & Grizzly Bays,dissNitrateNitrite,8/1/2018,4,0,0.35,0.335,0.073257537,
Suisun & Grizzly Bays,dissNitrateNitrite,9/1/2018,4,0,0.3,0.395,0.170587221,
Suisun & Grizzly Bays,dissNitrateNitrite,10/1/2018,4,0,0.35,0.3725,0.067019898,
Suisun & Grizzly Bays,dissNitrateNitrite,11/1/2018,4,0,0.416,0.42425,0.018518009,
Suisun & Grizzly Bays,dissNitrateNitrite,12/1/2018,4,0,0.487,0.5065,0.045066617,
Suisun & Grizzly Bays,dissNitrateNitrite,1/1/2019,4,0,0.57,0.6325,0.094648472,
Suisun & Grizzly Bays,dissNitrateNitrite,2/1/2019,4,0,0.42,0.438,0.056356011,
Suisun & Grizzly Bays,dissNitrateNitrite,3/1/2019,4,0,0.33,0.355,0.065574385,
Suisun & Grizzly Bays,dissNitrateNitrite,4/1/2019,4,0,0.17,0.2275,0.075883683,
Suisun & Grizzly Bays,dissNitrateNitrite,5/1/2019,4,0,0.16,0.20875,0.067307132,
Suisun & Grizzly Bays,dissNitrateNitrite,6/1/2019,4,0,0.17,0.255,0.120692447,
Suisun & Grizzly Bays,dissNitrateNitrite,7/1/2019,4,0,0.266,0.3165,0.088202419,
Suisun & Grizzly Bays,dissNitrateNitrite,8/1/2019,4,0,0.158,0.1985,0.077638049,
Suisun & Grizzly Bays,dissNitrateNitrite,9/1/2019,4,0,0.272,0.2845,0.041348116,
Suisun & Grizzly Bays,dissNitrateNitrite,10/1/2019,4,4,NA,0,0,7.5
Suisun & Grizzly Bays,dissNitrateNitrite,11/1/2019,4,4,NA,0,0,7.5
Suisun & Grizzly Bays,dissNitrateNitrite,12/1/2019,4,3,0.63,0.63,#NUM!,7.5
