Station,Region,Date,Month,Year,Chla,Chla_sign,DissAmmonia,DissAmmonia_sign,DissNitrateNitrite,DissNitrateNitrite_sign,TotPhos,TotPhos_sign,SpCndSurface,TurbiditySurface
D4 ,Confluence,5/10/2018,5,2018,4,,0.07,,0.39,,0.08,,393,21.6
D12 ,Confluence,6/4/2018,6,2018,2.01,,0.06,,0.38,,0.08,,615,12.8
D22 ,Confluence,6/5/2018,6,2018,3.91,,0.12,,0.31,,0.07,,165,7.9
D4 ,Confluence,6/5/2018,6,2018,2.61,,0.06,,0.4,,0.1,,1276,20.4
D10 ,Confluence,6/8/2018,6,2018,2.03,,0.06,,0.41,,0.1,,3550,22.2
D10 ,Confluence,7/10/2018,7,2018,3.13,,0.07,,0.41,,0.1,,7254,23.6
D22 ,Confluence,7/18/2018,7,2018,5.23,,0.08,,0.29,,0.09,,1116,22.6
D4 ,Confluence,7/18/2018,7,2018,2.94,,0.07,,0.36,,0.11,,5480,23.6
D12 ,Confluence,7/19/2018,7,2018,4.03,,0.06,,0.31,,0.09,,2537,19.9
D22 ,Confluence,8/2/2018,8,2018,2.22,,0.112,,0.23,,0.07,,532,12.8
D4 ,Confluence,8/2/2018,8,2018,2.02,,0.094,,0.28,,0.1,,4508,15.1
D12 ,Confluence,8/3/2018,8,2018,2.78,,0.08,,0.23,,0.08,,1997,11.5
D10 ,Confluence,8/7/2018,8,2018,2.81,,0.09,,0.32,,0.108,,7906,26.8
D22 ,Confluence,9/13/2018,9,2018,2.05,,0.08,,0.216,,0.08,,1197,10.4
D4 ,Confluence,9/13/2018,9,2018,2.01,,0.06,,0.26,,0.111,,6423,34.4
D12 ,Confluence,9/14/2018,9,2018,2.46,,0.05,,0.224,,0.08,,3561,12
D10 ,Confluence,9/18/2018,9,2018,1.46,,0.06,,0.27,,0.094,,6946,14
D22 ,Confluence,10/12/2018,10,2018,0.84,,0.08,,0.317,,0.1,,3106,15.6
D4 ,Confluence,10/12/2018,10,2018,1.33,,0.09,,0.33,,0.09,,8440,9.6
D12 ,Confluence,10/15/2018,10,2018,0.78,,0.07,,0.33,,0.1,,4740,13.7
D10 ,Confluence,10/17/2018,10,2018,1.43,,0.094,,0.33,,0.1,,12691,10.4
D4 ,Confluence,11/13/2018,11,2018,1.67,,0.11,,0.429,,0.09,,10301,5.5
D10 ,Confluence,11/20/2018,11,2018,1.09,,0.121,,0.413,,0.09,,21421,6.2
D22 ,Confluence,11/20/2018,11,2018,2.11,,0.125,,0.447,,0.08,,8519,3.4
D12 ,Confluence,11/29/2018,11,2018,0.8,,0.154,,0.478,,0.098,,8293,19.3
D22 ,Confluence,12/11/2018,12,2018,0.9,,0.212,,0.591,,0.098,,1756,14.4
D4 ,Confluence,12/11/2018,12,2018,1,,0.199,,0.53,,0.085,,7278,8.4
D12 ,Confluence,12/12/2018,12,2018,0.97,,0.17,,0.536,,0.085,,4228,10.3
D10 ,Confluence,12/17/2018,12,2018,0.68,,0.173,,0.503,,0.1,,16227,12.8
D22,Confluence,1/10/2019,1,2019,1.49,,0.251,,0.46,,0.113,,219,18.8
D4,Confluence,1/10/2019,1,2019,1.11,,0.253,,6.07,,0.111,,2223,15.5
D12,Confluence,1/11/2019,1,2019,1.63,,0.245,,0.54,,0.12,,1149,22.9
D10,Confluence,1/16/2019,1,2019,1,,0.214,,0.59,,0.094,,9337,16.4
D22,Confluence,2/12/2019,2,2019,1.54,,0.12,,0.39,,0.09,,195,24.9
D4,Confluence,2/12/2019,2,2019,1.1,,0.1,,0.44,,0.08,,199,26.8
D12,Confluence,2/13/2019,2,2019,1.12,,0.12,,0.48,,0.1,,213,29.5
D10,Confluence,2/19/2019,2,2019,1.87,,0.07,,0.377,,0.158,,169,99.7
D22,Confluence,3/12/2019,3,2019,2.7,,0.05,<,0.224,,0.1,,163,61.9
D4,Confluence,3/12/2019,3,2019,1.5,,0.06,,0.27,,0.08,,148,41
D12,Confluence,3/13/2019,3,2019,0.8,,0.06,,0.34,,0.07,,147,28.7
D10,Confluence,3/15/2019,3,2019,3,,0.05,,0.28,,0.07,,167,37.2
D22,Confluence,4/10/2019,4,2019,2.69,,0.05,,0.15,,0.05,,145,11.3
D4,Confluence,4/10/2019,4,2019,2.07,,0.06,,0.183,,0.06,,162,9.4
D12,Confluence,4/11/2019,4,2019,2.09,,0.05,<,0.217,,0.05,,177,7.2
D10,Confluence,4/15/2019,4,2019,1.38,,0.05,<,0.161,,0.07,,170,25.5
D22,Confluence,5/9/2019,5,2019,2.2,,0.112,,0.151,,0.05,,146,7.2
D4,Confluence,5/9/2019,5,2019,1.88,,0.08,,0.152,,0.06,,154,11.2
D12,Confluence,5/10/2019,5,2019,1.93,,0.07,,0.15,,0.05,,149,7.7
D10,Confluence,5/14/2019,5,2019,4.19,,0.05,<,0.151,,0.07,,155,21.4
D12,Confluence,6/7/2019,6,2019,1.73,,0.05,<,0.17,,0.062,,131,7.4
D10,Confluence,6/11/2019,6,2019,2.18,,0.05,<,0.14,,0.05,,146,7.4
D22,Confluence,6/11/2019,6,2019,0.72,,0.07,,0.14,,0.04,,103,5
D4,Confluence,6/11/2019,6,2019,1.4,,0.05,<,0.15,,0.05,,116,5.8
D22,Confluence,7/8/2019,7,2019,3.44,,0.083,,0.264,,0.068,,133,10
D4,Confluence,7/8/2019,7,2019,2.79,,0.05,<,0.223,,0.07,,1055,14
D12,Confluence,7/9/2019,7,2019,1.56,,0.05,<,0.186,,0.072,,450,10.6
D10,Confluence,7/11/2019,7,2019,4.03,,0.05,<,0.246,,0.093,,1860,21.4
D12,Confluence,8/6/2019,8,2019,2.27,,0.05,<,0.193,,0.069,,1911,10.8
D10,Confluence,8/8/2019,8,2019,0.5,<,0.05,<,0.203,,0.067,,5262,15.1
D22,Confluence,8/8/2019,8,2019,3.24,,0.095,,0.228,,0.07,,143,8
D4,Confluence,8/8/2019,8,2019,3.97,,0.05,<,0.211,,0.066,,2245,12.6
D12,Confluence,9/4/2019,9,2019,1.84,,0.05,<,0.212,,0.08,,631,13.7
D10,Confluence,9/6/2019,9,2019,3.03,,0.05,<,0.236,,0.116,,2185,32.7
D22,Confluence,9/6/2019,9,2019,1.99,,0.098,,0.209,,0.06,,142,6.6
D4,Confluence,9/6/2019,9,2019,2.3,,0.05,<,0.223,,0.076,,885,16.6
D12,Confluence,10/3/2019,10,2019,1.99,,0.2,<,0.23,,0.069,,605,12.6
D10,Confluence,10/7/2019,10,2019,1.6,,0.2,<,1.5,<,0.097,,4097,19.9
D22,Confluence,10/7/2019,10,2019,1.28,,0.22,,0.24,,0.067,,159,5
D4,Confluence,10/7/2019,10,2019,2.16,,0.12,,0.2,,0.077,,1273,10.6
D12,Confluence,11/4/2019,11,2019,2.08,,0.2,<,0.32,,0.067,,717,13.6
D10,Confluence,11/6/2019,11,2019,1.44,,0.14,,3.9,,0.086,,9166,29.9
D22,Confluence,11/6/2019,11,2019,2.25,,0.16,,0.31,,0.068,,273,12.6
D4,Confluence,11/6/2019,11,2019,2,,0.11,,0.83,,0.07,,4915,16.7
D12,Confluence,12/3/2019,12,2019,0.89,,0.2,,1.5,<,0.044,,5270,16.5
D22,Confluence,12/5/2019,12,2019,0.93,,0.38,,0.29,,0.1,<,1705,11.4
D4,Confluence,12/5/2019,12,2019,0.84,,0.23,,3,<,0.1,<,8003,9.9
D10,Confluence,12/6/2019,12,2019,0.67,,0.24,,7.5,<,0.1,<,12488,18.4
C3A,Northern Interior Delta,1/4/2018,1,2018,2.66,,0.45,,0.15,,0.07,,181,7.2
NZ068 ,Northern Interior Delta,1/5/2018,1,2018,1.71,,0.27,,0.33,,0.07,,296,5.8
NZ068 ,Northern Interior Delta,2/5/2018,2,2018,1.45,,0.21,,0.39,,0.08,,202,5.5
C3A,Northern Interior Delta,2/9/2018,2,2018,2.59,,0.46,,0.18,,0.08,,211,10.9
C3A,Northern Interior Delta,3/5/2018,3,2018,3.59,,0.46,,0.23,,0.08,,167,22.1
NZ068 ,Northern Interior Delta,3/9/2018,3,2018,1.54,,0.27,,0.35,,0.07,,195,8.8
C3A,Northern Interior Delta,4/6/2018,4,2018,4.67,,0.13,,0.08,,0.05,,91,30.7
NZ068 ,Northern Interior Delta,4/6/2018,4,2018,1.96,,0.12,,0.16,,0.04,,124,7
C3A,Northern Interior Delta,5/4/2018,5,2018,5.59,,0.67,,0.05,,0.09,,164,3
NZ068 ,Northern Interior Delta,5/10/2018,5,2018,2.32,,0.24,,0.26,,0.07,,179,4.2
C3A,Northern Interior Delta,6/5/2018,6,2018,2.87,,0.24,,0.08,,0.05,,142,3.1
NZ068 ,Northern Interior Delta,6/5/2018,6,2018,1.74,,0.15,,0.25,,0.08,,154,2.3
C3A,Northern Interior Delta,7/17/2018,7,2018,1.57,,0.4,,0.05,,0.07,,132,4.2
NZ068 ,Northern Interior Delta,7/18/2018,7,2018,3.96,,0.15,,0.24,,0.08,,156,2.6
C3A,Northern Interior Delta,8/2/2018,8,2018,1.19,,0.57,,0.08,,0.113,,155,4.5
NZ068 ,Northern Interior Delta,8/2/2018,8,2018,2.89,,0.15,,0.21,,0.07,,156,1.8
C3A,Northern Interior Delta,9/7/2018,9,2018,1.16,,0.33,,0.07,,0.07,,178,6.2
NZ068 ,Northern Interior Delta,9/13/2018,9,2018,1.63,,0.13,,0.21,,0.07,,355,2.7
C3A,Northern Interior Delta,10/12/2018,10,2018,0.5,<,0.53,,0.2,,0.1,,147,6.8
NZ068 ,Northern Interior Delta,10/12/2018,10,2018,1.07,,0.123,,0.313,,0.08,,360,3.3
C3A,Northern Interior Delta,11/9/2018,11,2018,0.71,,1.22,,0.156,,0.15,,185,0.4
NZ068 ,Northern Interior Delta,11/20/2018,11,2018,1.12,,0.222,,0.509,,0.088,,2750,5.7
C3A,Northern Interior Delta,12/10/2018,12,2018,0.98,,0.568,,0.259,,0.12,,216,2.8
NZ068 ,Northern Interior Delta,12/11/2018,12,2018,0.55,,0.227,,0.583,,0.11,,474,3.6
C3A,Northern Interior Delta,1/9/2019,1,2019,1.07,,0.23,,0.46,,0.12,,201,60.6
NZ068,Northern Interior Delta,1/10/2019,1,2019,2.86,,0.21,,0.497,,0.12,,201,50.6
C3A,Northern Interior Delta,2/7/2019,2,2019,1.88,,0.14,,0.3,,0.12,,123.1,86.61
NZ068,Northern Interior Delta,2/12/2019,2,2019,1.58,,0.12,,0.39,,0.08,,183,25.3
C3A,Northern Interior Delta,3/11/2019,3,2019,1.73,,0.09,,0.18,,0.07,,107.2,41.11
NZ068,Northern Interior Delta,3/12/2019,3,2019,2.35,,0.06,,0.23,,0.08,,125,47.5
C3A,Northern Interior Delta,4/9/2019,4,2019,3.39,,0.09,,0.105,,0.05,,113.2,16.22
NZ068,Northern Interior Delta,4/10/2019,4,2019,3.13,,0.062,,0.15,,0.08,,141,23.9
C3A,Northern Interior Delta,5/8/2019,5,2019,1.12,,0.17,,0.094,,0.047,,108.8,11.07
NZ068,Northern Interior Delta,5/9/2019,5,2019,0.89,,0.12,,0.14,,0.04,,127,2.2
C3A,Northern Interior Delta,6/6/2019,6,2019,1.02,,0.104,,0.09,,0.04,,92.4,11.05
NZ068,Northern Interior Delta,6/11/2019,6,2019,0.93,,0.07,,0.14,,0.05,,102,7.4
C3A,Northern Interior Delta,7/8/2019,7,2019,1.17,,0.253,,0.089,,0.043,,116.7,6.01
NZ068,Northern Interior Delta,7/8/2019,7,2019,0.61,,0.137,,0.22,,0.052,,120,3.8
C3A,Northern Interior Delta,8/2/2019,8,2019,1.53,,0.337,,0.091,,0.061,,123.6,5.38
NZ068,Northern Interior Delta,8/8/2019,8,2019,2.28,,0.125,,0.193,,0.06,,128,4.1
C3A,Northern Interior Delta,9/3/2019,9,2019,1.55,,0.205,,0.083,,0.051,,137.8,6.39
NZ068,Northern Interior Delta,9/6/2019,9,2019,1.03,,0.13,,0.183,,0.05,,140,2.4
C3A,Northern Interior Delta,10/1/2019,10,2019,1.01,,0.34,,0.1,,0.046,,112.3,3.75
NZ068,Northern Interior Delta,10/7/2019,10,2019,1.04,,0.15,,0.19,,0.054,,131,2.2
C3A,Northern Interior Delta,11/1/2019,11,2019,0.5,<,0.75,,0.12,,0.09,,132.7,3.33
NZ068,Northern Interior Delta,11/6/2019,11,2019,1.22,,0.31,,0.32,,0.069,,137,2.9
C3A,Northern Interior Delta,12/2/2019,12,2019,1.41,,0.63,,0.13,,0.068,,157.1,5.95
NZ068,Northern Interior Delta,12/5/2019,12,2019,0.73,,0.32,,0.29,,0.1,<,198,5.5
D6 ,San Pablo Bay,1/11/2018,1,2018,0.87,,0.2,,0.45,,0.09,,25002,12.1
D41 ,San Pablo Bay,1/16/2018,1,2018,1.55,,0.14,,0.4,,0.08,,38802,8.1
D41A ,San Pablo Bay,1/16/2018,1,2018,1.33,,0.16,,0.45,,0.11,,32491,23
NZ002,San Pablo Bay,1/16/2018,1,2018,1.05,,0.17,,0.48,,0.11,,30281,20.6
NZ004 ,San Pablo Bay,1/16/2018,1,2018,1.22,,0.2,,0.48,,0.08,,24085,10.2
NZ325 ,San Pablo Bay,1/16/2018,1,2018,1.1,,0.18,,0.47,,0.08,,28082,9.8
D6 ,San Pablo Bay,2/12/2018,2,2018,1.49,,0.16,,0.51,,0.09,,24333,6.8
D41 ,San Pablo Bay,2/13/2018,2,2018,2.82,,0.09,,0.38,,0.08,,38670,4.3
D41A ,San Pablo Bay,2/13/2018,2,2018,2.76,,0.1,,0.44,,0.09,,33158,15.3
NZ002,San Pablo Bay,2/13/2018,2,2018,1.57,,0.13,,0.47,,0.08,,29331,13
NZ004 ,San Pablo Bay,2/13/2018,2,2018,1.61,,0.16,,0.52,,0.09,,22958,7.9
NZ325 ,San Pablo Bay,2/13/2018,2,2018,2.24,,0.14,,0.47,,0.08,,28312,6.3
D6 ,San Pablo Bay,3/15/2018,3,2018,2.1,,0.13,,0.49,,0.09,,22988,12.6
D41 ,San Pablo Bay,3/16/2018,3,2018,1.87,,0.08,,0.37,,0.08,,39616,5
D41A ,San Pablo Bay,3/16/2018,3,2018,2.49,,0.1,,0.42,,0.1,,32737,30.1
NZ002,San Pablo Bay,3/16/2018,3,2018,1.91,,0.11,,0.44,,0.1,,29760,21.3
NZ004 ,San Pablo Bay,3/16/2018,3,2018,1.21,,0.14,,0.5,,0.09,,22048,11.4
NZ325 ,San Pablo Bay,3/16/2018,3,2018,2.12,,0.1,,0.44,,0.1,,30390,25.8
D6 ,San Pablo Bay,4/12/2018,4,2018,1.85,,0.1,,0.24,,0.07,,3072,27.5
D41 ,San Pablo Bay,4/16/2018,4,2018,5,,0.06,,0.25,,0.09,,24860,6.5
D41A ,San Pablo Bay,4/16/2018,4,2018,7.25,,0.06,,0.27,,0.12,,16781,47.3
NZ002,San Pablo Bay,4/16/2018,4,2018,26.9,,0.09,,0.5,,0.21,,12590,44.6
NZ004 ,San Pablo Bay,4/16/2018,4,2018,2.63,,0.1,,0.26,,0.1,,3689,39
NZ325 ,San Pablo Bay,4/16/2018,4,2018,7.8,,0.08,,0.26,,0.13,,14704,39.5
D6 ,San Pablo Bay,5/11/2018,5,2018,1.85,,0.07,,0.38,,0.08,,13074,13.5
D41 ,San Pablo Bay,5/12/2018,5,2018,3.4,,0.05,,0.29,,0.07,,36481,4
D41A ,San Pablo Bay,5/12/2018,5,2018,3.07,,0.03,,0.28,,0.08,,29676,9.1
NZ002,San Pablo Bay,5/12/2018,5,2018,3.05,,0.07,,0.31,,0.09,,26754,20.8
NZ004 ,San Pablo Bay,5/12/2018,5,2018,1.53,,0.07,,0.34,,0.07,,21212,11
NZ325 ,San Pablo Bay,5/12/2018,5,2018,2.67,,0.07,,0.32,,0.09,,27692,10.5
D6 ,San Pablo Bay,6/11/2018,6,2018,2.49,,0.08,,0.43,,0.12,,19026,22.5
D41 ,San Pablo Bay,6/12/2018,6,2018,3.46,,0.04,,0.35,,0.11,,39352,6.3
D41A ,San Pablo Bay,6/12/2018,6,2018,4.64,,0.02,,0.36,,0.14,,33086,28.1
NZ002,San Pablo Bay,6/12/2018,6,2018,2.8,,0.06,,0.38,,0.12,,27524,20.5
NZ004 ,San Pablo Bay,6/12/2018,6,2018,2.26,,0.07,,0.42,,0.11,,25930,36.5
NZ325 ,San Pablo Bay,6/12/2018,6,2018,2.64,,0.05,,0.36,,0.11,,30878,11.3
D6 ,San Pablo Bay,7/11/2018,7,2018,1.99,,0.08,,0.46,,0.12,,25503,29.7
D41 ,San Pablo Bay,7/12/2018,7,2018,3.15,,0.08,,0.33,,0.1,,42790,10.9
