Station,Region,Date,Month,Year,Analyte,Measurement,Sign,RL
D26,Central Delta,12/13/2018,12,2018,Chla,0.65,,
D19,Central Delta,1/11/2019,1,2019,Chla,1.45,,
D28A,Central Delta,1/11/2019,1,2019,Chla,1.13,,
D16,Central Delta,1/15/2019,1,2019,Chla,0.95,,
D26,Central Delta,1/15/2019,1,2019,Chla,0.87,,
D19,Central Delta,2/13/2019,2,2019,Chla,3.55,,
D28A,Central Delta,2/13/2019,2,2019,Chla,0.89,,
D16,Central Delta,2/15/2019,2,2019,Chla,0.68,,
D26,Central Delta,2/15/2019,2,2019,Chla,0.97,,
D19,Central Delta,3/13/2019,3,2019,Chla,0.85,,
D28A,Central Delta,3/13/2019,3,2019,Chla,1.18,,
D16,Central Delta,3/14/2019,3,2019,Chla,1.41,,
D26,Central Delta,3/14/2019,3,2019,Chla,0.73,,
D19,Central Delta,4/11/2019,4,2019,Chla,1.7,,
D28A,Central Delta,4/11/2019,4,2019,Chla,1,,
D16,Central Delta,4/12/2019,4,2019,Chla,0.79,,
D26,Central Delta,4/12/2019,4,2019,Chla,1.27,,
D19,Central Delta,5/10/2019,5,2019,Chla,1.39,,
D28A,Central Delta,5/10/2019,5,2019,Chla,1.37,,
D16,Central Delta,5/13/2019,5,2019,Chla,1.2,,
D26,Central Delta,5/13/2019,5,2019,Chla,1.13,,
D19,Central Delta,6/7/2019,6,2019,Chla,,<,0.5
D28A,Central Delta,6/7/2019,6,2019,Chla,0.56,,
D16,Central Delta,6/10/2019,6,2019,Chla,0.5,,
D26,Central Delta,6/10/2019,6,2019,Chla,,<,0.5
D19,Central Delta,7/9/2019,7,2019,Chla,1.34,,
D28A,Central Delta,7/9/2019,7,2019,Chla,0.81,,
D16,Central Delta,7/10/2019,7,2019,Chla,1.64,,
D26,Central Delta,7/10/2019,7,2019,Chla,1.4,,
D19,Central Delta,8/6/2019,8,2019,Chla,1.72,,
D28A,Central Delta,8/6/2019,8,2019,Chla,1.09,,
D16,Central Delta,8/7/2019,8,2019,Chla,2.65,,
D26,Central Delta,8/7/2019,8,2019,Chla,0.99,,
D19,Central Delta,9/4/2019,9,2019,Chla,1.69,,
D28A,Central Delta,9/4/2019,9,2019,Chla,1.1,,
D16,Central Delta,9/5/2019,9,2019,Chla,0.72,,
D26,Central Delta,9/5/2019,9,2019,Chla,,<,0.5
D19,Central Delta,10/3/2019,10,2019,Chla,1.35,,
D28A,Central Delta,10/3/2019,10,2019,Chla,1.11,,
D16,Central Delta,10/4/2019,10,2019,Chla,1.46,,
D26,Central Delta,10/4/2019,10,2019,Chla,1.01,,
D19,Central Delta,11/4/2019,11,2019,Chla,1.37,,
D28A,Central Delta,11/4/2019,11,2019,Chla,1.85,,
D16,Central Delta,11/5/2019,11,2019,Chla,1.32,,
D26,Central Delta,11/5/2019,11,2019,Chla,1.24,,
D19,Central Delta,12/3/2019,12,2019,Chla,2,,
D28A,Central Delta,12/3/2019,12,2019,Chla,0.69,,
D16,Central Delta,12/4/2019,12,2019,Chla,1.26,,
D26,Central Delta,12/4/2019,12,2019,Chla,0.82,,
D22 ,Confluence,1/5/2018,1,2018,Chla,1.86,,
D4 ,Confluence,1/5/2018,1,2018,Chla,0.94,,
D12 ,Confluence,1/8/2018,1,2018,Chla,1.13,,
D10 ,Confluence,1/10/2018,1,2018,Chla,0.83,,
D22 ,Confluence,2/5/2018,2,2018,Chla,1.3,,
D4 ,Confluence,2/5/2018,2,2018,Chla,2.35,,
D12 ,Confluence,2/6/2018,2,2018,Chla,2.05,,
D10 ,Confluence,2/8/2018,2,2018,Chla,3.1,,
D22 ,Confluence,3/9/2018,3,2018,Chla,2.43,,
D4 ,Confluence,3/9/2018,3,2018,Chla,7.66,,
D12 ,Confluence,3/12/2018,3,2018,Chla,3.84,,
D10 ,Confluence,3/14/2018,3,2018,Chla,3.16,,
D22 ,Confluence,4/6/2018,4,2018,Chla,1.72,,
D4 ,Confluence,4/6/2018,4,2018,Chla,1.79,,
D12 ,Confluence,4/9/2018,4,2018,Chla,3.21,,
D10 ,Confluence,4/11/2018,4,2018,Chla,1.92,,
D12 ,Confluence,5/8/2018,5,2018,Chla,2.5,,
D10 ,Confluence,5/10/2018,5,2018,Chla,13,,
D22 ,Confluence,5/10/2018,5,2018,Chla,4.61,,
D4 ,Confluence,5/10/2018,5,2018,Chla,4,,
D12 ,Confluence,6/4/2018,6,2018,Chla,2.01,,
D22 ,Confluence,6/5/2018,6,2018,Chla,3.91,,
D4 ,Confluence,6/5/2018,6,2018,Chla,2.61,,
D10 ,Confluence,6/8/2018,6,2018,Chla,2.03,,
D10 ,Confluence,7/10/2018,7,2018,Chla,3.13,,
D22 ,Confluence,7/18/2018,7,2018,Chla,5.23,,
D4 ,Confluence,7/18/2018,7,2018,Chla,2.94,,
D12 ,Confluence,7/19/2018,7,2018,Chla,4.03,,
D22 ,Confluence,8/2/2018,8,2018,Chla,2.22,,
D4 ,Confluence,8/2/2018,8,2018,Chla,2.02,,
D12 ,Confluence,8/3/2018,8,2018,Chla,2.78,,
D10 ,Confluence,8/7/2018,8,2018,Chla,2.81,,
D22 ,Confluence,9/13/2018,9,2018,Chla,2.05,,
D4 ,Confluence,9/13/2018,9,2018,Chla,2.01,,
D12 ,Confluence,9/14/2018,9,2018,Chla,2.46,,
D10 ,Confluence,9/18/2018,9,2018,Chla,1.46,,
D22 ,Confluence,10/12/2018,10,2018,Chla,0.84,,
D4 ,Confluence,10/12/2018,10,2018,Chla,1.33,,
D12 ,Confluence,10/15/2018,10,2018,Chla,0.78,,
D10 ,Confluence,10/17/2018,10,2018,Chla,1.43,,
D4 ,Confluence,11/13/2018,11,2018,Chla,1.67,,
D10 ,Confluence,11/20/2018,11,2018,Chla,1.09,,
D22 ,Confluence,11/20/2018,11,2018,Chla,2.11,,
D12 ,Confluence,11/29/2018,11,2018,Chla,0.8,,
D22 ,Confluence,12/11/2018,12,2018,Chla,0.9,,
D4 ,Confluence,12/11/2018,12,2018,Chla,1,,
D12 ,Confluence,12/12/2018,12,2018,Chla,0.97,,
D10 ,Confluence,12/17/2018,12,2018,Chla,0.68,,
D22,Confluence,1/10/2019,1,2019,Chla,1.49,,
D4,Confluence,1/10/2019,1,2019,Chla,1.11,,
D12,Confluence,1/11/2019,1,2019,Chla,1.63,,
D10,Confluence,1/16/2019,1,2019,Chla,1,,
D22,Confluence,2/12/2019,2,2019,Chla,1.54,,
D4,Confluence,2/12/2019,2,2019,Chla,1.1,,
D12,Confluence,2/13/2019,2,2019,Chla,1.12,,
D10,Confluence,2/19/2019,2,2019,Chla,1.87,,
D22,Confluence,3/12/2019,3,2019,Chla,2.7,,
D4,Confluence,3/12/2019,3,2019,Chla,1.5,,
D12,Confluence,3/13/2019,3,2019,Chla,0.8,,
D10,Confluence,3/15/2019,3,2019,Chla,3,,
D22,Confluence,4/10/2019,4,2019,Chla,2.69,,
D4,Confluence,4/10/2019,4,2019,Chla,2.07,,
D12,Confluence,4/11/2019,4,2019,Chla,2.09,,
D10,Confluence,4/15/2019,4,2019,Chla,1.38,,
D22,Confluence,5/9/2019,5,2019,Chla,2.2,,
D4,Confluence,5/9/2019,5,2019,Chla,1.88,,
D12,Confluence,5/10/2019,5,2019,Chla,1.93,,
D10,Confluence,5/14/2019,5,2019,Chla,4.19,,
D12,Confluence,6/7/2019,6,2019,Chla,1.73,,
D10,Confluence,6/11/2019,6,2019,Chla,2.18,,
D22,Confluence,6/11/2019,6,2019,Chla,0.72,,
D4,Confluence,6/11/2019,6,2019,Chla,1.4,,
D22,Confluence,7/8/2019,7,2019,Chla,3.44,,
D4,Confluence,7/8/2019,7,2019,Chla,2.79,,
D12,Confluence,7/9/2019,7,2019,Chla,1.56,,
D10,Confluence,7/11/2019,7,2019,Chla,4.03,,
D12,Confluence,8/6/2019,8,2019,Chla,2.27,,
D10,Confluence,8/8/2019,8,2019,Chla,,<,0.5
D22,Confluence,8/8/2019,8,2019,Chla,3.24,,
D4,Confluence,8/8/2019,8,2019,Chla,3.97,,
D12,Confluence,9/4/2019,9,2019,Chla,1.84,,
D10,Confluence,9/6/2019,9,2019,Chla,3.03,,
D22,Confluence,9/6/2019,9,2019,Chla,1.99,,
D4,Confluence,9/6/2019,9,2019,Chla,2.3,,
D12,Confluence,10/3/2019,10,2019,Chla,1.99,,
D10,Confluence,10/7/2019,10,2019,Chla,1.6,,
D22,Confluence,10/7/2019,10,2019,Chla,1.28,,
D4,Confluence,10/7/2019,10,2019,Chla,2.16,,
D12,Confluence,11/4/2019,11,2019,Chla,2.08,,
D10,Confluence,11/6/2019,11,2019,Chla,1.44,,
D22,Confluence,11/6/2019,11,2019,Chla,2.25,,
D4,Confluence,11/6/2019,11,2019,Chla,2,,
D12,Confluence,12/3/2019,12,2019,Chla,0.89,,
D22,Confluence,12/5/2019,12,2019,Chla,0.93,,
D4,Confluence,12/5/2019,12,2019,Chla,0.84,,
D10,Confluence,12/6/2019,12,2019,Chla,0.67,,
C3A,Northern Interior Delta,1/4/2018,1,2018,Chla,2.66,,
NZ068 ,Northern Interior Delta,1/5/2018,1,2018,Chla,1.71,,
NZ068 ,Northern Interior Delta,2/5/2018,2,2018,Chla,1.45,,
C3A,Northern Interior Delta,2/9/2018,2,2018,Chla,2.59,,
C3A,Northern Interior Delta,3/5/2018,3,2018,Chla,3.59,,
NZ068 ,Northern Interior Delta,3/9/2018,3,2018,Chla,1.54,,
C3A,Northern Interior Delta,4/6/2018,4,2018,Chla,4.67,,
NZ068 ,Northern Interior Delta,4/6/2018,4,2018,Chla,1.96,,
C3A,Northern Interior Delta,5/4/2018,5,2018,Chla,5.59,,
NZ068 ,Northern Interior Delta,5/10/2018,5,2018,Chla,2.32,,
C3A,Northern Interior Delta,6/5/2018,6,2018,Chla,2.87,,
NZ068 ,Northern Interior Delta,6/5/2018,6,2018,Chla,1.74,,
C3A,Northern Interior Delta,7/17/2018,7,2018,Chla,1.57,,
NZ068 ,Northern Interior Delta,7/18/2018,7,2018,Chla,3.96,,
C3A,Northern Interior Delta,8/2/2018,8,2018,Chla,1.19,,
NZ068 ,Northern Interior Delta,8/2/2018,8,2018,Chla,2.89,,
C3A,Northern Interior Delta,9/7/2018,9,2018,Chla,1.16,,
NZ068 ,Northern Interior Delta,9/13/2018,9,2018,Chla,1.63,,
C3A,Northern Interior Delta,10/12/2018,10,2018,Chla,,<,0.5
NZ068 ,Northern Interior Delta,10/12/2018,10,2018,Chla,1.07,,
C3A,Northern Interior Delta,11/9/2018,11,2018,Chla,0.71,,
NZ068 ,Northern Interior Delta,11/20/2018,11,2018,Chla,1.12,,
C3A,Northern Interior Delta,12/10/2018,12,2018,Chla,0.98,,
NZ068 ,Northern Interior Delta,12/11/2018,12,2018,Chla,0.55,,
C3A,Northern Interior Delta,1/9/2019,1,2019,Chla,1.07,,
NZ068,Northern Interior Delta,1/10/2019,1,2019,Chla,2.86,,
C3A,Northern Interior Delta,2/7/2019,2,2019,Chla,1.88,,
NZ068,Northern Interior Delta,2/12/2019,2,2019,Chla,1.58,,
C3A,Northern Interior Delta,3/11/2019,3,2019,Chla,1.73,,
NZ068,Northern Interior Delta,3/12/2019,3,2019,Chla,2.35,,
C3A,Northern Interior Delta,4/9/2019,4,2019,Chla,3.39,,
NZ068,Northern Interior Delta,4/10/2019,4,2019,Chla,3.13,,
C3A,Northern Interior Delta,5/8/2019,5,2019,Chla,1.12,,
NZ068,Northern Interior Delta,5/9/2019,5,2019,Chla,0.89,,
C3A,Northern Interior Delta,6/6/2019,6,2019,Chla,1.02,,
NZ068,Northern Interior Delta,6/11/2019,6,2019,Chla,0.93,,
C3A,Northern Interior Delta,7/8/2019,7,2019,Chla,1.17,,
NZ068,Northern Interior Delta,7/8/2019,7,2019,Chla,0.61,,
C3A,Northern Interior Delta,8/2/2019,8,2019,Chla,1.53,,
NZ068,Northern Interior Delta,8/8/2019,8,2019,Chla,2.28,,
C3A,Northern Interior Delta,9/3/2019,9,2019,Chla,1.55,,
NZ068,Northern Interior Delta,9/6/2019,9,2019,Chla,1.03,,
C3A,Northern Interior Delta,10/1/2019,10,2019,Chla,1.01,,
NZ068,Northern Interior Delta,10/7/2019,10,2019,Chla,1.04,,
C3A,Northern Interior Delta,11/1/2019,11,2019,Chla,,<,0.5
NZ068,Northern Interior Delta,11/6/2019,11,2019,Chla,1.22,,
C3A,Northern Interior Delta,12/2/2019,12,2019,Chla,1.41,,
NZ068,Northern Interior Delta,12/5/2019,12,2019,Chla,0.73,,
D6 ,San Pablo Bay,1/11/2018,1,2018,Chla,0.87,,
D41 ,San Pablo Bay,1/16/2018,1,2018,Chla,1.55,,
D41A ,San Pablo Bay,1/16/2018,1,2018,Chla,1.33,,
NZ002,San Pablo Bay,1/16/2018,1,2018,Chla,1.05,,
NZ004 ,San Pablo Bay,1/16/2018,1,2018,Chla,1.22,,
NZ325 ,San Pablo Bay,1/16/2018,1,2018,Chla,1.1,,
D6 ,San Pablo Bay,2/12/2018,2,2018,Chla,1.49,,
D41 ,San Pablo Bay,2/13/2018,2,2018,Chla,2.82,,
D41A ,San Pablo Bay,2/13/2018,2,2018,Chla,2.76,,
NZ002,San Pablo Bay,2/13/2018,2,2018,Chla,1.57,,
NZ004 ,San Pablo Bay,2/13/2018,2,2018,Chla,1.61,,
NZ325 ,San Pablo Bay,2/13/2018,2,2018,Chla,2.24,,
D6 ,San Pablo Bay,3/15/2018,3,2018,Chla,2.1,,
D41 ,San Pablo Bay,3/16/2018,3,2018,Chla,1.87,,
D41A ,San Pablo Bay,3/16/2018,3,2018,Chla,2.49,,
NZ002,San Pablo Bay,3/16/2018,3,2018,Chla,1.91,,
NZ004 ,San Pablo Bay,3/16/2018,3,2018,Chla,1.21,,
NZ325 ,San Pablo Bay,3/16/2018,3,2018,Chla,2.12,,
D6 ,San Pablo Bay,4/12/2018,4,2018,Chla,1.85,,
D41 ,San Pablo Bay,4/16/2018,4,2018,Chla,5,,
D41A ,San Pablo Bay,4/16/2018,4,2018,Chla,7.25,,
NZ002,San Pablo Bay,4/16/2018,4,2018,Chla,26.9,,
NZ004 ,San Pablo Bay,4/16/2018,4,2018,Chla,2.63,,
NZ325 ,San Pablo Bay,4/16/2018,4,2018,Chla,7.8,,
D6 ,San Pablo Bay,5/11/2018,5,2018,Chla,1.85,,
D41 ,San Pablo Bay,5/12/2018,5,2018,Chla,3.4,,
D41A ,San Pablo Bay,5/12/2018,5,2018,Chla,3.07,,
NZ002,San Pablo Bay,5/12/2018,5,2018,Chla,3.05,,
NZ004 ,San Pablo Bay,5/12/2018,5,2018,Chla,1.53,,
NZ325 ,San Pablo Bay,5/12/2018,5,2018,Chla,2.67,,
D6 ,San Pablo Bay,6/11/2018,6,2018,Chla,2.49,,
D41 ,San Pablo Bay,6/12/2018,6,2018,Chla,3.46,,
D41A ,San Pablo Bay,6/12/2018,6,2018,Chla,4.64,,
NZ002,San Pablo Bay,6/12/2018,6,2018,Chla,2.8,,
NZ004 ,San Pablo Bay,6/12/2018,6,2018,Chla,2.26,,
NZ325 ,San Pablo Bay,6/12/2018,6,2018,Chla,2.64,,
D6 ,San Pablo Bay,7/11/2018,7,2018,Chla,1.99,,
D41 ,San Pablo Bay,7/12/2018,7,2018,Chla,3.15,,
D41A ,San Pablo Bay,7/12/2018,7,2018,Chla,3.03,,
NZ002,San Pablo Bay,7/12/2018,7,2018,Chla,2.15,,
NZ004 ,San Pablo Bay,7/12/2018,7,2018,Chla,1.99,,
NZ325 ,San Pablo Bay,7/12/2018,7,2018,Chla,1.97,,
D6 ,San Pablo Bay,8/8/2018,8,2018,Chla,2.19,,
D41 ,San Pablo Bay,8/9/2018,8,2018,Chla,3.25,,
D41A ,San Pablo Bay,8/9/2018,8,2018,Chla,2.02,,
NZ002,San Pablo Bay,8/9/2018,8,2018,Chla,1.98,,
NZ004 ,San Pablo Bay,8/9/2018,8,2018,Chla,2.14,,
NZ325 ,San Pablo Bay,8/9/2018,8,2018,Chla,1.73,,
D6 ,San Pablo Bay,9/19/2018,9,2018,Chla,1.93,,
D41 ,San Pablo Bay,9/20/2018,9,2018,Chla,3.52,,
D41A ,San Pablo Bay,9/20/2018,9,2018,Chla,2.11,,
NZ002,San Pablo Bay,9/20/2018,9,2018,Chla,1.54,,
NZ004 ,San Pablo Bay,9/20/2018,9,2018,Chla,1.72,,
NZ325 ,San Pablo Bay,9/20/2018,9,2018,Chla,1.24,,
D6 ,San Pablo Bay,10/18/2018,10,2018,Chla,1.74,,
D41 ,San Pablo Bay,10/19/2018,10,2018,Chla,2.91,,
D41A ,San Pablo Bay,10/19/2018,10,2018,Chla,2.72,,
NZ002,San Pablo Bay,10/19/2018,10,2018,Chla,2.03,,
NZ004 ,San Pablo Bay,10/19/2018,10,2018,Chla,2.12,,
NZ325 ,San Pablo Bay,10/19/2018,10,2018,Chla,2.48,,
D6 ,San Pablo Bay,11/20/2018,11,2018,Chla,1.69,,
D41 ,San Pablo Bay,11/21/2018,11,2018,Chla,1.79,,
D41A ,San Pablo Bay,11/21/2018,11,2018,Chla,1.74,,
D6 ,San Pablo Bay,12/17/2018,12,2018,Chla,1.03,,
D41 ,San Pablo Bay,12/19/2018,12,2018,Chla,2.14,,
D41A ,San Pablo Bay,12/19/2018,12,2018,Chla,1.09,,
NZ002,San Pablo Bay,12/19/2018,12,2018,Chla,1.38,,
NZ004 ,San Pablo Bay,12/19/2018,12,2018,Chla,1.05,,
NZ325 ,San Pablo Bay,12/19/2018,12,2018,Chla,2.26,,
D6,San Pablo Bay,1/16/2019,1,2019,Chla,0.75,,
D41,San Pablo Bay,1/18/2019,1,2019,Chla,3.07,,
D41A,San Pablo Bay,1/18/2019,1,2019,Chla,1.65,,
NZ002 ,San Pablo Bay,1/18/2019,1,2019,Chla,1.12,,
NZ004,San Pablo Bay,1/18/2019,1,2019,Chla,1.23,,
NZ325,San Pablo Bay,1/18/2019,1,2019,Chla,0.84,,
D6,San Pablo Bay,2/19/2019,2,2019,Chla,1.64,,
D41,San Pablo Bay,2/21/2019,2,2019,Chla,1.34,,
D41A,San Pablo Bay,2/21/2019,2,2019,Chla,1.58,,
NZ002 ,San Pablo Bay,2/21/2019,2,2019,Chla,1.66,,
NZ004,San Pablo Bay,2/21/2019,2,2019,Chla,1.71,,
NZ325,San Pablo Bay,2/21/2019,2,2019,Chla,1.56,,
D6,San Pablo Bay,3/15/2019,3,2019,Chla,2.56,,
D41,San Pablo Bay,3/19/2019,3,2019,Chla,3.83,,
D41A,San Pablo Bay,3/19/2019,3,2019,Chla,1.53,,
NZ002 ,San Pablo Bay,3/19/2019,3,2019,Chla,1.69,,
NZ004,San Pablo Bay,3/19/2019,3,2019,Chla,1.73,,
NZ325,San Pablo Bay,3/19/2019,3,2019,Chla,1.21,,
D6,San Pablo Bay,4/15/2019,4,2019,Chla,1.95,,
D41,San Pablo Bay,4/17/2019,4,2019,Chla,4.46,,
D41A,San Pablo Bay,4/17/2019,4,2019,Chla,2.65,,
NZ002 ,San Pablo Bay,4/17/2019,4,2019,Chla,2.18,,
NZ004,San Pablo Bay,4/17/2019,4,2019,Chla,2.21,,
NZ325,San Pablo Bay,4/17/2019,4,2019,Chla,2.2,,
D6,San Pablo Bay,5/14/2019,5,2019,Chla,1.16,,
D41,San Pablo Bay,5/16/2019,5,2019,Chla,1.83,,
D41A,San Pablo Bay,5/16/2019,5,2019,Chla,1.68,,
NZ002 ,San Pablo Bay,5/16/2019,5,2019,Chla,2.03,,
NZ004,San Pablo Bay,5/16/2019,5,2019,Chla,1.37,,
NZ325,San Pablo Bay,5/16/2019,5,2019,Chla,1.72,,
D6,San Pablo Bay,6/12/2019,6,2019,Chla,2.58,,
D41,San Pablo Bay,6/13/2019,6,2019,Chla,2.98,,
D41A,San Pablo Bay,6/13/2019,6,2019,Chla,1.91,,
NZ002 ,San Pablo Bay,6/13/2019,6,2019,Chla,3.74,,
NZ004,San Pablo Bay,6/13/2019,6,2019,Chla,2.13,,
NZ325,San Pablo Bay,6/13/2019,6,2019,Chla,2.7,,
D6,San Pablo Bay,7/11/2019,7,2019,Chla,1.85,,
D41,San Pablo Bay,7/15/2019,7,2019,Chla,1.48,,
D41A,San Pablo Bay,7/15/2019,7,2019,Chla,3.09,,
NZ002 ,San Pablo Bay,7/15/2019,7,2019,Chla,2.25,,
NZ004,San Pablo Bay,7/15/2019,7,2019,Chla,1.8,,
NZ325,San Pablo Bay,7/15/2019,7,2019,Chla,1.68,,
D6,San Pablo Bay,8/9/2019,8,2019,Chla,2.61,,
D41,San Pablo Bay,8/13/2019,8,2019,Chla,1.4,,
D41A,San Pablo Bay,8/13/2019,8,2019,Chla,2.32,,
NZ002 ,San Pablo Bay,8/13/2019,8,2019,Chla,2.91,,
NZ004,San Pablo Bay,8/13/2019,8,2019,Chla,3.32,,
NZ325,San Pablo Bay,8/13/2019,8,2019,Chla,1.25,,
D6,San Pablo Bay,9/6/2019,9,2019,Chla,1.04,,
D41,San Pablo Bay,9/10/2019,9,2019,Chla,2.79,,
D41A,San Pablo Bay,9/10/2019,9,2019,Chla,2.8,,
NZ002 ,San Pablo Bay,9/10/2019,9,2019,Chla,0.93,,
NZ004,San Pablo Bay,9/10/2019,9,2019,Chla,1.17,,
NZ325,San Pablo Bay,9/10/2019,9,2019,Chla,1.87,,
D6,San Pablo Bay,10/7/2019,10,2019,Chla,1.82,,
D41,San Pablo Bay,10/9/2019,10,2019,Chla,2.09,,
D41A,San Pablo Bay,10/9/2019,10,2019,Chla,2.84,,
NZ002 ,San Pablo Bay,10/9/2019,10,2019,Chla,1.69,,
NZ004,San Pablo Bay,10/9/2019,10,2019,Chla,0.68,,
NZ325,San Pablo Bay,10/9/2019,10,2019,Chla,0.86,,
D6,San Pablo Bay,11/6/2019,11,2019,Chla,1.24,,
D41,San Pablo Bay,11/12/2019,11,2019,Chla,2.11,,
D41A,San Pablo Bay,11/12/2019,11,2019,Chla,0.98,,
NZ002 ,San Pablo Bay,11/12/2019,11,2019,Chla,0.61,,
NZ004,San Pablo Bay,11/12/2019,11,2019,Chla,0.58,,
NZ325,San Pablo Bay,11/12/2019,11,2019,Chla,0.7,,
D6,San Pablo Bay,12/6/2019,12,2019,Chla,0.92,,
D41,San Pablo Bay,12/10/2019,12,2019,Chla,1.77,,
D41A,San Pablo Bay,12/10/2019,12,2019,Chla,1.72,,
NZ002 ,San Pablo Bay,12/10/2019,12,2019,Chla,1.09,,
NZ004,San Pablo Bay,12/10/2019,12,2019,Chla,0.88,,
NZ325,San Pablo Bay,12/10/2019,12,2019,Chla,1.02,,
C10A ,Southern Interior Delta,1/3/2018,1,2018,Chla,5.66,,
C9,Southern Interior Delta,1/3/2018,1,2018,Chla,2.02,,
MD10A,Southern Interior Delta,1/9/2018,1,2018,Chla,2.25,,
P8 ,Southern Interior Delta,1/9/2018,1,2018,Chla,1.07,,
C10A ,Southern Interior Delta,2/6/2018,2,2018,Chla,14.77,,
C9,Southern Interior Delta,2/6/2018,2,2018,Chla,0.87,,
MD10A,Southern Interior Delta,2/7/2018,2,2018,Chla,1.25,,
P8 ,Southern Interior Delta,2/7/2018,2,2018,Chla,0.91,,
C10A ,Southern Interior Delta,3/5/2018,3,2018,Chla,16.46,,
C9,Southern Interior Delta,3/5/2018,3,2018,Chla,2.13,,
MD10A,Southern Interior Delta,3/13/2018,3,2018,Chla,1.58,,
P8 ,Southern Interior Delta,3/13/2018,3,2018,Chla,1.56,,
C10A ,Southern Interior Delta,4/5/2018,4,2018,Chla,8.27,,
C9,Southern Interior Delta,4/5/2018,4,2018,Chla,2.19,,
MD10A,Southern Interior Delta,4/10/2018,4,2018,Chla,2.37,,
P8 ,Southern Interior Delta,4/10/2018,4,2018,Chla,3.06,,
C10A ,Southern Interior Delta,5/3/2018,5,2018,Chla,5.71,,
C9,Southern Interior Delta,5/3/2018,5,2018,Chla,1.35,,
MD10A,Southern Interior Delta,5/9/2018,5,2018,Chla,4.99,,
P8 ,Southern Interior Delta,5/9/2018,5,2018,Chla,5,,
C10A ,Southern Interior Delta,6/6/2018,6,2018,Chla,48.4,,
C9,Southern Interior Delta,6/6/2018,6,2018,Chla,2.28,,
MD10A,Southern Interior Delta,6/7/2018,6,2018,Chla,2.62,,
P8 ,Southern Interior Delta,6/7/2018,6,2018,Chla,3.93,,
MD10A,Southern Interior Delta,7/9/2018,7,2018,Chla,9.47,,
P8 ,Southern Interior Delta,7/9/2018,7,2018,Chla,7.22,,
C10A ,Southern Interior Delta,7/16/2018,7,2018,Chla,71.87,,
C9,Southern Interior Delta,7/16/2018,7,2018,Chla,7.87,,
