Station,Date,ResultPrefix_Organic Nitrogen (Total),ResultPrefix_TSS,ResultPrefix_VSS,ResultPrefix_Organic Nitrogen (Dissolved),ResultPrefix_TDS,ResultPrefix_Kjeldahl Nitrogen (Total),ResultPrefix_Pheophytin a,ResultPrefix_Ortho-phosphate (Dissolved),ResultPrefix_Chloride (Total),ResultPrefix_Silica (SiO2) (Dissolved),ResultPrefix_Chlorophyll a,ResultPrefix_Ammonia (Total),ResultPrefix_Nitrite + Nitrate (Dissolved),ResultPrefix_Ammonia (Dissolved),ResultPrefix_Chloride (Dissolved),Result_Organic Nitrogen (Total),Result_TDS,Result_TSS,Result_VSS,Result_Organic Nitrogen (Dissolved),Result_Kjeldahl Nitrogen (Total),Result_Pheophytin a,Result_Ortho-phosphate (Dissolved),Result_Chloride (Total),Result_Silica (SiO2) (Dissolved),Result_Chlorophyll a,Result_Ammonia (Total),Result_Nitrite + Nitrate (Dissolved),Result_Ammonia (Dissolved),Result_Chloride (Dissolved),ReportingLimit_Organic Nitrogen (Total),ReportingLimit_TSS,ReportingLimit_VSS,ReportingLimit_Organic Nitrogen (Dissolved),ReportingLimit_TDS,ReportingLimit_Kjeldahl Nitrogen (Total),ReportingLimit_Pheophytin a,ReportingLimit_Ortho-phosphate (Dissolved),ReportingLimit_Chloride (Total),ReportingLimit_Silica (SiO2) (Dissolved),ReportingLimit_Chlorophyll a,ReportingLimit_Ammonia (Total),ReportingLimit_Nitrite + Nitrate (Dissolved),ReportingLimit_Ammonia (Dissolved),ReportingLimit_Chloride (Dissolved),UnitName_Organic Nitrogen (Total),UnitName_TSS,UnitName_VSS,UnitName_Organic Nitrogen (Dissolved),UnitName_TDS,UnitName_Kjeldahl Nitrogen (Total),UnitName_Pheophytin a,UnitName_Ortho-phosphate (Dissolved),UnitName_Chloride (Total),UnitName_Silica (SiO2) (Dissolved),UnitName_Chlorophyll a,UnitName_Ammonia (Total),UnitName_Nitrite + Nitrate (Dissolved),UnitName_Ammonia (Dissolved),UnitName_Chloride (Dissolved),
P12,2/4/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.77,NA,25,4,0.6,0.9,6.41,0.07,85,11.2,14.2,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
MD6,2/4/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.5,NA,25,8,0.4,0.6,2.04,0.05,11,17.6,4.08,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D11,2/5/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.38,NA,26,3,0.3,0.5,1.02,0.06,47,18.4,2.22,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D22,2/5/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.5,97,52,6,0.4,0.6,1.36,0.06,11,16.8,3.46,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D19,2/5/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.38,NA,23,5,0.3,0.5,1.05,0.06,17,18.8,1.91,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D16,2/5/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.39,123,29,7,0.3,0.5,1.36,0.07,14,19.2,1.98,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D15,2/5/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.53,138,24,7,0.4,0.6,1.27,0.06,24,18.8,1.98,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D26,2/5/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.36,110,38,7,0.3,0.5,1.16,0.07,13,18.6,2.22,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D4,2/5/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.51,150,26,7,0.4,0.6,1.02,0.07,35,18.6,2.59,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D24,2/5/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.75,92,88,15,0.6,0.8,4.57,0.07,11,15.6,5.43,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D2,2/6/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.28,1840,43,9,0.2,0.4,2.02,0.07,990,17.6,2.1,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D14A,2/6/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.44,140,22,6,0.3,0.5,1.1,0.07,21,18.4,2.1,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D10,2/6/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.42,240,30,6,0.3,0.5,1.65,0.07,85,18,2.1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D12,2/6/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.32,193,34,6,0.2,0.4,1.31,0.07,57,18.4,2.16,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D9,2/6/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.41,NA,53,5,0.3,0.5,2.05,0.07,57,18,2.35,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D6,2/6/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.38,5770,43,9,0.3,0.5,1.84,0.07,3490,15.6,2.28,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D8,2/6/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.3,NA,30,8,0.2,0.4,1.33,0.08,533,18,2.1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D7,2/6/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.42,1630,42,9,0.3,0.5,2.25,0.07,783,17.6,1.73,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
C3,3/18/1975,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.2,85,87,8,0.2,0.2,0.83,0.06,6,18.8,1.85,0.02,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
C7,3/18/1975,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.6,231,52,9,0.4,0.6,5.48,0.1,45,13.8,8.65,0.04,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
C9,3/18/1975,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.5,238,31,4,0.5,0.5,4.4,0.1,57,14.2,8.34,0.03,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
C10,3/18/1975,=,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,0.5,239,48,5,0.4,0.5,5.79,0.09,49,14,9.26,0.05,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
MD6,3/18/1975,=,=,=,=,NA,=,=,=,=,=,=,=,=,NA,NA,0.7,NA,26,7,0.5,1.6,4.06,0.28,23,19.4,4.32,0.89,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,mg/L as N,NA,NA,
