Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Flag,FlagDescription,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C EPA 415.3 (D) 915 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C EPA 415.3 (T) 914 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L EPA 160.2 64 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L EPA 160.4 72 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered - [1]*,(Bottom) Specific Conductance uS/cm@25 °C EPA 120.1 (Field) - [1]*,Specific Conductance uS/cm@25 °C EPA 120.1 (Field) - [1]*,Field Notes Notes (Field) - [1]*,North Latitude Decimal Degrees GPS Location - [1]*,West Longitude Decimal Degrees GPS Location - [1]*,Microcystis aeruginosa Field Observations (Water) - [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Secchi Depth Centimeters Secchi Depth - [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) - [1]*,"Air Temperature °F Temperature, Air - [1]*",Water Temperature °C EPA 170.1 (Field) - [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Water Depth at Station Feet Depth of Water Column - [1]*,Weather Observations Weather Observations - [1]*,Wind Velocity Miles/hr Wind Velocity - [1]*,(Bottom) pH pH Units EPA 150.1 (Field) - [1]*,pH pH Units EPA 150.1 (Field) - [1]*
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,11/10/2022 12:45,E1122B2476,3 Feet,,,,Normal Sample,0,72.8,<0.05,N/A,"19.1,19.8**",39.6,3.51,0.882,N/A,3.3,N/A,3.7,0.24,2.44,0.091,"11,11.3**",208,N/A,"18.4,18.4**",N/A,"3.6,3.6**",0.459,<0.05,N/A,N/A,0.47,3.72,500,N/A,363,"Station too shallow to obtain bottom readings. Samples collected with Van Dorn. Visible turbidity plume near the station that didn't clear out. Suspect chlorophyll fluorescence ug/L readings, used continuous sonde surface readings.",N/A,N/A,1,N/A,N/A,82.8,8.73,N/A,N/A,55,12.87,N/A,11.2,3.7,"sunny; no waves, flat; no rain",11,N/A,7.37
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,12/9/2022 11:15,E1222B2724,3 Feet,,,,Normal Sample,0,84.2,<0.05,N/A,23.2,54,1.47,1.18,N/A,3.8,N/A,3.9,0.23,0.65,0.079,10.6,261,N/A,"2.7,2.7**",N/A,"<2.5,<2.5**",0.273,0.068,N/A,N/A,0.37,1.46,500,N/A,471,Station too shallow to obtain bottom readings. Samples collected with a Van Dorn. Surface specific conductance reading taken from the SJR continuous sonde due to readings being improperly recorded in the field.,N/A,N/A,1,N/A,N/A,86.4,9.56,N/A,N/A,53,10.76,N/A,2.9,2.8,"Cloudy, no waves/flat, no rain",8,N/A,7.3
C9 - West Canal @ Clifton Court Intake,B9C74981333,1/5/2022 10:15,E0122B0003,3 Feet,,1-DissCalcium 1-DissSilica,,Normal Sample,0,78,0.069,N/A,"23.8,23.9**",98.5,<0.5,1.35,7,N/A,6.7,N/A,0.45,2.22,0.104,"17.3,17.8**",337,7.9,N/A,<2.5,N/A,0.575,0.09,0.8,3.28,0.75,3.09,N/A,643,634,N/A,N/A,N/A,1,86.7,10.04,87.1,10.09,N/A,8.86,55,8.86,5.7,5.6,16.18,"partly cloudy; no waves, flat; no rain",3,7.45,7.44
C9 - West Canal @ Clifton Court Intake,B9C74981333,2/7/2022 12:40,E0222B0304,3 Feet,,,,Normal Sample,0,79.1,<0.05,N/A,"20.6,20.8**",50.1,1,0.893,4.2,N/A,4.1,N/A,0.4,1.05,0.082,"13.5,13.6**",242,<2.5,N/A,<2.5,N/A,0.453,0.078,0.47,1.95,0.45,1.74,N/A,425,425,Forgot to record bottom water temperature,N/A,N/A,1,100.5,11.31,102.6,11.46,N/A,N/A,64,10.29,3.2,3,15.8,"Sunny, no waves/flat, no rain",5,7.68,7.71
C9 - West Canal @ Clifton Court Intake,B9C74981333,3/9/2022 12:30,E0322B0461,3 Feet,,,,Normal Sample,0,84.4,<0.05,N/A,"24.5,24.5**",54.4,1.57,0.729,5.9,N/A,5.9,N/A,0.54,0.91,0.071,"12.5,12.6**",259,"2.6,2.6**",N/A,"<2.5,<2.5**",N/A,0.577,0.068,0.99,4.04,0.95,3.89,N/A,463,465,N/A,N/A,N/A,1,97.3,10.13,97.9,10.18,N/A,13.5,70,13.56,2.9,2.9,16.1,"sunny; ripples to small waves, no white caps; no rain",10,7.74,7.75
C9 - West Canal @ Clifton Court Intake,B9C74981333,4/6/2022 10:45,E0422B0668,3 Feet,"VSS sample collected, but missed at the lab - no analysis performed",5-VSS,,Normal Sample,0,88.3,<0.05,N/A,"23.5,23.6**",54,1.73,0.642,5.2,N/A,5.1,N/A,0.41,1.2,0.078,"9.37,9.6**",259,3.2,N/A,N/A,N/A,0.513,0.081,0.88,3.56,0.82,3.31,N/A,464,469,N/A,N/A,N/A,1,92.8,8.8,93.7,8.88,N/A,17.86,71,17.92,3.2,3,15.9,"Sunny; No waves, flat; No rain",8,7.74,7.75
C9 - West Canal @ Clifton Court Intake,B9C74981333,5/19/2022 9:30,E0522B0934,3 Feet,,,,Normal Sample,0,78.6,<0.05,N/A,"17.8,18.4**",41.1,1.56,0.232,4.8,N/A,4.9,N/A,0.34,1.36,0.092,"6.86,6.92**","201,202**","3.8,3.8**",N/A,"<2.5,<2.5**",N/A,0.403,0.079,0.78,3.02,0.49,3.02,500,373,372,Green filamentous algae present on the surface of the water,N/A,N/A,2,92.5,8.22,92.9,8.24,N/A,21.13,85,21.17,3.2,2.8,16.6,"Sunny, no waves/flat, no rain",10,7.59,7.6
C9 - West Canal @ Clifton Court Intake,B9C74981333,6/20/2022 11:45,E0622B1195,3 Feet,,,,Normal Sample,0,77.3,<0.05,N/A,18.2,61,4.87,0.207,N/A,5,N/A,5.4,0.32,1.85,0.118,8.53,232,N/A,5.3,N/A,<2.5,0.435,0.101,0.86,3.57,0.87,3.46,500,434,437,N/A,N/A,N/A,2,85.7,7.4,86.8,7.48,N/A,22.52,87,22.73,4.9,5.6,16.1,"Sunny, no waves/flat, no rain",10,7.49,7.36
C9 - West Canal @ Clifton Court Intake,B9C74981333,7/18/2022 10:40,E0722B1401,3 Feet,,,,Normal Sample,0,65.8,<0.05,N/A,"16.3,16.4**",105,4.84,0.107,N/A,3.8,N/A,3.6,0.24,1.26,0.109,"9.01,9.04**","299,299**",N/A,5.3,N/A,<2.5,0.346,0.096,0.75,2.99,0.92,3.7,500,566,566,Forgot to bring 12V battery so used Van Dorn to collect samples.,N/A,N/A,3,80.2,6.5,84.3,6.81,N/A,25.92,93,26.13,4.6,4.1,16.4,"Sunny, no waves/flat, no rain",12,7.56,7.59
C9 - West Canal @ Clifton Court Intake,B9C74981333,8/15/2022 10:15,E0822B1725,3 Feet,,,,Normal Sample,0,58.2,<0.05,N/A,"13,14.1**",71.8,3.77,0.087,N/A,"2.9,3.1**",N/A,"3,3.2**",0.16,1.83,0.085,"9.91,10.1**",223,N/A,5.8,N/A,<2.5,0.276,0.073,0.76,3.07,0.82,3.39,500,426,425,N/A,N/A,N/A,2,82.1,6.81,84.8,7.01,N/A,24.73,87,24.98,4.8,4.4,15.2,"sunny; no waves, flat; no rain",4,7.5,7.64
C9 - West Canal @ Clifton Court Intake,B9C74981333,9/13/2022 10:00,E0922B2028,3 Feet,,,,Normal Sample,0,59.1,<0.05,N/A,13.5,77,1.79,0.066,N/A,3.1,N/A,3,0.16,1.52,0.089,10.1,230,N/A,5.5,N/A,<2.5,0.233,0.076,0.45,2.01,0.38,1.71,500,443,440,N/A,N/A,N/A,1,85.3,7.13,84.8,7.1,N/A,24.27,65,24.29,4.7,4.2,16.1,"sunny; ripples to small waves, no white caps; no rain",23,7.34,7.35
C9 - West Canal @ Clifton Court Intake,B9C74981333,10/12/2022 10:05,E1022B2277,3 Feet,,,,Normal Sample,0,61.8,<0.05,N/A,"15.5,15.5**",89,1.41,0.062,N/A,"3.3,3.4**",N/A,"3.1,3.3**",0.17,0.93,0.07,"9.18,9.25**","263,270**",N/A,3.4,N/A,<2.5,0.195,0.066,0.48,2.13,0.53,2.17,500,493,491,N/A,N/A,N/A,2,80.6,7.01,82.1,7.13,N/A,22.21,69,22.17,2.7,2.5,15.8,"sunny; no waves, flat; no rain",4,7.54,7.52
C9 - West Canal @ Clifton Court Intake,B9C74981333,11/10/2022 11:05,E1122B2475,3 Feet,,,,Normal Sample,0,63.7,<0.05,N/A,17.7,103,1.17,0.276,N/A,3.3,N/A,3.5,0.2,0.62,0.086,8.08,"287,289**",N/A,3.6,N/A,<2.5,0.268,0.076,0.25,N/A,0.23,2.76,500,538,533,"Green filamentous algae present in water. Suspect chlorophyll fluorescence ug/L readings, used continuous sonde surface reading, but no continuous bottom readings available.",N/A,N/A,1,88.4,9.18,89.1,9.25,N/A,13.58,55,13.57,3,2.9,15.3,"sunny; ripples to small waves, no white caps; no rain",8,7.5,7.64
C9 - West Canal @ Clifton Court Intake,B9C74981333,12/9/2022 9:50,E1222B2723,3 Feet,,,,Normal Sample,0,73.3,<0.05,N/A,"21,21.3**",110,0.96,0.457,N/A,3.8,N/A,4.2,0.2,0.54,0.073,"8,8.01**",333,N/A,2.6,N/A,<2.5,0.264,0.062,0.47,1.94,0.43,1.71,500,N/A,627,Surface specific conductance reading taken from the ORI continuous sonde due to readings being improperly recorded in the field. No bottom specific conductance reading.,N/A,N/A,1,91,10.21,90.9,10.19,N/A,10.14,50,10.19,2.5,2.5,15.4,"Partly cloudy, no waves/flat, no rain",1,7.48,7.55
D10 - Sacramento River @ Chipps Island,B9D80281551,1/11/2022 11:50,E0122B0145,3 Feet,,,,Normal Sample,0,73.2,0.082,N/A,22.3,394,0.61,0.661,4.3,N/A,4.1,N/A,0.39,2.06,0.111,18.9,872,"34.5,36.6**",N/A,"6.2,6.9**",N/A,0.553,0.075,0.66,2.63,0.62,2.45,N/A,5526,1973,N/A,N/A,N/A,1,86.7,9.78,89.3,10.19,24,9.23,50.4,9.26,32.7,27.4,40,"Partly cloudy, no waves, flat, no rain",7.8,7.5,7.51
D10 - Sacramento River @ Chipps Island,B9D80281551,2/11/2022 12:30,E0222B0415,3 Feet,,,,Normal Sample,0,82.8,0.107,N/A,59.4,2220,1.48,0.541,2.1,N/A,2.1,N/A,0.2,0.98,0.081,16.7,4340,15.2,N/A,3.2,N/A,0.328,0.074,0.5,2.06,0.45,1.84,N/A,15937,7358,N/A,N/A,N/A,1,91.5,9.41,94.8,10.01,52,11.47,62.8,11.78,15.1,11.6,40.4,"Sunny; Ripples to small waves, no white caps; No rain",12.3,7.68,7.77
D10 - Sacramento River @ Chipps Island,B9D80281551,3/15/2022 14:05,E0322B0603,3 Feet,,,,Normal Sample,0,83.2,<0.05,N/A,"58.4,58.8**",2040,11.5,0.332,2.1,N/A,2,N/A,0.29,1.41,0.082,"14.4,14.4**",3980,37.1,N/A,6.4,N/A,0.37,0.065,0.77,3.15,1.74,7.06,N/A,11788,7316,N/A,N/A,N/A,1,98.4,9.82,103.4,10.36,36,13.58,60.3,14.16,16.9,24.8,40.4,"Partly cloudy, ripples to small waves with no white caps, no rain",21.5,7.91,8.02
D10 - Sacramento River @ Chipps Island,B9D80281551,4/26/2022 12:35,E0422B0810,3 Feet,,,,Normal Sample,0,83.2,0.094,N/A,72.6,2950,2.21,0.307,1.9,N/A,1.9,N/A,0.25,2.43,0.147,11.6,5480,87,N/A,17,N/A,0.403,0.082,0.81,3.26,0.79,3.17,N/A,11755,9663,N/A,N/A,N/A,1,94.3,8.8,93.4,8.74,24,16.72,58.8,16.98,49.6,40,38.1,"Sunny, moderate waves with few white caps, no rain",26.5,7.81,7.85
D10 - Sacramento River @ Chipps Island,B9D80281551,5/25/2022 12:45,E0522B1043,3 Feet,,,,Normal Sample,0,85,0.075,N/A,96,3880,2.21,0.348,2.3,N/A,2.5,N/A,0.15,0.5,0.101,11.5,7260,15.6,N/A,2.7,N/A,0.302,0.096,0.55,2.27,0.74,3.04,N/A,16075,12673,N/A,N/A,N/A,1,95.2,8.2,98.9,8.45,40,19.9,82.6,20.97,26,10.9,37.1,"partly cloudy; ripples to small waves, no white caps; no rain",14,7.81,7.94
D10 - Sacramento River @ Chipps Island,B9D80281551,6/24/2022 13:25,E0622B1301,3 Feet,,,,Normal Sample,0,82.2,<0.05,N/A,112,4800,3.24,0.225,N/A,2,N/A,2,0.15,0.56,0.088,10.4,8320,N/A,8.7,N/A,<2.5,0.214,0.084,0.84,3.31,0.95,3.73,500,17191,14757,N/A,N/A,N/A,1,99,8.14,101.3,8.27,80,22.17,76.3,23.01,15.4,13.5,39.4,"Sunny; Moderate waves, few white caps; No rain",14.3,7.98,8.07
D10 - Sacramento River @ Chipps Island,B9D80281551,7/22/2022 12:50,E0722B1541,3 Feet,,,,Normal Sample,0,73.3,0.057,N/A,87.4,3400,3.62,0.116,N/A,1.8,N/A,2.1,0.23,1.37,0.123,9.04,6450,N/A,"40,41.1**",N/A,"6.4,6.7**",0.329,0.085,0.75,3.07,0.71,2.91,250,13281,11493,Microcystis not visible on the surface but present in the zooplankton samples,N/A,N/A,2,93.6,7.93,95.6,8.1,40,21.32,73,21.64,37.4,21.7,39.4,"Sunny, large waves with frequent white caps, no rain",18.1,7.93,7.99
D10 - Sacramento River @ Chipps Island,B9D80281551,8/19/2022 11:50,E0822B1865,3 Feet,,,,Normal Sample,0,71.4,0.061,N/A,97.9,4130,2.21,0.213,N/A,1.8,N/A,1.7,0.14,0.98,0.124,9.18,7700,N/A,"38.9,39.3**",N/A,"8.4,8.4**",0.238,0.096,0.52,2.06,0.51,2.04,500,15200,13392,Microcystis not visible on the surface but present in the zooplankton samples.,N/A,N/A,2,93.9,7.83,95.7,8.04,24,21.77,70.5,21.76,27.2,18,38.4,"Sunny, moderate waves/few white caps, no rain",20.9,7.93,7.97
D10 - Sacramento River @ Chipps Island,B9D80281551,9/19/2022 13:00,E0922B2132,3 Feet,,,,Normal Sample,0,72.8,<0.05,N/A,111,4350,2.9,0.22,N/A,1.9,N/A,1.9,<0.1,<0.5,0.108,10,8700,N/A,11.7,N/A,3.2,0.162,0.092,0.51,2.19,0.89,3.7,500,19929,14324,Microcystis not visible on the surface but present in the zooplankton samples.,N/A,N/A,2,91.5,7.68,96.5,8.25,84,20.52,65.7,20.66,16.5,6.3,38.1,"Cloudy, no waves/flat, no rain",2.3,7.79,7.89
D10 - Sacramento River @ Chipps Island,B9D80281551,10/18/2022 14:05,E1022B2357,3 Feet,,,,Normal Sample,0,72.6,<0.05,N/A,96.3,4280,3.83,0.24,N/A,1.8,N/A,1.6,0.11,<0.5,0.092,10.1,7220,N/A,9.8,N/A,2.6,0.181,0.082,0.34,1.41,1.24,5,500,19381,12655,Microcystis not visible on the surface but present in the zooplankton samples.,N/A,N/A,2,94.1,8.31,103.1,9.15,100,17.99,72.1,19.06,11.1,5.3,38.7,"Sunny, no waves/flat, no rain",8.4,8.14,8.28
D10 - Sacramento River @ Chipps Island,B9D80281551,11/17/2022 12:30,E1122B2615,3 Feet,,1-DissChloride,,Normal Sample,0,77.1,0.11,N/A,107,4300,1.48,0.261,N/A,1.5,N/A,1.3,<0.1,<0.5,0.101,10.2,8320,N/A,26.2,N/A,5.1,0.26,0.087,0.39,1.56,0.61,2.45,500,17991,14606,N/A,N/A,N/A,1,91,8.93,93.3,9.26,52,13.17,52.9,13.35,27.4,14.5,38.4,"Partly cloudy, ripples to small waves with no white caps, no rain",10,7.65,7.69
D10 - Sacramento River @ Chipps Island,B9D80281551,12/16/2022 11:25,E1222B2863,3 Feet,,,,Normal Sample,0,73.8,0.111,N/A,66.1,2580,1,0.32,N/A,2.2,N/A,2.2,0.12,0.87,0.098,12.2,5090,N/A,30.4,N/A,4.9,0.262,0.069,0.35,1.44,0.44,1.81,500,13043,9173,N/A,N/A,N/A,1,91.7,9.85,93,10.2,36,10.05,41.7,9.82,27.2,17.3,39.4,"partly cloudy; ripples to small waves, no white caps; no rain",8.9,7.65,7.71
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,1/6/2022 8:05,E0122B0013,3 Feet,,,,Normal Sample,0,66.8,0.079,N/A,15.5,49.6,0.55,0.808,5.4,N/A,5.1,N/A,0.66,1.95,0.105,18.3,211,26.1,N/A,3.9,N/A,0.62,0.073,0.5,1.96,0.44,1.74,N/A,385,389,N/A,N/A,N/A,1,85.8,9.94,90.5,10.48,44,8.87,42.8,8.89,26.8,20.8,39.7,"foggy; no rain; no waves, flat",3.7,7.29,7.63
