Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Specific Conductance µmhos/cm@25°C Std Method 2510-B 917 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,pH pH Units Std Method 2320 B 916 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde 916 [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde 916 [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde 916 [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde 916 [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered 916 [1]*,(Bottom) Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) 916 [1]*,Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) 916 [1]*,Field Notes Notes (Field) 916 [1]*,North Latitude Decimal Degrees GPS Location 916 [1]*,West Longitude Decimal Degrees GPS Location 916 [1]*,Microcystis aeruginosa Field Observations (Water) 916 [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) 916 [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) 916 [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) 916 [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) 916 [1]*,Secchi Depth Centimeters Secchi Depth 916 [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) 916 [1]*,"Air Temperature °F Temperature, Air 916 [1]*",Water Temperature °C EPA 170.1 (Field) 916 [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) 916 [1]*,Turbidity F.N.U. EPA 180.1 (Field) 916 [1]*,Water Depth at Station Feet Depth of Water Column 916 [1]*,Weather Observations Weather Observations 916 [1]*,Wind Velocity Miles/hr Wind Velocity 916 [1]*,(Bottom) pH pH Units EPA 150.1 (Field) 916 [1]*,pH pH Units EPA 150.1 (Field) 916 [1]*
D10 - Sacramento River @ Chipps Island,B9D80281551,1/18/2023 13:40,E0123B0107,3 Feet,,Normal Sample,0,48.9,0.074,N/A,"10.9,11.6**",11.1,0.94,168,0.654,5.2,5.5,0.53,1.36,"0.193,0.194**","14.4,14.9**",111,84,12,"0.672,0.696**",0.095,N/A,0.73,3.24,0.72,3.18,250,174,173,N/A,,,1,82.3,9.27,90.6,10.18,12,10.06,47.7,10.15,100.3,107.6,42.3,"Cloudy, ripples to small waves with no white caps, no rain",12.2,7.4,7.85
D10 - Sacramento River @ Chipps Island,B9D80281551,1/18/2023 13:40,E0123B0108,3 Feet,,"Duplicate, Specific Analyte(s)",E0123B0107,48.8,0.069,N/A,11.1,11.1,0.83,168,0.654,5.3,6.9,0.51,1.34,0.199,15.2,"111,112**",88,13,0.688,0.098,N/A,N/A,N/A,N/A,N/A,250,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,1/12/2023 8:45,E0123B0007,3 Feet,,Normal Sample,0,42.5,0.123,N/A,11.5,18.2,1.05,190,1.13,5.9,6,0.63,1.84,0.199,14.1,119,"66.5,69.6**","11.3,11.7**",0.862,0.101,N/A,0.87,3.82,0.88,3.85,250,198,194,N/A,,,1,89.2,10.03,89.4,10.04,16,10.16,45.3,10.15,77.6,71.9,36.4,"Cloudy, ripples to small waves with no white caps, no rain",13.7,7.28,7.37
D16 - San Joaquin River @ Twitchell Island,B9D80581401,1/13/2023 8:45,E0123B0029,3 Feet,,Normal Sample,0,42.6,0.114,<0.1,11.3,11.2,1.11,163,1,"5.8,6.1**","5.7,6.1**",0.58,0.76,0.199,14.7,110,46,7.9,0.78,0.112,N/A,0.85,3.74,0.85,3.74,250,168,165,N/A,,,1,85.7,9.56,86.5,9.64,16,10.48,50.5,10.49,57.7,57.7,54.8,"Overcast, ripples to small waves/no white caps, no rain",19.2,7.27,7.46
D19 - Frank's Tract near Russo's Landing,B9D80261369,1/12/2023 10:20,E0123B0008,3 Feet,,Normal Sample,0,44.2,"0.163,0.163**","<0.1,<0.1**",12.8,"23.6,23.6**",1.19,224,"1.35,1.35**",6.7,6.8,0.73,2.62,"0.2,0.201**",14.1,139,47.1,8.6,"0.958,0.983**","0.119,0.119**",N/A,0.91,4,0.9,3.95,250,227,226,No zooplankton tow.,,,1,89.7,10.05,89.5,10.03,20,10.3,50.5,10.31,51.4,52.6,9.2,"Cloudy, moderate waves/few white caps, no rain",26.9,7.46,7.52
D19 - Frank's Tract near Russo's Landing,B9D80261369,1/12/2023 10:20,E0123B0010,3 Feet,,"Duplicate, Specific Analyte(s)",E0123B0008,44.6,0.165,N/A,13.3,24,1.26,226,1.35,6.9,7.3,0.7,2.51,0.208,14.4,140,50,8.6,0.922,0.116,N/A,N/A,N/A,N/A,N/A,250,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D22 - Sacramento River @ Emmaton,B9D80511443,1/17/2023 12:40,E0123B0052,3 Feet,,Normal Sample,0,57.5,"<0.05,<0.05**",N/A,"11.8,12**",7.2,1.11,170,"0.515,0.516**",5,4.9,0.61,1.62,0.246,"15,15.4**",111,140,17.1,0.691,"0.083,0.083**",N/A,0.85,3.74,0.8,3.54,200,173,174,N/A,,,1,80.1,9.04,82.8,9.32,12,10.02,48.6,10.06,182.8,161,34.8,"Sunny, no waves/flat, no rain",5.8,7.44,7.62
D22 - Sacramento River @ Emmaton,B9D80511443,1/17/2023 12:40,E0123B0054,3 Feet,,"Duplicate, Specific Analyte(s)",E0123B0052,57.3,<0.05,N/A,11.3,7.15,1.14,169,0.522,4.8,5.2,0.54,1.51,0.245,14.8,113,136,18.7,0.763,0.082,N/A,N/A,N/A,N/A,N/A,200,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D26 - San Joaquin River @ Potato Point,B9D80461340,1/13/2023 9:40,E0123B0030,3 Feet,,Normal Sample,0,"44.5,44.7**",0.167,N/A,12.3,14.2,1.08,"187,187**",1.26,7.4,7.5,0.71,0.78,0.237,15,122,32.9,5.8,0.992,0.166,7.58,0.93,4.1,0.91,4.02,250,191,191," Collected sonde measurements and water samples just outside of the channel due to a large cargo ship 
approaching. Had to wait to conduct the zooplankton tow until the ship passed by.",,,1,84.4,9.36,85,9.43,20,10.72,49.6,10.72,42.5,39.6,16.1,"Overcast, ripples to small waves/no white caps, no rain",18.2,7.32,7.49
D28A - Old River @ Rancho Del Rio,B9D75821344,1/12/2023 11:15,E0123B0009,3 Feet,,Normal Sample,0,57.5,0.19,N/A,22.5,69.8,<0.5,506,2.61,7.9,7.7,0.66,0.93,0.158,14.7,288,11.7,2.7,0.954,0.122,N/A,0.97,4.27,0.97,4.28,500,504,496,N/A,,,1,87.9,9.81,88.4,9.87,40,10.38,54.3,10.42,17.6,17.1,21.7,"Partly cloudy, ripples to small waves/no white caps, no rain",19.6,7.53,7.6
D4 - Sacramento River above Point Sacramento,B9D80381492,1/17/2023 11:55,E0123B0051,3 Feet,,Normal Sample,0,47.6,0.063,N/A,11.2,8.43,0.93,154,0.623,4.9,5,0.57,0.97,0.189,14.6,99,73.3,10.7,0.67,0.088,N/A,0.86,3.8,0.73,3.23,250,170,160,N/A,,,1,83.1,9.37,87.6,9.82,12,10.03,47.8,10.29,150,83.7,31.5,"Sunny, ripples to small waves with no white caps, no rain",7.5,7.4,7.53
D41 - San Pablo Bay near Pinole Point,E0B80182224,1/20/2023 11:45,E0123B0184,3 Feet,,Normal Sample,0,61.6,0.109,N/A,67.2,2910,0.56,9630,0.631,3.6,3.5,0.28,<0.5,0.139,12,5500,34.7,6,0.457,0.089,N/A,0.41,1.83,0.64,2.84,250,35909,10135,N/A,,,1,90.9,8.52,90.8,9.77,16,11.84,48.2,10.48,17.3,36.2,44.9,"Sunny, moderate waves with few white caps, no rain",12.9,7.85,7.82
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,1/20/2023 10:20,E0123B0183,3 Feet,,Normal Sample,0,56.4,0.111,N/A,41.4,1530,<0.5,5330,0.673,"4.1,4.2**","4,4.3**",0.39,<0.5,0.17,13.8,"2890,2900**",61.4,10.7,0.543,0.09,N/A,0.69,3.02,0.7,3.11,250,6178,5400,N/A,,,1,91.5,10.09,109.8,12.16,16,10.05,46.8,10.03,54.9,60,10.8,"Sunny, moderate waves with few white caps, no rain",13.1,7.58,7.8
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,1/20/2023 10:20,E0123B0188,3 Feet,,"Duplicate, Specific Analyte(s)",E0123B0183,56.9,"0.11,0.111**",N/A,41.9,1510,0.5,5340,"0.665,0.669**",4.1,4.2,0.42,0.78,0.169,13.3,2870,62.8,10.7,0.544,"0.092,0.093**",N/A,N/A,N/A,N/A,N/A,250,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D6 - Suisun Bay @ Bulls Head nr. Martinez,E3B80272071,1/18/2023 11:10,E0123B0105,3 Feet,,Normal Sample,0,51.4,"0.082,0.084**",N/A,13.9,121,0.92,615,"0.684,0.685**",5.2,5.6,0.56,1.64,0.216,14.4,345,88.4,12.6,0.731,"0.096,0.096**",N/A,0.74,3.24,0.7,3.11,250,10264,412,N/A,,,1,86.3,9.22,95,10.59,16,10.76,46.8,10.48,82.6,105.5,51.2,"Sunny, no waves/flat, no rain",2.5,7.31,8.12
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,E0B80702024,1/19/2023 10:55,E0123B0141,3 Feet,,Normal Sample,0,51.5,0.07,<0.1,11.8,14.7,0.98,186,0.597,5.1,5.3,0.68,1.23,0.206,14.9,120,91.2,13.5,0.705,0.088,N/A,0.73,3.21,0.7,3.09,200,185,184,N/A,,,1,83.6,9.46,87,9.84,16,9.89,43.7,9.92,120.6,104.4,8.2,"sunny; no waves, flat; no rain",0.5,7.69,8.16
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,1/18/2023 12:55,E0123B0106,3 Feet,,Normal Sample,0,49,0.095,N/A,11.3,13.3,0.83,181,0.759,5.7,5.4,0.52,0.99,0.197,14.6,120,72.5,10.8,0.719,0.103,N/A,0.76,3.36,0.75,3.3,250,187,186,N/A,,,1,83.2,9.33,90.4,10.11,16,10.23,46.8,10.38,99.1,85.4,46.9,"Partly cloudy, ripples to small waves with no white caps, no rain",11.5,7.44,7.76
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,1/13/2023 11:20,E0123B0031,3 Feet,,Normal Sample,0,56.3,0.246,N/A,16.2,19.9,0.57,241,1.7,10.6,10.4,1.08,0.6,0.41,17.6,157,14.5,3.2,1.39,0.359,N/A,1.25,5.5,1.25,5.47,250,243,244,N/A,,,1,82.4,9.12,83.4,9.23,24,10.81,50.9,10.81,26,25.8,19.7,"Overcast, ripples to small waves/no white caps, light rain",10.8,7.36,7.42
NZ002 - Carquinez Strait near Glencove Harbor,E0E80392129,1/20/2023 13:25,E0123B0186,3 Feet,,Normal Sample,0,57.8,0.107,N/A,34.9,1150,0.63,4190,0.688,4.4,4.6,0.41,1.18,0.184,14,2220,73.2,11.8,0.579,0.091,N/A,0.6,2.65,0.65,2.86,250,24688,3733,N/A,,,1,86.5,8.61,84.6,9.35,10,11.33,50.7,10.35,98.7,75.1,58.4,"Sunny, ripples to small waves with no white caps, no rain",12.4,7.68,7.65
NZ004 - Carquinez Strait near Ozol Pier,E0E80212097,1/20/2023 14:15,E0123B0187,3 Feet,,Normal Sample,0,56.1,0.107,N/A,40,1350,0.56,4880,0.679,"4.2,4.6**","4.3,4.4**",0.41,<0.5,"0.164,0.166**",13.7,2640,56.3,9.3,0.561,0.094,N/A,0.66,2.93,0.66,2.92,250,14740,4929,Bottom sonde readings taken at approximately 70 ft due to cable not being long enough,,,1,84.1,8.81,84.9,9.33,10,10.87,49.5,10.43,61.4,56,97.4,"Sunny, ripples to small wave with no white caps, no rain",15.1,7.51,7.43
NZ032 - Montezuma Slough nr Grizzly Island Club,E3S81022013,1/19/2023 13:45,E0123B0143,3 Feet,,Normal Sample,0,"57.4,57.8**",0.098,N/A,15.4,150,0.99,"727,727**",0.604,5.5,5.6,0.63,1.48,0.226,13.7,388,90,13.5,0.772,0.082,7.71,1.21,5.31,1.41,6.17,200,755,718,N/A,,,1,86.5,9.7,117.6,13.1,16,10.17,49.1,10.44,129.6,103.4,28.2,"sunny; no waves, flat; no rain",9.9,7.55,7.98
NZ068 in Sacramento River,B9D80861414,1/17/2023 13:50,E0123B0053,3 Feet,,Normal Sample,0,47.6,<0.05,N/A,10.8,5.37,1.14,138,0.498,4.8,4.8,0.56,1.42,0.193,15.1,90,99.1,12.8,0.618,0.074,N/A,0.75,3.32,0.73,3.23,250,144,141,N/A,,,1,83.5,9.43,87.2,9.83,16,10,49.6,10.05,112.6,103,22.6,"Sunny, no waves/flat, no rain",15,7.51,8.16
NZ325 - San Pablo Bay near Rock Wall and Light 15,E3B80352175,1/20/2023 12:40,E0123B0185,3 Feet,,Normal Sample,0,"60.7,60.7**",0.132,N/A,66.5,2670,0.78,"8930,8940**",0.712,3.8,3.7,0.37,<0.5,0.168,13.4,5060,56.6,10.7,0.529,0.105,7.66,0.49,2.15,0.65,2.86,250,34755,10004,N/A,,,1,89.8,8.47,87.3,9.41,20,11.8,49.1,10.42,69.7,47,40.4,"Sunny, ripples to small waves with no white caps, no rain",1.7,7.81,7.58
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,1/19/2023 12:20,E0123B0142,3 Feet,,Normal Sample,0,60.7,"0.114,0.114**",N/A,18.1,219,1.48,1010,"0.623,0.623**",6.7,6.7,0.66,2.81,0.259,13.7,542,"123,128**","18.7,18.7**",0.953,"0.085,0.085**",N/A,1.4,6.13,1.47,6.47,200,1015,998,N/A,,,1,82.3,9.2,91.6,10.08,12,10.3,47.3,10.91,115.9,110.1,17.1,"sunny; no waves, flat; no rain",6.4,7.42,7.41
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,1/19/2023 12:20,E0123B0144,3 Feet,,"Duplicate, Specific Analyte(s)",E0123B0142,60.8,0.117,N/A,17.9,221,1.24,1010,0.618,6.3,8.1,0.64,2.17,"0.247,0.25**",13.8,540,116,17.3,"0.873,0.888**",0.085,N/A,N/A,N/A,N/A,N/A,200,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P8 - San Joaquin River @ Buckley Cove,B9D75871229,1/13/2023 13:00,E0123B0032,3 Feet,,Normal Sample,0,62.2,0.674,N/A,15.5,19.3,2.14,253,0.974,9,8.4,0.89,2.02,0.418,15.1,157,47.2,8.5,1.78,0.301,N/A,1.19,5.25,1.11,4.87,250,246,253,N/A,,,1,76.9,8.4,82.1,8.96,20,11.38,50.2,11.41,68.7,38.8,39,"Overcast, ripples to small waves/no white caps, light rain",13.8,7.41,7.56
P8 - San Joaquin River @ Buckley Cove,B9D75871229,1/13/2023 13:00,E0123B0033,3 Feet,,"Duplicate, Specific Analyte(s)",E0123B0032,62.5,0.669,N/A,15.2,19.3,2.07,253,0.973,8.6,9,0.88,2.08,0.413,15,"155,156**",44.7,8.4,1.78,0.308,N/A,N/A,N/A,N/A,N/A,250,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sacramento River @ Hood - C3A,B9D82211312,1/11/2023 10:15,E0123B0002,3 Feet,,Normal Sample,0,41.2,"<0.05,<0.05**",N/A,9.73,4.43,1.7,118,"0.504,0.506**","4.1,4.4**","4.5,4.7**",0.55,1.81,0.193,14.2,76,114,15.5,0.579,"0.061,0.061**",N/A,0.52,1.93,0.54,2.02,250,114,115,Could not reach bottom due to fast moving water. Bottom readings taken at 13 ft.,,,1,91.7,10.33,91.9,10.35,N/A,10.09,51,10.09,103.9,101.6,N/A,"Overcast, ripples to small waves with no white caps, light rain",11,7.15,7.13
Blank; Equipment,Blank; Equipment,02/06/2023 17:20,E0223B0189,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,02/07/2023 17:40,E0223B0200,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,02/10/2023 16:25,E0223B0221,0 Meters,,Blank; Equipment,0,"<20,<20**",<0.05,N/A,<1,<1,<0.5,"<5,<5**",<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,5.73,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,02/13/2023 12:25,E0223B0246,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A, 500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
