SampleID,Genus,Units.per.L,,Year,Month,Region,StationCode
EMP.P8.2013.09.24,Pseudostaurosira,600560,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Synedra,75070,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Tryblionella,75070,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Monoraphidium,75070,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Scenedesmus,300280,,2013,Sep,Southern Interior Delta,P8
EMP.C10A.2013.09.24,Rhodomonas,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Eucapsis,42702660,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Gloeocapsa,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Oscillatoria,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Achnanthidium,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Amphora,180180,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Cocconeis,180180,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Cyclotella,1891890,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Hippodonta,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Navicula,720720,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Nitzschia,450450,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Plagiotropis,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Pseudostaurosira,1441440,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Sellaphora,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Stephanocyclus,1081080,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Surirella,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Synedra,180180,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Pseudokephyrion,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Crucigenia,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Scenedesmus,180180,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Tetraedron,90090,,2013,Sep,Southern Interior Delta,C10A
EMP.MD10A.2013.09.24,Eucapsis,13513500,,2013,Sep,Southern Interior Delta,MD10A
EMP.MD10A.2013.09.24,Achnanthidium,40950,,2013,Sep,Southern Interior Delta,MD10A
EMP.MD10A.2013.09.24,Aulacoseira,3644550,,2013,Sep,Southern Interior Delta,MD10A
EMP.MD10A.2013.09.24,Nitzschia,40950,,2013,Sep,Southern Interior Delta,MD10A
EMP.D8.2013.09.25,Hillea,56300,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Plagioselmis,168900,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Eucapsis,22520000,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Aulacoseira,168900,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Bacillaria,56300,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Cyclotella,225200,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Fragilaria,56300,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Navicula,56300,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Nitzschia,112600,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D4.2013.09.25,Hillea,300280,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Rhodomonas,150140,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Eucapsis,30328280,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Aulacoseira,150140,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Cyclotella,300280,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Entomoneis,75070,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Synedra,150140,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Gymnodinium,75070,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Chlamydomonas,75070,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Heterosigma,75070,,2013,Sep,Confluence,D4
EMP.EZ6.2013.09.25,Eucapsis,36846810,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Merismopedia,90090,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Aulacoseira,270270,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Cyclotella,90090,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Entomoneis,180180,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Nitzschia,90090,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Rhoicosphenia,90090,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Synedra,90090,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ2.2013.09.25,Eucapsis,43423380,,2013,Sep,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Aulacoseira,360360,,2013,Sep,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Bacillaria,90090,,2013,Sep,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Cyclotella,540540,,2013,Sep,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Nitzschia,90090,,2013,Sep,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Synedra,270270,,2013,Sep,Entrapment Zone,EZ2
EMP.D7.2013.09.26,Eucapsis,23983800,,2013,Sep,Grizzly and Suisun Bay,D7
EMP.D7.2013.09.26,Aulacoseira,112600,,2013,Sep,Grizzly and Suisun Bay,D7
EMP.D7.2013.09.26,Cyclotella,112600,,2013,Sep,Grizzly and Suisun Bay,D7
EMP.D7.2013.09.26,Nitzschia,112600,,2013,Sep,Grizzly and Suisun Bay,D7
EMP.D41A.2013.09.27,Plagioselmis,23100,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Chroococcus,11550,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Eucapsis,5243700,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Aulacoseira,11550,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Coscinodiscus,11550,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Cyclotella,69300,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Diploneis,11550,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Gomphonema,11550,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Navicula,11550,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Chlamydomonas,11550,,2013,Sep,San Pablo Bay,D41A
EMP.D41.2013.09.27,Hemiselmis,1029600,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Plagioselmis,965250,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Teleaulax,128700,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Eucapsis,25804350,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Cyclotella,579150,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Nitzschia,64350,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Gonyaulax,64350,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Gymnodinium,64350,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Pseudokephyrion,128700,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Lepocinclis,64350,,2013,Sep,San Pablo Bay,D41
EMP.D6.2013.09.27,Hillea,50050,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Rhodomonas,100100,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Eucapsis,19819800,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Aulacoseira,50050,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Navicula,50050,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Nitzschia,50050,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Pseudokephyrion,150150,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Chlamydomonas,50050,,2013,Sep,San Pablo Bay,D6
EMP.D26.2013.11.07,Plagioselmis,300280,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Chroococcus,150140,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Eucapsis,28526600,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Aulacoseira,2552380,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Cocconeis,300280,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Cyclotella,225210,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Reimeria,75070,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Sellaphora,75070,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Synedra,750700,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Pseudokephyrion,75070,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Chlamydomonas,75070,,2013,Nov,Central Delta,D26
EMP.C3A.2013.11.07,Eucapsis,24195600,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Achnanthidium,257400,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Bacillaria,128700,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Cocconeis,193050,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Cyclotella,128700,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Diatoma,64350,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Encyonema,128700,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Navicula,193050,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Nitzschia,321750,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Pseudostaurosira,193050,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Synedra,1480050,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Chlamydomonas,64350,,2013,Nov,Northern Interior Delta,C3A
EMP.MD10A.2013.11.07,Plagioselmis,337800,,2013,Nov,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Eucapsis,20549500,,2013,Nov,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Aulacoseira,2139400,,2013,Nov,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Cocconeis,56300,,2013,Nov,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Pseudokephyrion,56300,,2013,Nov,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Chlamydomonas,731900,,2013,Nov,Southern Interior Delta,MD10A
EMP.P8.2013.11.07,Plagioselmis,90090,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Eucapsis,32882850,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Pseudanabaena,90090,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Aulacoseira,1711710,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Bacillaria,90090,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Cocconeis,180180,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Cyclotella,450450,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Navicula,180180,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Nitzschia,180180,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Pseudostaurosira,90090,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Sellaphora,90090,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Synedra,180180,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Pseudokephyrion,90090,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Chlamydomonas,450450,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Goniochloris,90090,,2013,Nov,Southern Interior Delta,P8
EMP.C10A.2013.11.07,Rhodomonas,193050,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Eucapsis,23359050,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Merismopedia,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Adlafia,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Bacillaria,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Cocconeis,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Craticula,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Cyclotella,1158300,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Encyonema,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Gomphonema,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Hippodonta,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Navicula,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Nitzschia,257400,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Planothidium,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Pleurosigma,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Pseudostaurosira,128700,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Sellaphora,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Stephanocyclus,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Synedra,128700,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Chrysococcus,257400,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Chlamydomonas,321750,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Chlorolobion,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Scenedesmus,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Euglena,64350,,2013,Nov,Southern Interior Delta,C10A
EMP.D19.2013.11.08,Plagioselmis,64350,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Eucapsis,26898300,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Aulacoseira,64350,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Bacillaria,64350,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Cyclotella,64350,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Navicula,64350,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Rhoicosphenia,64350,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Pseudokephyrion,64350,,2013,Nov,Central Delta,D19
EMP.D28A.2013.11.08,Hemiselmis,400400,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Plagioselmis,400400,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Eucapsis,20570550,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Aulacoseira,250250,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Bacillaria,100100,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Cocconeis,100100,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Synedra,50050,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Pseudokephyrion,50050,,2013,Nov,Central Delta,D28A
EMP.D8.2013.11.12,Eucapsis,28700100,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Coscinodiscus,64350,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Cyclotella,386100,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Encyonema,64350,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Nitzschia,64350,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Tryblionella,64350,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Goniochloris,64350,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D4.2013.11.12,Plagioselmis,50050,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Chroococcus,50050,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Eucapsis,20120100,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Aulacoseira,150150,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Bacillaria,50050,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Cyclotella,350350,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Nitzschia,100100,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Pseudostaurosira,50050,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Stephanocyclus,50050,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Synedra,50050,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Thalassionema,50050,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Thalassiosira,350350,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Chlamydomonas,50050,,2013,Nov,Confluence,D4
EMP.EZ6.2013.11.12,Cryptomonas,75070,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Eucapsis,28977020,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Aulacoseira,225210,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Cyclotella,375350,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Encyonema,75070,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Pseudostaurosira,75070,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Synedra,300280,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Gymnodinium,75070,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ2.2013.11.12,Eucapsis,31679540,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Cocconeis,75070,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Cyclotella,375350,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Hippodonta,75070,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Navicula,75070,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Nitzschia,75070,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Synedra,375350,,2013,Nov,Entrapment Zone,EZ2
EMP.D7.2013.11.13,Plagioselmis,75070,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Eucapsis,33706430,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Achnanthidium,150140,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Cocconeis,75070,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Coscinodiscus,75070,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Cyclotella,300280,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Nitzschia,150140,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Pseudostaurosira,75070,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Synedra,150140,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Thalassionema,75070,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Chlamydomonas,75070,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D41A.2013.11.14,Eucapsis,22857800,,2013,Nov,San Pablo Bay,D41A
EMP.D41A.2013.11.14,Aulacoseira,168900,,2013,Nov,San Pablo Bay,D41A
EMP.D41A.2013.11.14,Cocconeis,112600,,2013,Nov,San Pablo Bay,D41A
EMP.D41A.2013.11.14,Cyclotella,563000,,2013,Nov,San Pablo Bay,D41A
EMP.D41.2013.11.14,Komma,23710,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Eucapsis,9815940,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Aulacoseira,94840,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Cyclotella,94840,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Thalassiosira,23710,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Pseudokephyrion,23710,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Crucigenia,23710,,2013,Nov,San Pablo Bay,D41
EMP.D6.2013.11.14,Hillea,75080,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Rhodomonas,112620,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Eucapsis,15992040,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Cocconeis,37540,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Cyclotella,112620,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Nitzschia,37540,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Pseudostaurosira,37540,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Synedra,37540,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Gymnodinium,37540,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Pseudokephyrion,75080,,2013,Nov,San Pablo Bay,D6
EMP.C3A.2014.01.07,Eucapsis,41351310,,2014,Jan,Northern Interior Delta,C3A
EMP.C3A.2014.01.07,Geitlerinema,90090,,2014,Jan,Northern Interior Delta,C3A
EMP.C3A.2014.01.07,Achnanthidium,180180,,2014,Jan,Northern Interior Delta,C3A
EMP.C3A.2014.01.07,Aulacoseira,450450,,2014,Jan,Northern Interior Delta,C3A
EMP.C3A.2014.01.07,Cyclotella,180180,,2014,Jan,Northern Interior Delta,C3A
EMP.C3A.2014.01.07,Epithemia,90090,,2014,Jan,Northern Interior Delta,C3A
EMP.C3A.2014.01.07,Gomphoneis,90090,,2014,Jan,Northern Interior Delta,C3A
EMP.C3A.2014.01.07,Gomphonema,180180,,2014,Jan,Northern Interior Delta,C3A
EMP.C3A.2014.01.07,Navicula,450450,,2014,Jan,Northern Interior Delta,C3A
EMP.C3A.2014.01.07,Nitzschia,720720,,2014,Jan,Northern Interior Delta,C3A
