SampleID,Genus,BV.um3.per.L,,Year,Month,Region,StationCode
EMP.C3A.2013.09.23,Eucapsis,20225734.75,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Achnanthidium,36321868.8,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Bacillaria,29322342,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Cocconeis,64013690.4,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Cyclotella,14456229.9,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Nitzschia,20194580.7,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Pseudostaurosira,11361093.8,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Stauroneis,77696699.3,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Synedra,256544218,,2013,Sep,Northern Interior Delta,C3A
EMP.D26.2013.09.24,Komma,12381295.1,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Plagioselmis,23797190,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Chroococcus,1078005.2,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Eucapsis,22037699.34,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Aulacoseira,1170056034,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Cyclotella,13682258.2,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Fragilaria,17225562.2,,2013,Sep,Central Delta,D26
EMP.P8.2013.09.24,Chroococcus,1617007.8,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Eucapsis,16688061,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Merismopedia,7927392,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Microcystis,191797844.4,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Oscillatoria,280227301.6,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Pseudanabaena,10729004.4,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Aulacoseira,400962382.6,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Cyclotella,52140619.2,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Nitzschia,5067225,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Pseudostaurosira,76175030.4,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Synedra,28556628,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Tryblionella,55469223,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Monoraphidium,922610.3,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Scenedesmus,7736714.2,,2013,Sep,Southern Interior Delta,P8
EMP.C10A.2013.09.24,Rhodomonas,55325169.9,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Eucapsis,29119970.88,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Gloeocapsa,9556747.2,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Oscillatoria,586641755.7,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Achnanthidium,4931526.6,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Amphora,98891793,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Cocconeis,26416189.8,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Cyclotella,172407935.7,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Hippodonta,27415287.9,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Navicula,641176836.3,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Nitzschia,92964771.9,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Plagiotropis,609743534.4,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Pseudostaurosira,262716854.4,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Sellaphora,111031420.5,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Stephanocyclus,2446365121,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Surirella,1135715081,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Synedra,1079919641,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Pseudokephyrion,3616212.6,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Crucigenia,7091884.8,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Scenedesmus,9223414.2,,2013,Sep,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Tetraedron,28829700.9,,2013,Sep,Southern Interior Delta,C10A
EMP.MD10A.2013.09.24,Eucapsis,8512194.6,,2013,Sep,Southern Interior Delta,MD10A
EMP.MD10A.2013.09.24,Achnanthidium,6606463.5,,2013,Sep,Southern Interior Delta,MD10A
EMP.MD10A.2013.09.24,Aulacoseira,18421432848,,2013,Sep,Southern Interior Delta,MD10A
EMP.MD10A.2013.09.24,Nitzschia,2159293.5,,2013,Sep,Southern Interior Delta,MD10A
EMP.D8.2013.09.25,Hillea,3026688,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Plagioselmis,53541300,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Eucapsis,14887521.6,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Aulacoseira,52416426,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Bacillaria,10849010,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Cyclotella,82089904,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Fragilaria,7141092,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Navicula,22945628,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Nitzschia,8631916,,2013,Sep,Grizzly and Suisun Bay,D8
EMP.D4.2013.09.25,Hillea,5792401.2,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Rhodomonas,136176980,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Eucapsis,18999015.88,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Aulacoseira,61686520.4,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Cyclotella,36868378.4,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Entomoneis,122962407.9,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Synedra,22722187.6,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Gymnodinium,55222993.4,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Chlamydomonas,16582212.3,,2013,Sep,Confluence,D4
EMP.D4.2013.09.25,Heterosigma,75548195.9,,2013,Sep,Confluence,D4
EMP.EZ6.2013.09.25,Eucapsis,24008985,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Merismopedia,2493691.2,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Aulacoseira,111043132.2,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Cyclotella,14726111.4,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Entomoneis,54830575.8,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Nitzschia,7284677.4,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Rhoicosphenia,11127015.9,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Synedra,24629705.1,,2013,Sep,Entrapment Zone,EZ6
EMP.EZ2.2013.09.25,Eucapsis,28488710.25,,2013,Sep,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Aulacoseira,178306128,,2013,Sep,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Bacillaria,56756700,,2013,Sep,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Cyclotella,298221323.4,,2013,Sep,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Nitzschia,29680150.5,,2013,Sep,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Synedra,157824166.5,,2013,Sep,Entrapment Zone,EZ2
EMP.D7.2013.09.26,Eucapsis,16192780.8,,2013,Sep,Grizzly and Suisun Bay,D7
EMP.D7.2013.09.26,Aulacoseira,28022762,,2013,Sep,Grizzly and Suisun Bay,D7
EMP.D7.2013.09.26,Cyclotella,18405596,,2013,Sep,Grizzly and Suisun Bay,D7
EMP.D7.2013.09.26,Nitzschia,34878976,,2013,Sep,Grizzly and Suisun Bay,D7
EMP.D41A.2013.09.27,Plagioselmis,6799716,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Chroococcus,112035,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Eucapsis,3182232.9,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Aulacoseira,931392,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Coscinodiscus,79653651,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Cyclotella,25261236,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Diploneis,12630733.5,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Gomphonema,2821087.5,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Navicula,4041114,,2013,Sep,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Chlamydomonas,1062022.5,,2013,Sep,San Pablo Bay,D41A
EMP.D41.2013.09.27,Hemiselmis,41328144,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Plagioselmis,305984250,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Teleaulax,119111850,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Eucapsis,17297280,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Cyclotella,52777939.5,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Nitzschia,16696251,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Gonyaulax,1920953034,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Gymnodinium,222458593.5,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Pseudokephyrion,2060487,,2013,Sep,San Pablo Bay,D41
EMP.D41.2013.09.27,Lepocinclis,21227134.5,,2013,Sep,San Pablo Bay,D41
EMP.D6.2013.09.27,Hillea,2690688,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Rhodomonas,92642550,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Eucapsis,12947935,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Aulacoseira,13806793,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Navicula,10669659,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Nitzschia,6919412.5,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Pseudokephyrion,6027021,,2013,Sep,San Pablo Bay,D6
EMP.D6.2013.09.27,Chlamydomonas,7196689.5,,2013,Sep,San Pablo Bay,D6
EMP.D26.2013.11.07,Plagioselmis,165667478.8,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Chroococcus,2156010.4,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Eucapsis,17914704.8,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Aulacoseira,352049773.4,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Cocconeis,296859810.8,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Cyclotella,85669884,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Reimeria,5056715.2,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Sellaphora,82144596.8,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Synedra,152159383,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Pseudokephyrion,4035763.2,,2013,Nov,Central Delta,D26
EMP.D26.2013.11.07,Chlamydomonas,4080805.2,,2013,Nov,Central Delta,D26
EMP.C3A.2013.11.07,Eucapsis,15664398.75,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Achnanthidium,18069480,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Bacillaria,199466982,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Cocconeis,299708194.5,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Cyclotella,11728431,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Diatoma,9738729,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Encyonema,53482572,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Navicula,104465146.5,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Nitzschia,74665305,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Pseudostaurosira,43982581.5,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Synedra,177800980.5,,2013,Nov,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Chlamydomonas,14214271.5,,2013,Nov,Northern Interior Delta,C3A
EMP.MD10A.2013.11.07,Plagioselmis,107082600,,2013,Nov,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Eucapsis,13187937.2,,2013,Nov,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Aulacoseira,8217953360,,2013,Nov,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Cocconeis,8181516,,2013,Nov,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Pseudokephyrion,3420225,,2013,Nov,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Chlamydomonas,67298205,,2013,Nov,Southern Interior Delta,MD10A
EMP.P8.2013.11.07,Plagioselmis,21800879.1,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Eucapsis,21695924.25,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Pseudanabaena,2145943.8,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Aulacoseira,2108460955,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Bacillaria,22772950.2,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Cocconeis,312273561.6,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Cyclotella,51773822.1,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Navicula,98520622.2,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Nitzschia,195641245.8,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Pseudostaurosira,17886468.6,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Sellaphora,29680150.5,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Synedra,21990969,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Pseudokephyrion,6152246.1,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Chlamydomonas,41418877.5,,2013,Nov,Southern Interior Delta,P8
EMP.P8.2013.11.07,Goniochloris,1695493.8,,2013,Nov,Southern Interior Delta,P8
EMP.C10A.2013.11.07,Rhodomonas,106507615.5,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Eucapsis,15350692.5,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Merismopedia,3531528,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Adlafia,4197550.5,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Bacillaria,75312022.5,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Cocconeis,41050152,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Craticula,55614487.5,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Cyclotella,194990796,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Encyonema,23605510.5,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Gomphonema,32937547.5,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Hippodonta,17592646.5,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Navicula,34080403.5,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Nitzschia,46162116,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Planothidium,11728431,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Pleurosigma,651485835,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Pseudostaurosira,85286916,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Sellaphora,56605477.5,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Stephanocyclus,24478740,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Synedra,43144101,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Chrysococcus,56857086,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Chlamydomonas,17490330,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Chlorolobion,2909907,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Scenedesmus,8579142,,2013,Nov,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Euglena,46914367.5,,2013,Nov,Southern Interior Delta,C10A
EMP.D19.2013.11.08,Plagioselmis,20398950,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Eucapsis,16993161.9,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Aulacoseira,22743220.5,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Bacillaria,11735509.5,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Cyclotella,1314670.5,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Navicula,35185936.5,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Rhoicosphenia,7472965.5,,2013,Nov,Central Delta,D19
EMP.D19.2013.11.08,Pseudokephyrion,1479406.5,,2013,Nov,Central Delta,D19
EMP.D28A.2013.11.08,Hemiselmis,16932916,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Plagioselmis,135086952,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Eucapsis,13468455,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Aulacoseira,82917835,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Bacillaria,116355239,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Cocconeis,40756215.5,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Synedra,7574567,,2013,Nov,Central Delta,D28A
EMP.D28A.2013.11.08,Pseudokephyrion,3828324.5,,2013,Nov,Central Delta,D28A
EMP.D8.2013.11.12,Eucapsis,18508668.75,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Coscinodiscus,31840380,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Cyclotella,35185293,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Encyonema,32698809,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Nitzschia,7671163.5,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Tryblionella,20762527.5,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Goniochloris,10296643.5,,2013,Nov,Grizzly and Suisun Bay,D8
EMP.D4.2013.11.12,Plagioselmis,12111599.5,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Chroococcus,1078077,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Eucapsis,12729717,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Aulacoseira,74294220,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Bacillaria,18055537.5,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Cyclotella,163476813.5,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Nitzschia,7931924,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Pseudostaurosira,4036032,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Stephanocyclus,27613085.5,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Synedra,10669659,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Thalassionema,14114600.5,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Thalassiosira,1057748692,,2013,Nov,Confluence,D4
EMP.D4.2013.11.12,Chlamydomonas,4602097.5,,2013,Nov,Confluence,D4
EMP.EZ6.2013.11.12,Cryptomonas,44535277.5,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Eucapsis,19800463.2,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Aulacoseira,20340967.2,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Cyclotella,76448285.2,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Encyonema,27537928.1,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Pseudostaurosira,7690170.8,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Synedra,36649174,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Gymnodinium,24763340.9,,2013,Nov,Entrapment Zone,EZ6
EMP.EZ2.2013.11.12,Eucapsis,20811280.75,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Cocconeis,47888654.4,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Cyclotella,61354711,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Hippodonta,20523387.3,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Navicula,20523387.3,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Nitzschia,4944110.2,,2013,Nov,Entrapment Zone,EZ2
EMP.EZ2.2013.11.12,Synedra,45811467.5,,2013,Nov,Entrapment Zone,EZ2
EMP.D7.2013.11.13,Plagioselmis,18166189.3,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Eucapsis,21616406.5,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Achnanthidium,10859626.2,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Cocconeis,14604868.5,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Coscinodiscus,55469223,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Cyclotella,27364516.4,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Nitzschia,75595490,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Pseudostaurosira,6053644.8,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Synedra,12107289.6,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Thalassionema,9557912.4,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D7.2013.11.13,Chlamydomonas,6902686.5,,2013,Nov,Grizzly and Suisun Bay,D7
EMP.D41A.2013.11.14,Eucapsis,15606360,,2013,Nov,San Pablo Bay,D41A
EMP.D41A.2013.11.14,Aulacoseira,31200897,,2013,Nov,San Pablo Bay,D41A
EMP.D41A.2013.11.14,Cocconeis,22822894,,2013,Nov,San Pablo Bay,D41A
EMP.D41A.2013.11.14,Cyclotella,141504420,,2013,Nov,San Pablo Bay,D41A
EMP.D41.2013.11.14,Komma,4290561.6,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Eucapsis,6268639.48,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Aulacoseira,8642769.2,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Cyclotella,8642769.2,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Thalassiosira,20439205.5,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Pseudokephyrion,545092.9,,2013,Nov,San Pablo Bay,D41
EMP.D41.2013.11.14,Crucigenia,1467174.8,,2013,Nov,San Pablo Bay,D41
EMP.D6.2013.11.14,Hillea,4036300.8,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Rhodomonas,104229810,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Eucapsis,11236660.5,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Cocconeis,21436090.8,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Cyclotella,10263060.6,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Nitzschia,4569744.2,,2013,Nov,San Pablo Bay,D6
EMP.D6.2013.11.14,Pseudostaurosira,3753624.6,,2013,Nov,San Pablo Bay,D6
